Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-CG-4301-01	16	5	2	2	38	0	1
TCGA-CG-4304-01	13	6	5	7	44	3	5
TCGA-CG-4305-01	361	496	215	162	21	41	15
TCGA-CG-4306-01	558	306	154	110	59	5	0
TCGA-CG-4436-01	68	0	7	7	52	85	1
TCGA-CG-4437-01	67	76	44	40	378	14	30
TCGA-CG-4438-01	38	21	5	11	89	3	4
TCGA-CG-4440-01	15	10	19	0	63	17	29
TCGA-CG-4441-01	46	17	1	2	22	29	18
TCGA-CG-4442-01	312	510	237	458	0	14	49
TCGA-CG-4443-01	7	7	10	8	84	1	0
TCGA-CG-4444-01	34	7	7	0	60	116	6
TCGA-CG-4449-01	9	3	17	11	50	5	16
TCGA-CG-4455-01	8	2	0	3	38	3	0
TCGA-CG-4460-01	1224	333	381	158	0	5	100
TCGA-CG-4462-01	46	0	6	0	19	15	11
TCGA-CG-4465-01	99	305	140	70	10	43	20
TCGA-CG-4466-01	39	5	10	1	70	106	17
TCGA-CG-4469-01	63	31	29	0	64	172	26
TCGA-CG-4474-01	48	10	11	4	25	0	9
TCGA-CG-4475-01	17	7	0	9	33	2	5
TCGA-CG-4476-01	26	17	6	8	80	1	8
TCGA-CG-4477-01	19	7	0	0	39	3	3
TCGA-CG-5716-01	10	0	0	5	4	0	5
TCGA-CG-5717-01	0	14	9	16	109	9	7
TCGA-CG-5718-01	22	7	8	4	56	2	8
TCGA-CG-5719-01	35	5	0	6	42	0	2
TCGA-CG-5720-01	30	9	4	7	48	5	0
TCGA-CG-5721-01	416	152	497	3876	23	0	0
TCGA-CG-5722-01	38	4	2	5	47	1	7
TCGA-CG-5723-01	466	410	468	406	42	29	52
TCGA-CG-5724-01	42	16	8	0	35	34	8
TCGA-CG-5725-01	12	5	2	0	21	2	8
TCGA-CG-5726-01	311	319	433	217	43	6	99
TCGA-CG-5727-01	62	7	11	2	83	4	34
TCGA-CG-5728-01	530	397	292	225	38	40	13
