Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-BR-A4PE-01	2.24E+00	5.36E+00	3.80E+00	2.27E+00
TCGA-BR-A4PF-01	1.05E+00	2.40E+00	2.06E+00	9.32E-01
TCGA-BR-A4QI-01	1.29E+00	3.10E+00	2.55E+00	1.53E+00
TCGA-BR-A4QL-01	8.29E+00	5.98E+00	2.94E+00	1.82E+00
TCGA-BR-A4QM-01	1.05E+00	1.47E+00	1.28E+00	1.17E+00
TCGA-CD-5798-01	1.04E+00	2.18E+00	1.77E+00	1.10E+00
TCGA-CD-5799-01	6.04E-01	8.92E-01	8.70E-01	4.83E-01
TCGA-CD-5800-01	1.93E+00	4.65E+00	3.79E+00	2.37E+00
TCGA-CD-5801-01	1.65E+00	2.61E+00	6.79E+00	7.05E+00
TCGA-CD-5802-01	7.68E-01	1.37E+00	1.19E+00	7.34E-01
TCGA-CD-5803-01	5.58E-01	1.20E+00	1.11E+00	6.38E-01
TCGA-CD-5804-01	8.58E-01	1.42E+00	1.18E+00	7.41E-01
TCGA-CD-5813-01	1.37E+00	3.88E+00	3.91E+00	2.17E+00
TCGA-CD-8524-01	1.67E+00	3.09E+00	2.24E+00	1.52E+00
TCGA-CD-8525-01	8.40E-01	2.50E+00	2.20E+00	1.33E+00
TCGA-CD-8526-01	7.58E-01	1.19E+00	9.23E-01	6.73E-01
TCGA-CD-8527-01	1.56E+00	3.14E+00	2.93E+00	1.70E+00
TCGA-CD-8528-01	1.14E+00	2.01E+00	1.45E+00	7.99E-01
TCGA-CD-8529-01	2.63E+00	1.52E+01	1.51E+01	8.36E+00
TCGA-CD-8530-01	8.88E-01	2.03E+00	1.68E+00	1.29E+00
TCGA-CD-8531-01	1.85E+00	3.79E+00	4.57E+00	2.86E+00
TCGA-CD-8532-01	6.55E-01	7.98E-01	7.97E-01	5.80E-01
TCGA-CD-8533-01	1.57E+00	2.73E+00	1.94E+00	1.05E+00
TCGA-CD-8534-01	7.90E-01	1.43E+00	1.21E+00	7.34E-01
TCGA-CD-8535-01	1.68E+00	5.23E+00	4.73E+00	4.32E+00
TCGA-CD-8536-01	5.48E+00	5.38E+00	9.97E-01	1.05E+00
TCGA-CD-A486-01	1.22E+00	2.19E+00	1.67E+00	1.04E+00
TCGA-CD-A487-01	1.33E+00	3.58E+00	2.97E+00	2.43E+00
TCGA-CD-A489-01	8.52E-01	2.13E+00	1.84E+00	1.05E+00
TCGA-CD-A48A-01	1.46E+00	3.20E+00	3.34E+00	3.06E+00
TCGA-CD-A48C-01	2.09E+00	5.44E+00	3.87E+00	2.94E+00
TCGA-CD-A4MG-01	2.54E+01	2.61E+01	1.93E+00	2.17E+00
