Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-D9-A6EC-06	3.21E+01	1.96E+01	5.03E+01	5.67E+01
TCGA-D9-A6EG-06	1.17E+00	1.44E+00	9.12E-01	9.30E-01
TCGA-DA-A1HV-06	1.07E+01	8.03E+00	1.49E+00	9.86E+00
TCGA-DA-A1HW-06	4.05E+00	3.22E+00	6.02E-01	2.61E+00
TCGA-DA-A1HY-06	9.64E+00	8.64E+00	1.05E+00	8.25E+00
TCGA-DA-A1I0-06	5.99E+00	5.17E+00	7.43E-01	5.10E+00
TCGA-DA-A1I1-06	5.43E+00	4.87E+00	1.14E+00	4.38E+00
TCGA-DA-A1I2-06	1.94E+00	2.06E+00	6.71E-01	7.86E-01
TCGA-DA-A1I4-06	3.62E+00	3.30E+00	7.13E-01	2.24E+00
TCGA-DA-A1I5-06	4.32E+00	4.76E+00	9.23E-01	5.15E+00
TCGA-DA-A1I7-06	5.25E+00	4.16E+00	1.01E+00	3.77E+00
TCGA-DA-A1I8-06	2.38E+00	2.63E+00	9.69E-01	1.49E+00
TCGA-DA-A1IA-06	5.35E+00	5.13E+00	1.01E+00	3.06E+00
TCGA-DA-A1IB-06	0.00E+00	0.00E+00	3.90E-01	3.90E-01
TCGA-DA-A1IC-06	1.08E+01	9.42E+00	2.08E+00	8.51E+00
TCGA-DA-A3F3-06	3.17E+00	3.40E+00	1.14E+00	1.71E+00
TCGA-DA-A3F5-06	4.11E+00	3.68E+00	1.48E+00	3.01E+00
TCGA-DA-A3F8-06	1.10E+01	9.22E+00	1.41E+00	1.09E+01
TCGA-DA-A95V-06	3.96E+00	3.56E+00	1.09E+00	1.80E+00
TCGA-DA-A95W-06	2.71E+00	2.57E+00	6.11E-01	1.99E+00
TCGA-DA-A95X-06	4.70E+00	4.84E+00	1.13E+00	3.73E+00
TCGA-DA-A95Y-06	5.13E+00	5.78E+00	1.51E+00	3.64E+00
TCGA-DA-A95Z-06	1.55E+01	1.15E+01	3.04E+00	1.47E+01
TCGA-DA-A960-01	8.76E+00	6.49E+00	1.27E+00	7.17E+00
TCGA-EB-A1NK-01	2.04E+00	2.08E+00	7.76E-01	6.68E-01
TCGA-EB-A24C-01	3.09E-01	4.04E-01	4.78E-01	3.51E-01
TCGA-EB-A24D-01	7.75E+00	6.95E+00	1.16E+00	6.07E+00
TCGA-EB-A299-01	2.46E+00	2.53E+00	6.08E-01	1.57E+00
TCGA-EB-A3HV-01	7.67E-01	5.02E-01	5.47E-01	4.46E-01
TCGA-EB-A3XB-01	6.07E+00	5.93E+00	1.65E+00	5.52E+00
TCGA-EB-A3XC-01	4.67E+00	4.30E+00	1.28E+00	2.83E+00
TCGA-EB-A3XD-01	4.42E+00	4.20E+00	4.75E-01	2.88E+00
TCGA-EB-A3XE-01	2.61E-01	4.39E-01	3.02E-01	3.29E-01
TCGA-EB-A3XF-01	4.56E+00	4.27E+00	9.16E-01	3.75E+00
TCGA-EB-A3Y6-01	7.19E+00	5.57E+00	1.33E+00	5.98E+00
TCGA-EB-A3Y7-01	9.69E+00	1.03E+01	2.03E+00	9.32E+00
TCGA-EB-A41A-01	1.62E+01	1.47E+01	2.52E+00	1.80E+01
TCGA-EB-A41B-01	3.70E+00	2.41E+00	7.96E-01	3.44E+00
TCGA-EB-A42Y-01	7.93E-01	7.50E-01	6.29E-01	5.11E-01
TCGA-EB-A42Z-01	2.02E+00	2.00E+00	6.83E-01	6.29E-01
TCGA-EB-A430-01	4.63E+00	4.51E+00	9.77E-01	2.95E+00
TCGA-EB-A431-01	2.23E+01	1.80E+01	2.01E+00	1.84E+01
TCGA-EB-A44N-01	2.51E+00	2.41E+00	5.54E-01	1.93E+00
TCGA-EB-A44O-01	6.46E+00	5.67E+00	9.62E-01	4.46E+00
TCGA-EB-A44P-01	4.34E+00	4.50E+00	1.08E+00	3.67E+00
TCGA-EB-A44Q-06	6.84E-01	8.23E-01	5.72E-01	5.60E-01
TCGA-EB-A44R-06	3.58E-01	4.14E-01	5.78E-01	5.29E-01
TCGA-EB-A4IQ-01	3.56E-01	3.90E-01	4.65E-01	3.44E-01
TCGA-EB-A4IS-01	7.75E+00	7.33E+00	1.28E+00	4.11E+00
TCGA-EB-A4OY-01	1.76E-01	4.42E-01	1.31E+00	1.38E+00
TCGA-EB-A4OZ-01	5.32E-02	1.87E-01	4.45E-01	4.37E-01
TCGA-EB-A4P0-01	2.96E+00	2.96E+00	9.06E-01	1.66E+00
TCGA-EB-A4XL-01	6.48E+00	6.07E+00	8.85E-01	3.62E+00
TCGA-EB-A51B-01	5.53E+00	5.10E+00	1.04E+00	3.59E+00
TCGA-EB-A550-01	3.03E+00	2.83E+00	6.71E-01	1.67E+00
TCGA-EB-A551-01	3.88E+00	4.02E+00	1.12E+00	2.86E+00
TCGA-EB-A553-01	4.27E+00	4.14E+00	1.39E+00	1.98E+00
TCGA-EB-A57M-01	3.49E-01	2.42E-01	1.11E+00	1.10E+00
TCGA-EB-A5FP-01	6.06E+00	4.54E+00	6.06E-01	4.82E+00
TCGA-EB-A5KH-06	2.87E-01	5.45E-01	4.52E-01	2.43E-01
TCGA-EB-A5SE-01	4.34E+00	3.99E+00	8.11E-01	2.47E+00
TCGA-EB-A5SF-01	5.85E-01	4.83E-01	4.34E-01	3.44E-01
TCGA-EB-A5SG-06	3.34E+00	3.49E+00	6.39E-01	2.22E+00
TCGA-EB-A5SH-06	9.30E-01	8.73E-01	6.64E-01	8.38E-01
TCGA-EB-A5UL-06	5.15E+00	4.88E+00	1.39E+00	2.59E+00
TCGA-EB-A5UM-01	6.04E+00	5.38E+00	1.01E+00	4.45E+00
TCGA-EB-A5UN-06	9.12E+00	8.41E+00	1.14E+00	7.59E+00
TCGA-EB-A5VU-01	5.18E-01	7.27E-01	5.56E-01	2.92E-01
TCGA-EB-A6L9-06	2.70E-01	2.03E-01	5.31E-01	4.83E-01
TCGA-EB-A6QY-01	5.80E+00	5.39E+00	1.14E+00	4.42E+00
TCGA-EB-A6QZ-01	3.56E+00	3.52E+00	9.11E-01	2.75E+00
TCGA-EB-A6R0-01	5.08E+00	4.37E+00	8.18E-01	3.06E+00
TCGA-EB-A82B-01	4.43E-01	6.80E-01	6.78E-01	5.54E-01
TCGA-EB-A82C-01	7.17E-01	6.64E-01	5.18E-01	5.97E-01
TCGA-EB-A85I-01	3.06E+00	2.96E+00	8.58E-01	1.58E+00
TCGA-EB-A85J-01	3.88E+00	3.72E+00	7.67E-01	3.26E+00
TCGA-EB-A97M-01	4.68E+00	4.12E+00	7.78E-01	3.17E+00
TCGA-EE-A17X-06	8.11E+00	6.56E+00	1.14E+00	6.71E+00
TCGA-EE-A17Y-06	3.03E+00	2.78E+00	6.99E-01	1.87E+00
TCGA-EE-A17Z-06	4.77E-02	3.48E-01	8.13E-01	7.13E-01
TCGA-EE-A180-06	5.28E+00	5.09E+00	1.29E+00	3.04E+00
TCGA-EE-A181-06	2.36E+01	2.00E+01	2.86E+00	2.46E+01
TCGA-EE-A182-06	1.22E+01	1.19E+01	2.06E+00	1.25E+01
