Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-EE-A2M5-06	1349	1252	38	126
TCGA-EE-A2M6-06	439	248	35	24
TCGA-EE-A2M7-06	35	0	47	4
TCGA-EE-A2M8-06	130	0	16	5
TCGA-EE-A2MC-06	765	178	54	33
TCGA-EE-A2MD-06	1899	345	62	25
TCGA-EE-A2ME-06	24	10	8	0
TCGA-EE-A2MF-06	829	96	10	97
TCGA-EE-A2MG-06	176	85	15	1
TCGA-EE-A2MH-06	81	100	18	2
TCGA-EE-A2MI-06	1100	358	6	24
TCGA-EE-A2MJ-06	2171	420	0	61
TCGA-EE-A2MK-06	335	38	10	21
TCGA-EE-A2ML-06	389	336	33	0
TCGA-EE-A2MM-06	549	174	38	0
TCGA-EE-A2MN-06	148	33	24	0
TCGA-EE-A2MP-06	198	153	38	4
TCGA-EE-A2MQ-06	192	118	43	12
TCGA-EE-A2MR-06	4724	0	337	0
TCGA-EE-A2MS-06	2471	1480	31	0
TCGA-EE-A2MT-06	728	490	20	21
TCGA-EE-A2MU-06	661	168	8	73
TCGA-EE-A3AA-06	1631	343	14	62
TCGA-EE-A3AB-06	158	389	76	286
TCGA-EE-A3AC-06	931	392	17	45
TCGA-EE-A3AD-06	367	193	33	3
TCGA-EE-A3AE-06	1691	270	16	36
TCGA-EE-A3AF-06	531	787	43	0
TCGA-EE-A3AG-06	1387	918	7	0
TCGA-EE-A3AH-06	328	163	10	7
TCGA-EE-A3J3-06	104	65	58	0
TCGA-EE-A3J4-06	216	92	64	46
TCGA-EE-A3J5-06	1784	1004	27	125
TCGA-EE-A3J7-06	530	635	142	43
TCGA-EE-A3J8-06	310	36	12	13
TCGA-EE-A3JA-06	1153	267	0	15
TCGA-EE-A3JB-06	384	366	61	48
TCGA-EE-A3JD-06	2501	454	101	46
TCGA-EE-A3JE-06	187	151	26	5
TCGA-EE-A3JH-06	134	70	41	0
TCGA-EE-A3JI-06	786	599	106	45
TCGA-ER-A193-06	1788	674	51	106
TCGA-ER-A194-01	1111	715	30	10
TCGA-ER-A195-06	262	79	6	1
TCGA-ER-A196-01	3	0	22	0
TCGA-ER-A197-06	0	4	42	6
TCGA-ER-A198-06	347	253	52	0
TCGA-ER-A199-06	282	72	16	2
TCGA-ER-A19A-06	227	6	12	3
TCGA-ER-A19B-06	45	0	48	38
TCGA-ER-A19C-06	76	26	14	6
TCGA-ER-A19D-06	401	187	54	0
TCGA-ER-A19E-06	407	114	80	16
TCGA-ER-A19F-06	833	450	10	20
TCGA-ER-A19G-06	366	260	46	26
TCGA-ER-A19H-06	190	139	43	1
TCGA-ER-A19J-06	226	36	24	5
TCGA-ER-A19K-01	300	183	9	10
TCGA-ER-A19L-06	47	20	3	4
TCGA-ER-A19M-06	395	249	33	0
TCGA-ER-A19N-06	432	207	5	18
TCGA-ER-A19O-06	199	24	20	1
TCGA-ER-A19P-06	209	132	299	0
TCGA-ER-A19Q-06	118	16	29	0
TCGA-ER-A19S-06	153	87	20	15
TCGA-ER-A19T-01	0	21	41	8
TCGA-ER-A19W-06	308	109	61	10
TCGA-ER-A1A1-06	26	66	0	2
TCGA-ER-A2NB-01	1	15	59	10
TCGA-ER-A2NC-06	350	185	17	0
TCGA-ER-A2ND-06	68	12	47	18
TCGA-ER-A2NE-06	134	22	20	3
TCGA-ER-A2NF-01	14	16	11	0
TCGA-ER-A2NG-06	190	120	5	32
TCGA-ER-A2NH-06	328	80	1	6
TCGA-ER-A3ES-06	3	0	26	0
TCGA-ER-A3ET-06	11	22	70	13
TCGA-ER-A3EV-06	0	22	67	10
TCGA-ER-A3PL-06	224	295	0	0
TCGA-ER-A42H-01	4	3	71	0
TCGA-ER-A42K-06	141	103	22	7
TCGA-ER-A42L-06	902	385	0	14
TCGA-FR-A2OS-01	1	0	13	2
TCGA-FR-A3R1-01	299	252	38	0
TCGA-FR-A3YN-06	521	213	41	13
TCGA-FR-A3YO-06	892	255	42	0
TCGA-FR-A44A-06	216	152	50	2
TCGA-FR-A69P-06	197	82	20	6
TCGA-FR-A726-01	6009	4109	0	28
TCGA-FR-A728-01	393	121	13	13
TCGA-FR-A729-06	982	149	3	70
TCGA-FR-A7U8-06	0	5	39	0
TCGA-FR-A7U9-06	1958	406	34	82
TCGA-FR-A7UA-06	202	32	0	7
TCGA-FR-A8YC-06	3046	831	67	156
TCGA-FR-A8YD-06	28	17	68	19
TCGA-FR-A8YE-06	355	94	0	22
TCGA-FS-A1YW-06	163	27	27	2
TCGA-FS-A1YX-06	4	9	17	0
TCGA-FS-A1YY-06	134	121	19	0
TCGA-FS-A1Z0-06	220	70	36	25
TCGA-FS-A1Z3-06	1043	248	38	61
TCGA-FS-A1Z4-06	25	16	6	6
TCGA-FS-A1Z7-06	152	83	15	0
TCGA-FS-A1ZA-06	1287	211	65	61
TCGA-FS-A1ZB-06	217	81	18	0
TCGA-FS-A1ZC-06	727	201	21	29
TCGA-FS-A1ZD-06	164	137	24	16
TCGA-FS-A1ZE-06	147	5	32	6
TCGA-FS-A1ZF-06	146	82	36	15
TCGA-FS-A1ZG-06	0	0	38	7
