Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-AN-A0XP-01	5	4	6	8	0	11
TCGA-AN-A0XR-01	4	3	9	7	14	1
TCGA-AN-A0XS-01	8	1	8	6	6	3
TCGA-AN-A0XT-01	0	1	12	0	7	2
TCGA-AN-A0XU-01	3	17	14	51	43	9
TCGA-AN-A0XV-01	0	6	15	9	5	9
TCGA-AN-A0XW-01	171	252	0	0	0	0
TCGA-AO-A03M-01	468	682	0	0	0	0
TCGA-AO-A03N-01	50	45	18	1	12	8
TCGA-AO-A03U-01	0	2	0	0	3	0
TCGA-AO-A03V-01	11	9	9	0	43	0
TCGA-AO-A0JG-01	2	0	0	7	9	3
TCGA-AO-A124-01	5	8	20	93	37	15
TCGA-AO-A125-01	5	2	20	14	1	3
TCGA-AO-A126-01	5	0	10	0	10	0
TCGA-AO-A128-01	9	21	446	0	0	734
TCGA-AO-A129-01	12	24	10	39	35	24
TCGA-AO-A12A-01	6	0	10	0	0	3
TCGA-AO-A12B-01	1	0	12	7	0	3
TCGA-AO-A12D-01	33	10	15	1	14	0
TCGA-AO-A12E-01	3	1	18	8	3	0
TCGA-AO-A12F-01	0	0	22	12	0	6
TCGA-AO-A12G-01	5	5	16	0	9	7
TCGA-AO-A12H-01	1	0	13	0	12	4
TCGA-AO-A1KO-01	0	0	0	4	2	4
TCGA-AO-A1KR-01	7	9	14	49	0	10
TCGA-AO-A1KT-01	5	0	16	14	0	16
TCGA-AQ-A04H-01	2	6	49	9	5	10
TCGA-AQ-A0Y5-01	13	12	28	13	0	4
TCGA-AQ-A1H2-01	3	0	16	5	5	5
TCGA-AQ-A1H3-01	0	0	25	2	0	0
TCGA-AQ-A54O-01	5	0	9	8	0	3
TCGA-AQ-A7U7-01	40	34	13	0	0	9
TCGA-AR-A0TP-01	5	4	2	38	7	15
TCGA-AR-A0TQ-01	15	2	11	11	7	3
TCGA-AR-A0TR-01	4	1	16	8	2	11
TCGA-AR-A0TS-01	6	10	19	36	12	7
TCGA-AR-A0TT-01	13	7	22	21	0	12
TCGA-AR-A0TU-01	3	10	14	49	4	10
TCGA-AR-A0TV-01	4	4	25	6	34	6
TCGA-AR-A0TW-01	2	3	25	18	14	5
TCGA-AR-A0TX-01	195	204	8	0	0	0
TCGA-AR-A0TZ-01	15	16	19	1	13	3
TCGA-AR-A0U0-01	2	9	8	4	26	1
TCGA-AR-A0U1-01	0	14	1	49	23	22
TCGA-AR-A0U2-01	0	0	25	4	15	12
TCGA-AR-A0U3-01	2	0	16	3	14	5
TCGA-AR-A0U4-01	15	48	10	91	25	12
TCGA-AR-A1AH-01	1	9	10	30	40	30
TCGA-AR-A1AI-01	7	16	23	6	29	8
TCGA-AR-A1AJ-01	21	10	17	0	0	5
TCGA-AR-A1AK-01	20	22	19	0	21	0
TCGA-AR-A1AL-01	6	3	6	2	4	9
TCGA-AR-A1AN-01	1	5	18	4	0	3
TCGA-AR-A1AO-01	17	17	18	64	0	6
TCGA-AR-A1AP-01	6	7	24	0	12	2
TCGA-AR-A1AQ-01	2	2	11	17	0	9
TCGA-AR-A1AR-01	2	8	16	17	16	4
TCGA-AR-A1AS-01	16	3	7	7	0	8
TCGA-AR-A1AT-01	1	1	9	18	0	3
TCGA-AR-A1AU-01	2	1	11	7	0	5
TCGA-AR-A1AV-01	5	1	22	1	15	5
TCGA-AR-A1AW-01	2	1	10	11	5	12
TCGA-AR-A1AX-01	4	0	9	0	19	0
TCGA-AR-A1AY-01	10	6	20	12	15	9
TCGA-AR-A24H-01	6	22	15	76	26	7
TCGA-AR-A24K-01	0	0	9	14	6	5
TCGA-AR-A24L-01	1	6	4	31	5	6
TCGA-AR-A24M-01	1	0	5	4	4	11
TCGA-AR-A24N-01	7	1	19	9	3	8
TCGA-AR-A24O-01	0	1	8	0	10	3
TCGA-AR-A24P-01	1	0	9	2	6	1
TCGA-AR-A24Q-01	25	22	6	132	18	29
TCGA-AR-A24R-01	1	0	12	5	0	8
TCGA-AR-A24S-01	8	5	19	6	8	11
TCGA-AR-A24T-01	1	1	13	0	9	0
TCGA-AR-A24U-01	13	11	15	5	0	0
TCGA-AR-A24V-01	3	4	14	1	2	4
TCGA-AR-A24W-01	1	0	2	0	11	0
TCGA-AR-A24X-01	1	0	11	0	19	3
TCGA-AR-A24Z-01	4	3	16	14	16	3
TCGA-AR-A250-01	19	52	45	0	36	3
TCGA-AR-A251-01	4	33	10	116	24	18
TCGA-AR-A252-01	0	0	11	2	0	6
TCGA-AR-A254-01	6	1	18	0	17	0
TCGA-AR-A255-01	15	21	12	0	34	7
TCGA-AR-A256-01	21	16	13	121	34	19
TCGA-AR-A2LE-01	233	137	6	0	18	0
TCGA-AR-A2LH-01	34	18	8	0	9	2
TCGA-AR-A2LK-01	6	0	23	1	11	7
TCGA-AR-A2LL-01	0	0	19	0	18	0
TCGA-AR-A2LM-01	1	0	2	0	13	1
TCGA-AR-A2LN-01	23	5	10	0	13	3
TCGA-AR-A2LO-01	2	2	6	7	0	0
TCGA-AR-A2LQ-01	0	0	5	0	7	1
TCGA-AR-A2LR-01	1	1	17	6	41	4
TCGA-AR-A5QM-01	0	0	14	0	20	2
TCGA-AR-A5QN-01	8	0	24	0	8	9
TCGA-AR-A5QP-01	5	0	11	0	12	6
TCGA-AR-A5QQ-01	6	8	11	49	0	22
TCGA-B6-A0I1-01	7	1	28	10	34	0
TCGA-B6-A0IH-01	3	0	20	0	9	9
TCGA-B6-A0RH-01	13	8	11	8	3	2
TCGA-B6-A0RL-01	17	6	26	13	0	7
