Samples	SBS1	SBS5	SBS7a	SBS7b	SBS10b	SBS15	SBS17a	SBS17b	SBS38	SBS39
TCGA-EB-A6L9-06	9	19	0	0	0	0	0	0	0	0
TCGA-EB-A6QY-01	26	24	355	375	92	0	0	0	0	0
TCGA-EB-A6QZ-01	19	48	109	211	0	0	0	0	0	0
TCGA-EB-A6R0-01	31	50	169	278	0	0	0	0	0	0
TCGA-EB-A82B-01	23	42	0	0	0	0	0	0	0	0
TCGA-EB-A82C-01	6	21	9	0	12	0	0	0	0	0
TCGA-EB-A85I-01	16	7	111	133	39	0	0	0	0	0
TCGA-EB-A85J-01	14	0	258	210	82	0	0	0	0	0
TCGA-EB-A97M-01	25	0	170	187	47	0	0	0	0	0
TCGA-EE-A17X-06	57	55	518	460	0	0	0	0	0	0
TCGA-EE-A17Y-06	12	25	89	106	0	0	0	0	0	0
TCGA-EE-A17Z-06	4	22	0	0	0	0	0	0	0	0
TCGA-EE-A180-06	37	26	264	321	77	0	0	0	0	0
TCGA-EE-A181-06	64	40	1704	1829	367	0	0	0	0	0
TCGA-EE-A182-06	39	42	948	765	246	0	0	0	0	0
TCGA-EE-A183-06	28	0	456	400	132	0	0	0	0	0
TCGA-EE-A184-06	13	30	0	0	0	0	0	0	367	0
TCGA-EE-A185-06	18	22	99	129	0	0	0	0	0	0
TCGA-EE-A20B-06	7	25	84	128	0	0	0	0	0	0
TCGA-EE-A20C-06	132	217	995	1527	0	0	0	0	0	0
TCGA-EE-A20F-06	11	9	289	273	69	0	0	0	0	0
TCGA-EE-A20H-06	40	80	337	356	0	0	0	0	0	0
TCGA-EE-A20I-06	9	21	0	0	0	0	0	0	0	0
TCGA-EE-A29A-06	13	4	131	206	0	0	0	0	0	0
TCGA-EE-A29B-06	21	63	378	287	0	0	0	0	0	0
TCGA-EE-A29C-06	18	19	156	313	67	0	0	0	0	0
TCGA-EE-A29D-06	218	0	2171	2855	0	0	0	0	0	0
TCGA-EE-A29E-06	183	117	2620	1969	0	0	0	0	0	0
TCGA-EE-A29G-06	3	57	190	169	55	0	0	0	0	0
TCGA-EE-A29H-06	11	0	172	189	46	0	0	0	0	0
TCGA-EE-A29L-06	128	134	1288	1210	0	0	0	0	0	0
TCGA-EE-A29M-06	105	34	1660	1448	0	0	0	0	0	0
TCGA-EE-A29N-06	47	82	235	483	0	0	0	0	0	0
TCGA-EE-A29P-06	19	5	160	226	0	0	0	0	0	0
TCGA-EE-A29Q-06	10	43	135	170	51	0	0	0	0	0
TCGA-EE-A29R-06	22	0	406	422	84	0	0	0	0	0
TCGA-EE-A29S-06	62	125	638	673	0	0	0	0	0	0
TCGA-EE-A29T-06	46	26	241	144	56	0	0	0	0	0
TCGA-EE-A29V-06	57	93	401	861	0	0	0	0	0	0
TCGA-EE-A29W-06	12	0	26	55	0	0	0	0	0	0
TCGA-EE-A29X-06	5	17	75	108	0	0	0	0	0	0
TCGA-EE-A2A0-06	22	35	287	189	0	0	0	0	0	0
TCGA-EE-A2A1-06	17	6	207	234	65	0	0	0	0	0
TCGA-EE-A2A2-06	83	161	710	1120	0	0	0	0	0	0
TCGA-EE-A2A5-06	21	48	145	224	0	0	0	0	0	0
TCGA-EE-A2A6-06	11	12	153	173	68	0	0	0	0	0
TCGA-EE-A2GB-06	18	3	346	454	90	0	0	0	0	0
TCGA-EE-A2GC-06	136	105	1341	1652	0	0	0	0	0	0
