Samples	SBS96A	SBS96B	SBS96C
TCGA-C8-A26X-01	7	36	32
TCGA-C8-A26Y-01	767	3	146
TCGA-C8-A26Z-01	2	30	17
TCGA-C8-A273-01	1	13	10
TCGA-C8-A274-01	239	34	8
TCGA-C8-A275-01	102	21	19
TCGA-C8-A278-01	16	23	14
TCGA-C8-A27A-01	10	14	16
TCGA-C8-A27B-01	74	4	84
TCGA-C8-A3M7-01	164	57	0
TCGA-C8-A3M8-01	14	29	19
TCGA-C8-A8HP-01	238	35	0
TCGA-C8-A8HQ-01	321	51	0
TCGA-C8-A8HR-01	5	29	26
TCGA-C8-A9FZ-01	4	22	3
TCGA-D8-A13Y-01	25	25	32
TCGA-D8-A13Z-01	15	35	53
TCGA-D8-A140-01	33	60	41
TCGA-D8-A141-01	0	11	10
TCGA-D8-A142-01	15	76	75
TCGA-D8-A143-01	3	24	34
TCGA-D8-A145-01	3	30	14
TCGA-D8-A146-01	8	28	5
TCGA-D8-A147-01	64	10	126
TCGA-D8-A1J8-01	611	273	77
TCGA-D8-A1J9-01	243	16	19
TCGA-D8-A1JB-01	8	12	43
TCGA-D8-A1JC-01	76	29	17
TCGA-D8-A1JD-01	26	21	75
TCGA-D8-A1JE-01	2	21	17
TCGA-D8-A1JF-01	6	30	13
TCGA-D8-A1JG-01	22	66	81
TCGA-D8-A1JH-01	3	11	10
TCGA-D8-A1JI-01	3	16	23
TCGA-D8-A1JJ-01	56	36	6
TCGA-D8-A1JK-01	32	40	177
TCGA-D8-A1JL-01	13	22	92
TCGA-D8-A1JM-01	4	22	27
TCGA-D8-A1JN-01	163	41	4
TCGA-D8-A1JP-01	15	5	115
TCGA-D8-A1JS-01	3	14	12
TCGA-D8-A1JT-01	0	22	19
TCGA-D8-A1JU-01	1	14	5
TCGA-D8-A1X5-01	8	32	26
TCGA-D8-A1X6-01	3	29	10
TCGA-D8-A1X7-01	4	12	16
TCGA-D8-A1X9-01	7	13	82
TCGA-D8-A1XA-01	2	17	9
TCGA-D8-A1XB-01	11	34	5
TCGA-D8-A1XC-01	2	22	10
TCGA-D8-A1XF-01	6	36	9
TCGA-D8-A1XG-01	2	11	14
TCGA-D8-A1XK-01	0	816	484
TCGA-D8-A1XL-01	10	24	76
TCGA-D8-A1XM-01	29	29	6
TCGA-D8-A1XO-01	10	10	9
TCGA-D8-A1XQ-01	31	642	358
TCGA-D8-A1XR-01	4	25	3
TCGA-D8-A1XS-01	7	15	4
TCGA-D8-A1XT-01	6	24	15
TCGA-D8-A1XU-01	15	10	10
TCGA-D8-A1XV-01	4	23	9
TCGA-D8-A1XW-01	17	26	79
TCGA-D8-A1XY-01	9	43	7
TCGA-D8-A1XZ-01	11	68	17
TCGA-D8-A1Y0-01	15	17	49
TCGA-D8-A1Y1-01	16	217	0
TCGA-D8-A1Y2-01	10	12	0
TCGA-D8-A1Y3-01	2	53	12
TCGA-D8-A27E-01	1	3	7
TCGA-D8-A27F-01	11	7	52
TCGA-D8-A27G-01	1162	0	14
TCGA-D8-A27H-01	58	9	93
TCGA-D8-A27I-01	9	18	9
TCGA-D8-A27K-01	1	14	6
TCGA-D8-A27L-01	27	21	5
TCGA-D8-A27M-01	14	16	60
TCGA-D8-A27N-01	5	40	15
TCGA-D8-A27P-01	2	20	8
TCGA-D8-A27R-01	6	11	18
TCGA-D8-A27T-01	5	25	1
TCGA-D8-A27V-01	181	22	32
TCGA-D8-A27W-01	5	50	0
TCGA-D8-A3Z6-01	8	21	8
TCGA-D8-A4Z1-01	36	10	0
TCGA-D8-A73U-01	176	31	0
TCGA-D8-A73W-01	4	41	7
TCGA-D8-A73X-01	8	39	5
TCGA-E2-A105-01	10	35	22
TCGA-E2-A107-01	9	21	6
TCGA-E2-A108-01	141	8	37
TCGA-E2-A109-01	2	38	44
TCGA-E2-A10A-01	10	8	10
TCGA-E2-A10B-01	37	23	13
TCGA-E2-A10C-01	511	8	0
TCGA-E2-A10F-01	6	22	2
TCGA-E2-A14N-01	24	17	68
TCGA-E2-A14O-01	3	27	6
TCGA-E2-A14P-01	34	55	23
TCGA-E2-A14Q-01	6	23	11
TCGA-E2-A14R-01	17	24	102
TCGA-E2-A14T-01	10	27	6
TCGA-E2-A14V-01	65	52	24
TCGA-E2-A14W-01	14	14	74
TCGA-E2-A14X-01	7	30	0
TCGA-E2-A14Y-01	31	13	6
TCGA-E2-A14Z-01	36	23	36
TCGA-E2-A150-01	8	41	42
TCGA-E2-A152-01	131	23	17
TCGA-E2-A153-01	7	19	0
TCGA-E2-A154-01	3	33	22
TCGA-E2-A155-01	17	36	28
TCGA-E2-A156-01	7	10	8
TCGA-E2-A158-01	3	22	72
TCGA-E2-A159-01	156	17	28
TCGA-E2-A15A-01	5	23	34
TCGA-E2-A15C-01	2	36	12
TCGA-E2-A15D-01	0	29	5
TCGA-E2-A15E-01	5	23	12
TCGA-E2-A15F-01	1	18	9
TCGA-E2-A15G-01	10	32	31
TCGA-E2-A15H-01	1	25	7
TCGA-E2-A15I-01	5	26	12
TCGA-E2-A15J-01	0	12	10
TCGA-E2-A15K-01	3	29	21
TCGA-E2-A15L-01	4	24	6
TCGA-E2-A15M-01	35	43	30
TCGA-E2-A15O-01	2	20	12
TCGA-E2-A15P-01	2	18	8
TCGA-E2-A15R-01	7	32	8
TCGA-E2-A15S-01	13	19	36
TCGA-E2-A15T-01	4	27	9
TCGA-E2-A1AZ-01	33	20	26
TCGA-E2-A1B0-01	12	37	11
TCGA-E2-A1B1-01	36	17	13
TCGA-E2-A1B4-01	10	15	17
TCGA-E2-A1B5-01	25	21	0
TCGA-E2-A1B6-01	1	20	35
TCGA-E2-A1BC-01	2	17	22
TCGA-E2-A1BD-01	1	30	12
TCGA-E2-A1IE-01	0	14	16
TCGA-E2-A1IF-01	0	12	12
TCGA-E2-A1IG-01	12	27	18
TCGA-E2-A1IH-01	39	22	24
TCGA-E2-A1II-01	0	17	17
TCGA-E2-A1IJ-01	0	12	6
TCGA-E2-A1IK-01	3	10	4
TCGA-E2-A1IL-01	1	16	14
