Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-AC-A8OQ-01	1	18	21	0	6	50	38	0	3
TCGA-AC-A8OR-01	0	1	9	0	7	0	12	1	2
TCGA-AC-A8OS-01	4	14	9	2	17	17	4	12	0
TCGA-AN-A0XL-01	0	0	8	8	0	4	0	6	14
TCGA-AN-A0XN-01	13	2	6	8	45	22	27	23	29
TCGA-AN-A0XO-01	1	7	2	7	2	16	0	8	0
TCGA-AN-A0XP-01	4	5	6	0	2	0	4	7	6
TCGA-AN-A0XR-01	2	4	5	0	6	3	18	0	0
TCGA-AN-A0XS-01	0	7	3	0	0	7	15	0	0
TCGA-AN-A0XT-01	0	0	8	1	0	9	3	1	0
TCGA-AN-A0XU-01	14	5	7	0	37	28	4	8	34
TCGA-AN-A0XV-01	4	0	9	4	6	10	4	7	0
TCGA-AN-A0XW-01	224	165	0	10	0	24	0	0	0
TCGA-AO-A03M-01	578	381	0	170	0	21	0	0	0
TCGA-AO-A03N-01	39	32	15	42	0	0	0	5	1
TCGA-AO-A03U-01	1	0	0	3	0	0	0	0	1
TCGA-AO-A03V-01	6	6	1	13	0	28	10	0	8
TCGA-AO-A0JG-01	0	2	0	0	2	0	3	3	11
TCGA-AO-A124-01	8	1	15	18	68	4	10	14	40
TCGA-AO-A125-01	1	4	15	2	10	6	0	3	4
TCGA-AO-A126-01	0	3	3	0	0	19	0	0	0
TCGA-AO-A128-01	16	17	422	0	0	0	179	576	0
TCGA-AO-A129-01	20	13	8	0	37	17	13	18	18
TCGA-AO-A12A-01	0	5	10	0	1	0	0	2	1
TCGA-AO-A12B-01	0	1	10	0	9	0	0	3	0
TCGA-AO-A12D-01	7	20	7	18	0	20	0	0	1
TCGA-AO-A12E-01	0	2	12	2	6	7	4	0	0
TCGA-AO-A12F-01	0	0	19	0	7	0	5	2	7
TCGA-AO-A12G-01	3	3	9	3	0	15	5	4	0
TCGA-AO-A12H-01	0	0	5	3	0	15	5	2	0
TCGA-AO-A1KO-01	0	0	0	1	3	3	0	3	0
