Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-HU-8243-01	32	112	7	3	7
TCGA-HU-8244-01	19	142	0	4	0
TCGA-HU-8245-01	23	26	17	8	3
TCGA-HU-8249-01	56	100	0	3	16
TCGA-HU-8602-01	760	676	308	0	17
TCGA-HU-8604-01	61	110	0	51	36
TCGA-HU-8608-01	37	42	10	4	12
TCGA-HU-8610-01	22	23	0	8	16
TCGA-HU-A4G2-01	4	41	5	0	13
TCGA-HU-A4G3-01	23	78	2	11	12
TCGA-HU-A4G6-01	24	56	0	7	9
TCGA-HU-A4G8-01	694	619	300	0	8
TCGA-HU-A4G9-01	328	347	156	9	11
TCGA-HU-A4GC-01	55	79	0	21	15
TCGA-HU-A4GD-01	0	89	12	6	0
TCGA-HU-A4GF-01	62	45	6	39	17
TCGA-HU-A4GH-01	15	0	5	936	3
TCGA-HU-A4GJ-01	0	6	0	0	0
TCGA-HU-A4GN-01	680	393	201	11	14
TCGA-HU-A4GP-01	74	132	6	20	31
TCGA-HU-A4GQ-01	887	907	236	0	0
TCGA-HU-A4GT-01	684	334	440	28	0
TCGA-HU-A4GU-01	1592	0	0	134	0
TCGA-HU-A4GX-01	580	537	193	0	19
TCGA-HU-A4GY-01	20	56	0	3	0
TCGA-HU-A4H0-01	25	147	26	8	10
TCGA-HU-A4H2-01	61	108	11	45	3
TCGA-HU-A4H3-01	473	294	182	28	6
TCGA-HU-A4H4-01	242	83	349	93	0
TCGA-HU-A4H5-01	24	183	61	40	20
TCGA-HU-A4H6-01	29	102	3	10	4
TCGA-HU-A4H8-01	747	517	24	0	0
TCGA-HU-A4HB-01	0	8	0	5	0
TCGA-HU-A4HD-01	21	123	28	28	26
TCGA-IN-7806-01	4	73	9	2	1
TCGA-IN-7808-01	39	56	0	18	18
TCGA-IN-8462-01	40	75	8	17	3
TCGA-IN-8663-01	37	85	0	102	4
TCGA-IN-A6RI-01	18	43	13	56	0
TCGA-IN-A6RJ-01	16	62	14	71	4
TCGA-IN-A6RL-01	28	97	155	116	168
TCGA-IN-A6RN-01	0	97	17	24	17
TCGA-IN-A6RO-01	11	221	0	60	70
TCGA-IN-A6RP-01	50	117	0	14	21
TCGA-IN-A6RR-01	28	102	9	51	7
TCGA-IN-A6RS-01	51	70	0	4	7
TCGA-IN-A7NR-01	29	19	0	57	8
TCGA-IN-A7NT-01	42	37	5	48	4
TCGA-IN-A7NU-01	19	51	10	31	6
TCGA-IN-AB1V-01	19	38	4	4	10
TCGA-IN-AB1X-01	8	75	7	33	18
TCGA-IP-7968-01	32	89	0	12	0
TCGA-KB-A6F5-01	20	53	2	3	5
TCGA-KB-A6F7-01	23	64	18	19	0
TCGA-KB-A93G-01	19	89	0	5	14
TCGA-KB-A93H-01	71	108	13	67	25
TCGA-KB-A93J-01	24	14	3	4	10
TCGA-MX-A5UG-01	21	24	0	0	11
TCGA-MX-A5UJ-01	745	644	137	0	8
TCGA-MX-A663-01	27	50	0	5	24
TCGA-MX-A666-01	1	88	6	20	26
TCGA-R5-A7O7-01	26	90	6	17	12
TCGA-R5-A7ZE-01	31	83	0	58	29
TCGA-R5-A7ZF-01	30	44	8	0	3
TCGA-R5-A7ZI-01	453	241	183	3	52
TCGA-R5-A7ZR-01	11	59	4	4	12
TCGA-R5-A804-01	10	66	0	13	4
TCGA-R5-A805-01	8	41	0	108	1
TCGA-RD-A7BS-01	11	46	3	2	9
TCGA-RD-A7BT-01	17	32	0	227	7
TCGA-RD-A7BW-01	0	69	11	2	8
TCGA-RD-A7C1-01	55	211	9	59	3
TCGA-RD-A8MV-01	32	17	0	16	20
