MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
CC>TG	0.006392920868185499	0.008923381818147504	0.00030770243996197877	0.009164525365337682	0.000503911661680867	0.0005024435761596635	0.0010405019369582645	0.0003055440021665845	0.0001643366363830978	4.431784544181027e-06
CC>TT	0.2839317236840725	0.020381694068302068	0.07426407968681986	0.014403534155768512	0.027605510469705337	0.013059517794196153	0.01506809233880972	0.05347983250016597	0.061540344822031724	0.011338401999259845
CG>AT	1.1881556775961144e-06	0.0003000678740193052	0.0002110077920186626	0.00012159869791533495	0.0017109770343790842	0.0016984079501531823	0.0005952280346758699	0.0017510602744741277	0.00014174305340759475	0.00026485923940242626
CG>GC	1.261433291119829e-06	1.6631141170364572e-06	1.5829155625368686e-06	1.4469837031505505e-06	2.348322353213916e-06	3.040738590129877e-06	2.9583468904093026e-06	4.0516745335139605e-06	6.293742289358306e-06	6.455891370933386e-06
CG>GT	7.081914821839063e-05	0.0013360008393001976	0.00023908005181809245	0.009150526160490386	0.0028605001380475415	0.0003341133119478457	0.003128039829103386	0.0038108013787633865	0.007789167850978629	0.006321455824904092
CG>TA	0.0008860254576381977	0.0012624660695107082	0.001206513017239459	0.000724983383101796	0.0013568554675552492	0.0028249277959442056	0.006161224502544655	0.00904864945833328	0.00842357466053345	0.05932519871248587
CG>TC	1.261433291119829e-06	1.6631141170364572e-06	1.5829155625368686e-06	1.4469837031505505e-06	2.348322353213916e-06	3.040738590129877e-06	2.9583468904093026e-06	4.0516745335139605e-06	6.293742289358306e-06	6.455891370933386e-06
CG>TT	1.261433291119829e-06	1.6631141170364572e-06	1.5829155625368686e-06	1.4469837031505505e-06	2.348322353213916e-06	3.040738590129877e-06	2.9583468904093026e-06	4.0516745335139605e-06	6.293742289358306e-06	6.455891370933386e-06
CT>AA	0.012793936152116245	0.008982002536042265	0.013597341567330012	0.028561825790466174	0.03901674001005063	0.04113169620153684	0.03319504791926761	0.011932680967003045	0.026126668041517042	0.010869023330178038
CT>AC	9.300634614817227e-07	0.0006141419608896115	0.007500025134937669	0.009445499640023058	0.0013523721905784214	0.0021679828859271664	0.00037099669011780634	0.0018498001172389423	0.0005483706728136895	0.0001347823594715436
CT>AG	7.317095164438569e-07	0.027651396572261434	0.020701662012629463	0.00036967341358534967	0.007949132033855727	0.0046160869128882885	0.028435866748136505	0.07668265842375448	0.0033867751701397177	0.004824942081223895
CT>GA	9.230786108105348e-07	0.01882145629001343	0.007775056103327245	0.0006426310778137889	0.001149644066766058	0.0024406501183740657	0.0010965144292242712	0.0024098718638776973	0.0007949209669385482	0.000733379727438006
CT>GC	0.010257047107929225	0.008243320115699717	0.0012703985790671623	6.440985518509024e-05	0.00042782210301410827	0.00019852289116073507	0.011865458019330788	0.002261162546810027	0.0032930711761704856	0.005347440674315748
CT>GG	0.007077932230743613	0.008773584057738332	0.009566733892216349	0.0001983191665003404	0.0010704941111794142	0.00065517270678626	0.0008546042228084616	0.00037801517673244687	0.010214494027216432	0.0033196563315971163
CT>TA	0.07024614890930024	0.0022317477922244675	0.0036959375021697128	0.020798907626771664	0.019052677407711657	0.013977503610689297	0.019804061515259264	0.021478963151520817	0.013966303728334637	0.01538455655964583
CT>TC	0.006516919440861511	0.0007154138499008411	0.0022359085399870082	0.001833992629902923	0.00028320328892604606	0.029716634605680952	0.004687553113552383	0.00099815644872848	0.01937227287093208	0.007388797979303376
CT>TG	0.0008875485074778844	0.010084414324637123	0.001424255265510701	0.0004981166010875882	0.005842578285975719	0.004645232561616979	0.003258580746368409	0.0064986163925465235	0.005302010362600278	0.06568279445424735
GC>AA	0.02281656805366083	0.022684685962663025	0.05209068612620172	0.043220516149601734	0.05019799162636332	0.11664269072934985	0.023513136935221723	0.0646806219435068	0.022359480904419513	0.0333307986572126
GC>AG	0.018579714084307	0.0013842836223970777	0.03882566365591629	0.04488218686747132	0.012528084140614055	0.006692135659597156	0.03096359928681011	0.05487185571189002	0.0102322738681913	0.012314808445804104
GC>AT	5.896573010169027e-07	0.0014529491034363674	0.018983722960429505	0.0006286658129056377	0.009049199890967828	0.002200333836170927	0.04665164477467897	0.009852971446216259	0.02036678292288684	0.013822041441501369
GC>CA	0.007739740093711945	0.025096585249795	0.0006845816194954324	0.0013181283699233149	0.003949574250237049	0.0036381905217258747	0.0017446112582711493	0.004969660760626472	0.02061340122060983	0.026132027335369318
GC>CG	1.261433291119829e-06	1.6631141170364572e-06	1.5829155625368686e-06	1.4469837031505505e-06	2.348322353213916e-06	3.040738590129877e-06	2.9583468904093026e-06	4.0516745335139605e-06	6.293742289358306e-06	6.455891370933386e-06
GC>TA	0.00045949909516426854	0.007840824730591863	0.000746411025919258	0.011503186306743202	0.0008760313907190565	0.00016113594786673957	0.0009043836172539699	0.003506777800800478	0.0026518275635339706	0.007424881603208177
TA>AT	0.0058830223428465445	0.0024178746823434196	0.002587778369395508	0.0017831369881128013	0.012625549565323978	0.00803295551747631	0.01551253848613488	0.005948691118550258	0.012605111086489273	0.04784927846303674
TA>CG	9.33198215449238e-07	0.010022801814342017	1.141205505703624e-06	0.00012845946098138938	0.00017167866557429078	0.001163002763365526	0.0017413833358284592	0.0012698340238526385	0.0014768539214152908	0.01979653230201848
TA>CT	5.100729190554709e-07	0.030637247344661205	0.003596404225116134	0.0018326675319577212	0.015645093625399228	0.0049040390401477296	0.0117090310996862	0.008789812524086926	0.04082308845810076	0.01779859583568282
TA>GC	1.261433291119829e-06	1.6631141170364572e-06	1.5829155625368686e-06	1.4469837031505505e-06	2.348322353213916e-06	3.040738590129877e-06	2.9583468904093026e-06	4.0516745335139605e-06	6.293742289358306e-06	6.455891370933386e-06
TA>GG	1.0475414516619707e-06	0.0012346640767020745	1.326325427868369e-06	1.2121384308727557e-06	0.00010426770974355293	0.0012450031441605348	0.00027143857371981996	0.0011187870515033183	0.0004083685386067515	0.022223473484530132
TA>GT	0.0004399270495197527	6.740645397977973e-07	0.002879627759289889	0.016095382283120553	0.015601515124403135	0.0028258749808261997	0.0035717229088420054	0.00413654826204942	0.006074245079383331	0.007184293835694007
TC>AA	0.008988068216697797	0.132418587618522	0.02099945336707151	0.049471377499646675	0.09432430247946912	0.12453649386763573	0.09685800019244198	0.10019108317324993	0.06635197796313719	0.04289797767490995
TC>AG	0.05265217985354866	0.008967695695454409	0.0006688897361933499	0.020291263123856283	0.004039307932018232	0.021817454932658152	0.04176198412411452	0.010101025051776756	0.011702074168569575	0.0061889605299513305
TC>AT	0.18697281770408153	0.013503112771636551	0.04294300978720458	0.04462708386467966	0.05419544821497084	0.03237127907175079	0.03243424882797172	0.12859229863345717	0.04228729509557638	0.021370961170134876
TC>CA	0.00805707620809322	0.04196863661571967	0.010457367075003124	0.03226102372698705	0.044874040579043706	0.030304270536623223	0.0058315765435824575	0.035386450260749026	0.02418638832594759	0.005302400402992191
TC>CG	0.0012159330812434631	0.017488162081154997	0.0010476277226158003	0.010296869894175203	0.0015089270378220298	0.000352473325712559	0.0019761614269864936	0.001572044738088607	0.006289321097781198	0.004687894332340648
TC>CT	0.031065976372919978	0.015137384188934675	0.023896983423018412	0.023831562338739332	0.01787118585091747	0.012350757363647236	0.0033352221828797466	0.0028484147625477264	0.008031059917733546	0.00586695656691596
TC>GA	4.2061162822903954e-07	0.010708627952996892	0.03815090344432363	0.012180121333977638	0.013461711860078917	0.014599947366106819	0.012961270218731152	0.051021373400392915	0.005154041332707777	0.0035441273261020002
TC>GG	0.0075888076867190075	0.00902109527906191	0.008974362907384546	0.0002622633834080901	0.00017148975162669443	0.000244211918950441	0.00043118830839603104	0.0007703057025966587	0.00021185858971477955	0.0004673877277016913
TC>GT	0.009963052463618567	0.002232815213700583	0.0027007750684006917	0.001290899950775497	0.00943536546760086	0.0105550675940691	0.0011713223718246724	0.008471538436239037	0.024313544010657467	0.034982984968112245
TG>AA	7.27492062662094e-07	0.020425948660429752	0.009551873102043515	0.008651509966158741	0.0010572000073839406	0.0016856076534588382	0.0019195970353412762	0.002314332809867068	0.0007232047029998512	0.0011792675110632444
TG>AC	1.2045233265212118e-06	1.380805876181057e-06	0.008829378041583524	0.00010799205878123885	1.9920328894329485e-06	5.4912885189821737e-05	0.00020445821637454564	0.0006668174683110806	6.052738175981176e-06	6.050576371876559e-06
TG>AT	2.2138097277135671e-07	0.043337439493458876	0.021891944719725984	0.0275256915082673	0.023742758296415332	0.00963830830075537	0.039987342504742854	0.011432574797836685	0.029708981167850083	0.014618968076179718
TG>CA	0.007653044470747741	0.015814006752691512	0.013316591042947152	0.004915933412921084	0.03141918059075465	0.052172821127160776	0.035074890250835156	0.009867784141820267	0.017819604262297162	0.04307969122706737
TG>CC	0.009350184463782796	0.0012507464137002699	0.0016720988099113044	0.0022515675845227712	0.01597190229780935	0.0034233914684231514	0.009648774804159644	0.02981052956362703	0.017420641502269234	0.02708573986339047
TG>CT	0.0005680829290659517	0.0678751677248954	0.045649944259582756	0.019522535670806036	0.0810469251871109	0.015127780165101683	0.11910538148134947	0.04890490873738742	0.03484302886761988	0.07025287725135997
TG>GA	7.719351750267833e-05	0.008547159045269268	0.0009397370281998541	1.1768207553330967e-06	0.0007433958414404173	0.0005923288658409832	0.0005770191727148699	3.459380848198634e-06	0.010444542343449825	0.003066619887449633
TG>GC	0.0001093065862167908	0.010225220880919608	0.001140328338650214	9.325928555270479e-07	0.00028960268208464866	0.0010711312403169516	0.0013936893762671332	0.014656642692127662	0.007222891360648873	0.005433265282803177
TG>GT	0.016556553865370204	0.016396629733660576	0.0015051994530867674	0.011120743999634967	0.007376722647997411	0.0013531838481085146	0.0195935561036589	0.007408081061414009	0.008613163483613278	0.009555542113479022
TT>AA	0.01605737891701109	0.04451079087918401	0.0002459453686869775	0.009475959271960478	0.0023083371252703966	0.001217679548390794	0.004865552238419326	0.0047032382616049515	0.037252677377336736	0.014434493960676491
TT>AC	1.1726686318525025e-06	0.008063534538180761	1.4226349866675037e-06	1.3799650013801568e-06	1.9944777065461494e-06	2.687587757179699e-06	0.00023749107556170657	3.7389492254646938e-06	0.00021891960465495686	0.00038100175701401897
TT>AG	7.931139116834629e-07	0.0009924336529080334	0.0032675049572531913	0.0015335093653706623	0.004387231909032838	0.003646173276850959	0.005671335425973183	0.0020502737838452843	0.029169335421694313	0.00897677914545703
TT>CA	0.00718630197813809	1.4319785971395048e-06	1.3441947398717958e-06	1.1521818730564348e-06	1.987677754868855e-06	2.6434285766185893e-06	2.4344370712015005e-06	0.0001804131500229289	5.565407681729084e-06	5.538921595871216e-06
TT>CC	0.007783160187527187	1.1331781645651518e-06	0.008654653590467092	9.313816701649103e-05	1.6250678220330884e-06	0.00022413300778694633	0.00010541574886417493	0.0009967164337069789	5.036820067516601e-06	5.2629681989913024e-06
TT>CG	7.08382059216106e-05	0.00185486975347402	0.0005957300591278169	0.000607749775730042	0.0020796570183698295	0.0006694124732081263	0.004634559816211379	0.0058800100132126686	0.014428499549157436	0.01101603903914281
TT>GA	1.261433273214152e-06	1.6631141050993392e-06	1.5829155697133501e-06	1.4469836983721507e-06	2.3483223299081146e-06	3.0407385770558902e-06	2.958346892114605e-06	4.051674567904229e-06	6.29374228310553e-06	6.455891432324279e-06
TT>GC	0.00039214674776332	0.0006009385184864868	0.0004616932362348081	0.0003659587072230153	0.0018832059172680716	0.0011378449643557075	0.00756404667490699	0.00489795066055919	0.006448425281205914	0.004924203914466716
TT>GG	1.1043508365560228e-06	1.4598261196852037e-06	0.0007405706089376452	0.002195549034156201	0.0029692213905691744	0.0015088013479018514	0.0007642838313302036	3.6158115977968918e-06	0.0003507392792221253	0.0013404859315096474
