Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-EE-A3AB-06	619	128	61	0	101
TCGA-EE-A3AC-06	1333	14	24	11	3
TCGA-EE-A3AD-06	535	36	20	0	5
TCGA-EE-A3AE-06	1925	0	0	75	13
TCGA-EE-A3AF-06	1216	96	49	0	0
TCGA-EE-A3AG-06	2214	78	20	0	0
TCGA-EE-A3AH-06	485	13	2	0	8
TCGA-EE-A3J3-06	160	13	38	5	11
TCGA-EE-A3J4-06	316	20	46	19	17
TCGA-EE-A3J5-06	2834	62	25	0	19
TCGA-EE-A3J7-06	1102	130	106	0	12
TCGA-EE-A3J8-06	347	0	4	17	3
TCGA-EE-A3JA-06	1414	0	0	21	0
TCGA-EE-A3JB-06	731	79	38	0	11
TCGA-EE-A3JD-06	2836	0	19	26	221
TCGA-EE-A3JE-06	311	26	14	0	18
TCGA-EE-A3JH-06	200	10	31	4	0
TCGA-EE-A3JI-06	1332	138	58	8	0
TCGA-ER-A193-06	2470	32	41	0	76
TCGA-ER-A194-01	1777	63	26	0	0
TCGA-ER-A195-06	337	0	6	2	3
TCGA-ER-A196-01	3	4	16	1	1
TCGA-ER-A197-06	3	20	23	1	5
TCGA-ER-A198-06	573	42	37	0	0
TCGA-ER-A199-06	342	19	0	3	8
TCGA-ER-A19A-06	221	0	5	3	19
TCGA-ER-A19B-06	51	19	25	9	27
TCGA-ER-A19C-06	97	13	2	10	0
TCGA-ER-A19D-06	566	14	39	0	23
TCGA-ER-A19E-06	486	42	37	22	30
TCGA-ER-A19F-06	1240	51	0	0	22
TCGA-ER-A19G-06	616	33	31	0	18
TCGA-ER-A19H-06	300	30	19	0	24
TCGA-ER-A19J-06	267	0	15	6	3
TCGA-ER-A19K-01	491	0	11	0	0
TCGA-ER-A19L-06	66	6	1	1	0
TCGA-ER-A19M-06	624	28	25	0	0
TCGA-ER-A19N-06	625	24	1	3	9
TCGA-ER-A19O-06	224	0	9	2	9
TCGA-ER-A19P-06	277	360	0	3	0
TCGA-ER-A19Q-06	131	0	16	0	16
TCGA-ER-A19S-06	247	14	14	0	0
TCGA-ER-A19T-01	14	20	25	6	5
TCGA-ER-A19W-06	404	21	40	23	0
TCGA-ER-A1A1-06	86	8	0	0	0
TCGA-ER-A2NB-01	12	31	30	1	11
TCGA-ER-A2NC-06	519	25	8	0	0
TCGA-ER-A2ND-06	85	15	30	0	15
TCGA-ER-A2NE-06	139	17	3	16	4
TCGA-ER-A2NF-01	31	0	10	0	0
TCGA-ER-A2NG-06	312	8	0	20	7
TCGA-ER-A2NH-06	402	0	0	5	8
TCGA-ER-A3ES-06	2	0	21	1	5
TCGA-ER-A3ET-06	24	43	33	14	2
TCGA-ER-A3EV-06	11	37	31	16	4
TCGA-ER-A3PL-06	481	36	2	0	0
