Samples	SBS96A
TCGA-HU-A4GJ-01	6
TCGA-HU-A4GN-01	1299
TCGA-HU-A4GP-01	263
TCGA-HU-A4GQ-01	2030
TCGA-HU-A4GT-01	1486
TCGA-HU-A4GU-01	1726
TCGA-HU-A4GX-01	1329
TCGA-HU-A4GY-01	79
TCGA-HU-A4H0-01	216
TCGA-HU-A4H2-01	228
TCGA-HU-A4H3-01	983
TCGA-HU-A4H4-01	767
TCGA-HU-A4H5-01	328
TCGA-HU-A4H6-01	148
TCGA-HU-A4H8-01	1288
TCGA-HU-A4HB-01	13
TCGA-HU-A4HD-01	226
TCGA-IN-7806-01	89
TCGA-IN-7808-01	131
TCGA-IN-8462-01	143
TCGA-IN-8663-01	228
TCGA-IN-A6RI-01	130
TCGA-IN-A6RJ-01	167
TCGA-IN-A6RL-01	564
TCGA-IN-A6RN-01	155
TCGA-IN-A6RO-01	362
TCGA-IN-A6RP-01	202
TCGA-IN-A6RR-01	197
TCGA-IN-A6RS-01	132
TCGA-IN-A7NR-01	113
TCGA-IN-A7NT-01	136
TCGA-IN-A7NU-01	117
TCGA-IN-AB1V-01	75
TCGA-IN-AB1X-01	141
TCGA-IP-7968-01	133
TCGA-KB-A6F5-01	83
TCGA-KB-A6F7-01	124
TCGA-KB-A93G-01	127
TCGA-KB-A93H-01	284
TCGA-KB-A93J-01	55
TCGA-MX-A5UG-01	56
TCGA-MX-A5UJ-01	1534
TCGA-MX-A663-01	106
TCGA-MX-A666-01	141
TCGA-R5-A7O7-01	151
TCGA-R5-A7ZE-01	201
TCGA-R5-A7ZF-01	85
TCGA-R5-A7ZI-01	932
TCGA-R5-A7ZR-01	90
TCGA-R5-A804-01	93
TCGA-R5-A805-01	158
TCGA-RD-A7BS-01	71
TCGA-RD-A7BT-01	283
TCGA-RD-A7BW-01	90
TCGA-RD-A7C1-01	337
TCGA-RD-A8MV-01	85
TCGA-RD-A8MW-01	93
TCGA-RD-A8N0-01	2
TCGA-RD-A8N1-01	130
TCGA-RD-A8N2-01	2
TCGA-RD-A8N4-01	9
TCGA-RD-A8N5-01	43
TCGA-RD-A8N6-01	193
TCGA-RD-A8N9-01	157
TCGA-RD-A8NB-01	733
TCGA-SW-A7EA-01	687
TCGA-SW-A7EB-01	178
TCGA-VQ-A8DL-01	68
TCGA-VQ-A8DT-01	231
TCGA-VQ-A8DU-01	174
TCGA-VQ-A8DV-01	77
TCGA-VQ-A8DZ-01	107
TCGA-VQ-A8E0-01	123
TCGA-VQ-A8E2-01	147
TCGA-VQ-A8E3-01	799
TCGA-VQ-A8E7-01	140
TCGA-VQ-A8P2-01	8935
TCGA-VQ-A8P3-01	361
TCGA-VQ-A8P5-01	262
TCGA-VQ-A8P8-01	130
TCGA-VQ-A8PB-01	889
TCGA-VQ-A8PC-01	160
TCGA-VQ-A8PD-01	104
TCGA-VQ-A8PE-01	153
TCGA-VQ-A8PF-01	135
TCGA-VQ-A8PH-01	241
TCGA-VQ-A8PJ-01	186
TCGA-VQ-A8PK-01	116
TCGA-VQ-A8PM-01	66
TCGA-VQ-A8PO-01	902
TCGA-VQ-A8PP-01	1568
TCGA-VQ-A8PQ-01	17
TCGA-VQ-A8PS-01	59
TCGA-VQ-A8PT-01	1433
TCGA-VQ-A8PU-01	156
TCGA-VQ-A8PX-01	690
TCGA-VQ-A8PY-01	114
TCGA-VQ-A8PZ-01	107
TCGA-VQ-A91A-01	157
TCGA-VQ-A91D-01	2621
TCGA-VQ-A91E-01	860
TCGA-VQ-A91K-01	1469
TCGA-VQ-A91N-01	155
TCGA-VQ-A91Q-01	137
TCGA-VQ-A91S-01	312
TCGA-VQ-A91U-01	189
TCGA-VQ-A91V-01	298
TCGA-VQ-A91W-01	49
TCGA-VQ-A91X-01	255
TCGA-VQ-A91Y-01	56
TCGA-VQ-A91Z-01	171
TCGA-VQ-A922-01	207
TCGA-VQ-A923-01	127
TCGA-VQ-A924-01	1323
TCGA-VQ-A925-01	155
TCGA-VQ-A927-01	67
TCGA-VQ-A928-01	76
TCGA-VQ-A92D-01	163
TCGA-VQ-A94O-01	79
TCGA-VQ-A94P-01	100
TCGA-VQ-A94R-01	372
TCGA-VQ-A94T-01	100
TCGA-VQ-A94U-01	193
TCGA-VQ-AA64-01	309
TCGA-VQ-AA68-01	208
TCGA-VQ-AA69-01	81
TCGA-VQ-AA6A-01	122
TCGA-VQ-AA6B-01	100
TCGA-VQ-AA6D-01	910
TCGA-VQ-AA6F-01	62
TCGA-VQ-AA6G-01	166
TCGA-VQ-AA6I-01	126
TCGA-VQ-AA6J-01	176
TCGA-VQ-AA6K-01	92
TCGA-ZA-A8F6-01	58
TCGA-ZQ-A9CR-01	144
