Samples	SBS96A	SBS96B	SBS96C
TCGA-R5-A7ZF-01	71	11	3
TCGA-R5-A7ZI-01	735	15	182
TCGA-R5-A7ZR-01	52	27	11
TCGA-R5-A804-01	53	40	0
TCGA-R5-A805-01	14	144	0
TCGA-RD-A7BS-01	44	19	8
TCGA-RD-A7BT-01	0	283	0
TCGA-RD-A7BW-01	46	26	18
TCGA-RD-A7C1-01	198	139	0
TCGA-RD-A8MV-01	41	33	11
TCGA-RD-A8MW-01	45	48	0
TCGA-RD-A8N0-01	2	0	0
TCGA-RD-A8N1-01	8	56	66
TCGA-RD-A8N2-01	2	0	0
TCGA-RD-A8N4-01	7	2	0
TCGA-RD-A8N5-01	26	15	2
TCGA-RD-A8N6-01	124	45	24
TCGA-RD-A8N9-01	97	60	0
TCGA-RD-A8NB-01	596	34	103
TCGA-SW-A7EA-01	501	83	103
TCGA-SW-A7EB-01	81	75	22
TCGA-VQ-A8DL-01	44	24	0
TCGA-VQ-A8DT-01	88	143	0
TCGA-VQ-A8DU-01	52	122	0
TCGA-VQ-A8DV-01	48	29	0
TCGA-VQ-A8DZ-01	44	51	12
TCGA-VQ-A8E0-01	43	56	24
TCGA-VQ-A8E2-01	79	68	0
TCGA-VQ-A8E3-01	625	23	151
TCGA-VQ-A8E7-01	104	36	0
TCGA-VQ-A8P2-01	6822	477	1636
TCGA-VQ-A8P3-01	0	361	0
TCGA-VQ-A8P5-01	110	152	0
TCGA-VQ-A8P8-01	105	25	0
TCGA-VQ-A8PB-01	780	22	87
TCGA-VQ-A8PC-01	40	120	0
TCGA-VQ-A8PD-01	75	29	0
TCGA-VQ-A8PE-01	91	62	0
TCGA-VQ-A8PF-01	61	74	0
TCGA-VQ-A8PH-01	78	119	44
TCGA-VQ-A8PJ-01	26	160	0
TCGA-VQ-A8PK-01	6	110	0
TCGA-VQ-A8PM-01	23	43	0
TCGA-VQ-A8PO-01	609	25	268
TCGA-VQ-A8PP-01	1166	0	402
TCGA-VQ-A8PQ-01	13	4	0
TCGA-VQ-A8PS-01	30	19	10
TCGA-VQ-A8PT-01	1240	0	193
TCGA-VQ-A8PU-01	71	57	28
TCGA-VQ-A8PX-01	379	0	311
TCGA-VQ-A8PY-01	47	50	17
TCGA-VQ-A8PZ-01	87	20	0
TCGA-VQ-A91A-01	106	51	0
TCGA-VQ-A91D-01	2401	0	220
TCGA-VQ-A91E-01	560	16	284
TCGA-VQ-A91K-01	1288	176	5
TCGA-VQ-A91N-01	92	63	0
TCGA-VQ-A91Q-01	63	74	0
TCGA-VQ-A91S-01	12	300	0
TCGA-VQ-A91U-01	136	53	0
TCGA-VQ-A91V-01	1	297	0
TCGA-VQ-A91W-01	27	22	0
TCGA-VQ-A91X-01	66	189	0
TCGA-VQ-A91Y-01	43	13	0
TCGA-VQ-A91Z-01	91	80	0
TCGA-VQ-A922-01	46	135	26
TCGA-VQ-A923-01	79	31	17
TCGA-VQ-A924-01	1057	50	216
TCGA-VQ-A925-01	31	121	3
TCGA-VQ-A927-01	28	39	0
TCGA-VQ-A928-01	33	16	27
TCGA-VQ-A92D-01	76	44	43
TCGA-VQ-A94O-01	51	15	13
TCGA-VQ-A94P-01	7	93	0
TCGA-VQ-A94R-01	133	218	21
TCGA-VQ-A94T-01	59	16	25
TCGA-VQ-A94U-01	110	83	0
TCGA-VQ-AA64-01	63	196	50
TCGA-VQ-AA68-01	57	151	0
TCGA-VQ-AA69-01	70	11	0
TCGA-VQ-AA6A-01	56	66	0
TCGA-VQ-AA6B-01	79	21	0
TCGA-VQ-AA6D-01	737	62	111
TCGA-VQ-AA6F-01	28	10	24
TCGA-VQ-AA6G-01	97	69	0
TCGA-VQ-AA6I-01	81	45	0
TCGA-VQ-AA6J-01	53	123	0
TCGA-VQ-AA6K-01	63	22	7
TCGA-ZA-A8F6-01	29	18	11
TCGA-ZQ-A9CR-01	54	80	10
