Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-EE-A2GK-06	0	0	0	0	4	0
TCGA-EE-A2GL-06	302	124	0	61	0	10
TCGA-EE-A2GM-06	545	236	144	32	17	0
TCGA-EE-A2GN-06	331	158	45	14	16	5
TCGA-EE-A2GO-06	1492	698	297	283	0	11
TCGA-EE-A2GP-06	602	74	96	80	12	0
TCGA-EE-A2GR-06	1348	662	29	98	33	45
TCGA-EE-A2GS-06	375	35	0	49	9	0
TCGA-EE-A2GT-06	104	96	193	39	30	0
TCGA-EE-A2GU-06	372	141	259	56	0	0
TCGA-EE-A2M5-06	1337	943	245	156	0	84
TCGA-EE-A2M6-06	349	155	132	99	10	1
TCGA-EE-A2M7-06	37	0	1	0	42	6
TCGA-EE-A2M8-06	77	0	58	6	9	1
TCGA-EE-A2MC-06	804	0	5	221	0	0
TCGA-EE-A2MD-06	2130	16	0	155	19	11
TCGA-EE-A2ME-06	25	4	2	6	5	0
TCGA-EE-A2MF-06	436	64	380	132	0	20
TCGA-EE-A2MG-06	80	62	100	29	6	0
TCGA-EE-A2MH-06	106	66	0	11	13	5
TCGA-EE-A2MI-06	802	188	344	154	0	0
TCGA-EE-A2MJ-06	1791	239	602	0	0	20
TCGA-EE-A2MK-06	338	0	13	43	0	10
TCGA-EE-A2ML-06	464	230	0	45	16	3
TCGA-EE-A2MM-06	622	22	0	102	15	0
TCGA-EE-A2MN-06	163	21	0	0	18	3
TCGA-EE-A2MP-06	234	102	0	26	26	5
TCGA-EE-A2MQ-06	230	75	0	9	36	15
TCGA-EE-A2MR-06	4643	0	182	0	233	3
TCGA-EE-A2MS-06	2951	962	0	0	32	37
TCGA-EE-A2MT-06	559	353	252	95	0	0
TCGA-EE-A2MU-06	773	41	0	22	6	68
TCGA-EE-A3AA-06	1571	179	240	0	11	49
TCGA-EE-A3AB-06	87	221	0	516	0	85
TCGA-EE-A3AC-06	795	265	229	78	0	18
TCGA-EE-A3AD-06	428	102	0	46	18	2
TCGA-EE-A3AE-06	1718	58	190	3	17	27
TCGA-EE-A3AF-06	383	591	250	129	8	0
TCGA-EE-A3AG-06	1490	558	128	136	0	0
TCGA-EE-A3AH-06	379	72	1	52	1	3
TCGA-EE-A3J3-06	122	48	0	7	46	4
TCGA-EE-A3J4-06	79	113	142	0	52	32
TCGA-EE-A3J5-06	749	820	1058	313	0	0
TCGA-EE-A3J7-06	679	488	0	0	123	60
TCGA-EE-A3J8-06	213	20	110	23	5	0
TCGA-EE-A3JA-06	668	231	536	0	0	0
TCGA-EE-A3JB-06	388	284	65	39	44	39
TCGA-EE-A3JD-06	2753	43	0	276	16	14
TCGA-EE-A3JE-06	224	104	0	14	18	9
TCGA-EE-A3JH-06	159	46	0	7	33	0
TCGA-EE-A3JI-06	517	531	368	0	86	34
TCGA-ER-A193-06	1265	495	675	145	8	31
TCGA-ER-A194-01	1174	435	119	135	3	0
TCGA-ER-A195-06	270	29	18	31	0	0
TCGA-ER-A196-01	4	0	0	1	19	1
TCGA-ER-A197-06	0	0	0	19	30	3
TCGA-ER-A198-06	419	159	0	36	38	0
TCGA-ER-A199-06	319	21	0	20	9	3
TCGA-ER-A19A-06	186	0	53	0	9	0
TCGA-ER-A19B-06	35	0	0	51	25	20
TCGA-ER-A19C-06	64	21	18	0	13	6
TCGA-ER-A19D-06	454	96	4	56	32	0
TCGA-ER-A19E-06	452	31	0	77	49	8
TCGA-ER-A19F-06	802	242	115	154	0	0
TCGA-ER-A19G-06	427	149	0	84	21	17
TCGA-ER-A19H-06	215	69	0	67	22	0
TCGA-ER-A19J-06	162	14	76	26	13	0
TCGA-ER-A19K-01	0	160	304	38	0	0
TCGA-ER-A19L-06	49	9	5	8	1	2
TCGA-ER-A19M-06	473	150	0	28	24	2
TCGA-ER-A19N-06	454	119	50	24	2	13
TCGA-ER-A19O-06	200	0	3	32	9	0
TCGA-ER-A19P-06	138	109	103	0	290	0
TCGA-ER-A19Q-06	132	7	0	0	24	0
TCGA-ER-A19S-06	69	68	92	36	9	1
TCGA-ER-A19T-01	0	20	0	7	34	9
TCGA-ER-A19W-06	353	65	0	4	51	15
TCGA-ER-A1A1-06	0	48	34	12	0	0
TCGA-ER-A2NB-01	0	15	0	8	51	11
TCGA-ER-A2NC-06	310	105	85	46	6	0
TCGA-ER-A2ND-06	57	0	0	59	23	6
TCGA-ER-A2NE-06	151	7	0	0	17	4
TCGA-ER-A2NF-01	0	11	15	7	8	0
TCGA-ER-A2NG-06	108	97	106	12	4	20
TCGA-ER-A2NH-06	350	8	8	49	0	0
TCGA-ER-A3ES-06	1	0	1	3	22	2
TCGA-ER-A3ET-06	0	14	11	30	52	9
TCGA-ER-A3EV-06	0	19	5	4	59	12
TCGA-ER-A3PL-06	240	201	43	35	0	0
TCGA-ER-A42H-01	4	3	0	5	63	3
TCGA-ER-A42K-06	167	73	0	10	15	8
TCGA-ER-A42L-06	233	345	672	51	0	0
TCGA-FR-A2OS-01	0	0	0	7	9	0
TCGA-FR-A3R1-01	364	153	0	47	25	0
TCGA-FR-A3YN-06	581	77	0	121	9	0
TCGA-FR-A3YO-06	904	68	78	133	6	0
TCGA-FR-A44A-06	180	111	65	27	36	1
TCGA-FR-A69P-06	201	32	17	49	6	0
TCGA-FR-A726-01	6699	2855	459	0	0	133
TCGA-FR-A728-01	400	59	43	24	6	8
TCGA-FR-A729-06	1097	13	32	0	5	57
TCGA-FR-A7U8-06	0	6	0	3	35	0
TCGA-FR-A7U9-06	1556	247	591	32	24	30
TCGA-FR-A7UA-06	68	44	129	0	0	0
TCGA-FR-A8YC-06	2606	476	692	280	0	46
TCGA-FR-A8YD-06	20	12	12	15	57	16
TCGA-FR-A8YE-06	337	37	52	36	0	9
TCGA-FS-A1YW-06	170	3	12	11	21	2
TCGA-FS-A1YX-06	5	8	0	0	16	1
TCGA-FS-A1YY-06	23	98	117	28	8	0
TCGA-FS-A1Z0-06	247	44	0	13	27	20
TCGA-FS-A1Z3-06	1060	94	91	105	12	28
TCGA-FS-A1Z4-06	0	11	24	16	2	0
TCGA-FS-A1Z7-06	103	64	63	12	8	0
