Samples	SBS1	SBS2	SBS5	SBS10a	SBS10b	SBS13	SBS15	SBS17a	SBS17b	SBS21	SBS40a	SBS54	SBS87
TCGA-BR-8676-01	36	0	0	0	0	0	0	0	0	0	63	0	0
TCGA-BR-8677-01	33	0	13	0	0	0	0	0	0	0	38	0	0
TCGA-BR-8678-01	38	0	72	5	21	0	0	0	0	0	0	0	0
TCGA-BR-8679-01	65	0	96	0	0	0	39	0	0	0	0	0	0
TCGA-BR-8680-01	127	0	398	1350	4022	0	1915	0	0	0	0	0	0
TCGA-BR-8682-01	56	0	13	0	15	0	0	0	0	0	0	0	0
TCGA-BR-8683-01	64	0	31	0	0	0	0	0	0	0	92	0	0
TCGA-BR-8686-01	48	0	0	0	0	0	0	0	0	0	90	0	0
TCGA-BR-8687-01	23	0	10	0	0	0	0	51	75	0	74	0	0
TCGA-BR-8690-01	60	0	53	0	0	0	0	0	0	0	80	0	0
TCGA-BR-A44T-01	0	0	2	0	5	0	5	0	0	0	0	0	11
TCGA-BR-A44U-01	64	0	37	0	0	0	0	0	10	0	0	0	0
TCGA-BR-A452-01	21	7	11	0	0	15	0	6	27	0	44	0	0
TCGA-BR-A453-01	10	0	26	0	0	0	32	0	0	0	0	0	18
TCGA-BR-A4CQ-01	42	0	59	0	0	0	0	0	0	0	71	0	52
TCGA-BR-A4CR-01	27	0	10	0	0	0	0	0	0	0	48	0	0
TCGA-BR-A4CS-01	63	0	29	0	0	0	0	0	0	0	102	0	0
TCGA-BR-A4IU-01	3	0	2	0	7	0	6	0	0	0	0	0	10
TCGA-BR-A4IV-01	2	0	0	0	0	0	11	0	0	0	27	0	0
TCGA-BR-A4IY-01	63	0	48	0	0	0	0	0	0	0	76	0	0
TCGA-BR-A4IZ-01	14	0	2	0	4	0	0	0	0	0	0	0	0
TCGA-BR-A4J1-01	34	0	53	0	0	0	0	0	0	0	0	0	0
TCGA-BR-A4J2-01	45	0	25	0	0	0	0	0	0	0	0	0	0
TCGA-BR-A4J4-01	26	0	29	0	0	0	0	0	0	0	0	0	46
TCGA-BR-A4J5-01	56	0	23	0	0	0	0	0	0	0	36	0	0
TCGA-BR-A4J6-01	4	0	9	0	0	0	0	0	0	0	26	0	0
TCGA-BR-A4J7-01	23	0	21	0	0	0	24	0	0	0	0	0	0
TCGA-BR-A4J8-01	59	11	45	0	0	0	0	0	0	0	0	0	0
TCGA-BR-A4J9-01	19	0	29	0	0	0	0	0	0	0	0	0	0
TCGA-BR-A4PD-01	19	0	18	0	0	0	0	37	46	0	73	0	0
TCGA-BR-A4PE-01	79	0	0	0	0	0	40	10	20	0	106	0	0
TCGA-BR-A4PF-01	12	0	47	0	0	0	32	0	0	0	0	0	28
TCGA-BR-A4QI-01	41	0	2	0	0	0	0	15	8	0	84	0	0
TCGA-BR-A4QL-01	807	0	542	0	0	0	603	0	0	0	0	0	0
TCGA-BR-A4QM-01	29	0	33	0	11	0	27	15	8	0	0	0	0
TCGA-CD-5798-01	30	0	48	0	15	0	27	0	0	0	0	0	0
TCGA-CD-5799-01	10	0	13	0	0	0	20	0	0	0	0	0	14
TCGA-CD-5800-01	33	30	52	0	0	0	49	0	0	0	0	0	39
TCGA-CD-5801-01	60	0	127	0	0	0	0	52	115	0	191	0	0
TCGA-CD-5802-01	20	11	7	0	0	0	0	0	0	0	26	0	0
TCGA-CD-5803-01	14	0	6	0	0	0	0	0	0	0	25	0	0
TCGA-CD-5804-01	12	0	21	0	0	0	20	0	0	0	0	0	36
TCGA-CD-5813-01	62	0	161	0	0	0	0	0	0	0	0	0	0
TCGA-CD-8524-01	46	0	58	0	0	0	39	0	0	0	0	0	47
TCGA-CD-8525-01	21	7	41	0	14	16	0	0	0	0	0	0	0
TCGA-CD-8526-01	1	0	8	0	0	0	24	0	0	0	0	0	24
TCGA-CD-8527-01	46	0	81	0	0	0	91	0	0	0	0	0	90
TCGA-CD-8528-01	73	0	62	0	0	0	0	0	0	0	0	0	0
TCGA-CD-8529-01	54	18	97	0	0	57	0	0	0	0	279	0	0
TCGA-CD-8530-01	32	0	56	0	0	0	0	0	27	0	0	0	0
TCGA-CD-8531-01	55	0	214	0	0	0	56	0	0	0	0	0	0
TCGA-CD-8532-01	18	5	27	0	0	0	0	0	0	0	0	0	0
TCGA-CD-8533-01	83	0	72	0	0	0	0	0	0	0	0	0	0
TCGA-CD-8534-01	23	10	25	0	0	0	14	0	0	0	0	0	0
TCGA-CD-8535-01	11	0	0	0	0	0	33	48	55	0	136	0	51
TCGA-CD-8536-01	224	0	147	0	0	0	362	0	0	0	0	0	230
TCGA-CD-A486-01	32	0	15	0	0	0	26	0	0	0	39	0	0
TCGA-CD-A487-01	6	14	55	0	0	7	25	13	44	0	0	0	51
TCGA-CD-A489-01	21	0	33	0	0	0	0	0	0	0	42	0	0
TCGA-CD-A48A-01	64	0	32	0	25	0	0	31	53	0	86	0	0
TCGA-CD-A48C-01	64	0	58	0	0	0	0	23	52	0	75	0	0
TCGA-CD-A4MG-01	321	0	262	0	0	0	1207	0	0	0	0	376	432
TCGA-CD-A4MH-01	26	0	53	0	0	0	20	0	0	0	0	0	0
TCGA-CD-A4MI-01	173	0	328	0	0	0	410	0	0	0	0	0	200
TCGA-CD-A4MJ-01	232	0	167	0	0	0	241	0	0	0	0	80	0
TCGA-CG-4300-01	58	0	91	0	0	0	0	0	14	0	0	0	0
TCGA-CG-4301-01	16	0	18	0	0	8	0	0	0	0	22	0	0
TCGA-CG-4304-01	22	8	46	0	0	7	0	0	0	0	0	0	0
TCGA-CG-4305-01	192	0	186	0	0	0	462	0	0	0	0	153	318
TCGA-CG-4306-01	382	0	228	0	0	0	320	0	0	0	0	0	262
TCGA-CG-4436-01	73	0	74	0	0	0	0	18	55	0	0	0	0
TCGA-CG-4437-01	52	0	195	0	0	0	63	0	0	0	251	0	88
TCGA-CG-4438-01	15	9	62	0	0	18	20	0	0	0	0	0	47
TCGA-CG-4440-01	19	11	42	0	22	11	35	0	13	0	0	0	0
TCGA-CG-4441-01	24	0	29	0	15	0	15	0	18	0	0	0	34
TCGA-CG-4442-01	210	0	143	0	0	0	508	0	0	231	0	181	307
