Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-73-4677-01	137	88	7	0	21	36	15
TCGA-73-7498-01	55	49	0	2	14	4	15
TCGA-73-7499-01	0	36	19	3	8	0	17
TCGA-73-A9RS-01	770	217	68	0	39	70	8
TCGA-75-5122-01	38	46	29	1	21	4	28
TCGA-75-5125-01	43	63	46	30	10	3	15
TCGA-75-5126-01	338	113	196	9	17	94	14
TCGA-75-5146-01	144	28	7	19	9	31	1
TCGA-75-5147-01	0	7	11	1	1	11	16
TCGA-75-6203-01	0	11	0	0	1	0	7
TCGA-75-6205-01	0	19	7	6	4	18	6
TCGA-75-6206-01	32	38	17	10	8	0	4
TCGA-75-6207-01	8	15	16	16	10	0	19
TCGA-75-6211-01	246	83	23	53	15	0	22
TCGA-75-6212-01	0	5	1	1	7	1	6
TCGA-75-6214-01	386	144	193	33	64	49	30
TCGA-75-7025-01	0	0	5	0	5	10	18
TCGA-75-7027-01	156	84	5	18	23	8	9
TCGA-75-7030-01	0	9	0	0	1	1	7
TCGA-75-7031-01	78	81	22	38	18	3	19
TCGA-78-7145-01	107	86	16	0	16	0	12
TCGA-78-7146-01	176	64	118	5	30	40	31
TCGA-78-7147-01	122	114	41	32	29	63	26
TCGA-78-7148-01	120	38	5	62	26	8	15
TCGA-78-7149-01	29	16	94	13	18	17	13
TCGA-78-7150-01	117	35	156	50	42	81	28
TCGA-78-7152-01	75	5	100	26	25	10	14
TCGA-78-7153-01	8	72	24	0	11	15	26
TCGA-78-7154-01	37	17	116	36	22	49	51
TCGA-78-7155-01	1076	215	131	178	50	156	32
TCGA-78-7156-01	122	0	151	0	41	76	27
TCGA-78-7158-01	113	46	39	1	12	59	14
TCGA-78-7159-01	205	67	8	21	5	45	29
TCGA-78-7160-01	0	31	4	13	6	0	3
TCGA-78-7161-01	123	1	15	48	10	14	25
TCGA-78-7162-01	18	39	16	5	11	8	4
TCGA-78-7163-01	2	8	1	0	3	4	9
TCGA-78-7166-01	187	0	5	25	21	26	11
TCGA-78-7167-01	49	11	39	1	8	21	25
TCGA-78-7220-01	520	123	101	51	90	136	25
TCGA-78-7535-01	82	17	1	48	10	50	12
TCGA-78-7536-01	392	137	0	36	21	128	24
TCGA-78-7537-01	62	30	14	17	14	24	8
TCGA-78-7539-01	111	56	336	53	11	0	38
TCGA-78-7540-01	0	10	3	0	4	1	18
TCGA-78-7542-01	292	0	26	0	32	99	28
TCGA-78-7633-01	70	19	8	18	10	0	10
TCGA-78-8640-01	358	171	135	82	31	91	46
TCGA-78-8648-01	9	0	0	0	2	0	5
TCGA-78-8655-01	70	0	6	17	17	0	22
TCGA-78-8660-01	75	108	35	0	20	54	12
TCGA-78-8662-01	801	200	91	183	74	53	38
TCGA-80-5607-01	0	0	102	0	3	47	6
TCGA-80-5608-01	80	95	10	0	2	1	11
TCGA-80-5611-01	50	72	8	73	23	8	13
TCGA-83-5908-01	91	89	102	2	0	0	11
TCGA-86-6562-01	5	17	25	2	3	7	15
