Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-44-6144-01	141	51	18	41	18	15
TCGA-44-6145-01	292	21	10	50	11	8
TCGA-44-6146-01	4	10	0	1	18	14
TCGA-44-6147-01	101	17	5	7	12	19
TCGA-44-6148-01	1	2	0	0	3	2
TCGA-44-6774-01	276	67	6	0	8	13
TCGA-44-6775-01	18	26	8	15	10	9
TCGA-44-6776-01	168	23	10	18	18	14
TCGA-44-6777-01	219	17	100	65	30	48
TCGA-44-6778-01	272	107	9	60	23	16
TCGA-44-6779-01	40	22	8	21	25	9
TCGA-44-7659-01	93	41	10	19	8	12
TCGA-44-7660-01	142	247	34	6	27	13
TCGA-44-7661-01	165	78	75	0	11	13
TCGA-44-7662-01	399	119	79	57	23	38
TCGA-44-7667-01	328	112	15	56	44	24
TCGA-44-7669-01	299	155	5	38	28	36
TCGA-44-7670-01	901	51	186	87	46	63
TCGA-44-7671-01	133	99	14	0	21	24
TCGA-44-7672-01	106	41	11	21	7	11
TCGA-44-8117-01	667	101	41	40	54	27
TCGA-44-8119-01	455	136	19	60	70	33
TCGA-44-8120-01	529	76	30	53	32	25
TCGA-44-A479-01	286	0	23	29	26	13
TCGA-44-A47A-01	52	79	103	0	27	10
TCGA-44-A47B-01	14	0	2	12	25	7
TCGA-44-A47F-01	23	9	18	23	27	13
TCGA-44-A47G-01	18	27	20	9	14	13
TCGA-44-A4SS-01	286	151	67	35	22	33
TCGA-44-A4SU-01	80	43	3	17	30	14
TCGA-49-4486-01	25	32	133	2	6	15
TCGA-49-4487-01	224	98	68	16	7	19
TCGA-49-4488-01	236	0	29	82	12	8
TCGA-49-4490-01	0	14	19	5	26	4
TCGA-49-4494-01	125	62	13	0	22	10
TCGA-49-4501-01	0	0	12	19	35	6
TCGA-49-4505-01	144	15	19	53	40	3
TCGA-49-4506-01	68	15	3	28	19	7
TCGA-49-4507-01	87	35	48	35	24	20
TCGA-49-4510-01	18	34	6	0	4	4
TCGA-49-4512-01	6	10	5	10	18	6
TCGA-49-4514-01	174	20	121	33	28	37
TCGA-49-6742-01	34	0	137	129	24	30
TCGA-49-6743-01	372	62	213	203	29	66
TCGA-49-6744-01	184	70	6	1	3	21
TCGA-49-6745-01	0	0	87	23	37	23
TCGA-49-6761-01	64	0	83	60	24	15
TCGA-49-6767-01	383	74	39	48	29	21
TCGA-49-AAQV-01	3	31	42	0	12	0
TCGA-49-AAR0-01	74	15	20	27	22	18
TCGA-49-AAR2-01	357	74	13	0	18	26
TCGA-49-AAR3-01	71	46	14	15	21	4
TCGA-49-AAR4-01	417	88	111	29	2	65
TCGA-49-AAR9-01	561	140	17	18	31	41
TCGA-49-AARE-01	1192	81	101	149	62	86
TCGA-49-AARN-01	188	0	55	646	0	43
TCGA-49-AARO-01	614	55	41	9	2	17
TCGA-49-AARQ-01	603	73	98	43	21	51
TCGA-49-AARR-01	1	0	0	0	2	0
TCGA-4B-A93V-01	85	32	7	23	11	13
TCGA-50-5044-01	1	17	125	16	5	7
TCGA-50-5045-01	296	24	23	20	2	5
TCGA-50-5049-01	678	229	34	19	0	44
TCGA-50-5051-01	80	21	9	2	22	5
TCGA-50-5055-01	0	9	5	1	7	0
TCGA-50-5066-01	165	94	22	41	4	19
TCGA-50-5068-01	39	40	6	0	21	12
TCGA-50-5072-01	102	17	17	39	9	19
TCGA-50-5930-01	1071	114	26	68	35	45
TCGA-50-5931-01	211	97	23	11	23	16
TCGA-50-5932-01	67	8	0	0	2	13
TCGA-50-5933-01	341	129	43	15	45	59
TCGA-50-5935-01	0	18	60	20	13	12
TCGA-50-5936-01	26	0	61	46	9	4
TCGA-50-5939-01	9	0	18	48	15	14
TCGA-50-5941-01	255	143	41	5	17	21
TCGA-50-5942-01	22	24	0	11	9	5
TCGA-50-5944-01	11	29	10	0	27	7
TCGA-50-5946-01	427	104	170	39	47	29
TCGA-50-6590-01	576	209	218	19	12	50
TCGA-50-6591-01	5	26	2	2	15	16
TCGA-50-6592-01	107	98	59	55	13	24
TCGA-50-6593-01	219	70	9	50	19	23
TCGA-50-6594-01	419	90	56	35	14	20
TCGA-50-6595-01	18	22	27	13	11	27
TCGA-50-6597-01	0	0	22	23	20	13
TCGA-50-6673-01	0	28	4	6	19	5
TCGA-50-7109-01	167	85	6	5	25	20
TCGA-50-8457-01	23	17	5	0	10	12
TCGA-50-8459-01	60	15	3	17	18	6
TCGA-50-8460-01	4	0	3	15	10	4
TCGA-53-7624-01	561	95	165	92	36	63
TCGA-53-7626-01	303	83	50	0	6	8
TCGA-53-7813-01	109	33	0	19	18	7
TCGA-53-A4EZ-01	461	85	32	18	32	46
TCGA-55-1592-01	237	219	57	96	34	48
TCGA-55-1594-01	50	34	82	22	27	16
TCGA-55-1595-01	238	98	13	30	16	12
TCGA-55-1596-01	80	89	1	18	19	27
TCGA-55-5899-01	299	0	119	80	22	29
TCGA-55-6543-01	0	3	3	1	16	2
TCGA-55-6642-01	102	19	6	7	9	12
TCGA-55-6712-01	26	21	109	7	24	9
TCGA-55-6968-01	117	0	449	58	6	25
