Samples	SBS96A	SBS96B	SBS96C
TCGA-EB-A4P0-01	4.00E+00	4.81E+00	1.18E+00
TCGA-EB-A4XL-01	9.01E+00	9.81E+00	1.29E+00
TCGA-EB-A51B-01	8.38E+00	1.01E+01	2.01E+00
TCGA-EB-A550-01	2.63E+00	3.21E+00	8.44E-01
TCGA-EB-A551-01	5.26E+00	5.74E+00	1.17E+00
TCGA-EB-A553-01	6.29E+00	6.91E+00	1.39E+00
TCGA-EB-A57M-01	3.28E-01	3.70E-01	4.73E-01
TCGA-EB-A5FP-01	5.77E+00	6.47E+00	9.50E-01
TCGA-EB-A5KH-06	4.08E-01	6.77E-01	5.23E-01
TCGA-EB-A5SE-01	4.49E+00	5.10E+00	9.58E-01
TCGA-EB-A5SF-01	5.63E-01	5.46E-01	4.97E-01
TCGA-EB-A5SG-06	4.13E+00	4.29E+00	7.52E-01
TCGA-EB-A5SH-06	8.62E-01	9.27E-01	6.48E-01
TCGA-EB-A5UL-06	7.15E+00	7.46E+00	1.47E+00
TCGA-EB-A5UM-01	1.01E+01	1.18E+01	1.97E+00
TCGA-EB-A5UN-06	1.62E+01	1.87E+01	2.82E+00
TCGA-EB-A5VU-01	7.65E-01	1.28E+00	7.50E-01
TCGA-EB-A6L9-06	2.67E-01	2.54E-01	2.72E-01
TCGA-EB-A6QY-01	7.68E+00	8.51E+00	1.48E+00
TCGA-EB-A6QZ-01	6.85E+00	7.85E+00	1.42E+00
TCGA-EB-A6R0-01	6.63E+00	7.53E+00	1.27E+00
TCGA-EB-A82B-01	5.77E-01	9.27E-01	6.50E-01
TCGA-EB-A82C-01	5.99E-01	6.10E-01	4.58E-01
TCGA-EB-A85I-01	2.34E+00	2.70E+00	9.57E-01
TCGA-EB-A85J-01	4.47E+00	5.08E+00	9.85E-01
TCGA-EB-A97M-01	4.12E+00	4.76E+00	1.04E+00
TCGA-EE-A17X-06	8.80E+00	9.79E+00	1.59E+00
TCGA-EE-A17Y-06	3.69E+00	4.41E+00	1.01E+00
TCGA-EE-A17Z-06	4.93E-02	2.80E-01	2.79E-01
TCGA-EE-A180-06	6.56E+00	7.59E+00	1.69E+00
TCGA-EE-A181-06	3.74E+01	3.97E+01	3.61E+00
TCGA-EE-A182-06	1.56E+01	1.74E+01	2.64E+00
TCGA-EE-A183-06	7.61E+00	8.29E+00	1.46E+00
TCGA-EE-A184-06	1.67E+00	1.04E+00	1.62E+00
TCGA-EE-A185-06	3.28E+00	4.12E+00	1.12E+00
