MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
TG>CC	0.0023621883572479876	0.009080215060346859	0.008444723433753012	0.006208398781486189	0.020563085897077543	0.016482704086702854
TG>CT	0.04089645613684752	0.00022236614353094098	0.03253548049369314	0.06699225984931217	0.11566374114061091	0.03834124257249528
TG>GA	0.000250883754903413	0.00034411847186532896	0.0010823568543469264	0.007275193955928216	0.002477050241469101	0.0037802049665742743
TG>GC	5.5512193268540955e-05	0.0004577218106641112	0.0021479933536906514	0.008497833648038054	0.005312270787726714	0.009035416200902376
TG>GT	0.003625290641495025	0.01577798260923089	0.006884716613938053	0.014142126540083098	0.017353333374045973	0.0066038436525303725
TT>AA	0.0018106902434447836	0.015668738248253364	0.006539967640818283	0.034388256116837684	0.015320957868505758	0.011512524643985387
TT>AC	1.2043848497000908e-06	1.3727200584412459e-06	2.348931683968658e-06	0.005275772920602435	0.0008852913028306375	0.00032389650853360764
TT>AG	0.0019552344585009786	0.0004865427443680659	0.0057585781356129925	0.004621926492289816	0.012846055121384552	0.010659318952503582
TT>CA	9.91319468024443e-07	0.0060172941846605	1.9467986349752666e-06	1.6551811819454087e-06	3.291899233159867e-06	3.4457031750889656e-06
TT>CC	0.0038488578002400685	0.006866325223010676	0.0012750008449494388	0.0001370644576895641	0.00014694730372762698	0.00031533847747880375
TT>CG	0.00016249142951924256	0.0006579108108320498	0.002149532607244282	0.002681415757410619	0.010637838442871726	0.0033683828345670006
TT>GA	1.4670027164243038e-06	1.680720704371197e-06	2.6310140572149977e-06	2.1057189945850042e-06	4.315547899977901e-06	4.340162481639709e-06
TT>GC	0.0002492935602214175	0.0010513879245837643	0.0019460006391599904	0.00040624566456244794	0.01207449035855916	0.002461945146205693
TT>GG	0.001615232543094649	1.315319104548962e-06	0.0016507529196056225	0.0003118262395497595	0.0016108776440278661	0.0005020370760627202
