Samples	SBS96A	SBS96B
TCGA-FS-A1ZH-06	31	13
TCGA-FS-A1ZJ-06	66	17
TCGA-FS-A1ZK-06	45	2167
TCGA-FS-A1ZM-06	45	286
TCGA-FS-A1ZN-01	16	121
TCGA-FS-A1ZP-06	41	539
TCGA-FS-A1ZQ-06	0	683
TCGA-FS-A1ZR-06	7	180
TCGA-FS-A1ZS-06	57	327
TCGA-FS-A1ZT-06	8	234
TCGA-FS-A1ZU-06	42	10
TCGA-FS-A1ZW-06	83	825
TCGA-FS-A1ZY-06	30	12
TCGA-FS-A1ZZ-06	0	2147
TCGA-FS-A4F0-06	45	725
TCGA-FS-A4F4-06	38	18
TCGA-FS-A4F5-06	0	1025
TCGA-FS-A4F8-06	26	209
TCGA-FS-A4F9-06	8	582
TCGA-FS-A4FB-06	26	224
TCGA-FS-A4FC-06	21	978
TCGA-FS-A4FD-06	3	605
TCGA-FW-A3I3-06	65	8
TCGA-FW-A3R5-06	1721	25748
TCGA-FW-A3TU-06	142	938
TCGA-FW-A3TV-06	46	412
TCGA-FW-A5DX-01	36	231
TCGA-FW-A5DY-06	0	241
TCGA-GF-A2C7-01	11	92
TCGA-GF-A3OT-06	85	699
TCGA-GF-A4EO-06	31	315
TCGA-GF-A6C8-06	42	485
TCGA-GF-A6C9-06	0	3854
TCGA-GF-A769-01	43	172
TCGA-GN-A262-06	43	452
TCGA-GN-A263-01	0	603
TCGA-GN-A264-06	42	19
TCGA-GN-A265-06	7	303
TCGA-GN-A266-06	75	5272
TCGA-GN-A267-06	68	532
TCGA-GN-A268-06	38	413
TCGA-GN-A269-01	0	998
TCGA-GN-A26A-06	21	431
TCGA-GN-A26C-01	0	2507
TCGA-GN-A26D-06	43	15
TCGA-GN-A4U3-06	33	428
TCGA-GN-A4U4-06	0	975
TCGA-GN-A4U5-01	15	438
TCGA-GN-A4U7-06	64	283
TCGA-GN-A4U8-06	11	535
TCGA-GN-A4U9-06	69	8
TCGA-GN-A8LK-06	44	2748
TCGA-GN-A8LL-06	52	18
TCGA-GN-A8LN-01	32	328
TCGA-GN-A9SD-06	35	169
TCGA-HR-A2OG-06	32	222
TCGA-HR-A2OH-06	22	135
