Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-HF-7136-01	22	2	18	0	39	5	4	6
TCGA-HF-A5NB-01	511	413	319	46	0	222	45	0
TCGA-HJ-7597-01	433	227	108	18	8	82	0	0
TCGA-HU-8238-01	34	0	13	28	59	5	51	12
TCGA-HU-8243-01	64	8	9	3	59	9	3	6
TCGA-HU-8244-01	92	3	0	20	37	4	9	0
TCGA-HU-8245-01	18	15	9	0	19	7	6	3
TCGA-HU-8249-01	56	7	24	26	47	0	3	12
TCGA-HU-8602-01	737	552	265	0	16	136	15	40
TCGA-HU-8604-01	58	0	30	52	44	0	44	30
TCGA-HU-8608-01	15	2	18	15	38	9	1	7
TCGA-HU-8610-01	18	0	11	0	19	0	6	15
TCGA-HU-A4G2-01	16	0	2	16	12	6	0	11
TCGA-HU-A4G3-01	38	7	9	31	21	0	11	9
TCGA-HU-A4G6-01	26	1	11	28	17	0	7	6
TCGA-HU-A4G8-01	603	325	287	130	16	245	13	2
TCGA-HU-A4G9-01	349	271	112	0	18	56	23	22
TCGA-HU-A4GC-01	66	0	24	1	38	6	20	15
TCGA-HU-A4GD-01	31	9	0	3	55	6	3	0
TCGA-HU-A4GF-01	33	10	28	3	48	6	26	15
TCGA-HU-A4GH-01	5	3	23	7	23	14	874	10
TCGA-HU-A4GJ-01	1	0	0	5	0	0	0	0
TCGA-HU-A4GN-01	398	370	274	140	26	58	18	15
TCGA-HU-A4GP-01	59	8	34	26	94	8	12	22
TCGA-HU-A4GQ-01	865	496	322	202	0	110	35	0
TCGA-HU-A4GT-01	428	539	261	0	23	187	36	12
TCGA-HU-A4GU-01	54	279	1053	123	80	0	96	41
TCGA-HU-A4GX-01	544	358	214	82	0	104	0	27
TCGA-HU-A4GY-01	30	0	8	21	15	1	4	0
TCGA-HU-A4H0-01	60	12	9	42	61	20	8	4
TCGA-HU-A4H2-01	53	15	26	34	59	7	34	0
TCGA-HU-A4H3-01	261	297	188	146	3	54	29	5
TCGA-HU-A4H4-01	101	184	102	11	63	230	74	2
TCGA-HU-A4H5-01	22	49	17	34	179	3	11	13
TCGA-HU-A4H6-01	71	11	5	0	39	7	11	4
TCGA-HU-A4H8-01	538	260	312	149	16	0	13	0
TCGA-HU-A4HB-01	2	0	0	7	0	0	4	0
TCGA-HU-A4HD-01	27	0	15	34	99	22	14	15
TCGA-IN-7806-01	25	0	1	21	30	10	2	0
TCGA-IN-7808-01	31	0	19	26	25	0	15	15
TCGA-IN-8462-01	34	19	14	8	55	0	10	3
TCGA-IN-8663-01	33	0	19	37	61	3	75	0
TCGA-IN-A6RI-01	19	0	9	18	25	14	45	0
TCGA-IN-A6RJ-01	28	13	5	14	42	7	55	3
TCGA-IN-A6RL-01	0	114	24	24	209	26	51	116
TCGA-IN-A6RN-01	20	19	0	7	86	1	9	13
TCGA-IN-A6RO-01	51	20	8	26	185	0	25	47
TCGA-IN-A6RP-01	52	0	23	20	84	0	8	15
TCGA-IN-A6RR-01	17	0	18	82	35	7	38	0
TCGA-IN-A6RS-01	28	0	26	36	37	0	3	2
TCGA-IN-A7NR-01	13	0	16	20	10	0	49	5
TCGA-IN-A7NT-01	18	6	19	8	50	2	30	3
TCGA-IN-A7NU-01	24	0	9	19	24	13	25	3
TCGA-IN-AB1V-01	8	0	11	21	24	4	2	5
TCGA-IN-AB1X-01	19	10	4	38	32	0	25	13
TCGA-IP-7968-01	52	6	10	26	27	0	12	0
TCGA-KB-A6F5-01	20	0	10	22	23	5	2	1
TCGA-KB-A6F7-01	21	27	7	0	61	0	7	1
TCGA-KB-A93G-01	16	0	13	31	59	0	1	7
TCGA-KB-A93H-01	44	0	37	61	59	17	51	15
TCGA-KB-A93J-01	8	3	12	9	11	3	2	7
TCGA-MX-A5UG-01	14	0	10	6	17	0	0	9
TCGA-MX-A5UJ-01	618	277	316	201	0	93	29	0
TCGA-MX-A663-01	13	2	14	3	59	0	0	15
TCGA-MX-A666-01	15	1	5	22	72	1	9	16
TCGA-R5-A7O7-01	31	0	13	27	55	7	11	7
TCGA-R5-A7ZE-01	32	0	17	26	62	1	41	22
TCGA-R5-A7ZF-01	22	3	15	31	6	7	1	0
TCGA-R5-A7ZI-01	293	269	178	0	42	80	8	62
TCGA-R5-A7ZR-01	26	5	4	13	27	2	3	10
TCGA-R5-A804-01	35	6	0	1	37	0	10	4
TCGA-R5-A805-01	32	0	0	0	28	0	98	0
TCGA-RD-A7BS-01	14	0	6	23	18	3	2	5
TCGA-RD-A7BT-01	13	0	11	15	70	0	169	5
TCGA-RD-A7BW-01	26	2	0	8	34	12	2	6
TCGA-RD-A7C1-01	119	0	16	43	79	25	55	0
TCGA-RD-A8MV-01	15	0	17	0	25	1	10	17
TCGA-RD-A8MW-01	10	0	13	9	47	2	11	1
TCGA-RD-A8N0-01	0	0	1	0	1	0	0	0
TCGA-RD-A8N1-01	0	14	0	15	66	17	9	9
TCGA-RD-A8N2-01	0	0	1	0	1	0	0	0
TCGA-RD-A8N4-01	1	0	2	0	6	0	0	0
TCGA-RD-A8N5-01	20	2	0	0	12	0	3	6
TCGA-RD-A8N6-01	67	9	8	0	79	17	1	12
TCGA-RD-A8N9-01	54	10	7	13	40	2	15	16
TCGA-RD-A8NB-01	196	203	129	120	0	46	15	24
TCGA-SW-A7EA-01	139	153	121	130	25	80	39	0
TCGA-SW-A7EB-01	16	0	23	0	120	0	1	18
TCGA-VQ-A8DL-01	8	6	13	4	28	3	5	1
TCGA-VQ-A8DT-01	41	0	14	53	45	2	59	17
TCGA-VQ-A8DU-01	39	3	9	16	30	8	69	0
TCGA-VQ-A8DV-01	23	0	2	23	17	2	7	3
TCGA-VQ-A8DZ-01	14	21	6	0	50	0	9	7
TCGA-VQ-A8E0-01	18	8	4	11	55	4	9	14
TCGA-VQ-A8E2-01	27	6	19	26	34	5	30	0
TCGA-VQ-A8E3-01	238	293	112	0	45	89	22	0
TCGA-VQ-A8E7-01	56	11	20	0	34	0	10	9
TCGA-VQ-A8P2-01	446	1143	2283	4434	0	48	0	581
TCGA-VQ-A8P3-01	35	0	10	0	11	14	291	0
TCGA-VQ-A8P5-01	44	0	43	11	73	9	73	9
TCGA-VQ-A8P8-01	61	0	15	0	48	1	5	0
TCGA-VQ-A8PB-01	344	204	133	110	0	69	0	29
TCGA-VQ-A8PC-01	7	4	14	37	25	11	57	5
TCGA-VQ-A8PD-01	43	3	17	0	24	0	12	5
TCGA-VQ-A8PE-01	40	0	4	23	71	6	9	0
TCGA-VQ-A8PF-01	34	7	10	7	35	0	28	14
TCGA-VQ-A8PH-01	25	21	10	0	144	21	17	3
TCGA-VQ-A8PJ-01	11	6	9	17	48	8	71	16
TCGA-VQ-A8PK-01	1	0	8	3	41	1	45	17
TCGA-VQ-A8PM-01	8	0	10	8	11	3	24	2
TCGA-VQ-A8PO-01	192	421	113	0	56	86	32	2
TCGA-VQ-A8PP-01	355	473	313	108	0	278	41	0
TCGA-VQ-A8PQ-01	7	4	0	0	6	0	0	0
TCGA-VQ-A8PS-01	8	0	4	15	24	3	1	4
TCGA-VQ-A8PT-01	253	325	395	325	10	119	1	5
TCGA-VQ-A8PU-01	25	19	1	6	94	8	0	3
TCGA-VQ-A8PX-01	99	201	137	0	10	195	38	10
TCGA-VQ-A8PY-01	7	11	15	29	20	1	16	15
TCGA-VQ-A8PZ-01	59	10	5	7	21	0	5	0
TCGA-VQ-A91A-01	44	19	16	0	54	7	10	7
TCGA-VQ-A91D-01	840	383	654	288	42	412	2	0
TCGA-VQ-A91E-01	215	297	113	0	43	142	29	21
TCGA-VQ-A91K-01	492	280	225	243	128	63	28	10
TCGA-VQ-A91N-01	29	1	23	13	61	2	15	11
TCGA-VQ-A91Q-01	19	6	5	20	74	2	11	0
TCGA-VQ-A91S-01	7	15	10	0	150	0	101	29
TCGA-VQ-A91U-01	64	15	19	0	70	0	6	15
TCGA-VQ-A91V-01	13	0	15	22	19	0	208	21
TCGA-VQ-A91W-01	10	0	4	16	12	0	7	0
TCGA-VQ-A91X-01	21	8	34	29	43	7	107	6
TCGA-VQ-A91Y-01	20	0	6	12	11	3	2	2
TCGA-VQ-A91Z-01	36	7	4	47	59	0	18	0
TCGA-VQ-A922-01	11	18	14	19	71	5	43	26
TCGA-VQ-A923-01	49	0	2	11	41	7	0	17
TCGA-VQ-A924-01	302	511	175	246	0	68	21	0
TCGA-VQ-A925-01	7	4	5	21	78	0	28	12
