Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-55-8091-01	2	31	0	2
TCGA-55-8092-01	371	110	159	85
TCGA-55-8094-01	437	73	30	17
TCGA-55-8096-01	109	39	16	15
TCGA-55-8097-01	52	66	13	8
TCGA-55-8203-01	415	89	8	18
TCGA-55-8204-01	88	51	102	29
TCGA-55-8205-01	332	65	248	3
TCGA-55-8206-01	6	24	8	0
TCGA-55-8207-01	269	83	20	15
TCGA-55-8208-01	123	43	238	40
TCGA-55-8299-01	203	31	16	23
TCGA-55-8301-01	238	65	38	21
TCGA-55-8302-01	689	62	22	72
TCGA-55-8505-01	2	26	16	4
TCGA-55-8506-01	1059	964	10	74
TCGA-55-8507-01	985	104	36	88
TCGA-55-8508-01	142	55	19	11
TCGA-55-8510-01	310	20	35	27
TCGA-55-8511-01	492	75	98	48
TCGA-55-8512-01	28	11	6	6
TCGA-55-8513-01	0	7	0	1
TCGA-55-8514-01	252	56	4	39
TCGA-55-8614-01	107	130	48	13
TCGA-55-8615-01	90	50	7	15
TCGA-55-8616-01	491	72	17	23
TCGA-55-8619-01	0	26	1	0
TCGA-55-8620-01	433	114	18	50
TCGA-55-8621-01	49	22	10	8
TCGA-55-A48X-01	385	14	29	55
TCGA-55-A48Y-01	0	33	396	15
TCGA-55-A48Z-01	17	37	5	9
TCGA-55-A490-01	1386	72	145	40
TCGA-55-A491-01	334	60	40	32
TCGA-55-A492-01	236	68	19	32
TCGA-55-A493-01	174	49	100	17
TCGA-55-A494-01	179	87	18	11
TCGA-55-A4DF-01	182	53	687	61
TCGA-55-A4DG-01	714	76	36	18
TCGA-55-A57B-01	5	31	9	4
TCGA-62-8394-01	44	62	64	3
TCGA-62-8395-01	5	51	17	13
TCGA-62-8397-01	7	21	1	3
TCGA-62-8398-01	49	37	12	5
TCGA-62-8399-01	289	97	275	0
TCGA-62-8402-01	6	48	6	13
TCGA-62-A46O-01	746	105	188	53
TCGA-62-A46P-01	274	66	8	5
TCGA-62-A46R-01	95	64	34	16
TCGA-62-A46S-01	76	48	13	22
TCGA-62-A46U-01	10	31	8	3
TCGA-62-A46V-01	9	47	6	9
TCGA-62-A46Y-01	8	25	1	5
TCGA-62-A470-01	57	65	11	14
TCGA-62-A471-01	11	38	84	15
TCGA-62-A472-01	27	23	3	19
TCGA-64-1676-01	617	70	24	29
TCGA-64-1679-01	495	33	65	21
