Samples	SBS96A
TCGA-EE-A3AG-06	0.00E+00
TCGA-EE-A3AH-06	0.00E+00
TCGA-EE-A3J3-06	0.00E+00
TCGA-EE-A3J4-06	0.00E+00
TCGA-EE-A3J5-06	0.00E+00
TCGA-EE-A3J7-06	0.00E+00
TCGA-EE-A3J8-06	0.00E+00
TCGA-EE-A3JA-06	0.00E+00
TCGA-EE-A3JB-06	0.00E+00
TCGA-EE-A3JD-06	0.00E+00
TCGA-EE-A3JE-06	0.00E+00
TCGA-EE-A3JH-06	0.00E+00
TCGA-EE-A3JI-06	0.00E+00
TCGA-ER-A193-06	0.00E+00
TCGA-ER-A194-01	0.00E+00
TCGA-ER-A195-06	0.00E+00
TCGA-ER-A196-01	0.00E+00
TCGA-ER-A197-06	0.00E+00
TCGA-ER-A198-06	0.00E+00
TCGA-ER-A199-06	0.00E+00
TCGA-ER-A19A-06	0.00E+00
TCGA-ER-A19B-06	0.00E+00
TCGA-ER-A19C-06	0.00E+00
TCGA-ER-A19D-06	0.00E+00
TCGA-ER-A19E-06	0.00E+00
TCGA-ER-A19F-06	0.00E+00
TCGA-ER-A19G-06	0.00E+00
TCGA-ER-A19H-06	0.00E+00
TCGA-ER-A19J-06	0.00E+00
TCGA-ER-A19K-01	0.00E+00
TCGA-ER-A19L-06	0.00E+00
TCGA-ER-A19M-06	0.00E+00
TCGA-ER-A19N-06	0.00E+00
TCGA-ER-A19O-06	0.00E+00
TCGA-ER-A19P-06	0.00E+00
TCGA-ER-A19Q-06	0.00E+00
TCGA-ER-A19S-06	0.00E+00
TCGA-ER-A19T-01	0.00E+00
TCGA-ER-A19W-06	0.00E+00
TCGA-ER-A1A1-06	0.00E+00
TCGA-ER-A2NB-01	0.00E+00
TCGA-ER-A2NC-06	0.00E+00
TCGA-ER-A2ND-06	0.00E+00
TCGA-ER-A2NE-06	0.00E+00
TCGA-ER-A2NF-01	0.00E+00
TCGA-ER-A2NG-06	0.00E+00
TCGA-ER-A2NH-06	0.00E+00
TCGA-ER-A3ES-06	0.00E+00
TCGA-ER-A3ET-06	0.00E+00
TCGA-ER-A3EV-06	0.00E+00
TCGA-ER-A3PL-06	0.00E+00
TCGA-ER-A42H-01	0.00E+00
TCGA-ER-A42K-06	0.00E+00
TCGA-ER-A42L-06	0.00E+00
TCGA-FR-A2OS-01	0.00E+00
TCGA-FR-A3R1-01	0.00E+00
TCGA-FR-A3YN-06	0.00E+00
TCGA-FR-A3YO-06	0.00E+00
TCGA-FR-A44A-06	0.00E+00
TCGA-FR-A69P-06	0.00E+00
TCGA-FR-A726-01	0.00E+00
TCGA-FR-A728-01	0.00E+00
TCGA-FR-A729-06	0.00E+00
TCGA-FR-A7U8-06	0.00E+00
TCGA-FR-A7U9-06	0.00E+00
TCGA-FR-A7UA-06	0.00E+00
TCGA-FR-A8YC-06	0.00E+00
TCGA-FR-A8YD-06	0.00E+00
TCGA-FR-A8YE-06	0.00E+00
TCGA-FS-A1YW-06	0.00E+00
TCGA-FS-A1YX-06	0.00E+00
TCGA-FS-A1YY-06	0.00E+00
TCGA-FS-A1Z0-06	0.00E+00
TCGA-FS-A1Z3-06	0.00E+00
TCGA-FS-A1Z4-06	0.00E+00
TCGA-FS-A1Z7-06	0.00E+00
TCGA-FS-A1ZA-06	0.00E+00
TCGA-FS-A1ZB-06	0.00E+00
TCGA-FS-A1ZC-06	0.00E+00
TCGA-FS-A1ZD-06	0.00E+00
TCGA-FS-A1ZE-06	0.00E+00
TCGA-FS-A1ZF-06	0.00E+00
TCGA-FS-A1ZG-06	0.00E+00
TCGA-FS-A1ZH-06	0.00E+00
TCGA-FS-A1ZJ-06	0.00E+00
TCGA-FS-A1ZK-06	0.00E+00
TCGA-FS-A1ZM-06	0.00E+00
TCGA-FS-A1ZN-01	0.00E+00
TCGA-FS-A1ZP-06	0.00E+00
TCGA-FS-A1ZQ-06	0.00E+00
TCGA-FS-A1ZR-06	0.00E+00
TCGA-FS-A1ZS-06	0.00E+00
TCGA-FS-A1ZT-06	0.00E+00
TCGA-FS-A1ZU-06	0.00E+00
TCGA-FS-A1ZW-06	0.00E+00
TCGA-FS-A1ZY-06	0.00E+00
TCGA-FS-A1ZZ-06	0.00E+00
TCGA-FS-A4F0-06	0.00E+00
TCGA-FS-A4F4-06	0.00E+00
TCGA-FS-A4F5-06	0.00E+00
TCGA-FS-A4F8-06	0.00E+00
TCGA-FS-A4F9-06	0.00E+00
TCGA-FS-A4FB-06	0.00E+00
TCGA-FS-A4FC-06	0.00E+00
TCGA-FS-A4FD-06	0.00E+00
TCGA-FW-A3I3-06	0.00E+00
TCGA-FW-A3R5-06	0.00E+00
TCGA-FW-A3TU-06	0.00E+00
TCGA-FW-A3TV-06	0.00E+00
TCGA-FW-A5DX-01	0.00E+00
TCGA-FW-A5DY-06	0.00E+00
TCGA-GF-A2C7-01	0.00E+00
TCGA-GF-A3OT-06	0.00E+00
TCGA-GF-A4EO-06	0.00E+00
TCGA-GF-A6C8-06	0.00E+00
TCGA-GF-A6C9-06	0.00E+00
TCGA-GF-A769-01	0.00E+00
TCGA-GN-A262-06	0.00E+00
TCGA-GN-A263-01	0.00E+00
TCGA-GN-A264-06	0.00E+00
TCGA-GN-A265-06	0.00E+00
TCGA-GN-A266-06	0.00E+00
