Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-GN-A4U4-06	846	0	0	5	124	0
TCGA-GN-A4U5-01	406	23	21	0	0	3
TCGA-GN-A4U7-06	254	29	21	15	20	8
TCGA-GN-A4U8-06	474	2	3	23	39	5
TCGA-GN-A4U9-06	5	17	25	3	3	24
TCGA-GN-A8LK-06	2418	0	9	0	358	7
TCGA-GN-A8LL-06	16	24	17	9	1	3
TCGA-GN-A8LN-01	252	0	0	13	95	0
TCGA-GN-A9SD-06	136	24	3	15	26	0
TCGA-HR-A2OG-06	201	3	17	0	25	8
TCGA-HR-A2OH-06	109	0	5	0	41	2
TCGA-HR-A5NC-01	50	20	21	2	0	0
TCGA-IH-A3EA-01	1758	0	0	48	209	0
TCGA-LH-A9QB-06	267	15	0	0	77	0
TCGA-OD-A75X-06	1233	0	14	0	208	0
TCGA-QB-A6FS-06	1383	0	0	0	221	0
TCGA-QB-AA9O-06	1625	0	7	46	384	34
TCGA-RP-A690-06	6	0	10	0	0	4
TCGA-RP-A693-06	919	40	22	0	98	12
TCGA-RP-A694-06	723	0	0	50	202	0
TCGA-RP-A695-06	1053	3	0	9	117	3
TCGA-RP-A6K9-06	2	29	28	3	2	4
TCGA-W3-A824-06	1633	0	151	27	220	0
TCGA-W3-A825-06	1198	0	0	60	296	0
TCGA-W3-A828-06	1567	182	44	0	0	58
TCGA-W3-AA1O-06	905	0	11	24	108	0
TCGA-W3-AA1Q-06	1017	0	0	5	247	0
TCGA-W3-AA1R-06	1913	0	0	59	419	0
TCGA-W3-AA1V-06	6085	0	0	263	1141	0
TCGA-W3-AA1W-06	762	0	0	37	160	0
TCGA-W3-AA21-06	548	0	4	20	131	0
TCGA-WE-A8JZ-06	229	23	12	10	7	0
TCGA-WE-A8K1-06	317	5	0	6	132	0
TCGA-WE-A8K4-01	961	15	0	0	171	12
TCGA-WE-A8K5-06	1236	0	0	55	299	0
TCGA-WE-A8K6-06	285	21	6	0	54	0
TCGA-WE-A8ZM-06	54	11	10	0	17	11
TCGA-WE-A8ZN-06	184	9	7	0	25	0
TCGA-WE-A8ZO-06	386	0	0	0	101	0
TCGA-WE-A8ZQ-06	153	36	26	3	28	4
TCGA-WE-A8ZR-06	7	7	7	2	13	0
TCGA-WE-A8ZT-06	548	8	0	0	72	0
TCGA-WE-A8ZX-06	645	0	0	62	93	0
TCGA-WE-A8ZY-06	268	23	4	0	47	4
TCGA-WE-AA9Y-06	83	8	6	0	2	5
TCGA-WE-AAA0-06	1728	34	0	0	217	3
TCGA-WE-AAA3-06	374	0	0	32	124	0
TCGA-WE-AAA4-06	221	0	0	5	81	5
TCGA-XV-A9VZ-01	4	3	6	5	0	0
TCGA-XV-A9W2-01	6	15	19	16	0	0
TCGA-XV-A9W5-01	72	13	2	9	39	0
TCGA-XV-AAZV-01	127	0	11	0	21	0
TCGA-XV-AAZW-01	134	15	12	13	37	3
TCGA-XV-AAZY-01	195	0	0	20	24	0
TCGA-YD-A89C-06	1997	0	0	79	329	0
TCGA-YD-A9TA-06	3859	0	0	197	580	0
TCGA-YD-A9TB-06	331	0	0	46	89	2
TCGA-YG-AA3N-01	2408	0	0	95	293	0
TCGA-YG-AA3O-06	1312	0	5	25	185	0
TCGA-YG-AA3P-06	14	42	20	0	3	19
TCGA-Z2-A8RT-06	3550	0	0	134	376	15
TCGA-Z2-AA3S-06	249	3	1	0	40	0
TCGA-Z2-AA3V-06	500	0	5	12	76	0
TCGA-3C-AAAU-01	3	2	28	7	3	2
TCGA-3C-AALI-01	0	44	20	612	132	0
TCGA-3C-AALJ-01	9	21	19	12	5	0
TCGA-3C-AALK-01	7	13	27	14	2	1
TCGA-4H-AAAK-01	0	6	12	0	15	0
TCGA-5L-AAT0-01	65	0	7	157	50	0
TCGA-5L-AAT1-01	174	16	0	1539	257	0
TCGA-5T-A9QA-01	11	10	31	1	0	0
TCGA-A1-A0SB-01	0	1	10	0	5	0
TCGA-A1-A0SD-01	2	8	22	3	5	0
TCGA-A1-A0SE-01	9	8	5	4	10	0
TCGA-A1-A0SF-01	17	0	9	32	3	3
TCGA-A1-A0SG-01	3	2	12	1	17	0
TCGA-A1-A0SH-01	26	22	13	77	0	0
TCGA-A1-A0SI-01	6	10	6	235	20	1
TCGA-A1-A0SJ-01	0	4	22	11	0	3
TCGA-A1-A0SK-01	7	34	29	5	6	3
TCGA-A1-A0SM-01	1	5	11	0	15	0
TCGA-A1-A0SN-01	5	6	19	27	16	3
TCGA-A1-A0SO-01	16	211	42	40	9	35
TCGA-A1-A0SP-01	21	21	28	0	0	0
TCGA-A2-A04N-01	7	10	14	4	17	1
TCGA-A2-A04R-01	3	51	19	13	3	13
TCGA-A2-A04U-01	5	18	22	4	9	9
TCGA-A2-A04W-01	12	10	17	112	36	0
TCGA-A2-A0CK-01	4	1	18	4	0	0
TCGA-A2-A0CL-01	1	0	28	150	21	0
TCGA-A2-A0CR-01	23	0	2	175	10	0
TCGA-A2-A0CS-01	0	11	29	2	3	3
TCGA-A2-A0CV-01	0	3	14	1	6	0
TCGA-A2-A0CW-01	10	16	18	30	7	3
TCGA-A2-A0D3-01	4	2	25	1	0	0
TCGA-A2-A0EN-01	9	7	14	0	9	0
TCGA-A2-A0EP-01	2	4	2	6	0	2
TCGA-A2-A0ES-01	7	3	7	0	2	0
TCGA-A2-A0EW-01	0	5	9	2	3	1
TCGA-A2-A0ST-01	2	9	11	5	1	0
TCGA-A2-A0SU-01	7	8	17	3	0	0
TCGA-A2-A0SX-01	8	5	15	7	0	6
TCGA-A2-A0SY-01	19	0	13	119	26	0
TCGA-A2-A0T0-01	7	107	33	33	12	25
TCGA-A2-A0T1-01	4	0	14	0	9	5
TCGA-A2-A0T3-01	1	19	17	3	3	1
TCGA-A2-A0T4-01	0	10	18	13	0	0
TCGA-A2-A0T5-01	1	0	9	1	1	1
TCGA-A2-A0T6-01	2	0	20	3	3	0
TCGA-A2-A0T7-01	2	1	13	3	6	4
TCGA-A2-A0YC-01	2	11	13	6	0	0
TCGA-A2-A0YD-01	10	0	10	40	27	0
