Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-AN-A0XU-01	5	17	9	47	0	5	54
TCGA-AN-A0XV-01	0	5	12	7	11	9	0
TCGA-AN-A0XW-01	177	246	0	0	0	0	0
TCGA-AO-A03M-01	456	646	0	0	48	0	0
TCGA-AO-A03N-01	40	38	14	0	36	6	0
TCGA-AO-A03U-01	0	1	0	0	4	0	0
TCGA-AO-A03V-01	7	8	7	0	42	3	5
TCGA-AO-A0JG-01	2	0	0	9	6	4	0
TCGA-AO-A124-01	1	7	16	84	42	17	11
TCGA-AO-A125-01	4	2	18	10	6	3	2
TCGA-AO-A126-01	4	0	6	0	0	0	15
TCGA-AO-A128-01	17	20	465	1	0	707	0
TCGA-AO-A129-01	13	24	8	36	0	19	44
TCGA-AO-A12A-01	6	0	10	1	0	2	0
TCGA-AO-A12B-01	1	0	11	8	0	3	0
TCGA-AO-A12D-01	24	7	11	0	31	0	0
TCGA-AO-A12E-01	2	1	16	6	3	0	5
TCGA-AO-A12F-01	0	0	21	14	0	5	0
TCGA-AO-A12G-01	4	4	13	0	0	5	16
TCGA-AO-A12H-01	1	0	9	0	2	2	16
TCGA-AO-A1KO-01	0	0	0	1	0	3	6
TCGA-AO-A1KR-01	7	9	12	41	0	9	11
TCGA-AO-A1KT-01	5	0	15	11	1	15	4
TCGA-AQ-A04H-01	3	5	46	8	0	8	11
TCGA-AQ-A0Y5-01	12	11	28	15	0	4	0
TCGA-AQ-A1H2-01	3	0	14	3	1	4	9
TCGA-AQ-A1H3-01	0	0	24	3	0	0	0
TCGA-AQ-A54O-01	4	0	9	10	0	2	0
TCGA-AQ-A7U7-01	37	31	12	0	0	7	9
TCGA-AR-A0TP-01	4	5	0	32	0	13	17
TCGA-AR-A0TQ-01	14	1	10	10	11	3	0
TCGA-AR-A0TR-01	2	0	13	2	14	11	0
TCGA-AR-A0TS-01	6	10	17	34	0	5	18
TCGA-AR-A0TT-01	12	6	20	15	2	11	9
TCGA-AR-A0TU-01	3	10	13	45	0	8	11
TCGA-AR-A0TV-01	4	4	19	4	0	2	46
TCGA-AR-A0TW-01	1	3	23	18	17	5	0
TCGA-AR-A0TX-01	187	193	9	0	0	0	18
TCGA-AR-A0TZ-01	14	15	16	0	12	2	8
TCGA-AR-A0U0-01	1	8	7	6	25	3	0
TCGA-AR-A0U1-01	0	14	0	45	25	23	2
TCGA-AR-A0U2-01	0	0	25	8	1	9	13
TCGA-AR-A0U3-01	0	0	13	1	20	6	0
TCGA-AR-A0U4-01	12	45	7	74	49	14	0
TCGA-AR-A1AH-01	3	9	10	41	1	27	29
TCGA-AR-A1AI-01	3	14	18	4	41	9	0
TCGA-AR-A1AJ-01	21	9	16	0	0	4	3
TCGA-AR-A1AK-01	17	20	15	0	22	1	7
TCGA-AR-A1AL-01	5	3	6	1	5	10	0
TCGA-AR-A1AN-01	0	4	17	3	4	3	0
TCGA-AR-A1AO-01	13	15	14	47	27	6	0
TCGA-AR-A1AP-01	4	5	21	0	19	2	0
TCGA-AR-A1AQ-01	2	2	11	18	0	8	0
TCGA-AR-A1AR-01	3	8	16	21	4	3	8
TCGA-AR-A1AS-01	15	2	7	7	0	6	4
TCGA-AR-A1AT-01	1	1	9	18	0	3	0
TCGA-AR-A1AU-01	1	1	9	4	7	4	0
TCGA-AR-A1AV-01	3	0	19	0	21	6	0
TCGA-AR-A1AW-01	2	2	9	8	0	9	11
TCGA-AR-A1AX-01	1	0	5	0	19	0	7
TCGA-AR-A1AY-01	8	5	17	10	13	9	10
TCGA-AR-A24H-01	6	22	12	72	15	6	19
TCGA-AR-A24K-01	0	0	7	12	0	4	11
TCGA-AR-A24L-01	1	6	3	30	4	5	4
TCGA-AR-A24M-01	1	0	5	6	0	11	2
TCGA-AR-A24N-01	7	1	17	7	0	6	9
TCGA-AR-A24O-01	0	1	6	0	0	1	14
TCGA-AR-A24P-01	0	0	7	0	8	2	2
TCGA-AR-A24Q-01	21	20	5	120	37	28	1
TCGA-AR-A24R-01	1	0	11	6	0	8	0
TCGA-AR-A24S-01	8	5	17	6	2	10	9
TCGA-AR-A24T-01	1	1	11	0	4	0	7
TCGA-AR-A24U-01	11	10	11	1	11	0	0
TCGA-AR-A24V-01	2	3	12	0	7	4	0
TCGA-AR-A24W-01	0	0	1	0	9	0	4
TCGA-AR-A24X-01	1	0	7	0	4	2	20
TCGA-AR-A24Z-01	4	3	12	9	0	0	28
TCGA-AR-A250-01	16	47	37	0	41	4	10
TCGA-AR-A251-01	5	33	7	105	7	16	32
TCGA-AR-A252-01	0	0	10	0	3	6	0
TCGA-AR-A254-01	4	1	14	0	15	0	8
TCGA-AR-A255-01	15	19	10	5	14	7	19
TCGA-AR-A256-01	16	15	9	110	42	19	13
TCGA-AR-A2LE-01	183	110	0	0	101	0	0
TCGA-AR-A2LH-01	25	13	5	0	27	1	0
TCGA-AR-A2LK-01	5	0	22	2	7	6	6
TCGA-AR-A2LL-01	0	0	16	0	7	0	14
TCGA-AR-A2LM-01	1	0	0	0	3	1	12
TCGA-AR-A2LN-01	16	2	6	0	27	3	0
TCGA-AR-A2LO-01	2	2	5	6	2	0	0
TCGA-AR-A2LQ-01	0	0	4	0	0	1	8
TCGA-AR-A2LR-01	2	2	14	11	7	1	33
TCGA-AR-A5QM-01	0	0	11	1	5	1	18
TCGA-AR-A5QN-01	6	0	22	0	7	8	6
TCGA-AR-A5QP-01	4	0	9	0	3	5	13
TCGA-AR-A5QQ-01	5	8	10	41	5	21	6
TCGA-B6-A0I1-01	7	1	20	7	0	0	45
TCGA-B6-A0IH-01	2	0	17	0	8	8	6
TCGA-B6-A0RH-01	11	7	9	3	0	0	15
TCGA-B6-A0RL-01	16	5	24	11	0	6	7
TCGA-B6-A0RM-01	7	0	13	0	0	5	11
TCGA-B6-A0RN-01	2	0	15	4	0	7	5
TCGA-B6-A0RO-01	4	1	3	3	4	6	22
TCGA-B6-A0RP-01	0	0	6	0	8	2	14
TCGA-B6-A0RQ-01	14	3	8	0	23	8	0
TCGA-B6-A0RT-01	1	19	7	25	9	3	8
TCGA-B6-A0RU-01	6	0	11	9	20	12	0
TCGA-B6-A0RV-01	32	25	9	0	0	1	0
TCGA-B6-A0WS-01	2	2	1	0	0	9	4
TCGA-B6-A0WT-01	1	0	7	0	9	5	0
TCGA-B6-A0WV-01	1	4	3	1	0	4	24
TCGA-B6-A0WW-01	9	4	12	8	9	5	0
TCGA-B6-A0WX-01	0	2	14	9	6	7	7
TCGA-B6-A0WY-01	6	3	9	8	0	9	0
TCGA-B6-A0WZ-01	55	22	4	10	2	2	0
TCGA-B6-A0X0-01	2	0	4	0	7	0	12
TCGA-B6-A0X1-01	4	13	3	18	34	15	5
TCGA-B6-A0X4-01	0	0	5	0	17	0	0
TCGA-B6-A0X5-01	4	0	3	0	31	10	0
TCGA-B6-A0X7-01	5	1	8	0	0	0	9
TCGA-B6-A1KN-01	0	2	10	12	26	12	10
TCGA-B6-A2IU-01	17	0	17	0	12	8	0
TCGA-B6-A401-01	0	2	10	0	1	1	14
TCGA-B6-A409-01	3	3	16	5	9	3	17
TCGA-B6-A40B-01	14	5	10	11	6	6	14
TCGA-B6-A40C-01	4	2	22	6	5	2	13
TCGA-BH-A0AU-01	1	3	7	2	0	2	8
TCGA-BH-A0AV-01	4	11	0	27	9	12	24
TCGA-BH-A0AY-01	6	1	11	1	14	0	13
TCGA-BH-A0AZ-01	13	9	0	25	0	6	17
TCGA-BH-A0B0-01	56	22	10	0	11	0	0
TCGA-BH-A0B3-01	2	1	7	8	0	0	0
