Samples	SBS96A	SBS96B	SBS96C
TCGA-71-8520-01	20	67	18
TCGA-73-4658-01	199	50	199
TCGA-73-4659-01	198	47	17
TCGA-73-4662-01	196	46	26
TCGA-73-4666-01	363	72	36
TCGA-73-4668-01	525	83	21
TCGA-73-4670-01	298	100	43
TCGA-73-4675-01	30	48	6
TCGA-73-4676-01	44	65	3
TCGA-73-4677-01	220	61	23
TCGA-73-7498-01	88	49	2
TCGA-73-7499-01	12	47	24
TCGA-73-A9RS-01	1040	23	109
TCGA-75-5122-01	62	68	37
TCGA-75-5125-01	95	54	61
TCGA-75-5126-01	503	15	263
TCGA-75-5146-01	205	15	19
TCGA-75-5147-01	2	32	13
TCGA-75-6203-01	1	18	0
TCGA-75-6205-01	14	31	15
TCGA-75-6206-01	62	22	25
TCGA-75-6207-01	18	46	20
TCGA-75-6211-01	344	68	30
TCGA-75-6212-01	0	19	2
TCGA-75-6214-01	555	81	263
TCGA-75-7025-01	0	33	5
TCGA-75-7027-01	234	53	16
TCGA-75-7030-01	4	14	0
TCGA-75-7031-01	144	81	34
TCGA-78-7145-01	169	43	25
TCGA-78-7146-01	249	62	153
TCGA-78-7147-01	238	115	74
TCGA-78-7148-01	180	78	16
TCGA-78-7149-01	50	27	123
TCGA-78-7150-01	197	90	222
TCGA-78-7152-01	100	28	127
TCGA-78-7153-01	45	78	33
TCGA-78-7154-01	69	109	150
TCGA-78-7155-01	1511	122	205
TCGA-78-7156-01	168	43	206
TCGA-78-7158-01	181	41	62
TCGA-78-7159-01	297	68	15
TCGA-78-7160-01	17	32	8
TCGA-78-7161-01	157	61	18
TCGA-78-7162-01	44	31	26
TCGA-78-7163-01	5	21	1
TCGA-78-7166-01	225	34	16
TCGA-78-7167-01	62	45	47
TCGA-78-7220-01	741	124	181
TCGA-78-7535-01	144	63	13
TCGA-78-7536-01	600	111	27
TCGA-78-7537-01	108	34	27
TCGA-78-7539-01	174	16	415
TCGA-78-7540-01	1	34	1
TCGA-78-7542-01	362	62	53
TCGA-78-7633-01	95	28	12
TCGA-78-8640-01	575	148	191
TCGA-78-8648-01	9	7	0
TCGA-78-8655-01	74	49	9
TCGA-78-8660-01	171	68	65
TCGA-78-8662-01	1123	171	146
TCGA-80-5607-01	9	0	149
TCGA-80-5608-01	148	38	13
TCGA-80-5611-01	124	101	22
TCGA-83-5908-01	162	4	129
TCGA-86-6562-01	14	31	29
TCGA-86-6851-01	881	30	183
TCGA-86-7701-01	174	67	7
TCGA-86-7711-01	139	60	73
TCGA-86-7713-01	125	46	15
TCGA-86-7714-01	50	36	5
TCGA-86-7953-01	27	28	10
TCGA-86-7954-01	139	90	61
TCGA-86-7955-01	245	81	51
TCGA-86-8054-01	195	55	25
TCGA-86-8055-01	11	49	3
TCGA-86-8056-01	92	29	219
TCGA-86-8073-01	1627	62	156
TCGA-86-8074-01	26	43	10
TCGA-86-8075-01	5	53	4
TCGA-86-8076-01	20	38	26
TCGA-86-8278-01	0	13	131
TCGA-86-8279-01	534	77	25
TCGA-86-8280-01	12	39	4
TCGA-86-8281-01	220	69	48
TCGA-86-8358-01	1113	198	65
TCGA-86-8359-01	142	41	17
TCGA-86-8585-01	494	47	169
TCGA-86-8668-01	3	41	1
TCGA-86-8669-01	85	69	16
TCGA-86-8671-01	6	27	14
TCGA-86-8672-01	243	70	63
TCGA-86-8673-01	443	88	74
TCGA-86-8674-01	307	18	57
TCGA-86-A456-01	342	58	52
TCGA-86-A4JF-01	369	1179	98
TCGA-86-A4P7-01	13	36	35
TCGA-86-A4P8-01	1	1	0
TCGA-91-6828-01	250	48	38
TCGA-91-6829-01	581	134	90
TCGA-91-6830-01	25	0	290
TCGA-91-6831-01	216	103	21
TCGA-91-6835-01	47	40	26
TCGA-91-6836-01	445	92	42
TCGA-91-6840-01	16	24	102
TCGA-91-6847-01	13	75	17
TCGA-91-6848-01	503	87	151
TCGA-91-6849-01	99	28	14
TCGA-91-7771-01	142	68	41
TCGA-91-8496-01	3	35	3
TCGA-91-8497-01	14	36	6
TCGA-91-8499-01	191	66	138
TCGA-91-A4BC-01	452	78	33
TCGA-91-A4BD-01	0	25	2
TCGA-93-7347-01	100	28	15
TCGA-93-7348-01	55	58	20
TCGA-93-8067-01	73	0	601
TCGA-93-A4JN-01	26	55	17
TCGA-93-A4JO-01	13	33	19
TCGA-93-A4JP-01	19	30	33
TCGA-93-A4JQ-01	26	29	90
TCGA-95-7039-01	1267	159	116
TCGA-95-7043-01	1119	107	93
TCGA-95-7562-01	405	44	12
TCGA-95-7567-01	429	714	0
TCGA-95-7944-01	23	0	284
TCGA-95-7947-01	268	84	313
TCGA-95-7948-01	0	0	183
TCGA-95-8039-01	38	55	25
TCGA-95-8494-01	6	51	76
TCGA-95-A4VK-01	235	71	12
TCGA-95-A4VN-01	499	29	63
TCGA-95-A4VP-01	113	43	5
TCGA-97-7546-01	285	46	21
TCGA-97-7547-01	120	28	78
TCGA-97-7552-01	4	43	0
TCGA-97-7553-01	18	31	2
TCGA-97-7554-01	429	96	34
TCGA-97-7937-01	442	84	38
TCGA-97-7938-01	388	49	68
TCGA-97-7941-01	66	35	20
TCGA-97-8171-01	12	55	0
TCGA-97-8172-01	223	103	5
TCGA-97-8174-01	120	62	31
TCGA-97-8175-01	14	22	5
TCGA-97-8176-01	75	51	71
TCGA-97-8177-01	7	31	9
TCGA-97-8179-01	170	18	20
TCGA-97-8547-01	7	45	18
TCGA-97-8552-01	6	22	1
TCGA-97-A4LX-01	184	23	12
TCGA-97-A4M0-01	356	43	101
TCGA-97-A4M1-01	10	33	12
TCGA-97-A4M2-01	10	11	11
TCGA-97-A4M3-01	186	28	36
TCGA-97-A4M5-01	18	0	172
TCGA-97-A4M6-01	6	29	7
TCGA-97-A4M7-01	330	33	21
TCGA-99-7458-01	459	86	32
TCGA-99-8025-01	297	110	192
TCGA-99-8028-01	493	34	15
TCGA-99-8032-01	373	78	41
TCGA-99-8033-01	146	60	17
TCGA-99-AA5R-01	65	5	3
TCGA-J2-8192-01	17	63	10
TCGA-J2-8194-01	99	80	11
TCGA-J2-A4AD-01	165	30	222
TCGA-J2-A4AE-01	8	38	16
TCGA-J2-A4AG-01	61	47	6
TCGA-L4-A4E5-01	354	42	23
TCGA-L4-A4E6-01	13	0	7
TCGA-L9-A443-01	245	38	24
TCGA-L9-A444-01	616	48	37
TCGA-L9-A50W-01	9	16	11
TCGA-L9-A5IP-01	287	36	29
TCGA-L9-A743-01	80	4	84
TCGA-L9-A7SV-01	1930	12	77
TCGA-L9-A8F4-01	779	87	105
TCGA-MN-A4N1-01	439	104	45
TCGA-MN-A4N4-01	1337	14	521
TCGA-MN-A4N5-01	438	59	65
TCGA-MP-A4SV-01	198	54	188
TCGA-MP-A4SW-01	10	65	10
TCGA-MP-A4SY-01	105	73	39
TCGA-MP-A4T2-01	29	42	40
TCGA-MP-A4T4-01	383	55	47
TCGA-MP-A4T6-01	9	55	29
TCGA-MP-A4T7-01	126	27	6
TCGA-MP-A4T8-01	92	44	13
TCGA-MP-A4T9-01	20	11	15
TCGA-MP-A4TA-01	309	102	43
TCGA-MP-A4TC-01	258	32	37
TCGA-MP-A4TD-01	57	41	3
TCGA-MP-A4TE-01	84	89	0
TCGA-MP-A4TF-01	437	67	42
TCGA-MP-A4TH-01	69	68	2
TCGA-MP-A4TI-01	92	15	206
TCGA-MP-A4TJ-01	65	49	1
TCGA-MP-A4TK-01	330	22	90
TCGA-MP-A5C7-01	40	54	2
TCGA-NJ-A4YF-01	690	47	44
TCGA-NJ-A4YG-01	82	63	53
TCGA-NJ-A4YI-01	441	80	38
TCGA-NJ-A4YP-01	171	0	520
TCGA-NJ-A4YQ-01	1240	102	49
TCGA-NJ-A55A-01	115	22	10
TCGA-NJ-A55O-01	138	14	13
TCGA-NJ-A55R-01	251	48	24
TCGA-NJ-A7XG-01	12	30	0
TCGA-O1-A52J-01	153	43	15
TCGA-S2-AA1A-01	116	22	6
TCGA-18-3406-01	102	64	111
TCGA-18-3407-01	18	73	1
TCGA-18-3408-01	35	63	0
TCGA-18-3409-01	0	2835	1432
TCGA-18-3410-01	96	35	116
TCGA-18-3411-01	187	170	41
TCGA-18-3412-01	59	53	35
TCGA-18-3414-01	161	116	105
TCGA-18-3415-01	78	68	89
TCGA-18-3416-01	235	89	64
TCGA-18-3417-01	200	113	39
TCGA-18-3421-01	179	114	92
TCGA-18-4083-01	305	107	61
TCGA-18-4721-01	108	99	18
TCGA-18-5592-01	233	89	42
TCGA-18-5595-01	37	63	219
TCGA-21-1070-01	568	74	45
TCGA-21-1071-01	97	81	39
TCGA-21-1076-01	288	46	73
TCGA-21-1077-01	141	73	81
TCGA-21-1078-01	5	19	73
TCGA-21-1081-01	92	158	11
TCGA-21-1082-01	270	40	183
TCGA-21-1083-01	666	82	168
TCGA-21-5782-01	263	41	181
TCGA-21-5783-01	213	189	127
TCGA-21-5784-01	168	49	43
TCGA-21-5786-01	364	94	26
TCGA-21-5787-01	387	59	62
TCGA-21-A5DI-01	58	67	47
TCGA-22-0940-01	128	95	44
TCGA-22-0944-01	76	56	32
