Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-AR-A1AX-01	1	22	9	0
TCGA-AR-A1AY-01	11	27	21	13
TCGA-AR-A24H-01	25	10	99	18
TCGA-AR-A24K-01	0	10	17	7
TCGA-AR-A24L-01	6	1	37	9
TCGA-AR-A24M-01	1	2	7	15
TCGA-AR-A24N-01	3	23	9	12
TCGA-AR-A24O-01	0	8	8	6
TCGA-AR-A24P-01	0	13	4	2
TCGA-AR-A24Q-01	43	8	149	32
TCGA-AR-A24R-01	0	11	3	12
TCGA-AR-A24S-01	9	22	10	16
TCGA-AR-A24T-01	0	20	4	0
TCGA-AR-A24U-01	19	22	3	0
TCGA-AR-A24V-01	4	16	1	7
TCGA-AR-A24W-01	0	6	8	0
TCGA-AR-A24X-01	0	19	9	6
TCGA-AR-A24Z-01	3	22	25	6
TCGA-AR-A250-01	58	47	29	21
TCGA-AR-A251-01	34	0	144	27
TCGA-AR-A252-01	0	9	0	10
TCGA-AR-A254-01	2	31	9	0
TCGA-AR-A255-01	32	18	30	9
TCGA-AR-A256-01	31	26	149	18
TCGA-AR-A2LE-01	318	76	0	0
TCGA-AR-A2LH-01	45	26	0	0
TCGA-AR-A2LK-01	1	31	5	11
TCGA-AR-A2LL-01	0	22	10	5
TCGA-AR-A2LM-01	0	7	10	0
TCGA-AR-A2LN-01	23	31	0	0
TCGA-AR-A2LO-01	2	8	7	0
TCGA-AR-A2LQ-01	0	5	4	4
TCGA-AR-A2LR-01	0	25	36	9
TCGA-AR-A5QM-01	0	18	12	6
TCGA-AR-A5QN-01	1	35	1	12
TCGA-AR-A5QP-01	2	18	6	8
TCGA-AR-A5QQ-01	12	7	48	29
TCGA-B6-A0I1-01	1	44	33	2
TCGA-B6-A0IH-01	0	24	2	15
TCGA-B6-A0RH-01	16	17	8	4
TCGA-B6-A0RL-01	14	35	9	11
TCGA-B6-A0RM-01	4	19	4	9
TCGA-B6-A0RN-01	0	17	2	14
TCGA-B6-A0RO-01	4	13	20	6
TCGA-B6-A0RP-01	0	12	13	5
TCGA-B6-A0RQ-01	18	26	9	3
TCGA-B6-A0RT-01	18	1	42	11
TCGA-B6-A0RU-01	6	23	18	11
TCGA-B6-A0RV-01	52	13	0	2
TCGA-B6-A0WS-01	4	0	3	11
TCGA-B6-A0WT-01	0	15	0	7
TCGA-B6-A0WV-01	4	6	16	11
TCGA-B6-A0WW-01	10	20	13	4
TCGA-B6-A0WX-01	0	15	17	13
TCGA-B6-A0WY-01	7	10	4	14
TCGA-B6-A0WZ-01	74	21	0	0
TCGA-B6-A0X0-01	1	12	12	0
TCGA-B6-A0X1-01	20	10	47	15
TCGA-B6-A0X4-01	0	17	5	0
TCGA-B6-A0X5-01	7	17	20	4
TCGA-B6-A0X7-01	4	17	0	2
TCGA-B6-A1KN-01	3	16	37	16
TCGA-B6-A2IU-01	14	38	0	2
TCGA-B6-A401-01	0	14	7	7
TCGA-B6-A409-01	3	25	19	9
TCGA-B6-A40B-01	16	22	21	7
TCGA-B6-A40C-01	0	32	12	10
TCGA-BH-A0AU-01	2	6	7	8
TCGA-BH-A0AV-01	15	2	53	17
TCGA-BH-A0AY-01	4	26	16	0
TCGA-BH-A0AZ-01	21	2	39	8
TCGA-BH-A0B0-01	68	31	0	0
TCGA-BH-A0B3-01	2	7	7	2
TCGA-BH-A0B6-01	1155	135	0	0
TCGA-BH-A0B7-01	8	22	10	2
TCGA-BH-A0B8-01	4	12	18	0
TCGA-BH-A0BA-01	7	8	5	9
TCGA-BH-A0BC-01	10	26	5	4
TCGA-BH-A0BF-01	6	7	10	10
TCGA-BH-A0BG-01	7	5	24	9
TCGA-BH-A0BJ-01	0	6	8	3
TCGA-BH-A0BL-01	0	21	44	4
TCGA-BH-A0BM-01	3	5	10	1
TCGA-BH-A0BO-01	5	4	3	19
TCGA-BH-A0BP-01	44	69	78	5
TCGA-BH-A0BQ-01	0	18	9	3
TCGA-BH-A0BS-01	0	7	12	4
TCGA-BH-A0BT-01	4	26	9	9
TCGA-BH-A0BV-01	4	13	7	0
TCGA-BH-A0BW-01	15	13	46	29
TCGA-BH-A0BZ-01	38	10	197	51
TCGA-BH-A0C0-01	5	6	23	14
TCGA-BH-A0C1-01	5	23	3	19
TCGA-BH-A0C3-01	0	5	6	7
TCGA-BH-A0C7-01	0	27	15	16
TCGA-BH-A0DD-01	4	22	0	11
TCGA-BH-A0DE-01	1	13	19	0
TCGA-BH-A0DG-01	16	11	16	4
TCGA-BH-A0DH-01	11	31	0	10
TCGA-BH-A0DI-01	20	16	16	10
TCGA-BH-A0DK-01	5	13	27	8
TCGA-BH-A0DL-01	16	24	5	20
TCGA-BH-A0DO-01	6	11	8	5
TCGA-BH-A0DP-01	4	9	6	0
TCGA-BH-A0DQ-01	0	14	11	10
TCGA-BH-A0DT-01	2	7	3	3
TCGA-BH-A0DV-01	4	1	9	1
TCGA-BH-A0DX-01	45	29	3	0
TCGA-BH-A0DZ-01	200	13	4	0
TCGA-BH-A0E0-01	0	18	2	4
TCGA-BH-A0E1-01	5	11	0	3
TCGA-BH-A0E9-01	0	15	5	8
TCGA-BH-A0EA-01	3	15	7	7
TCGA-BH-A0EI-01	0	12	4	8
TCGA-BH-A0H3-01	0	10	7	0
TCGA-BH-A0H5-01	138	26	5	0
TCGA-BH-A0H7-01	5	4	0	8
TCGA-BH-A0H9-01	3	5	12	3
TCGA-BH-A0HA-01	27	87	0	268
TCGA-BH-A0HI-01	5	21	8	1
TCGA-BH-A0HK-01	32	31	0	0
TCGA-BH-A0HN-01	3	27	4	0
TCGA-BH-A0HP-01	325	32	0	0
TCGA-BH-A0RX-01	0	41	0	8
TCGA-BH-A0W3-01	3	6	12	2
TCGA-BH-A0W4-01	8	22	9	0
TCGA-BH-A0W5-01	0	12	7	10
TCGA-BH-A0W7-01	247	4	0	10
TCGA-BH-A0WA-01	18	16	66	13
TCGA-BH-A18F-01	17	42	8	0
TCGA-BH-A18G-01	0	215	35	1418
TCGA-BH-A18H-01	13	12	15	14
TCGA-BH-A18I-01	3	25	0	3
TCGA-BH-A18J-01	88	8	0	15
TCGA-BH-A18K-01	29	14	21	4
TCGA-BH-A18L-01	0	30	16	19
TCGA-BH-A18M-01	4	10	1	3
TCGA-BH-A18N-01	0	14	6	23
TCGA-BH-A18P-01	364	74	0	0
TCGA-BH-A18Q-01	8	6	81	12
TCGA-BH-A18R-01	7	7	24	4
TCGA-BH-A18S-01	3	2	19	13
TCGA-BH-A18T-01	16	6	61	19
TCGA-BH-A18U-01	83	53	24	18
TCGA-BH-A18V-01	96	0	142	12
TCGA-BH-A1EO-01	0	42	4	4
TCGA-BH-A1ET-01	0	10	12	11
TCGA-BH-A1EU-01	2	11	9	12
TCGA-BH-A1EV-01	66	43	14	6
TCGA-BH-A1EW-01	4	12	5	0
TCGA-BH-A1EX-01	0	20	9	6
TCGA-BH-A1EY-01	15	17	11	12
TCGA-BH-A1F0-01	19	20	51	5
TCGA-BH-A1F2-01	13	35	13	10
TCGA-BH-A1F5-01	1	28	15	0
TCGA-BH-A1F6-01	5	17	15	16
TCGA-BH-A1F8-01	135	48	9	0
TCGA-BH-A1FC-01	34	26	40	30
TCGA-BH-A1FE-01	5	11	10	0
TCGA-BH-A1FG-01	0	8	3	10
TCGA-BH-A1FH-01	2	21	7	3
TCGA-BH-A1FJ-01	0	32	12	1
TCGA-BH-A1FL-01	1	16	4	5
TCGA-BH-A1FM-01	17	37	6	2
TCGA-BH-A1FN-01	76	0	57	13
TCGA-BH-A1FR-01	1	6	6	4
TCGA-BH-A1FU-01	22	11	49	36
TCGA-BH-A201-01	3	4	8	12
TCGA-BH-A202-01	2	9	10	7
TCGA-BH-A203-01	18	57	7	17
TCGA-BH-A204-01	4	18	22	8
TCGA-BH-A208-01	38	25	17	2
TCGA-BH-A209-01	101	8	8	2
TCGA-BH-A28Q-01	1	14	3	8
TCGA-BH-A2L8-01	594	34	0	0
TCGA-BH-A42U-01	17	15	0	0
TCGA-BH-A42V-01	39	16	0	0
TCGA-BH-A5IZ-01	10	22	51	13
