Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-D3-A2JH-06	757	26	63	7
TCGA-D3-A2JK-06	353	38	16	0
TCGA-D3-A2JL-06	390	0	34	16
TCGA-D3-A2JN-06	379	20	25	22
TCGA-D3-A2JO-06	806	14	21	0
TCGA-D3-A2JP-06	321	13	15	10
TCGA-D3-A3BZ-06	2	11	47	21
TCGA-D3-A3C1-06	135	15	42	7
TCGA-D3-A3C3-06	249	48	37	6
TCGA-D3-A3C6-06	137	18	0	0
TCGA-D3-A3C7-06	1241	20	9	0
TCGA-D3-A3C8-06	655	0	0	48
TCGA-D3-A3CB-06	294	0	5	18
TCGA-D3-A3CC-06	5	15	4	15
TCGA-D3-A3CE-06	27	3	10	0
TCGA-D3-A3CF-06	5	19	14	4
TCGA-D3-A3ML-06	1192	0	16	60
TCGA-D3-A3MO-06	44	12	18	9
TCGA-D3-A3MR-06	1155	11	11	0
TCGA-D3-A3MU-06	638	18	0	6
TCGA-D3-A3MV-06	686	0	15	34
TCGA-D3-A51E-06	305	31	32	0
TCGA-D3-A51F-06	137	22	6	0
TCGA-D3-A51G-06	1519	67	104	0
TCGA-D3-A51H-06	36	1	0	3
TCGA-D3-A51J-06	575	29	9	0
TCGA-D3-A51K-06	1	11	15	5
TCGA-D3-A51N-06	88	20	8	3
TCGA-D3-A51R-06	940	4	14	10
TCGA-D3-A51T-06	1537	47	30	0
TCGA-D3-A5GL-06	501	26	50	0
TCGA-D3-A5GN-06	660	9	0	0
TCGA-D3-A5GO-06	2139	0	2	35
TCGA-D3-A5GR-06	311	28	10	3
TCGA-D3-A5GS-06	541	15	0	0
TCGA-D3-A5GT-01	0	6	18	2
TCGA-D3-A5GU-06	860	115	44	0
TCGA-D3-A8GB-06	1376	56	32	0
TCGA-D3-A8GC-06	1140	19	0	0
TCGA-D3-A8GD-06	71	30	25	6
TCGA-D3-A8GE-06	0	6	0	2
TCGA-D3-A8GI-06	6783	0	0	449
TCGA-D3-A8GJ-06	255	2	15	0
TCGA-D3-A8GK-06	764	33	0	1
TCGA-D3-A8GL-06	2538	20	0	5
TCGA-D3-A8GM-06	4302	151	791	0
TCGA-D3-A8GN-06	321	0	20	0
TCGA-D3-A8GO-06	770	15	15	0
TCGA-D3-A8GP-06	710	31	43	0
TCGA-D3-A8GQ-06	1809	0	0	172
TCGA-D3-A8GR-06	468	33	18	0
TCGA-D3-A8GS-06	249	25	19	0
TCGA-D3-A8GV-06	505	4	30	20
TCGA-D9-A148-06	308	29	26	23
TCGA-D9-A149-06	284	11	23	0
TCGA-D9-A1JW-06	1213	31	12	0
TCGA-D9-A1JX-06	216	2	22	11
TCGA-D9-A1X3-06	12	16	20	0
TCGA-D9-A3Z1-06	632	32	16	0
TCGA-D9-A3Z3-06	169	0	9	6
TCGA-D9-A3Z4-01	163	20	24	0
TCGA-D9-A4Z2-01	4	11	16	0
TCGA-D9-A4Z3-01	998	44	36	0
TCGA-D9-A4Z5-01	13	50	19	6
TCGA-D9-A4Z6-06	365	4	0	0
TCGA-D9-A6E9-06	216	15	15	0
TCGA-D9-A6EA-06	836	31	4	18
TCGA-D9-A6EC-06	4752	190	455	371
TCGA-D9-A6EG-06	60	13	24	7
TCGA-DA-A1HV-06	1762	0	0	108
TCGA-DA-A1HW-06	403	6	23	20
TCGA-DA-A1HY-06	966	32	0	0
TCGA-DA-A1I0-06	621	33	32	0
TCGA-DA-A1I1-06	500	10	19	2
TCGA-DA-A1I2-06	147	20	11	1
TCGA-DA-A1I4-06	333	11	18	0
TCGA-DA-A1I5-06	589	0	0	0
TCGA-DA-A1I7-06	508	0	59	42
TCGA-DA-A1I8-06	198	34	15	5
TCGA-DA-A1IA-06	393	39	36	16
TCGA-DA-A1IB-06	0	6	1	1
TCGA-DA-A1IC-06	1188	65	109	0
TCGA-DA-A3F3-06	346	0	27	19
TCGA-DA-A3F5-06	359	50	48	0
TCGA-DA-A3F8-06	1643	0	1	0
TCGA-DA-A95V-06	304	35	32	1
TCGA-DA-A95W-06	195	7	14	0
TCGA-DA-A95X-06	602	32	22	28
