Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-AR-A0U1-01	0	15	68	3	23
TCGA-AR-A0U2-01	0	0	15	27	14
TCGA-AR-A0U3-01	2	0	12	20	6
TCGA-AR-A0U4-01	14	52	108	13	14
TCGA-AR-A1AH-01	2	9	63	12	34
TCGA-AR-A1AI-01	7	19	24	30	9
TCGA-AR-A1AJ-01	22	10	0	16	5
TCGA-AR-A1AK-01	22	25	12	23	0
TCGA-AR-A1AL-01	7	4	4	7	8
TCGA-AR-A1AN-01	0	5	1	21	4
TCGA-AR-A1AO-01	18	18	60	20	6
TCGA-AR-A1AP-01	7	8	3	30	3
TCGA-AR-A1AQ-01	1	3	16	12	9
TCGA-AR-A1AR-01	2	8	30	19	4
TCGA-AR-A1AS-01	19	3	3	6	10
TCGA-AR-A1AT-01	0	2	15	11	4
TCGA-AR-A1AU-01	2	1	6	12	5
TCGA-AR-A1AV-01	7	1	8	26	7
TCGA-AR-A1AW-01	2	2	14	11	12
TCGA-AR-A1AX-01	7	0	10	14	1
TCGA-AR-A1AY-01	12	7	20	22	11
TCGA-AR-A24H-01	5	24	95	19	9
TCGA-AR-A24K-01	0	0	17	11	6
TCGA-AR-A24L-01	0	7	36	4	6
TCGA-AR-A24M-01	1	0	7	5	12
TCGA-AR-A24N-01	8	1	9	20	9
TCGA-AR-A24O-01	0	1	7	11	3
TCGA-AR-A24P-01	2	0	5	11	1
TCGA-AR-A24Q-01	30	23	141	6	32
TCGA-AR-A24R-01	1	0	4	12	9
TCGA-AR-A24S-01	9	6	9	21	12
TCGA-AR-A24T-01	2	2	4	16	0
TCGA-AR-A24U-01	14	12	2	16	0
TCGA-AR-A24V-01	3	4	1	16	4
TCGA-AR-A24W-01	3	0	7	4	0
TCGA-AR-A24X-01	2	0	10	17	5
TCGA-AR-A24Z-01	5	3	25	20	3
TCGA-AR-A250-01	17	59	18	56	5
TCGA-AR-A251-01	1	35	136	14	19
TCGA-AR-A252-01	0	0	1	11	7
TCGA-AR-A254-01	8	1	9	24	0
TCGA-AR-A255-01	17	23	24	17	8
TCGA-AR-A256-01	27	17	143	16	21
TCGA-AR-A2LE-01	252	142	0	0	0
TCGA-AR-A2LH-01	40	20	0	9	2
TCGA-AR-A2LK-01	8	0	6	26	8
TCGA-AR-A2LL-01	0	0	12	25	0
TCGA-AR-A2LM-01	2	0	11	3	1
TCGA-AR-A2LN-01	30	6	1	13	4
TCGA-AR-A2LO-01	2	2	7	6	0
TCGA-AR-A2LQ-01	0	0	5	6	2
TCGA-AR-A2LR-01	3	1	38	23	5
TCGA-AR-A5QM-01	0	0	15	19	2
TCGA-AR-A5QN-01	9	0	2	28	10
TCGA-AR-A5QP-01	7	0	6	14	7
TCGA-AR-A5QQ-01	6	9	46	11	24
TCGA-B6-A0I1-01	9	1	33	37	0
TCGA-B6-A0IH-01	4	0	3	22	12
TCGA-B6-A0RH-01	15	8	7	12	3
TCGA-B6-A0RL-01	18	6	8	29	8
TCGA-B6-A0RM-01	9	0	4	16	7
TCGA-B6-A0RN-01	3	0	3	18	9
TCGA-B6-A0RO-01	7	1	18	8	9
TCGA-B6-A0RP-01	1	0	16	10	3
TCGA-B6-A0RQ-01	23	5	9	11	8
TCGA-B6-A0RT-01	0	21	38	10	3
TCGA-B6-A0RU-01	11	1	18	15	13
TCGA-B6-A0RV-01	32	27	0	7	1
TCGA-B6-A0WS-01	3	2	2	0	11
TCGA-B6-A0WT-01	3	0	0	12	7
TCGA-B6-A0WV-01	1	5	15	8	8
TCGA-B6-A0WW-01	12	5	12	14	4
TCGA-B6-A0WX-01	0	2	17	17	9
TCGA-B6-A0WY-01	8	4	3	9	11
TCGA-B6-A0WZ-01	66	27	0	0	2
TCGA-B6-A0X0-01	4	0	12	9	0
TCGA-B6-A0X1-01	9	16	42	9	16
TCGA-B6-A0X4-01	4	0	6	12	0
TCGA-B6-A0X5-01	12	2	16	8	10
TCGA-B6-A0X7-01	7	2	1	12	1
TCGA-B6-A1KN-01	4	3	36	16	13
TCGA-B6-A2IU-01	24	2	0	20	8
TCGA-B6-A401-01	0	1	8	16	3
TCGA-B6-A409-01	5	4	19	23	5
TCGA-B6-A40B-01	19	6	20	13	8
TCGA-B6-A40C-01	4	2	13	32	3
TCGA-BH-A0AU-01	0	3	7	9	4
TCGA-BH-A0AV-01	5	13	48	5	16
TCGA-BH-A0AY-01	10	2	15	19	0
TCGA-BH-A0AZ-01	15	11	35	0	9
TCGA-BH-A0B0-01	67	25	0	7	0
TCGA-BH-A0B3-01	2	1	7	8	0
TCGA-BH-A0B6-01	682	608	0	0	0
TCGA-BH-A0B7-01	5	8	9	20	0
TCGA-BH-A0B8-01	10	0	17	4	3
TCGA-BH-A0BA-01	7	4	5	6	7
TCGA-BH-A0BC-01	14	4	5	19	3
TCGA-BH-A0BF-01	0	8	8	11	6
TCGA-BH-A0BG-01	5	5	22	7	6
TCGA-BH-A0BJ-01	2	0	8	4	3
TCGA-BH-A0BL-01	0	3	45	21	0
TCGA-BH-A0BM-01	5	0	10	3	1
TCGA-BH-A0BO-01	0	6	1	8	16
TCGA-BH-A0BP-01	28	37	72	58	1
TCGA-BH-A0BQ-01	4	0	9	15	2
TCGA-BH-A0BS-01	2	0	12	6	3
TCGA-BH-A0BT-01	9	1	10	20	8
TCGA-BH-A0BV-01	6	2	7	9	0
TCGA-BH-A0BW-01	12	9	42	14	26
TCGA-BH-A0BZ-01	11	34	188	24	39
TCGA-BH-A0C0-01	7	1	21	4	15
TCGA-BH-A0C1-01	11	0	4	21	14
TCGA-BH-A0C3-01	0	0	6	6	6
TCGA-BH-A0C7-01	1	4	14	29	10
TCGA-BH-A0DD-01	6	3	0	21	7
TCGA-BH-A0DE-01	6	0	18	8	1
TCGA-BH-A0DG-01	10	10	12	7	8
TCGA-BH-A0DH-01	16	4	0	24	8
TCGA-BH-A0DI-01	13	15	14	15	5
TCGA-BH-A0DK-01	5	4	26	12	6
TCGA-BH-A0DL-01	16	8	5	22	14
TCGA-BH-A0DO-01	5	4	7	10	4
TCGA-BH-A0DP-01	8	0	7	3	1
TCGA-BH-A0DQ-01	0	2	11	16	6
