Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
TCGA-FS-A1ZE-06	54	35	0	30	29	0	19	20	1	1	1	0
TCGA-FS-A1ZF-06	80	88	0	35	26	6	5	27	3	0	9	0
TCGA-FS-A1ZG-06	0	1	0	1	7	16	7	0	0	6	5	2
TCGA-FS-A1ZH-06	1	13	3	2	5	3	8	8	0	1	0	0
TCGA-FS-A1ZJ-06	6	3	0	9	18	16	11	0	19	1	0	0
TCGA-FS-A1ZK-06	752	1061	0	204	0	0	0	152	20	18	0	5
TCGA-FS-A1ZM-06	115	112	17	28	0	0	15	32	4	4	1	3
TCGA-FS-A1ZN-01	51	49	2	17	0	6	4	3	0	0	4	1
TCGA-FS-A1ZP-06	219	146	0	112	0	0	11	90	0	2	0	0
TCGA-FS-A1ZQ-06	302	186	0	115	0	0	15	48	2	0	0	15
TCGA-FS-A1ZR-06	75	63	4	17	0	0	0	26	0	0	2	0
TCGA-FS-A1ZS-06	136	120	0	49	5	8	19	26	18	3	0	0
TCGA-FS-A1ZT-06	111	62	0	24	0	7	2	19	15	2	0	0
TCGA-FS-A1ZU-06	5	0	2	2	6	16	7	10	2	2	0	0
TCGA-FS-A1ZW-06	294	308	0	157	0	0	20	115	14	0	0	0
TCGA-FS-A1ZY-06	1	13	8	5	0	6	3	2	2	0	0	2
TCGA-FS-A1ZZ-06	937	573	0	338	0	0	0	294	5	0	0	0
TCGA-FS-A4F0-06	269	314	0	88	0	0	20	49	28	2	0	0
TCGA-FS-A4F4-06	6	4	6	7	4	6	7	5	4	5	0	2
TCGA-FS-A4F5-06	424	344	0	113	0	0	0	144	0	0	0	0
TCGA-FS-A4F8-06	87	69	0	26	6	4	10	22	6	0	0	5
TCGA-FS-A4F9-06	238	198	0	91	0	3	0	48	3	0	9	0
TCGA-FS-A4FB-06	79	96	0	32	0	0	2	34	0	3	4	0
TCGA-FS-A4FC-06	374	335	0	147	0	0	4	112	27	0	0	0
TCGA-FS-A4FD-06	247	185	0	116	0	0	0	59	0	1	0	0
TCGA-FW-A3I3-06	6	0	6	3	0	16	22	1	6	4	4	5
TCGA-FW-A3R5-06	7699	10744	0	4899	0	0	0	4127	0	0	0	0
TCGA-FW-A3TU-06	344	419	10	132	0	0	58	83	30	4	0	0
TCGA-FW-A3TV-06	148	148	0	92	4	0	10	56	0	0	0	0
TCGA-FW-A5DX-01	96	86	3	29	17	4	13	14	2	0	0	3
TCGA-FW-A5DY-06	108	73	0	29	0	0	10	21	0	0	0	0
TCGA-GF-A2C7-01	35	44	6	11	0	2	0	2	0	0	3	0
TCGA-GF-A3OT-06	248	316	2	100	1	0	14	90	10	3	0	0
TCGA-GF-A4EO-06	114	123	0	41	36	0	7	25	0	0	0	0
TCGA-GF-A6C8-06	186	183	0	62	11	0	16	55	3	0	11	0
TCGA-GF-A6C9-06	1639	1055	0	702	0	0	0	442	16	0	0	0
TCGA-GF-A769-01	62	73	4	25	8	0	16	21	5	1	0	0
TCGA-GN-A262-06	162	238	8	36	0	0	8	39	3	1	0	0
TCGA-GN-A263-01	228	240	0	89	0	0	0	43	0	2	0	1
TCGA-GN-A264-06	2	5	8	13	1	4	4	7	3	5	5	4
TCGA-GN-A265-06	117	112	0	12	19	0	0	33	7	1	4	5
TCGA-GN-A266-06	2082	1594	0	1038	0	0	35	593	0	5	0	0
TCGA-GN-A267-06	202	236	0	77	0	0	34	44	0	4	0	3
TCGA-GN-A268-06	178	125	2	81	0	2	16	31	1	1	14	0
TCGA-GN-A269-01	399	342	1	153	0	0	0	77	24	0	0	2
TCGA-GN-A26A-06	165	199	0	39	0	0	10	33	3	1	0	2
TCGA-GN-A26C-01	1015	775	0	431	0	0	23	242	17	4	0	0
TCGA-GN-A26D-06	9	0	10	0	9	0	11	2	8	3	6	0
TCGA-GN-A4U3-06	155	182	1	60	4	0	4	50	4	1	0	0
TCGA-GN-A4U4-06	410	333	0	129	0	0	0	82	3	5	13	0
TCGA-GN-A4U5-01	179	204	2	22	0	0	23	19	2	2	0	0
TCGA-GN-A4U7-06	95	132	6	55	9	0	24	18	4	0	2	2
TCGA-GN-A4U8-06	217	186	6	91	0	0	6	29	5	2	0	4
TCGA-GN-A4U9-06	3	0	7	4	3	16	2	3	15	0	11	13
TCGA-GN-A8LK-06	1127	1016	0	360	0	0	15	237	0	6	27	4
TCGA-GN-A8LL-06	4	9	4	7	0	9	0	0	25	1	10	1
TCGA-GN-A8LN-01	131	106	5	49	0	0	0	58	1	9	0	1
TCGA-GN-A9SD-06	60	59	12	39	0	0	8	15	11	0	0	0
TCGA-HR-A2OG-06	93	84	0	23	9	0	23	19	0	0	0	3
TCGA-HR-A2OH-06	47	61	0	14	0	0	3	25	0	0	5	2
TCGA-HR-A5NC-01	16	32	9	10	0	6	16	0	0	0	4	0
TCGA-IH-A3EA-01	934	599	0	308	0	11	0	142	5	13	3	0
TCGA-LH-A9QB-06	126	132	12	36	0	0	0	51	0	2	0	0
TCGA-OD-A75X-06	639	448	0	166	0	7	21	131	0	2	41	0
TCGA-QB-A6FS-06	683	552	0	213	0	0	3	153	0	0	0	0
TCGA-QB-AA9O-06	748	691	0	303	45	0	49	230	1	5	7	17
TCGA-RP-A690-06	3	0	0	0	0	0	8	0	6	0	1	2
TCGA-RP-A693-06	394	471	0	111	0	0	18	84	5	2	2	4
TCGA-RP-A694-06	331	333	0	174	0	0	1	122	11	2	0	1
TCGA-RP-A695-06	476	434	0	164	0	0	0	81	28	0	2	0
TCGA-RP-A6K9-06	0	5	11	0	7	11	11	2	11	3	6	1
TCGA-W3-A824-06	739	702	0	273	0	57	99	155	0	0	6	0
TCGA-W3-A825-06	610	483	0	259	0	0	2	183	9	8	0	0
TCGA-W3-A828-06	631	786	12	163	138	0	25	55	22	4	0	15
TCGA-W3-AA1O-06	416	367	0	163	0	0	27	75	0	0	0	0
TCGA-W3-AA1Q-06	559	354	0	171	0	0	20	153	9	2	1	0
TCGA-W3-AA1R-06	913	790	0	366	0	0	8	254	44	3	13	0
TCGA-W3-AA1V-06	2865	2549	0	1244	0	0	34	721	72	4	0	0
TCGA-W3-AA1W-06	393	274	2	165	0	0	28	97	0	0	0	0
TCGA-W3-AA21-06	285	192	6	113	0	1	19	77	9	0	1	0
TCGA-WE-A8JZ-06	112	78	16	40	0	7	9	7	11	1	0	0
TCGA-WE-A8K1-06	170	119	7	61	8	0	13	74	0	1	7	0
TCGA-WE-A8K4-01	450	407	0	141	7	0	13	111	17	1	8	4
TCGA-WE-A8K5-06	598	523	0	248	0	0	24	185	0	12	0	0
TCGA-WE-A8K6-06	125	136	4	40	15	0	8	36	2	0	0	0
TCGA-WE-A8ZM-06	25	11	0	5	0	8	0	8	30	1	12	3
TCGA-WE-A8ZN-06	80	79	1	27	0	0	11	18	9	0	0	0
TCGA-WE-A8ZO-06	213	134	0	47	14	0	8	65	3	3	0	0
TCGA-WE-A8ZQ-06	66	77	22	26	0	11	15	19	9	1	2	2
TCGA-WE-A8ZR-06	6	0	6	4	4	7	2	7	0	0	0	0
TCGA-WE-A8ZT-06	250	234	1	71	0	0	0	51	12	9	0	0
TCGA-WE-A8ZX-06	337	221	0	167	0	0	0	59	11	5	0	0
TCGA-WE-A8ZY-06	124	101	9	41	0	0	9	28	24	0	7	3
TCGA-WE-AA9Y-06	39	37	4	8	0	2	5	5	1	0	0	3
TCGA-WE-AAA0-06	772	781	0	245	0	0	0	159	23	2	0	0
TCGA-WE-AAA3-06	194	149	0	101	0	0	0	74	10	2	0	0
TCGA-WE-AAA4-06	107	97	0	43	0	1	0	46	7	1	5	5
TCGA-XV-A9VZ-01	1	2	0	1	3	2	2	0	3	4	0	0
TCGA-XV-A9W2-01	1	5	7	11	0	13	0	0	11	5	3	0
TCGA-XV-A9W5-01	35	32	14	24	0	0	4	22	4	0	0	0
TCGA-XV-AAZV-01	70	39	5	16	0	4	11	14	0	0	0	0
TCGA-XV-AAZW-01	64	55	9	28	0	5	9	23	12	7	0	2
TCGA-XV-AAZY-01	96	73	0	53	0	0	0	15	2	0	0	0
TCGA-YD-A89C-06	954	825	0	402	0	0	4	214	6	0	0	0
TCGA-YD-A9TA-06	1932	1437	0	770	0	0	91	371	0	35	0	0
TCGA-YD-A9TB-06	173	116	0	98	0	0	12	52	3	8	0	6
TCGA-YG-AA3N-01	1164	954	0	474	0	0	0	204	0	0	0	0
TCGA-YG-AA3O-06	656	480	0	203	0	0	30	121	8	19	6	4
TCGA-YG-AA3P-06	2	16	19	2	5	7	10	3	10	1	12	11
TCGA-Z2-A8RT-06	1834	1254	0	693	0	0	0	274	0	0	0	20
TCGA-Z2-AA3S-06	131	84	1	24	0	0	9	27	15	1	1	0
TCGA-Z2-AA3V-06	240	197	0	84	0	0	19	48	0	5	0	0
TCGA-3C-AAAU-01	0	4	0	4	6	16	3	2	6	2	2	0
TCGA-3C-AALI-01	38	0	23	224	0	0	43	78	9	393	0	0
TCGA-3C-AALJ-01	5	5	1	0	21	7	8	3	4	11	1	0
TCGA-3C-AALK-01	3	3	4	6	0	3	22	1	10	6	6	0
TCGA-4H-AAAK-01	0	1	0	0	8	6	5	7	3	0	3	0
TCGA-5L-AAT0-01	46	3	0	93	11	13	2	24	6	81	0	0
TCGA-5L-AAT1-01	163	0	29	765	0	0	43	136	0	850	0	0
TCGA-5T-A9QA-01	4	3	4	1	0	4	32	0	0	0	5	0
TCGA-A1-A0SB-01	0	0	0	0	0	1	6	1	4	0	4	0
TCGA-A1-A0SD-01	0	2	0	1	8	1	18	2	6	1	1	0
TCGA-A1-A0SE-01	4	1	0	4	17	4	0	3	0	1	2	0
TCGA-A1-A0SF-01	9	0	0	32	1	12	0	0	0	8	0	2
TCGA-A1-A0SG-01	2	1	0	1	3	2	10	8	6	1	1	0
TCGA-A1-A0SH-01	16	4	10	37	3	12	0	0	15	41	0	0
TCGA-A1-A0SI-01	17	6	5	77	0	1	9	15	0	147	1	0
TCGA-A1-A0SJ-01	1	0	0	4	7	13	5	0	2	5	0	3
TCGA-A1-A0SK-01	3	0	8	1	9	2	25	3	31	2	0	0
TCGA-A1-A0SM-01	2	0	0	0	7	6	4	6	4	0	3	0
TCGA-A1-A0SN-01	4	5	0	4	0	10	6	10	15	21	0	1
TCGA-A1-A0SO-01	3	21	67	13	59	11	19	9	119	20	2	10
TCGA-A1-A0SP-01	11	3	8	0	0	15	6	0	23	1	3	0
TCGA-A2-A04N-01	3	4	5	5	0	3	14	8	9	1	0	1
TCGA-A2-A04R-01	1	9	19	2	13	11	3	5	25	9	0	5
TCGA-A2-A04U-01	4	0	4	0	6	3	19	5	16	4	2	4
TCGA-A2-A04W-01	16	5	4	38	2	13	6	21	2	75	5	0
TCGA-A2-A0CK-01	1	0	0	5	0	6	13	0	2	0	0	0
TCGA-A2-A0CL-01	7	0	0	59	0	6	29	12	0	86	0	1
TCGA-A2-A0CR-01	21	0	0	87	0	0	8	3	0	90	1	0
TCGA-A2-A0CS-01	0	0	0	1	11	14	9	2	11	0	0	0
TCGA-A2-A0CV-01	0	2	0	0	4	11	0	4	1	2	0	0
TCGA-A2-A0CW-01	7	0	6	16	0	1	21	5	14	13	0	1
TCGA-A2-A0D3-01	1	0	0	1	4	10	15	1	0	0	0	0
TCGA-A2-A0EN-01	3	4	0	1	0	0	13	4	10	0	4	0
TCGA-A2-A0EP-01	1	1	1	1	2	0	1	0	0	5	3	1
TCGA-A2-A0ES-01	3	1	0	0	2	2	3	1	6	0	1	0
TCGA-A2-A0EW-01	0	0	1	0	2	1	7	1	3	1	4	0
TCGA-A2-A0ST-01	0	3	3	2	4	3	7	1	0	3	2	0
TCGA-A2-A0SU-01	1	6	0	1	1	11	0	0	12	2	1	0
TCGA-A2-A0SX-01	6	0	1	3	8	14	0	0	0	5	1	3
TCGA-A2-A0SY-01	20	2	0	40	0	0	20	15	0	79	1	0
TCGA-A2-A0T0-01	9	0	26	7	20	15	2	4	84	17	25	8
TCGA-A2-A0T1-01	2	2	0	0	1	4	9	4	1	0	7	2
TCGA-A2-A0T3-01	1	0	4	1	11	6	11	2	7	1	0	0
TCGA-A2-A0T4-01	0	2	3	4	0	10	3	0	10	7	2	0
TCGA-A2-A0T5-01	0	0	0	1	0	3	4	1	3	0	0	1
TCGA-A2-A0T6-01	1	0	0	3	0	8	11	1	4	0	0	0
TCGA-A2-A0T7-01	0	2	0	3	0	2	11	3	5	0	1	2
TCGA-A2-A0YC-01	1	0	5	4	0	4	7	0	8	2	1	0
TCGA-A2-A0YD-01	8	1	1	22	0	3	12	16	0	24	0	0
TCGA-A2-A0YE-01	3	2	3	7	8	11	7	1	0	1	0	0
TCGA-A2-A0YF-01	3	0	0	2	19	7	4	1	3	0	0	0
TCGA-A2-A0YG-01	6	3	3	8	12	4	21	3	12	1	5	0
TCGA-A2-A0YH-01	5	6	0	14	6	6	13	5	11	34	0	0
TCGA-A2-A0YI-01	3	0	1	0	9	2	1	1	0	1	0	0
TCGA-A2-A0YJ-01	0	3	4	0	0	12	22	5	35	6	4	7
TCGA-A2-A0YK-01	30	0	0	165	0	0	7	18	0	258	0	0
TCGA-A2-A0YL-01	8	2	0	12	0	2	4	0	1	13	1	0
TCGA-A2-A0YM-01	2	0	3	16	8	15	23	8	8	24	2	0
TCGA-A2-A0YT-01	7	0	1	15	0	20	1	13	22	2	0	0
TCGA-A2-A1FV-01	6	0	0	8	1	8	14	0	10	0	3	0
TCGA-A2-A1FW-01	13	0	5	0	6	11	26	5	14	7	4	4
TCGA-A2-A1FX-01	3	3	2	0	2	8	3	3	4	0	0	0
TCGA-A2-A1FZ-01	0	0	0	1	5	3	10	0	3	1	6	0
TCGA-A2-A1G0-01	1	5	0	3	0	0	3	2	9	0	0	0
TCGA-A2-A1G1-01	1	3	5	4	0	0	10	1	13	0	2	0
TCGA-A2-A1G6-01	0	0	0	0	0	3	0	0	5	1	1	0
TCGA-A2-A259-01	3	5	0	3	0	1	6	2	7	2	0	0
TCGA-A2-A25A-01	11	0	21	43	0	5	12	0	0	37	0	0
TCGA-A2-A25B-01	8	6	16	4	31	16	2	7	33	5	0	0
TCGA-A2-A25C-01	4	0	6	1	8	1	1	0	6	2	10	0
TCGA-A2-A25D-01	3	7	6	5	5	5	9	1	9	5	4	5
TCGA-A2-A25E-01	0	2	1	6	1	4	5	3	27	2	9	1
TCGA-A2-A25F-01	0	0	2	0	4	0	0	0	0	0	0	0
TCGA-A2-A3KD-01	1	3	0	2	0	1	8	0	0	0	3	0
TCGA-A2-A3XT-01	1	9	8	1	0	1	9	0	45	31	11	6
TCGA-A2-A3XU-01	0	0	1	1	0	4	14	0	7	0	4	0
TCGA-A2-A3XV-01	3	5	0	0	6	13	0	4	10	0	6	1
TCGA-A2-A3XW-01	1	0	0	1	0	1	3	3	6	0	2	0
TCGA-A2-A3XX-01	1	1	0	4	1	12	4	5	24	0	0	0
TCGA-A2-A3XZ-01	4	0	0	6	0	3	11	6	6	16	0	0
TCGA-A2-A3Y0-01	6	14	8	5	0	20	5	4	100	47	28	6
TCGA-A2-A4S1-01	1	1	10	4	16	15	12	1	27	4	4	3
TCGA-A2-A4S2-01	1	1	1	7	5	6	6	0	11	0	5	0
TCGA-A2-A4S3-01	2	4	9	7	19	11	18	3	11	12	10	1
TCGA-A7-A0CE-01	7	2	5	4	3	9	0	0	22	3	5	1
TCGA-A7-A0CH-01	2	5	2	0	1	0	4	1	1	0	1	0
TCGA-A7-A0D9-01	3	0	0	2	1	2	1	0	0	2	0	1
TCGA-A7-A0DA-01	4	2	6	8	41	7	7	6	86	11	0	9
TCGA-A7-A0DB-01	1	0	0	11	0	6	10	1	8	10	1	5
TCGA-A7-A13D-01	8	3	3	3	0	7	16	2	75	16	6	1
TCGA-A7-A13E-01	5	0	3	0	0	20	34	1	11	6	0	0
TCGA-A7-A13F-01	1	2	0	0	4	8	14	8	0	5	3	0
TCGA-A7-A13G-01	0	1	0	8	0	10	1	0	9	2	0	1
TCGA-A7-A26E-01	4	0	1	17	0	3	20	10	7	3	1	1
TCGA-A7-A26F-01	0	2	2	4	0	0	21	5	11	1	0	0
TCGA-A7-A26G-01	5	1	18	8	0	7	2	1	14	10	2	0
TCGA-A7-A26H-01	9	1	5	30	5	4	39	3	0	54	0	0
TCGA-A7-A26I-01	5	1	8	5	0	1	8	2	8	3	4	1
TCGA-A7-A26J-01	1	2	2	2	10	1	10	0	11	3	0	0
TCGA-A7-A2KD-01	5	3	0	6	2	11	14	2	7	3	1	1
TCGA-A7-A3RF-01	0	1	2	3	8	3	8	0	11	0	4	0
TCGA-A7-A425-01	3	0	0	0	8	5	12	0	5	0	0	0
TCGA-A7-A4SC-01	3	1	0	1	18	8	3	3	0	0	0	1
TCGA-A7-A4SD-01	0	0	1	0	6	8	30	4	4	2	3	4
TCGA-A7-A4SE-01	6	4	12	10	5	4	4	0	53	33	12	3
TCGA-A7-A56D-01	14	5	0	59	19	25	18	13	20	52	0	0
TCGA-A7-A5ZV-01	7	11	24	3	22	15	31	7	85	33	14	16
TCGA-A7-A5ZW-01	0	0	0	5	0	3	7	4	2	8	7	0
TCGA-A7-A5ZX-01	3	0	1	5	6	3	4	5	8	0	3	4
TCGA-A7-A6VV-01	2	11	6	0	0	4	20	0	9	10	2	0
TCGA-A7-A6VW-01	5	6	8	3	7	0	15	3	26	5	11	3
TCGA-A7-A6VX-01	10	10	13	28	25	6	9	0	43	16	8	9
TCGA-A7-A6VY-01	4	9	11	6	0	8	6	6	58	16	11	1
TCGA-A8-A075-01	10	8	9	15	1	5	10	0	26	13	0	3
TCGA-AC-A23C-01	10	1	7	31	14	15	4	3	18	27	12	3
TCGA-AC-A23E-01	0	2	0	0	2	2	10	3	5	0	0	0
TCGA-AC-A23H-01	420	0	56	2217	0	28	0	166	0	3491	0	0
TCGA-AC-A2B8-01	2	7	0	44	0	0	14	5	9	47	0	0
TCGA-AC-A2BK-01	3	5	6	0	11	27	7	4	35	5	7	0
TCGA-AC-A2BM-01	0	0	1	0	8	5	3	1	0	3	0	5
TCGA-AC-A2FB-01	0	6	0	4	0	2	2	0	0	0	3	0
TCGA-AC-A2FF-01	1	1	0	1	2	0	2	0	0	4	0	0
TCGA-AC-A2FG-01	1	0	0	7	2	1	13	3	7	2	3	0
TCGA-AC-A2FK-01	0	0	0	1	2	0	0	0	0	0	0	0
TCGA-AC-A2FO-01	0	2	0	7	3	0	4	3	3	5	0	0
TCGA-AC-A2QH-01	0	0	1	3	1	10	5	0	5	2	0	0
TCGA-AC-A3HN-01	2	0	0	1	1	7	1	1	3	2	2	2
TCGA-AC-A3OD-01	1	7	1	8	0	9	0	6	7	0	0	0
TCGA-AC-A3QP-01	0	0	1	0	14	0	3	4	8	1	4	0
TCGA-AC-A3QQ-01	1	5	0	0	8	10	8	0	0	2	0	2
TCGA-AC-A3W5-01	14	14	4	17	0	21	0	6	76	49	3	7
TCGA-AC-A3YI-01	0	2	1	0	6	4	0	3	0	0	2	0
TCGA-AC-A3YJ-01	4	5	0	4	0	8	10	0	2	2	3	0
TCGA-AC-A4ZE-01	5	1	5	8	6	13	9	2	18	0	7	0
TCGA-AC-A5EH-01	4	11	19	12	30	7	17	6	59	18	14	8
TCGA-AC-A5EI-01	1	5	0	11	0	3	11	3	5	1	3	0
TCGA-AC-A5XS-01	81	3	0	230	0	0	14	49	16	322	0	0
TCGA-AC-A5XU-01	5	3	4	12	20	31	29	1	0	8	0	0
TCGA-AC-A62V-01	7	6	4	2	0	45	9	3	21	8	0	1
TCGA-AC-A62X-01	3	1	3	0	8	26	36	2	0	5	0	3
TCGA-AC-A62Y-01	1	4	1	13	0	7	18	2	17	18	6	2
TCGA-AC-A6IV-01	0	5	2	0	5	1	7	6	0	0	1	0
TCGA-AC-A6IW-01	17	20	0	21	9	26	16	2	38	73	3	6
TCGA-AC-A6IX-01	5	3	0	25	0	9	11	0	2	9	7	0
TCGA-AC-A6NO-01	5	0	0	1	8	4	16	1	0	1	7	0
TCGA-AC-A7VB-01	0	5	0	0	4	13	11	0	0	0	2	0
TCGA-AC-A7VC-01	2	1	0	0	2	3	8	4	4	0	2	0
TCGA-AC-A8OP-01	11	3	32	8	3	33	38	18	58	20	15	5
TCGA-AC-A8OQ-01	9	4	1	16	10	21	26	11	28	5	0	6
TCGA-AC-A8OR-01	0	2	0	1	10	10	3	0	5	0	0	1
TCGA-AC-A8OS-01	4	4	1	14	1	0	20	0	14	6	9	6
TCGA-AN-A0XL-01	3	4	4	0	8	0	15	3	0	0	3	0
TCGA-AN-A0XN-01	6	3	18	0	36	13	7	5	45	17	15	10
TCGA-AN-A0XO-01	5	0	0	7	0	3	2	6	12	2	6	0
TCGA-AN-A0XP-01	1	0	1	4	0	5	3	1	4	4	9	2
TCGA-AN-A0XR-01	1	5	2	4	1	2	9	0	11	3	0	0
TCGA-AN-A0XS-01	0	2	0	7	10	3	4	4	1	0	1	0
TCGA-AN-A0XT-01	0	4	0	0	0	3	12	1	1	1	0	0
TCGA-AN-A0XU-01	0	14	24	3	2	0	16	7	45	18	6	2
TCGA-AN-A0XV-01	3	0	2	0	5	13	1	4	6	6	4	0
TCGA-AN-A0XW-01	23	0	0	142	0	5	1	0	0	251	0	1
TCGA-AO-A03M-01	68	0	0	357	0	0	6	37	0	682	0	0
TCGA-AO-A03N-01	4	3	6	37	4	11	13	8	3	45	0	0
TCGA-AO-A03U-01	0	0	0	0	3	0	0	0	0	2	0	0
TCGA-AO-A03V-01	10	2	4	6	11	1	14	4	4	12	1	3
TCGA-AO-A0JG-01	3	0	7	1	2	0	0	0	3	0	3	2
TCGA-AO-A124-01	5	7	17	1	34	9	14	7	63	10	4	7
TCGA-AO-A125-01	0	5	4	3	0	5	14	5	7	2	0	0
TCGA-AO-A126-01	0	0	0	4	6	0	10	3	2	0	0	0
TCGA-AO-A128-01	14	0	77	7	0	332	312	25	0	14	397	32
TCGA-AO-A129-01	5	3	13	11	7	9	10	0	43	25	10	8
TCGA-AO-A12A-01	0	0	0	5	3	6	5	0	0	0	0	0
TCGA-AO-A12B-01	0	0	3	1	0	3	13	0	2	0	0	1
TCGA-AO-A12D-01	12	0	1	19	0	0	16	9	5	11	0	0
TCGA-AO-A12E-01	5	0	0	1	0	8	9	1	8	1	0	0
TCGA-AO-A12F-01	0	0	0	0	11	18	3	3	4	0	0	1
TCGA-AO-A12G-01	1	1	0	4	0	2	17	0	5	5	7	0
TCGA-AO-A12H-01	3	0	0	0	0	1	14	2	6	0	4	0
TCGA-AO-A1KO-01	0	0	0	0	7	0	0	1	0	0	2	0
TCGA-AO-A1KR-01	0	3	6	6	0	0	16	4	37	9	8	0
TCGA-AO-A1KT-01	0	0	0	4	0	5	13	4	13	0	12	0
TCGA-AQ-A04H-01	3	0	4	1	0	22	33	5	3	5	3	2
TCGA-AQ-A0Y5-01	4	0	3	8	0	11	20	6	7	11	0	0
TCGA-AQ-A1H2-01	0	0	1	2	2	6	9	4	6	0	2	2
TCGA-AQ-A1H3-01	0	1	0	0	0	5	19	0	0	0	0	2
TCGA-AQ-A54O-01	0	0	1	4	2	4	7	0	5	0	0	2
TCGA-AQ-A7U7-01	6	0	0	31	0	10	3	8	3	32	1	2
TCGA-AR-A0TP-01	3	0	10	4	1	0	6	0	32	4	9	2
TCGA-AR-A0TQ-01	4	0	7	12	4	4	11	1	3	2	0	1
TCGA-AR-A0TR-01	5	0	0	0	3	4	15	3	2	1	9	0
TCGA-AR-A0TS-01	6	3	5	4	22	10	12	0	16	9	0	3
TCGA-AR-A0TT-01	3	7	0	9	4	13	8	4	12	7	6	2
TCGA-AR-A0TU-01	5	1	11	2	0	13	3	1	41	10	1	2
TCGA-AR-A0TV-01	3	8	0	3	11	5	26	1	13	4	5	0
TCGA-AR-A0TW-01	1	0	9	1	4	8	19	6	15	3	1	0
TCGA-AR-A0TX-01	33	0	0	141	0	0	6	27	4	196	0	0
TCGA-AR-A0TZ-01	1	0	2	10	6	8	8	12	5	15	0	0
TCGA-AR-A0U0-01	0	6	0	1	13	4	5	3	6	9	0	3
TCGA-AR-A0U1-01	3	4	10	0	32	3	3	1	21	15	14	3
TCGA-AR-A0U2-01	2	4	0	0	14	24	3	1	8	0	0	0
TCGA-AR-A0U3-01	6	0	0	0	13	16	1	3	1	0	0	0
TCGA-AR-A0U4-01	8	9	18	10	17	8	3	5	64	50	4	5
TCGA-AR-A1AH-01	1	5	21	2	16	20	0	3	23	9	15	5
TCGA-AR-A1AI-01	8	10	5	0	0	11	11	10	8	19	7	0
TCGA-AR-A1AJ-01	2	0	0	16	0	5	13	3	4	9	1	0
TCGA-AR-A1AK-01	5	6	4	14	5	6	13	7	0	22	0	0
TCGA-AR-A1AL-01	1	1	1	4	7	3	5	0	0	3	5	0
TCGA-AR-A1AN-01	0	0	0	0	0	7	12	2	6	4	0	0
TCGA-AR-A1AO-01	4	3	6	11	8	8	9	8	41	18	0	6
TCGA-AR-A1AP-01	7	0	0	2	2	11	17	4	0	7	0	1
TCGA-AR-A1AQ-01	1	1	4	1	0	6	8	0	14	2	4	0
TCGA-AR-A1AR-01	1	6	5	2	11	12	7	0	6	8	0	5
TCGA-AR-A1AS-01	0	1	0	13	2	10	0	4	8	3	0	0
TCGA-AR-A1AT-01	0	3	2	1	0	4	6	1	11	1	2	1
TCGA-AR-A1AU-01	3	0	0	0	7	5	7	0	1	1	1	1
TCGA-AR-A1AV-01	5	0	0	3	8	14	9	3	4	2	0	1
TCGA-AR-A1AW-01	1	5	0	1	6	9	6	0	4	2	7	0
TCGA-AR-A1AX-01	5	0	0	0	11	3	5	5	2	1	0	0
TCGA-AR-A1AY-01	2	4	6	7	10	5	21	2	4	7	4	0
TCGA-AR-A24H-01	6	11	16	5	8	7	13	1	54	25	4	2
TCGA-AR-A24K-01	1	1	4	0	0	1	7	2	14	0	4	0
TCGA-AR-A24L-01	1	5	4	0	5	4	0	0	22	7	3	2
TCGA-AR-A24M-01	0	0	1	1	9	5	3	0	3	0	3	0
TCGA-AR-A24N-01	6	3	5	5	0	9	15	0	1	0	3	0
TCGA-AR-A24O-01	1	0	0	0	2	0	11	0	4	1	2	1
TCGA-AR-A24P-01	2	0	0	0	3	4	2	4	4	0	0	0
TCGA-AR-A24Q-01	11	5	39	19	21	14	0	3	80	25	11	4
TCGA-AR-A24R-01	0	4	0	1	0	7	8	1	2	0	2	1
TCGA-AR-A24S-01	6	0	0	6	0	8	17	1	8	5	6	0
TCGA-AR-A24T-01	1	0	0	1	6	2	11	2	0	1	0	0
TCGA-AR-A24U-01	4	0	0	8	4	8	5	2	1	12	0	0
TCGA-AR-A24V-01	0	0	1	1	6	6	7	4	0	3	0	0
TCGA-AR-A24W-01	1	2	0	0	8	2	0	1	0	0	0	0
TCGA-AR-A24X-01	3	0	0	0	11	5	5	5	1	0	2	2
TCGA-AR-A24Z-01	0	2	2	4	13	6	11	2	13	3	0	0
TCGA-AR-A250-01	9	7	2	10	5	18	28	16	8	52	0	0
TCGA-AR-A251-01	10	14	24	1	12	7	7	0	78	36	10	6
TCGA-AR-A252-01	3	0	0	0	0	4	9	0	0	0	3	0
TCGA-AR-A254-01	6	0	0	2	7	5	14	4	2	2	0	0
TCGA-AR-A255-01	6	0	10	11	9	3	12	8	4	21	5	0
TCGA-AR-A256-01	5	19	23	15	30	10	4	6	78	19	6	9
TCGA-AR-A2LE-01	32	6	0	167	10	0	12	29	0	138	0	0
TCGA-AR-A2LH-01	11	0	1	23	0	6	4	6	0	20	0	0
TCGA-AR-A2LK-01	3	2	3	5	0	10	18	1	5	0	1	0
TCGA-AR-A2LL-01	1	1	5	0	0	0	26	2	2	0	0	0
TCGA-AR-A2LM-01	0	2	2	0	0	0	1	3	8	0	1	0
