Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
TCGA-D3-A3MR-06	477	406	0	156	0	0	12	107	10	6	0	3
TCGA-D3-A3MU-06	296	176	11	106	0	0	31	17	17	4	0	4
TCGA-D3-A3MV-06	288	223	0	134	0	0	9	81	0	0	0	0
TCGA-D3-A51E-06	110	126	1	40	21	0	9	53	0	0	8	0
TCGA-D3-A51F-06	55	78	6	15	0	4	0	6	0	1	0	0
TCGA-D3-A51G-06	557	661	0	213	0	0	44	201	0	0	14	0
TCGA-D3-A51H-06	16	10	0	8	2	0	2	0	2	0	0	0
TCGA-D3-A51J-06	238	232	0	71	10	0	7	48	3	4	0	0
TCGA-D3-A51K-06	1	2	2	0	5	10	0	0	0	4	3	5
TCGA-D3-A51N-06	29	36	0	14	18	0	10	3	8	1	0	0
TCGA-D3-A51R-06	403	288	0	151	0	0	10	96	20	0	0	0
TCGA-D3-A51T-06	619	599	0	233	0	0	12	148	0	0	0	3
TCGA-D3-A5GL-06	204	174	0	55	28	0	36	47	0	1	25	7
TCGA-D3-A5GN-06	319	203	15	85	0	3	9	35	0	0	0	0
TCGA-D3-A5GO-06	939	656	0	365	0	0	12	187	17	0	0	0
TCGA-D3-A5GR-06	130	99	0	52	20	3	9	13	18	1	7	0
TCGA-D3-A5GS-06	216	222	0	90	0	0	4	24	0	0	0	0
TCGA-D3-A5GT-01	0	0	2	1	3	4	8	3	3	0	1	1
TCGA-D3-A5GU-06	305	430	8	144	10	11	10	63	28	5	0	5
TCGA-D3-A8GB-06	509	596	0	211	0	0	0	143	0	5	0	0
TCGA-D3-A8GC-06	480	431	0	159	0	0	0	80	6	0	3	0
TCGA-D3-A8GD-06	20	29	7	13	0	0	12	16	23	0	10	2
TCGA-D3-A8GE-06	0	0	0	0	4	0	0	0	2	1	1	0
TCGA-D3-A8GI-06	3053	1959	0	1480	0	0	66	674	0	0	0	0
TCGA-D3-A8GJ-06	116	70	0	27	10	1	11	28	7	1	1	0
TCGA-D3-A8GK-06	335	243	0	121	40	0	6	41	2	3	7	0
TCGA-D3-A8GL-06	1082	840	0	400	0	0	0	235	6	0	0	0
TCGA-D3-A8GM-06	1964	1295	83	670	0	297	365	255	0	0	300	15
TCGA-D3-A8GN-06	132	120	0	40	0	2	7	40	0	0	0	0
TCGA-D3-A8GO-06	327	263	0	107	0	0	9	67	17	0	10	0
TCGA-D3-A8GP-06	303	206	0	92	25	4	12	83	31	6	15	7
TCGA-D3-A8GQ-06	811	522	0	435	0	0	0	213	0	0	0	0
TCGA-D3-A8GR-06	198	182	2	40	0	1	2	43	28	5	13	5
TCGA-D3-A8GS-06	104	109	8	30	0	9	7	13	11	0	0	2
TCGA-D3-A8GV-06	213	158	6	92	0	1	11	67	0	0	10	1
TCGA-D9-A148-06	109	132	0	62	8	0	19	29	17	4	6	0
TCGA-D9-A149-06	113	112	0	32	0	0	25	32	0	2	0	2
TCGA-D9-A1JW-06	556	449	0	104	0	2	2	87	14	5	37	0
TCGA-D9-A1JX-06	86	66	0	34	0	1	5	40	10	3	6	0
TCGA-D9-A1X3-06	5	9	6	0	8	6	12	0	2	0	0	0
TCGA-D9-A3Z1-06	251	254	0	79	26	0	15	51	4	0	0	0
TCGA-D9-A3Z3-06	77	41	1	32	0	1	9	8	5	0	8	2
TCGA-D9-A3Z4-01	68	77	3	7	11	0	22	12	0	1	6	0
TCGA-D9-A4Z2-01	0	5	2	0	1	5	1	4	6	0	3	4
TCGA-D9-A4Z3-01	481	454	0	14	0	13	29	36	14	21	16	0
TCGA-D9-A4Z5-01	5	10	40	4	0	6	12	3	0	6	2	0
TCGA-D9-A4Z6-06	165	107	1	46	0	0	5	25	18	1	0	1
TCGA-D9-A6E9-06	90	81	3	29	0	7	0	18	9	3	6	0
TCGA-D9-A6EA-06	343	301	0	149	0	0	9	58	17	0	0	12
TCGA-D9-A6EC-06	1624	1416	0	753	0	0	0	403	23	0	308	1241
TCGA-D9-A6EG-06	20	23	0	13	5	6	10	4	19	1	3	0
