Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-55-8091-01	0	0	0	30	5
TCGA-55-8092-01	367	39	156	75	88
TCGA-55-8094-01	384	97	26	32	18
TCGA-55-8096-01	97	32	15	21	14
TCGA-55-8097-01	61	3	14	50	11
TCGA-55-8203-01	386	66	7	52	19
TCGA-55-8204-01	71	57	90	24	28
TCGA-55-8205-01	269	127	218	22	12
TCGA-55-8206-01	6	9	8	14	1
TCGA-55-8207-01	239	71	18	43	16
TCGA-55-8208-01	88	100	206	11	39
TCGA-55-8299-01	172	55	14	12	20
TCGA-55-8301-01	197	88	33	25	19
TCGA-55-8302-01	614	119	19	29	64
TCGA-55-8505-01	2	10	15	16	5
TCGA-55-8506-01	1155	167	12	667	106
TCGA-55-8507-01	916	121	33	60	83
TCGA-55-8508-01	132	32	18	33	12
TCGA-55-8510-01	289	31	33	12	27
TCGA-55-8511-01	469	53	93	47	51
TCGA-55-8512-01	22	15	5	4	5
TCGA-55-8513-01	0	0	0	6	2
TCGA-55-8514-01	249	23	3	38	38
TCGA-55-8614-01	66	133	39	49	11
TCGA-55-8615-01	65	64	5	17	11
TCGA-55-8616-01	486	19	17	54	27
TCGA-55-8619-01	2	2	1	21	1
TCGA-55-8620-01	394	98	16	60	47
TCGA-55-8621-01	43	18	9	11	8
TCGA-55-A48X-01	362	31	27	12	51
TCGA-55-A48Y-01	0	0	381	32	31
TCGA-55-A48Z-01	16	14	5	24	9
TCGA-55-A490-01	1291	123	135	46	48
TCGA-55-A491-01	295	77	36	28	30
TCGA-55-A492-01	202	78	17	30	28
TCGA-55-A493-01	157	43	93	27	20
TCGA-55-A494-01	183	19	19	59	15
TCGA-55-A4DF-01	178	22	652	47	84
TCGA-55-A4DG-01	642	115	32	35	20
TCGA-55-A57B-01	6	8	9	21	5
TCGA-62-8394-01	23	72	53	21	4
TCGA-62-8395-01	4	21	17	31	13
TCGA-62-8397-01	8	6	1	13	4
TCGA-62-8398-01	47	15	12	23	6
TCGA-62-8399-01	259	87	260	55	0
TCGA-62-8402-01	3	27	5	26	12
TCGA-62-A46O-01	665	150	172	50	55
TCGA-62-A46P-01	265	29	8	43	8
TCGA-62-A46R-01	86	40	32	35	16
TCGA-62-A46S-01	80	11	13	33	22
TCGA-62-A46U-01	12	6	8	21	5
TCGA-62-A46V-01	8	19	6	29	9
TCGA-62-A46Y-01	6	12	1	15	5
TCGA-62-A470-01	53	31	11	38	14
TCGA-62-A471-01	7	29	77	19	16
TCGA-62-A472-01	22	20	3	11	16
TCGA-64-1676-01	561	91	21	38	29
TCGA-64-1679-01	436	84	58	15	21
TCGA-64-1680-01	7	16	31	20	2
TCGA-64-1681-01	3	51	33	7	12
TCGA-64-5774-01	124	9	7	30	6
TCGA-64-5775-01	457	32	22	43	35
TCGA-64-5778-01	398	86	42	28	25
TCGA-64-5779-01	339	16	16	50	16
TCGA-64-5781-01	925	198	167	27	88
TCGA-64-5815-01	138	35	3	21	16
TCGA-67-3770-01	171	61	6	17	18
TCGA-67-3771-01	539	271	375	40	95
TCGA-67-3773-01	75	14	2	18	16
TCGA-67-3774-01	62	62	8	4	14
TCGA-67-4679-01	230	65	13	20	24
TCGA-67-6215-01	0	122	0	0	15
TCGA-67-6216-01	2	8	14	11	10
TCGA-67-6217-01	144	26	12	30	22
TCGA-69-7760-01	13	35	9	26	5
TCGA-69-7761-01	11	17	0	8	0
TCGA-69-7763-01	35	14	2	41	8
TCGA-69-7764-01	37	44	8	20	7
TCGA-69-7765-01	529	81	79	11	47
TCGA-69-7973-01	253	0	0	35	21
TCGA-69-7974-01	419	108	37	42	34
TCGA-69-7978-01	399	94	232	31	10
TCGA-69-7979-01	1508	41	107	74	70
TCGA-69-7980-01	545	152	213	26	35
TCGA-69-8253-01	117	29	36	18	9
TCGA-69-8254-01	26	39	0	19	13
TCGA-69-8255-01	147	110	52	33	23
TCGA-69-A59K-01	494	4	55	62	22
TCGA-71-6725-01	4	8	5	43	13
TCGA-71-8520-01	22	11	23	43	6
TCGA-73-4658-01	175	33	174	39	27
TCGA-73-4659-01	155	66	11	14	16
TCGA-73-4662-01	162	55	20	17	14
TCGA-73-4666-01	299	96	31	31	14
TCGA-73-4668-01	426	136	19	34	14
TCGA-73-4670-01	249	94	26	26	46
TCGA-73-4675-01	16	43	7	16	2
TCGA-73-4676-01	24	58	3	18	9
TCGA-73-4677-01	196	44	15	24	25
TCGA-73-7498-01	76	28	0	20	15
TCGA-73-7499-01	5	29	20	20	9
TCGA-73-A9RS-01	938	81	83	24	46
TCGA-75-5122-01	55	27	31	33	21
TCGA-75-5125-01	65	65	50	20	10
TCGA-75-5126-01	418	99	221	22	21
TCGA-75-5146-01	175	36	13	4	11
TCGA-75-5147-01	0	15	14	18	0
TCGA-75-6203-01	0	8	0	11	0
TCGA-75-6205-01	4	33	11	7	5
TCGA-75-6206-01	44	34	18	5	8
TCGA-75-6207-01	13	23	17	21	10
TCGA-75-6211-01	283	92	25	27	15
TCGA-75-6212-01	0	0	0	11	10
TCGA-75-6214-01	478	101	211	42	67
TCGA-75-7025-01	0	0	8	24	6
TCGA-75-7027-01	192	64	7	15	25
TCGA-75-7030-01	0	9	0	9	0
TCGA-75-7031-01	103	89	25	24	18
TCGA-78-7145-01	143	39	19	18	18
TCGA-78-7146-01	216	47	130	39	32
TCGA-78-7147-01	174	130	56	34	33
TCGA-78-7148-01	140	80	8	19	27
TCGA-78-7149-01	38	27	101	16	18
TCGA-78-7150-01	146	112	175	32	44
TCGA-78-7152-01	84	27	105	15	24
TCGA-78-7153-01	31	49	30	33	13
TCGA-78-7154-01	50	66	131	57	24
TCGA-78-7155-01	1262	306	163	49	58
TCGA-78-7156-01	160	0	176	34	47
TCGA-78-7158-01	153	43	53	20	15
TCGA-78-7159-01	256	62	17	37	8
TCGA-78-7160-01	4	36	5	5	7
TCGA-78-7161-01	133	49	17	27	10
TCGA-78-7162-01	30	34	18	7	12
TCGA-78-7163-01	4	8	2	10	3
TCGA-78-7166-01	209	21	8	14	23
TCGA-78-7167-01	58	15	44	28	9
TCGA-78-7220-01	631	154	128	34	99
TCGA-78-7535-01	101	85	9	13	12
TCGA-78-7536-01	496	158	20	35	29
TCGA-78-7537-01	81	45	19	9	15
TCGA-78-7539-01	132	70	351	44	8
TCGA-78-7540-01	3	1	4	24	4
TCGA-78-7542-01	352	9	41	35	40
TCGA-78-7633-01	83	21	9	12	10
TCGA-78-8640-01	448	215	158	59	34
TCGA-78-8648-01	9	0	0	5	2
TCGA-78-8655-01	75	7	6	26	18
TCGA-78-8660-01	126	88	48	19	23
TCGA-78-8662-01	922	286	105	51	76
TCGA-80-5607-01	8	1	133	10	6
TCGA-80-5608-01	117	50	13	17	2
TCGA-80-5611-01	69	126	13	17	22
TCGA-83-5908-01	122	49	107	17	0
TCGA-86-6562-01	11	15	27	17	4
TCGA-86-6851-01	712	197	147	16	22
TCGA-86-7701-01	138	69	8	26	7
TCGA-86-7711-01	97	81	62	25	7
TCGA-86-7713-01	112	27	4	12	31
TCGA-86-7714-01	33	38	3	10	7
TCGA-86-7953-01	14	32	10	9	0
TCGA-86-7954-01	115	60	52	41	22
TCGA-86-7955-01	182	115	37	18	25
TCGA-86-8054-01	156	66	21	20	12
TCGA-86-8055-01	5	26	6	23	3
TCGA-86-8056-01	79	18	185	23	35
TCGA-86-8073-01	1463	149	117	41	75
TCGA-86-8074-01	18	29	7	14	11
TCGA-86-8075-01	0	32	7	23	0
TCGA-86-8076-01	19	10	24	23	8
TCGA-86-8278-01	0	0	123	21	0
TCGA-86-8279-01	454	109	25	37	11
TCGA-86-8280-01	8	18	0	13	16
TCGA-86-8281-01	202	33	44	42	16
TCGA-86-8358-01	937	250	40	73	76
TCGA-86-8359-01	126	27	12	19	16
TCGA-86-8585-01	383	155	137	21	14
TCGA-86-8668-01	1	17	4	21	2
TCGA-86-8669-01	63	53	11	24	19
TCGA-86-8671-01	3	14	12	11	7
TCGA-86-8672-01	217	46	49	29	35
TCGA-86-8673-01	351	143	51	19	41
TCGA-86-8674-01	290	8	50	19	15
TCGA-86-A456-01	309	45	35	22	41
TCGA-86-A4JF-01	272	546	159	575	94
TCGA-86-A4P7-01	3	34	29	16	2
TCGA-86-A4P8-01	0	0	0	0	2
TCGA-91-6828-01	218	44	34	27	13
TCGA-91-6829-01	439	229	60	24	53
TCGA-91-6830-01	15	27	246	8	19
TCGA-91-6831-01	160	111	10	25	34
TCGA-91-6835-01	30	42	22	15	4
TCGA-91-6836-01	390	82	29	39	39
TCGA-91-6840-01	7	28	86	20	1
TCGA-91-6847-01	5	39	19	36	6
TCGA-91-6848-01	373	204	116	18	30
TCGA-91-6849-01	78	36	8	6	13
TCGA-91-7771-01	98	87	26	11	29
TCGA-91-8496-01	1	17	4	15	4
TCGA-91-8497-01	12	13	2	13	16
TCGA-91-8499-01	155	68	116	34	22
TCGA-91-A4BC-01	396	75	30	43	19
TCGA-91-A4BD-01	0	10	4	13	0
TCGA-93-7347-01	86	24	12	12	9
TCGA-93-7348-01	47	27	19	29	11
TCGA-93-8067-01	80	0	550	0	44
TCGA-93-A4JN-01	17	34	17	23	7
TCGA-93-A4JO-01	5	29	15	10	6
TCGA-93-A4JP-01	16	11	31	18	6
TCGA-93-A4JQ-01	0	68	66	11	0
TCGA-95-7039-01	1085	242	83	57	75
TCGA-95-7043-01	1029	88	64	62	76
TCGA-95-7562-01	384	18	7	30	22
TCGA-95-7567-01	348	376	20	368	31
TCGA-95-7944-01	19	11	247	4	26
TCGA-95-7947-01	204	124	249	30	58
TCGA-95-7948-01	0	0	163	20	0
TCGA-95-8039-01	33	23	24	28	10
TCGA-95-8494-01	0	0	80	43	10
TCGA-95-A4VK-01	219	29	7	35	28
TCGA-95-A4VN-01	426	80	51	18	16
TCGA-95-A4VP-01	90	44	3	14	10
TCGA-97-7546-01	242	62	15	17	16
TCGA-97-7547-01	103	22	66	20	15
TCGA-97-7552-01	0	19	0	23	5
TCGA-97-7553-01	19	7	1	16	8
TCGA-97-7554-01	380	77	17	35	50
TCGA-97-7937-01	406	50	34	52	22
TCGA-97-7938-01	339	62	59	31	14
TCGA-97-7941-01	60	15	20	21	5
TCGA-97-8171-01	8	23	1	27	8
TCGA-97-8172-01	197	58	1	46	29
TCGA-97-8174-01	110	23	32	39	9
TCGA-97-8175-01	8	18	2	5	8
TCGA-97-8176-01	59	42	58	22	16
TCGA-97-8177-01	3	17	8	13	6
TCGA-97-8179-01	139	40	13	5	11
TCGA-97-8547-01	9	6	21	28	6
TCGA-97-8552-01	6	5	1	12	5
TCGA-97-A4LX-01	133	71	10	3	2
TCGA-97-A4M0-01	285	99	81	16	19
TCGA-97-A4M1-01	12	1	15	25	2
TCGA-97-A4M2-01	7	6	10	5	4
TCGA-97-A4M3-01	170	18	34	21	7
TCGA-97-A4M5-01	0	0	171	0	19
TCGA-97-A4M6-01	1	20	7	11	3
TCGA-97-A4M7-01	303	29	18	23	11
TCGA-99-7458-01	388	107	12	20	50
TCGA-99-8025-01	250	87	166	63	33
TCGA-99-8028-01	419	83	13	18	9
TCGA-99-8032-01	331	60	37	46	18
TCGA-99-8033-01	118	55	14	22	14
TCGA-99-AA5R-01	52	15	0	0	6
TCGA-J2-8192-01	11	28	8	28	15
TCGA-J2-8194-01	78	54	7	28	23
TCGA-J2-A4AD-01	95	125	174	23	0
TCGA-J2-A4AE-01	1	28	15	16	2
TCGA-J2-A4AG-01	57	15	8	28	6
TCGA-L4-A4E5-01	310	58	14	14	23
TCGA-L4-A4E6-01	13	0	7	0	0
TCGA-L9-A443-01	189	81	19	10	8
TCGA-L9-A444-01	558	59	21	22	41
TCGA-L9-A50W-01	6	10	8	5	7
TCGA-L9-A5IP-01	246	51	23	17	15
TCGA-L9-A743-01	76	0	80	12	0
TCGA-L9-A7SV-01	1792	69	61	56	41
TCGA-L9-A8F4-01	626	204	76	21	44
TCGA-MN-A4N1-01	381	88	38	52	29
TCGA-MN-A4N4-01	1202	96	433	45	96
TCGA-MN-A4N5-01	370	93	55	27	17
TCGA-MP-A4SV-01	160	67	149	22	42
TCGA-MP-A4SW-01	11	10	12	40	12
TCGA-MP-A4SY-01	68	82	27	19	21
TCGA-MP-A4T2-01	19	32	30	14	16
TCGA-MP-A4T4-01	333	67	37	25	23
TCGA-MP-A4T6-01	2	34	23	20	14
TCGA-MP-A4T7-01	117	16	5	14	7
TCGA-MP-A4T8-01	78	35	9	15	12
TCGA-MP-A4T9-01	15	12	10	2	7
TCGA-MP-A4TA-01	231	137	37	35	14
TCGA-MP-A4TC-01	228	37	31	19	12
TCGA-MP-A4TD-01	46	28	4	17	6
TCGA-MP-A4TE-01	85	20	2	54	12
TCGA-MP-A4TF-01	369	98	26	18	35
TCGA-MP-A4TH-01	48	53	1	23	14
TCGA-MP-A4TI-01	84	6	182	24	17
TCGA-MP-A4TJ-01	43	50	4	16	2
TCGA-MP-A4TK-01	287	51	70	9	25
TCGA-MP-A5C7-01	32	30	3	23	8
TCGA-NJ-A4YF-01	618	74	28	21	40
TCGA-NJ-A4YG-01	71	32	49	35	11
TCGA-NJ-A4YI-01	396	65	31	41	26
TCGA-NJ-A4YP-01	165	0	462	0	64
TCGA-NJ-A4YQ-01	1053	227	28	31	52
TCGA-NJ-A55A-01	92	35	10	9	1
TCGA-NJ-A55O-01	137	0	14	14	0
TCGA-NJ-A55R-01	203	74	13	9	24
TCGA-NJ-A7XG-01	9	15	0	18	0
TCGA-O1-A52J-01	137	29	12	21	12
TCGA-S2-AA1A-01	105	15	4	11	9
TCGA-18-3406-01	61	95	85	20	16
TCGA-18-3407-01	6	51	3	24	8
TCGA-18-3408-01	18	51	0	16	13
TCGA-18-3409-01	0	0	0	0	4267
TCGA-18-3410-01	52	104	91	0	0
TCGA-18-3411-01	122	162	29	49	36
TCGA-18-3412-01	32	67	28	16	4
TCGA-18-3414-01	109	124	82	37	30
TCGA-18-3415-01	48	77	67	19	24
TCGA-18-3416-01	167	123	55	35	8
TCGA-18-3417-01	144	119	34	38	17
TCGA-18-3421-01	104	167	64	18	32
TCGA-18-4083-01	217	159	48	30	19
TCGA-18-4721-01	73	88	15	32	17
TCGA-18-5592-01	189	83	33	35	24
TCGA-18-5595-01	0	0	209	41	69
TCGA-21-1070-01	461	147	35	22	22
TCGA-21-1071-01	70	70	30	26	21
TCGA-21-1076-01	231	87	57	14	18
TCGA-21-1077-01	105	80	67	27	16
TCGA-21-1078-01	0	0	76	21	0
TCGA-21-1081-01	60	106	17	65	13
TCGA-21-1082-01	225	62	164	42	0
TCGA-21-1083-01	515	213	135	28	25
TCGA-21-5782-01	179	135	148	23	0
TCGA-21-5783-01	162	140	105	75	47
TCGA-21-5784-01	115	92	29	6	18
TCGA-21-5786-01	289	123	20	31	21
TCGA-21-5787-01	338	66	51	30	23
TCGA-21-A5DI-01	24	90	33	13	12
TCGA-22-0940-01	78	115	29	17	28
TCGA-22-0944-01	58	45	24	18	19
TCGA-22-1000-01	26	42	27	9	18
TCGA-22-1002-01	163	92	12	20	10
TCGA-22-1005-01	179	103	33	13	18
TCGA-22-1011-01	0	30	87	16	0
TCGA-22-1012-01	147	101	46	38	16
TCGA-22-1016-01	263	100	38	20	28
TCGA-22-4591-01	70	110	8	45	36
TCGA-22-4593-01	80	40	33	50	28
TCGA-22-4594-01	277	86	20	42	14
TCGA-22-4595-01	166	100	82	27	27
TCGA-22-4596-01	68	42	8	35	21
TCGA-22-4599-01	186	187	12	27	37
TCGA-22-4601-01	73	91	40	16	14
TCGA-22-4604-01	81	118	26	51	30
TCGA-22-4605-01	36	47	9	12	9
TCGA-22-4607-01	1	43	30	3	7
TCGA-22-4609-01	95	129	14	7	6
TCGA-22-4613-01	396	280	34	27	45
TCGA-22-5471-01	107	100	31	18	42
TCGA-22-5472-01	506	0	0	0	0
TCGA-22-5473-01	357	164	344	75	69
TCGA-22-5474-01	17	23	52	16	1
TCGA-22-5477-01	22	41	133	26	0
TCGA-22-5478-01	85	94	5	32	8
TCGA-22-5479-01	128	193	205	65	52
TCGA-22-5480-01	74	81	18	17	12
TCGA-22-5481-01	146	147	29	30	18
TCGA-22-5482-01	86	74	17	13	20
TCGA-22-5483-01	123	103	30	24	20
TCGA-22-5485-01	113	96	6	25	15
TCGA-22-5489-01	152	68	45	28	14
TCGA-22-5491-01	99	55	205	41	19
TCGA-22-5492-01	118	122	15	21	14
TCGA-22-A5C4-01	201	108	29	68	31
TCGA-33-4532-01	179	133	87	54	44
TCGA-33-4533-01	159	100	54	16	45
TCGA-33-4538-01	44	103	25	30	24
TCGA-33-4547-01	10	41	165	27	6
TCGA-33-4566-01	1328	127	99	37	47
TCGA-33-4582-01	70	78	37	40	25
TCGA-33-4583-01	454	156	54	45	34
TCGA-33-4586-01	222	167	26	30	13
TCGA-33-4587-01	116	45	62	27	37
TCGA-33-4589-01	3	14	55	36	30
TCGA-33-6737-01	224	25	268	23	23
TCGA-33-6738-01	162	146	75	23	18
TCGA-33-A4WN-01	56	71	96	22	12
TCGA-33-A5GW-01	49	76	101	13	10
TCGA-33-AAS8-01	118	90	27	36	17
TCGA-33-AASB-01	328	53	41	17	18
TCGA-33-AASD-01	248	127	29	28	24
TCGA-33-AASI-01	243	99	108	29	21
TCGA-33-AASJ-01	38	28	111	27	24
TCGA-33-AASL-01	166	115	72	13	15
TCGA-34-2596-01	107	114	74	17	19
TCGA-34-2600-01	115	91	299	44	22
TCGA-34-2604-01	455	187	31	51	36
TCGA-34-2605-01	204	104	134	27	9
TCGA-34-2608-01	55	62	36	25	13
TCGA-34-2609-01	160	88	8	36	13
TCGA-34-5231-01	342	300	102	61	29
TCGA-34-5232-01	88	61	21	57	28
TCGA-34-5234-01	114	73	1	17	16
TCGA-34-5236-01	107	99	34	15	14
TCGA-34-5239-01	176	60	25	31	17
TCGA-34-5240-01	97	35	37	26	23
TCGA-34-5241-01	105	81	32	22	17
TCGA-34-5927-01	106	106	56	39	17
TCGA-34-5928-01	73	96	234	41	12
TCGA-34-5929-01	115	66	83	16	0
TCGA-34-7107-01	80	125	52	41	24
TCGA-34-8454-01	302	0	409	0	0
TCGA-34-8455-01	438	119	23	12	22
TCGA-34-8456-01	10	21	6	5	7
