Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-AR-A24T-01	1	2	12	0	0	9
TCGA-AR-A24U-01	13	11	14	4	0	2
TCGA-AR-A24V-01	3	4	14	3	4	0
TCGA-AR-A24W-01	1	0	1	0	0	12
TCGA-AR-A24X-01	1	0	9	0	3	21
TCGA-AR-A24Z-01	4	3	15	14	3	17
TCGA-AR-A250-01	18	53	42	0	4	38
TCGA-AR-A251-01	4	34	10	115	17	25
TCGA-AR-A252-01	0	0	10	1	6	2
TCGA-AR-A254-01	6	1	16	0	0	19
TCGA-AR-A255-01	16	21	11	6	7	28
TCGA-AR-A256-01	22	17	13	132	19	21
TCGA-AR-A2LE-01	236	139	3	0	2	14
TCGA-AR-A2LH-01	35	18	8	0	2	8
TCGA-AR-A2LK-01	7	0	22	2	7	10
TCGA-AR-A2LL-01	0	0	17	0	0	20
TCGA-AR-A2LM-01	1	0	1	0	1	14
TCGA-AR-A2LN-01	22	5	8	0	3	16
TCGA-AR-A2LO-01	2	2	5	7	0	1
TCGA-AR-A2LQ-01	0	0	5	0	2	6
TCGA-AR-A2LR-01	1	2	16	11	4	36
TCGA-AR-A5QM-01	0	0	12	0	2	22
TCGA-AR-A5QN-01	8	0	24	0	9	8
TCGA-AR-A5QP-01	5	0	10	0	6	13
TCGA-AR-A5QQ-01	6	8	12	49	21	0
TCGA-B6-A0I1-01	6	2	23	0	0	49
TCGA-B6-A0IH-01	3	0	19	0	9	10
TCGA-B6-A0RH-01	11	8	10	3	2	11
TCGA-B6-A0RL-01	17	5	26	14	7	0
TCGA-B6-A0RM-01	7	0	15	1	6	7
TCGA-B6-A0RN-01	3	0	16	6	8	0
TCGA-B6-A0RO-01	5	1	5	8	9	15
TCGA-B6-A0RP-01	0	0	6	0	3	21
TCGA-B6-A0RQ-01	18	4	9	3	7	15
TCGA-B6-A0RT-01	0	20	9	38	3	2
TCGA-B6-A0RU-01	10	1	14	21	12	0
TCGA-B6-A0RV-01	32	27	8	0	0	0
TCGA-B6-A0WS-01	2	2	1	0	9	4
TCGA-B6-A0WT-01	3	0	9	0	7	3
TCGA-B6-A0WV-01	0	5	4	0	6	22
TCGA-B6-A0WW-01	11	4	13	13	4	2
TCGA-B6-A0WX-01	0	2	14	15	8	6
TCGA-B6-A0WY-01	7	3	10	6	9	0
TCGA-B6-A0WZ-01	60	26	1	5	3	0
TCGA-B6-A0X0-01	2	0	5	0	0	18
TCGA-B6-A0X1-01	8	15	5	23	15	26
TCGA-B6-A0X4-01	3	0	8	0	0	11
TCGA-B6-A0X5-01	9	2	5	7	9	16
TCGA-B6-A0X7-01	5	1	10	0	1	6
TCGA-B6-A1KN-01	2	3	10	10	11	36
TCGA-B6-A2IU-01	22	1	19	3	9	0
TCGA-B6-A401-01	0	2	11	1	3	11
TCGA-B6-A409-01	4	4	18	5	4	21
TCGA-B6-A40B-01	15	6	9	7	8	21
TCGA-B6-A40C-01	3	2	26	3	1	19
TCGA-BH-A0AU-01	0	3	8	2	3	7
TCGA-BH-A0AV-01	4	12	1	30	14	26
TCGA-BH-A0AY-01	7	2	13	2	0	22
TCGA-BH-A0AZ-01	14	10	1	34	8	3
TCGA-BH-A0B0-01	65	25	9	0	0	0
TCGA-BH-A0B3-01	2	1	7	8	0	0
TCGA-BH-A0B6-01	678	603	9	0	0	0
TCGA-BH-A0B7-01	6	7	17	12	0	0
TCGA-BH-A0B8-01	7	0	2	7	2	16
TCGA-BH-A0BA-01	6	4	7	6	6	0
TCGA-BH-A0BC-01	11	4	15	0	1	14
TCGA-BH-A0BF-01	0	7	11	7	5	3
TCGA-BH-A0BG-01	5	4	7	24	5	0
TCGA-BH-A0BJ-01	1	0	2	0	2	12
TCGA-BH-A0BL-01	0	3	17	41	0	8
TCGA-BH-A0BM-01	3	1	1	3	1	10
TCGA-BH-A0BO-01	0	5	6	0	14	6
TCGA-BH-A0BP-01	25	35	42	38	1	55
TCGA-BH-A0BQ-01	4	0	12	9	1	4
TCGA-BH-A0BS-01	1	0	4	4	3	11
TCGA-BH-A0BT-01	8	1	18	13	8	0
TCGA-BH-A0BV-01	4	1	4	0	0	15
TCGA-BH-A0BW-01	11	8	13	36	23	12
TCGA-BH-A0BZ-01	11	34	21	165	33	32
TCGA-BH-A0C0-01	6	1	5	21	14	1
TCGA-BH-A0C1-01	10	0	20	8	12	0
TCGA-BH-A0C3-01	0	0	4	1	5	8
TCGA-BH-A0C7-01	0	3	18	0	6	31
TCGA-BH-A0DD-01	6	3	20	2	6	0
TCGA-BH-A0DE-01	3	0	3	4	1	22
TCGA-BH-A0DG-01	8	9	3	0	7	20
TCGA-BH-A0DH-01	15	4	21	0	7	5
TCGA-BH-A0DI-01	12	14	15	14	3	4
TCGA-BH-A0DK-01	4	4	9	15	5	16
TCGA-BH-A0DL-01	15	7	22	9	12	0
TCGA-BH-A0DO-01	5	4	8	9	4	0
TCGA-BH-A0DP-01	6	0	3	9	1	0
TCGA-BH-A0DQ-01	0	2	13	0	6	14
TCGA-BH-A0DT-01	3	0	6	2	1	3
TCGA-BH-A0DV-01	4	0	0	3	2	6
TCGA-BH-A0DX-01	35	19	13	0	0	10
TCGA-BH-A0DZ-01	96	119	2	0	0	0
TCGA-BH-A0E0-01	1	1	16	6	0	0
TCGA-BH-A0E1-01	2	5	9	0	0	3
TCGA-BH-A0E9-01	2	0	15	8	3	0
TCGA-BH-A0EA-01	4	1	8	0	4	15
TCGA-BH-A0EI-01	2	0	10	0	5	7
TCGA-BH-A0H3-01	1	0	3	0	0	13
TCGA-BH-A0H5-01	82	68	0	0	0	19
TCGA-BH-A0H7-01	1	4	5	0	4	3
TCGA-BH-A0H9-01	4	0	2	8	4	5
TCGA-BH-A0HA-01	25	19	133	0	205	0
TCGA-BH-A0HI-01	7	2	11	0	1	14
TCGA-BH-A0HK-01	31	10	15	6	1	0
TCGA-BH-A0HN-01	7	1	16	6	0	4
TCGA-BH-A0HP-01	177	174	1	0	5	0
TCGA-BH-A0RX-01	5	2	36	4	2	0
TCGA-BH-A0W3-01	2	2	5	13	1	0
TCGA-BH-A0W4-01	9	3	8	0	3	16
TCGA-BH-A0W5-01	0	1	14	9	5	0
TCGA-BH-A0W7-01	124	132	0	0	5	0
TCGA-BH-A0WA-01	17	7	6	54	14	15
TCGA-BH-A18F-01	24	2	17	1	0	23
TCGA-BH-A18G-01	7	10	507	60	1084	0
TCGA-BH-A18H-01	9	5	2	0	13	25
TCGA-BH-A18I-01	6	2	22	1	0	0
TCGA-BH-A18J-01	56	37	1	2	15	0
TCGA-BH-A18K-01	18	15	6	15	6	8
TCGA-BH-A18L-01	1	4	27	10	9	14
TCGA-BH-A18M-01	3	3	9	2	1	0
TCGA-BH-A18N-01	0	2	18	4	14	5
TCGA-BH-A18P-01	231	186	17	0	4	0
TCGA-BH-A18Q-01	1	9	2	43	8	44
TCGA-BH-A18R-01	6	2	2	18	4	10
TCGA-BH-A18S-01	0	3	4	13	11	6
TCGA-BH-A18T-01	6	13	10	60	13	0
TCGA-BH-A18U-01	63	35	29	32	19	0
TCGA-BH-A18V-01	29	77	0	119	14	11
TCGA-BH-A1EO-01	8	0	32	10	0	0
TCGA-BH-A1ET-01	1	0	10	15	7	0
TCGA-BH-A1EU-01	2	1	5	0	7	19
TCGA-BH-A1EV-01	39	39	27	18	6	0
TCGA-BH-A1EW-01	6	0	2	0	3	10
TCGA-BH-A1EX-01	3	0	12	9	6	5
TCGA-BH-A1EY-01	6	13	14	5	8	9
TCGA-BH-A1F0-01	2	21	12	19	2	39
TCGA-BH-A1F2-01	12	9	27	16	5	2
