Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
TCGA-DA-A1HW-06	125	118	0	0	63	65	4	1	0	0	56	0	19	1	0
TCGA-DA-A1HY-06	356	327	0	0	83	97	6	0	0	0	0	0	123	2	4
TCGA-DA-A1I0-06	204	213	0	0	80	81	4	8	0	0	32	0	62	0	2
TCGA-DA-A1I1-06	159	144	0	0	67	72	3	3	0	0	13	0	70	0	0
TCGA-DA-A1I2-06	46	54	0	2	19	14	0	6	2	0	0	0	32	1	3
TCGA-DA-A1I4-06	111	90	0	0	35	44	6	1	4	0	0	0	71	0	0
TCGA-DA-A1I5-06	225	154	0	0	72	67	0	0	0	0	0	0	70	0	1
TCGA-DA-A1I7-06	156	141	0	0	77	130	5	11	1	0	0	0	86	0	2
TCGA-DA-A1I8-06	57	62	0	0	28	11	4	3	3	0	66	0	16	0	2
TCGA-DA-A1IA-06	122	167	4	0	66	29	3	19	3	5	0	0	57	0	9
TCGA-DA-A1IB-06	0	0	0	3	0	0	0	0	2	2	0	1	0	0	0
TCGA-DA-A1IC-06	377	327	0	0	116	155	7	37	0	0	177	0	162	0	4
TCGA-DA-A3F3-06	123	76	0	0	54	65	1	12	0	0	46	0	12	0	3
TCGA-DA-A3F5-06	115	114	0	9	44	48	4	20	1	6	43	0	47	0	6
TCGA-DA-A3F8-06	596	465	0	0	225	198	4	2	0	0	73	0	75	0	6
TCGA-DA-A95V-06	105	89	0	9	42	23	14	7	2	0	72	3	3	3	0
TCGA-DA-A95W-06	67	63	0	0	17	22	6	0	0	0	0	0	37	0	4
TCGA-DA-A95X-06	204	155	0	3	91	106	4	0	0	0	0	0	118	0	3
TCGA-DA-A95Y-06	193	128	0	0	60	62	3	9	0	14	45	3	35	7	2
TCGA-DA-A95Z-06	883	612	0	0	352	406	27	8	3	0	0	0	344	0	21
TCGA-DA-A960-01	379	326	0	9	167	192	3	11	0	0	0	0	89	3	8
TCGA-EB-A1NK-01	57	48	0	3	23	23	3	6	1	0	2	1	28	1	0
TCGA-EB-A24C-01	1	2	0	6	2	2	5	11	0	4	0	0	0	2	0
TCGA-EB-A24D-01	242	210	0	0	87	87	0	11	0	0	68	0	104	2	4
TCGA-EB-A299-01	71	71	0	0	22	21	0	6	1	0	15	0	0	0	0
TCGA-EB-A3HV-01	12	12	0	10	9	5	5	0	0	0	0	0	7	0	3
TCGA-EB-A3XB-01	221	162	0	0	79	91	3	10	0	9	40	0	81	0	0
TCGA-EB-A3XC-01	179	178	0	13	53	66	0	11	4	0	33	12	0	15	4
TCGA-EB-A3XD-01	157	145	0	0	63	95	0	0	0	0	56	0	4	0	0
TCGA-EB-A3XE-01	6	0	1	3	0	0	5	0	0	0	0	0	7	0	0
TCGA-EB-A3XF-01	190	135	0	4	76	68	3	0	1	2	0	0	55	0	2
TCGA-EB-A3Y6-01	234	247	0	11	106	110	9	12	0	0	56	0	49	5	2
TCGA-EB-A3Y7-01	486	382	0	0	241	179	9	12	0	12	146	0	20	15	16
TCGA-EB-A41A-01	912	610	0	0	388	326	7	0	0	0	128	0	238	0	11
TCGA-EB-A41B-01	204	143	0	0	95	94	3	4	0	0	12	0	0	0	0
TCGA-EB-A42Y-01	11	8	1	3	6	4	8	9	2	3	0	15	0	9	2
TCGA-EB-A42Z-01	36	37	0	5	7	31	6	2	0	0	0	0	32	0	1
TCGA-EB-A430-01	159	165	0	0	45	75	3	1	0	0	77	0	0	1	3
TCGA-EB-A431-01	820	823	0	10	300	231	0	10	2	0	167	0	0	21	13
TCGA-EB-A44N-01	56	55	0	3	16	32	2	0	0	0	6	0	38	0	0
TCGA-EB-A44O-01	197	213	0	0	55	87	3	10	0	0	82	0	42	2	1
TCGA-EB-A44P-01	143	156	0	0	50	56	4	0	0	4	64	0	0	0	1
TCGA-EB-A44Q-06	8	1	13	0	3	0	6	6	0	6	0	9	4	0	1
TCGA-EB-A44R-06	1	0	0	9	1	7	11	11	1	10	0	7	8	5	0
TCGA-EB-A4IQ-01	2	1	0	1	0	2	3	1	0	4	6	0	0	0	2
TCGA-EB-A4IS-01	241	234	0	7	76	53	3	0	1	0	75	0	80	0	3
TCGA-EB-A4OY-01	3	5	5	0	0	0	9	11	6	14	0	11	0	3	5
TCGA-EB-A4OZ-01	1	2	1	4	0	0	0	1	1	4	0	0	0	1	1
TCGA-EB-A4P0-01	75	87	1	3	31	12	5	10	0	9	12	5	0	0	8
TCGA-EB-A4XL-01	214	212	0	0	82	50	11	0	0	0	0	0	86	9	2
TCGA-EB-A51B-01	197	167	0	3	65	24	4	17	0	0	33	0	44	0	13
TCGA-EB-A550-01	58	56	0	0	16	33	8	2	0	0	30	0	0	0	0
TCGA-EB-A551-01	129	99	0	0	58	77	0	6	0	3	62	0	35	5	0
TCGA-EB-A553-01	106	124	1	13	31	43	3	13	6	0	39	22	21	7	6
TCGA-EB-A57M-01	0	1	9	3	7	0	9	8	3	3	0	10	2	1	3
TCGA-EB-A5FP-01	164	199	0	0	87	65	6	2	0	0	34	0	0	0	0
TCGA-EB-A5KH-06	1	3	0	7	0	1	5	8	3	0	0	9	11	2	4
TCGA-EB-A5SE-01	114	124	0	0	45	51	2	0	2	0	28	2	28	1	1
TCGA-EB-A5SF-01	5	5	0	2	9	1	0	2	1	3	3	8	0	0	3
