Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS7a	SBS7b	SBS13	SBS15	SBS54
TCGA-55-6981-01	16	0	0	0	47	0	0	0	0	0
TCGA-55-6982-01	15	100	0	0	56	0	0	116	0	0
TCGA-55-6983-01	4	0	0	71	29	0	12	0	18	0
TCGA-55-6984-01	2	0	0	0	25	0	0	0	0	0
TCGA-55-6985-01	15	0	0	431	138	0	0	0	0	0
TCGA-55-6986-01	4	0	0	0	15	0	6	0	0	0
TCGA-55-6987-01	11	33	0	96	64	0	0	50	0	0
TCGA-55-7227-01	18	0	0	121	65	0	0	0	0	0
TCGA-55-7281-01	15	0	0	378	115	49	0	0	0	0
TCGA-55-7283-01	44	26	0	118	46	0	25	32	0	0
TCGA-55-7284-01	26	0	0	0	22	0	9	0	0	0
TCGA-55-7570-01	11	29	0	215	141	0	0	71	0	0
TCGA-55-7573-01	1	6	0	23	33	0	0	0	0	0
TCGA-55-7574-01	6	33	0	90	57	48	0	88	0	0
TCGA-55-7576-01	37	0	0	296	166	0	0	0	0	0
TCGA-55-7724-01	24	16	0	74	146	0	0	17	0	0
TCGA-55-7725-01	8	0	0	101	45	0	0	0	0	0
TCGA-55-7726-01	23	31	0	0	33	0	0	54	0	0
TCGA-55-7727-01	19	35	0	130	42	49	0	42	0	0
TCGA-55-7728-01	16	0	0	87	18	0	0	0	0	0
TCGA-55-7815-01	19	0	0	111	52	0	0	0	0	0
TCGA-55-7816-01	2	0	0	0	0	0	0	0	0	0
TCGA-55-7903-01	24	15	0	84	55	0	0	10	0	0
TCGA-55-7907-01	48	102	0	1032	146	0	0	125	0	0
TCGA-55-7910-01	26	0	0	274	68	0	0	0	0	0
TCGA-55-7911-01	12	0	0	170	96	0	0	0	0	0
TCGA-55-7913-01	27	0	0	288	120	0	0	0	0	0
TCGA-55-7914-01	14	0	0	112	65	0	0	0	23	0
TCGA-55-7994-01	56	0	0	1414	420	0	0	0	0	0
TCGA-55-7995-01	19	57	0	496	206	0	0	44	0	0
TCGA-55-8085-01	26	59	0	123	65	0	0	55	0	0
