Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
TCGA-EB-A5SF-01	5	5	3	14	8	0	2	1	1	3	0
TCGA-EB-A5SG-06	170	110	0	60	0	0	0	21	1	6	1
TCGA-EB-A5SH-06	21	0	51	1	8	12	5	0	8	13	3
TCGA-EB-A5UL-06	227	230	10	71	0	0	13	68	1	4	8
TCGA-EB-A5UM-01	307	259	0	74	0	0	16	93	3	0	0
TCGA-EB-A5UN-06	377	376	0	121	0	0	30	91	3	0	0
TCGA-EB-A5VU-01	7	12	13	0	3	0	20	3	5	2	0
TCGA-EB-A6L9-06	1	0	3	0	3	6	6	2	4	3	0
TCGA-EB-A6QY-01	333	293	0	141	0	0	4	101	0	0	0
TCGA-EB-A6QZ-01	150	149	0	32	1	0	11	38	5	0	1
TCGA-EB-A6R0-01	172	211	0	79	0	0	16	44	6	0	0
TCGA-EB-A82B-01	0	12	3	2	2	0	40	0	2	4	0
TCGA-EB-A82C-01	7	0	5	4	10	0	9	11	0	2	0
TCGA-EB-A85I-01	114	88	14	42	0	7	4	37	0	0	0
TCGA-EB-A85J-01	255	139	0	86	0	2	0	81	1	0	0
TCGA-EB-A97M-01	179	120	0	50	0	0	24	51	5	0	0
TCGA-EE-A17X-06	434	337	0	201	0	0	22	96	0	0	0
TCGA-EE-A17Y-06	89	78	0	37	0	3	8	7	3	7	0
TCGA-EE-A17Z-06	0	2	6	0	9	1	4	1	0	3	0
TCGA-EE-A180-06	274	243	0	99	0	10	7	92	0	0	0
TCGA-EE-A181-06	1675	1296	0	628	0	0	0	394	11	0	0
TCGA-EE-A182-06	840	572	0	391	0	0	0	237	0	0	0
TCGA-EE-A183-06	433	283	0	162	0	0	2	136	0	0	0
TCGA-EE-A184-06	15	0	375	3	0	13	0	3	0	0	1
TCGA-EE-A185-06	90	99	0	41	0	0	9	24	5	0	0
TCGA-EE-A20B-06	93	95	0	32	0	0	0	22	0	2	0
TCGA-EE-A20C-06	1110	1083	0	364	0	0	54	249	6	0	5
TCGA-EE-A20F-06	257	206	0	121	0	0	0	66	1	0	0
TCGA-EE-A20H-06	348	232	0	106	5	0	14	84	0	20	4
TCGA-EE-A20I-06	0	4	8	2	0	1	7	3	3	2	0
TCGA-EE-A29A-06	145	137	0	43	0	0	3	19	7	0	0
TCGA-EE-A29B-06	318	225	0	156	0	0	0	47	0	3	0
TCGA-EE-A29C-06	197	232	0	67	0	0	3	73	1	0	0
TCGA-EE-A29D-06	2233	1808	0	672	0	0	0	531	0	0	0
TCGA-EE-A29E-06	2013	1442	0	1004	0	0	0	430	0	0	0
TCGA-EE-A29G-06	179	132	0	84	3	0	0	54	0	22	0
TCGA-EE-A29H-06	180	124	0	63	0	0	6	45	0	0	0
TCGA-EE-A29L-06	1083	904	0	504	0	0	12	255	0	0	2
TCGA-EE-A29M-06	1444	963	0	574	0	0	0	266	0	0	0
TCGA-EE-A29N-06	300	343	0	88	0	0	33	77	5	0	1
TCGA-EE-A29P-06	195	140	0	37	0	6	7	24	1	0	0
TCGA-EE-A29Q-06	143	139	0	63	0	2	3	53	2	4	0
TCGA-EE-A29R-06	382	304	0	156	0	0	0	92	0	0	0
TCGA-EE-A29S-06	618	488	0	224	0	0	1	158	1	8	0
TCGA-EE-A29T-06	198	98	23	83	0	23	23	60	5	0	0
TCGA-EE-A29V-06	539	616	0	144	0	0	26	84	3	0	0
TCGA-EE-A29W-06	24	36	2	12	0	0	9	9	0	0	1
TCGA-EE-A29X-06	79	79	0	30	0	1	0	14	0	1	1
TCGA-EE-A2A0-06	275	108	0	81	11	3	9	41	4	1	0
TCGA-EE-A2A1-06	220	159	0	69	0	0	15	66	0	0	0
TCGA-EE-A2A2-06	854	800	0	240	0	0	68	100	0	0	12
TCGA-EE-A2A5-06	142	183	0	75	0	0	2	36	0	0	0
TCGA-EE-A2A6-06	128	144	0	81	0	0	0	64	0	0	0
TCGA-EE-A2GB-06	367	317	0	129	0	0	0	98	0	0	0
TCGA-EE-A2GC-06	1283	1145	0	492	0	0	0	314	0	0	0
TCGA-EE-A2GD-06	334	192	0	130	0	0	5	82	1	0	0
TCGA-EE-A2GE-06	121	144	0	41	0	3	0	16	1	0	0
TCGA-EE-A2GH-06	171	139	0	72	0	4	1	36	3	0	0
TCGA-EE-A2GI-06	860	722	0	332	0	0	22	206	0	0	0
TCGA-EE-A2GJ-06	691	504	0	227	0	0	8	164	2	9	5
TCGA-EE-A2GK-06	0	0	4	0	0	0	0	0	0	0	0
TCGA-EE-A2GL-06	198	196	0	43	0	0	0	52	3	0	5
TCGA-EE-A2GM-06	384	350	0	143	0	0	15	82	0	0	0
TCGA-EE-A2GN-06	210	228	0	86	0	2	0	40	3	0	0
TCGA-EE-A2GO-06	1148	1027	0	302	0	0	25	279	0	0	0
TCGA-EE-A2GP-06	375	250	0	125	0	0	21	93	0	0	0
TCGA-EE-A2GR-06	787	921	0	294	0	0	37	176	0	0	0
TCGA-EE-A2GS-06	178	157	0	81	0	0	9	43	0	0	0
TCGA-EE-A2GT-06	220	103	0	44	0	0	42	44	9	0	0
TCGA-EE-A2GU-06	396	233	0	132	0	2	1	64	0	0	0
TCGA-EE-A2M5-06	980	1175	0	338	0	0	0	260	5	0	7
TCGA-EE-A2M6-06	325	244	0	96	0	8	3	61	3	2	4
TCGA-EE-A2M7-06	13	11	23	10	0	0	11	10	4	3	1
TCGA-EE-A2M8-06	55	23	0	33	0	0	7	27	2	4	0
TCGA-EE-A2MC-06	441	279	0	124	0	0	6	171	5	4	0
TCGA-EE-A2MD-06	921	700	0	392	0	0	0	318	0	0	0
TCGA-EE-A2ME-06	16	10	0	3	3	0	4	6	0	0	0
TCGA-EE-A2MF-06	481	219	0	197	0	0	4	97	3	17	14
TCGA-EE-A2MG-06	136	77	0	32	0	0	14	18	0	0	0
TCGA-EE-A2MH-06	69	88	0	17	0	5	2	20	0	0	0
TCGA-EE-A2MI-06	689	420	0	236	0	0	11	132	0	0	0
TCGA-EE-A2MJ-06	1142	741	0	449	0	0	0	318	2	0	0
TCGA-EE-A2MK-06	150	117	0	96	0	0	0	36	0	5	0
TCGA-EE-A2ML-06	254	333	0	95	0	0	2	74	0	0	0
TCGA-EE-A2MM-06	336	222	0	92	0	1	5	105	0	0	0
TCGA-EE-A2MN-06	65	79	0	41	0	0	1	19	0	0	0
TCGA-EE-A2MP-06	134	158	0	42	0	3	8	46	0	2	0
TCGA-EE-A2MQ-06	123	138	0	38	0	0	8	51	7	0	0
TCGA-EE-A2MR-06	1687	1356	0	1028	0	0	0	990	0	0	0
TCGA-EE-A2MS-06	1409	1611	0	598	0	0	0	364	0	0	0
TCGA-EE-A2MT-06	515	449	0	155	0	0	20	118	2	0	0
TCGA-EE-A2MU-06	344	290	0	155	0	0	0	94	1	0	26
TCGA-EE-A3AA-06	799	628	0	399	0	0	0	224	0	0	0
TCGA-EE-A3AB-06	251	219	0	35	5	0	5	25	11	332	26
TCGA-EE-A3AC-06	566	464	0	230	0	0	13	112	0	0	0
TCGA-EE-A3AD-06	221	223	0	82	0	0	6	60	0	4	0
TCGA-EE-A3AE-06	830	591	0	394	0	0	0	198	0	0	0
TCGA-EE-A3AF-06	549	581	0	106	0	1	38	77	9	0	0
TCGA-EE-A3AG-06	916	886	0	303	0	0	0	207	0	0	0
TCGA-EE-A3AH-06	209	180	0	69	0	0	0	50	0	0	0
TCGA-EE-A3J3-06	60	82	0	21	0	9	16	32	7	0	0
TCGA-EE-A3J4-06	136	124	0	77	0	8	38	18	1	1	15
TCGA-EE-A3J5-06	1333	918	0	374	0	0	38	256	4	17	0
TCGA-EE-A3J7-06	416	607	0	160	0	22	36	109	0	0	0
TCGA-EE-A3J8-06	167	89	0	73	0	3	0	35	3	1	0
TCGA-EE-A3JA-06	655	380	0	245	0	0	20	134	1	0	0
TCGA-EE-A3JB-06	288	360	0	120	0	10	11	58	5	0	7
TCGA-EE-A3JD-06	1166	980	0	469	0	0	0	487	0	0	0
TCGA-EE-A3JE-06	121	153	0	41	5	1	0	47	1	0	0
TCGA-EE-A3JH-06	77	86	0	38	0	2	24	18	0	0	0
TCGA-EE-A3JI-06	564	585	0	228	0	1	50	96	11	1	0
TCGA-ER-A193-06	1114	802	0	384	0	0	48	271	0	0	0
TCGA-ER-A194-01	758	704	0	233	0	0	2	168	1	0	0
TCGA-ER-A195-06	146	107	0	55	0	0	1	39	0	0	0
TCGA-ER-A196-01	0	3	0	2	5	10	0	2	0	3	0
TCGA-ER-A197-06	2	0	3	0	16	0	17	0	1	12	1
TCGA-ER-A198-06	233	258	0	80	0	0	27	53	1	0	0
TCGA-ER-A199-06	143	128	0	58	0	0	0	42	1	0	0
TCGA-ER-A19A-06	107	57	0	38	0	0	1	45	0	0	0
TCGA-ER-A19B-06	14	18	0	12	16	0	6	14	2	49	0
TCGA-ER-A19C-06	42	40	2	29	0	5	0	2	0	0	2
TCGA-ER-A19D-06	238	218	0	72	0	0	26	84	4	0	0
TCGA-ER-A19E-06	215	176	0	93	12	2	19	78	8	14	0
TCGA-ER-A19F-06	544	460	0	173	0	0	0	136	0	0	0
TCGA-ER-A19G-06	263	271	0	79	0	2	9	69	0	2	3
TCGA-ER-A19H-06	134	133	1	34	0	0	10	58	1	2	0
TCGA-ER-A19J-06	131	62	0	46	0	0	19	31	2	0	0
TCGA-ER-A19K-01	287	112	0	49	0	9	19	22	4	0	0
TCGA-ER-A19L-06	30	23	0	8	2	0	1	5	3	0	2
TCGA-ER-A19M-06	253	263	0	87	0	0	8	66	0	0	0
TCGA-ER-A19N-06	261	238	0	107	0	0	0	56	0	0	0
TCGA-ER-A19O-06	101	61	0	37	0	0	0	36	0	9	0
TCGA-ER-A19P-06	138	121	228	40	68	1	0	34	10	0	0
TCGA-ER-A19Q-06	49	57	0	18	0	2	3	34	0	0	0
TCGA-ER-A19S-06	126	74	0	35	0	4	13	7	2	13	1
TCGA-ER-A19T-01	5	15	4	2	15	12	6	0	5	2	4
TCGA-ER-A19W-06	161	168	0	88	0	23	0	38	4	6	0
TCGA-ER-A1A1-06	46	38	0	5	0	0	3	2	0	0	0
TCGA-ER-A2NB-01	3	11	14	0	12	8	16	6	3	7	5
TCGA-ER-A2NC-06	239	181	0	65	0	0	9	51	7	0	0
TCGA-ER-A2ND-06	39	22	2	12	9	4	18	18	0	21	0
TCGA-ER-A2NE-06	55	58	1	34	0	0	0	20	6	5	0
TCGA-ER-A2NF-01	20	7	0	0	1	4	7	2	0	0	0
TCGA-ER-A2NG-06	144	108	0	37	1	0	0	21	27	0	9
TCGA-ER-A2NH-06	180	120	0	67	0	0	0	48	0	0	0
TCGA-ER-A3ES-06	1	0	0	0	4	14	4	3	1	0	2
TCGA-ER-A3ET-06	16	5	15	2	27	9	19	0	11	7	5
TCGA-ER-A3EV-06	8	8	12	0	27	14	11	0	14	0	5
TCGA-ER-A3PL-06	207	230	0	57	0	0	1	24	0	0	0
TCGA-ER-A42H-01	3	0	13	3	8	16	29	1	3	0	2
TCGA-ER-A42K-06	82	120	0	46	0	0	0	24	0	1	0
TCGA-ER-A42L-06	676	353	0	206	0	0	0	66	0	0	0
TCGA-FR-A2OS-01	0	0	0	0	0	0	10	3	0	3	0
TCGA-FR-A3R1-01	220	244	0	37	0	0	7	81	0	0	0
TCGA-FR-A3YN-06	311	261	0	103	0	0	7	106	0	0	0
TCGA-FR-A3YO-06	511	344	0	168	0	0	5	159	2	0	0
TCGA-FR-A44A-06	154	148	0	53	0	6	20	35	4	0	0
TCGA-FR-A69P-06	120	90	0	46	0	0	9	40	0	0	0
TCGA-FR-A726-01	3775	4132	0	1558	0	0	0	681	0	0	0
TCGA-FR-A728-01	213	179	0	104	0	0	0	44	0	0	0
TCGA-FR-A729-06	469	366	0	233	0	0	0	135	0	0	1
TCGA-FR-A7U8-06	2	4	0	0	8	17	8	1	4	0	0
TCGA-FR-A7U9-06	1066	697	0	436	0	0	10	269	2	0	0
TCGA-FR-A7UA-06	119	56	0	53	0	1	0	11	1	0	0
TCGA-FR-A8YC-06	1692	1251	0	734	0	0	9	414	0	0	0
TCGA-FR-A8YD-06	17	12	22	6	32	3	6	2	13	14	5
TCGA-FR-A8YE-06	196	143	0	90	0	0	0	41	0	1	0
TCGA-FS-A1YW-06	86	57	0	37	0	4	12	23	0	0	0
TCGA-FS-A1YX-06	3	10	6	2	0	6	0	2	1	0	0
TCGA-FS-A1YY-06	129	85	0	23	0	5	14	15	3	0	0
TCGA-FS-A1Z0-06	108	121	0	69	0	0	17	34	0	1	1
TCGA-FS-A1Z3-06	552	434	0	226	0	0	0	178	0	0	0
TCGA-FS-A1Z4-06	26	8	2	4	1	3	1	0	0	6	2
TCGA-FS-A1Z7-06	100	79	0	39	0	0	18	14	0	0	0
TCGA-FS-A1ZA-06	621	486	0	301	0	0	7	207	2	0	0
TCGA-FS-A1ZB-06	134	101	0	40	0	0	0	40	1	0	0
TCGA-FS-A1ZC-06	408	308	0	153	0	0	1	107	1	0	0
TCGA-FS-A1ZD-06	128	127	0	43	0	1	9	26	0	5	2
TCGA-FS-A1ZE-06	62	38	0	36	10	0	18	22	1	3	0
TCGA-FS-A1ZF-06	88	93	0	40	7	6	5	31	0	9	0
TCGA-FS-A1ZG-06	0	2	0	0	2	17	8	0	7	6	3
TCGA-FS-A1ZH-06	1	16	3	2	1	3	8	8	1	1	0
TCGA-FS-A1ZJ-06	6	4	0	10	34	16	11	0	1	1	0
TCGA-FS-A1ZK-06	778	1050	0	201	0	0	0	167	16	0	0
TCGA-FS-A1ZM-06	122	112	10	29	0	0	14	37	5	0	2
TCGA-FS-A1ZN-01	57	47	0	18	0	6	3	4	0	2	0
TCGA-FS-A1ZP-06	225	131	0	123	0	0	7	93	1	0	0
TCGA-FS-A1ZQ-06	317	165	0	125	0	0	10	55	0	0	11
TCGA-FS-A1ZR-06	81	60	0	18	0	0	0	28	0	0	0
TCGA-FS-A1ZS-06	150	120	0	55	0	7	20	29	3	0	0
TCGA-FS-A1ZT-06	120	54	0	25	7	7	4	23	2	0	0
TCGA-FS-A1ZU-06	5	0	2	2	6	16	8	11	2	0	0
TCGA-FS-A1ZW-06	303	304	0	170	0	0	12	119	0	0	0
TCGA-FS-A1ZY-06	0	16	7	5	0	7	3	2	0	0	2
TCGA-FS-A1ZZ-06	978	492	0	365	0	0	0	312	0	0	0
TCGA-FS-A4F0-06	285	319	0	93	0	0	15	56	2	0	0
TCGA-FS-A4F4-06	6	4	7	10	3	6	8	5	5	0	2
