Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-D3-A1Q8-06	228	0	8	66	14	8	0
TCGA-D3-A1Q9-06	2	10	6	3	6	8	7
TCGA-D3-A1QA-06	406	0	7	161	27	3	0
TCGA-D3-A1QB-06	373	0	15	115	11	7	0
TCGA-D3-A2J6-06	5	5	5	7	1	3	0
TCGA-D3-A2J7-06	343	0	0	109	19	4	0
TCGA-D3-A2J8-06	540	0	0	215	21	0	0
TCGA-D3-A2J9-06	62	4	11	18	0	0	0
TCGA-D3-A2JA-06	337	13	12	108	6	18	0
TCGA-D3-A2JB-06	3	9	1	2	2	0	1
TCGA-D3-A2JC-06	182	5	9	74	0	6	0
TCGA-D3-A2JD-06	447	5	0	92	2	0	6
TCGA-D3-A2JE-06	335	0	10	88	10	3	16
TCGA-D3-A2JF-06	1494	0	0	444	36	0	0
TCGA-D3-A2JG-06	101	1	5	28	6	5	2
TCGA-D3-A2JH-06	566	0	16	222	20	29	0
TCGA-D3-A2JK-06	287	19	8	73	14	6	0
TCGA-D3-A2JL-06	293	0	15	89	25	18	0
TCGA-D3-A2JN-06	291	0	8	89	30	27	1
TCGA-D3-A2JO-06	588	0	0	181	27	45	0
TCGA-D3-A2JP-06	235	4	0	105	10	5	0
TCGA-D3-A3BZ-06	4	1	23	0	13	6	34
TCGA-D3-A3C1-06	101	9	24	46	7	12	0
TCGA-D3-A3C3-06	214	27	28	42	25	2	2
TCGA-D3-A3C6-06	113	13	0	29	0	0	0
TCGA-D3-A3C7-06	943	0	0	267	36	12	12
TCGA-D3-A3C8-06	475	0	0	174	48	6	0
TCGA-D3-A3CB-06	214	0	0	85	18	0	0
TCGA-D3-A3CC-06	7	10	3	0	14	2	3
TCGA-D3-A3CE-06	21	1	6	4	0	7	1
TCGA-D3-A3CF-06	5	17	12	2	5	0	1
TCGA-D3-A3ML-06	846	0	0	317	64	41	0
TCGA-D3-A3MO-06	32	7	10	11	8	15	0
TCGA-D3-A3MR-06	883	0	0	259	35	0	0
TCGA-D3-A3MU-06	502	0	0	104	44	12	0
TCGA-D3-A3MV-06	494	0	0	190	37	14	0
TCGA-D3-A51E-06	225	17	6	98	0	22	0
TCGA-D3-A51F-06	125	12	6	16	4	2	0
TCGA-D3-A51G-06	1169	4	23	405	26	63	0
TCGA-D3-A51H-06	29	0	0	4	5	2	0
TCGA-D3-A51J-06	474	2	0	117	16	4	0
TCGA-D3-A51K-06	2	7	9	0	4	2	8
TCGA-D3-A51N-06	74	9	5	12	9	9	1
TCGA-D3-A51R-06	689	0	0	234	34	11	0
TCGA-D3-A51T-06	1188	0	0	351	50	25	0
TCGA-D3-A5GL-06	389	0	18	107	4	47	12
TCGA-D3-A5GN-06	533	0	0	120	16	0	0
TCGA-D3-A5GO-06	1564	0	0	490	96	26	0
TCGA-D3-A5GR-06	243	5	4	53	21	26	0
TCGA-D3-A5GS-06	433	0	0	87	31	5	0
TCGA-D3-A5GT-01	0	5	12	3	0	4	2
TCGA-D3-A5GU-06	705	48	27	152	56	23	8
TCGA-D3-A8GB-06	1074	0	0	324	58	8	0
TCGA-D3-A8GC-06	887	0	0	216	32	24	0
TCGA-D3-A8GD-06	46	21	10	29	2	21	3
TCGA-D3-A8GE-06	0	3	0	0	2	3	0
TCGA-D3-A8GI-06	4922	0	0	1811	470	29	0
TCGA-D3-A8GJ-06	201	0	4	64	1	2	0
TCGA-D3-A8GK-06	587	0	0	139	41	31	0
TCGA-D3-A8GL-06	1874	0	0	580	94	15	0
TCGA-D3-A8GM-06	3347	0	461	808	181	447	0
TCGA-D3-A8GN-06	247	0	5	86	3	0	0
TCGA-D3-A8GO-06	584	0	0	168	18	30	0
TCGA-D3-A8GP-06	528	0	4	189	16	39	8
TCGA-D3-A8GQ-06	1278	0	0	530	141	32	0
TCGA-D3-A8GR-06	382	9	3	95	0	24	6
TCGA-D3-A8GS-06	218	13	15	40	5	0	2
TCGA-D3-A8GV-06	363	0	1	151	20	24	0
TCGA-D9-A148-06	239	8	11	71	30	27	0
TCGA-D9-A149-06	229	1	11	68	4	0	5
TCGA-D9-A1JW-06	996	0	0	214	0	46	0
TCGA-D9-A1JX-06	150	0	3	79	6	13	0
TCGA-D9-A1X3-06	14	15	19	0	0	0	0
TCGA-D9-A3Z1-06	521	2	5	129	15	8	0
TCGA-D9-A3Z3-06	121	0	2	33	11	16	1
