Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-B6-A2IU-01	16	0	34	4
TCGA-B6-A401-01	0	8	15	5
TCGA-B6-A409-01	4	19	26	7
TCGA-B6-A40B-01	18	20	21	7
TCGA-B6-A40C-01	1	13	33	7
TCGA-BH-A0AU-01	2	7	8	6
TCGA-BH-A0AV-01	15	52	3	17
TCGA-BH-A0AY-01	6	15	25	0
TCGA-BH-A0AZ-01	22	38	1	9
TCGA-BH-A0B0-01	73	0	26	0
TCGA-BH-A0B3-01	2	7	8	1
TCGA-BH-A0B6-01	1194	0	96	0
TCGA-BH-A0B7-01	9	10	22	1
TCGA-BH-A0B8-01	5	18	10	1
TCGA-BH-A0BA-01	8	6	7	8
TCGA-BH-A0BC-01	11	5	26	3
TCGA-BH-A0BF-01	6	10	9	8
TCGA-BH-A0BG-01	8	24	5	8
TCGA-BH-A0BJ-01	0	8	6	3
TCGA-BH-A0BL-01	0	46	22	1
TCGA-BH-A0BM-01	3	10	5	1
TCGA-BH-A0BO-01	5	3	6	17
TCGA-BH-A0BP-01	47	79	68	2
TCGA-BH-A0BQ-01	1	9	18	2
TCGA-BH-A0BS-01	0	12	7	4
TCGA-BH-A0BT-01	5	8	26	9
TCGA-BH-A0BV-01	5	7	12	0
TCGA-BH-A0BW-01	16	45	14	28
TCGA-BH-A0BZ-01	38	197	14	47
TCGA-BH-A0C0-01	5	22	6	15
TCGA-BH-A0C1-01	6	3	24	17
TCGA-BH-A0C3-01	0	7	5	6
TCGA-BH-A0C7-01	1	15	29	13
TCGA-BH-A0DD-01	5	0	23	9
TCGA-BH-A0DE-01	2	19	12	0
TCGA-BH-A0DG-01	16	15	10	6
TCGA-BH-A0DH-01	13	0	30	9
TCGA-BH-A0DI-01	21	16	17	8
TCGA-BH-A0DK-01	6	27	13	7
TCGA-BH-A0DL-01	17	5	25	18
TCGA-BH-A0DO-01	6	7	12	5
TCGA-BH-A0DP-01	5	7	7	0
TCGA-BH-A0DQ-01	0	11	16	8
TCGA-BH-A0DT-01	2	3	8	2
TCGA-BH-A0DV-01	4	9	0	2
TCGA-BH-A0DX-01	47	4	26	0
TCGA-BH-A0DZ-01	202	7	8	0
TCGA-BH-A0E0-01	0	3	19	2
TCGA-BH-A0E1-01	5	0	12	2
TCGA-BH-A0E9-01	0	5	16	7
TCGA-BH-A0EA-01	4	6	15	7
TCGA-BH-A0EI-01	0	4	13	7
TCGA-BH-A0H3-01	0	7	10	0
TCGA-BH-A0H5-01	143	7	19	0
TCGA-BH-A0H7-01	5	0	5	7
TCGA-BH-A0H9-01	3	13	4	3
TCGA-BH-A0HA-01	28	0	103	251
TCGA-BH-A0HI-01	6	8	21	0
TCGA-BH-A0HK-01	35	0	28	0
TCGA-BH-A0HN-01	4	4	26	0
TCGA-BH-A0HP-01	333	0	22	2
TCGA-BH-A0RX-01	1	0	43	5
TCGA-BH-A0W3-01	3	12	6	2
TCGA-BH-A0W4-01	10	8	20	1
TCGA-BH-A0W5-01	0	7	14	8
TCGA-BH-A0W7-01	249	0	0	12
TCGA-BH-A0WA-01	20	65	14	14
TCGA-BH-A18F-01	20	8	39	0
TCGA-BH-A18G-01	0	17	302	1349
TCGA-BH-A18H-01	14	15	10	15
TCGA-BH-A18I-01	4	0	26	1
TCGA-BH-A18J-01	89	0	3	19
TCGA-BH-A18K-01	30	21	12	5
TCGA-BH-A18L-01	0	16	34	15
TCGA-BH-A18M-01	4	0	12	2
TCGA-BH-A18N-01	0	6	17	20
TCGA-BH-A18P-01	379	0	59	0
TCGA-BH-A18Q-01	8	81	7	11
TCGA-BH-A18R-01	8	23	7	4
TCGA-BH-A18S-01	3	18	3	13
TCGA-BH-A18T-01	16	61	7	18
TCGA-BH-A18U-01	87	24	47	20
TCGA-BH-A18V-01	95	143	0	12
TCGA-BH-A1EO-01	2	3	44	1
TCGA-BH-A1ET-01	0	12	11	10
TCGA-BH-A1EU-01	2	9	12	11
TCGA-BH-A1EV-01	69	14	40	6
TCGA-BH-A1EW-01	5	5	11	0
TCGA-BH-A1EX-01	0	9	21	5
TCGA-BH-A1EY-01	16	11	17	11
TCGA-BH-A1F0-01	20	50	21	4
TCGA-BH-A1F2-01	15	13	34	9
TCGA-BH-A1F5-01	3	14	27	0
TCGA-BH-A1F6-01	6	15	18	14
TCGA-BH-A1F8-01	141	11	40	0
TCGA-BH-A1FC-01	35	41	28	26
TCGA-BH-A1FE-01	5	11	10	0
TCGA-BH-A1FG-01	1	3	9	8
TCGA-BH-A1FH-01	3	7	22	1
TCGA-BH-A1FJ-01	0	13	32	0
TCGA-BH-A1FL-01	2	4	15	5
TCGA-BH-A1FM-01	19	6	36	1
TCGA-BH-A1FN-01	75	58	0	13
TCGA-BH-A1FR-01	1	6	6	4
TCGA-BH-A1FU-01	22	49	12	35
TCGA-BH-A201-01	4	8	4	11
TCGA-BH-A202-01	2	10	10	6
