Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-D9-A6EC-06	1930	1420	0	0	0	597	53	255	284	1229
TCGA-D9-A6EG-06	24	28	0	6	21	16	2	4	3	0
TCGA-DA-A1HV-06	888	542	0	0	0	299	34	0	107	0
TCGA-DA-A1HW-06	176	160	0	0	0	65	7	0	44	0
TCGA-DA-A1HY-06	507	428	0	0	0	0	7	5	51	0
TCGA-DA-A1I0-06	282	283	0	0	0	67	3	0	51	0
TCGA-DA-A1I1-06	229	191	0	0	0	61	3	0	47	0
TCGA-DA-A1I2-06	64	77	1	0	0	20	4	4	8	1
TCGA-DA-A1I4-06	170	132	0	0	0	19	9	0	32	0
TCGA-DA-A1I5-06	329	183	0	0	0	36	8	1	32	0
TCGA-DA-A1I7-06	221	184	0	0	0	90	9	0	105	0
TCGA-DA-A1I8-06	83	113	0	0	0	32	8	13	3	0
TCGA-DA-A1IA-06	158	217	0	0	0	81	10	8	10	0
TCGA-DA-A1IB-06	0	0	4	0	0	0	2	2	0	0
TCGA-DA-A1IC-06	570	549	0	0	0	97	4	27	115	0
TCGA-DA-A3F3-06	179	102	0	0	0	62	3	0	46	0
TCGA-DA-A3F5-06	163	181	8	0	0	50	4	16	35	0
TCGA-DA-A3F8-06	830	541	0	0	0	157	17	0	99	0
TCGA-DA-A95V-06	154	139	11	9	0	40	8	0	7	4
TCGA-DA-A95W-06	100	92	0	1	0	3	0	3	17	0
TCGA-DA-A95X-06	300	205	0	0	0	92	10	2	75	0
TCGA-DA-A95Y-06	284	171	0	0	0	36	4	24	36	6
TCGA-DA-A95Z-06	1289	754	0	0	0	298	39	0	276	0
TCGA-DA-A960-01	520	373	0	0	0	153	14	0	127	0
TCGA-EB-A1NK-01	82	68	1	0	0	26	3	1	15	0
TCGA-EB-A24C-01	1	4	7	11	0	6	0	3	1	2
TCGA-EB-A24D-01	354	316	0	0	0	75	9	5	53	3
TCGA-EB-A299-01	97	88	0	0	0	10	2	0	10	0
TCGA-EB-A3HV-01	17	14	14	1	0	11	1	1	4	0
TCGA-EB-A3XB-01	323	223	0	0	0	65	4	23	58	0
TCGA-EB-A3XC-01	248	227	6	0	0	23	10	0	42	12
TCGA-EB-A3XD-01	218	182	0	0	0	45	6	0	69	0
TCGA-EB-A3XE-01	10	0	5	5	0	0	0	2	0	0
TCGA-EB-A3XF-01	271	155	0	0	0	56	11	5	38	0
TCGA-EB-A3Y6-01	323	328	0	0	0	107	10	0	73	0
TCGA-EB-A3Y7-01	673	451	0	0	0	244	26	19	97	8
TCGA-EB-A41A-01	1328	741	0	0	0	336	38	0	177	0
TCGA-EB-A41B-01	276	137	0	0	0	83	6	0	53	0
TCGA-EB-A42Y-01	15	7	4	12	17	7	3	3	3	10
TCGA-EB-A42Z-01	55	58	10	4	0	0	0	0	30	0
TCGA-EB-A430-01	224	232	0	0	0	12	4	0	57	0
TCGA-EB-A431-01	1093	985	0	0	0	172	38	0	105	4
TCGA-EB-A44N-01	83	86	2	0	0	11	0	0	26	0
TCGA-EB-A44O-01	281	319	0	0	0	24	3	0	65	0
TCGA-EB-A44P-01	197	207	0	0	0	19	9	9	37	0
TCGA-EB-A44Q-06	13	1	5	10	18	3	0	7	0	0
TCGA-EB-A44R-06	2	2	8	20	12	5	0	11	6	5
TCGA-EB-A4IQ-01	3	3	2	5	0	0	0	6	3	0
TCGA-EB-A4IS-01	350	344	7	0	0	34	12	6	20	0
TCGA-EB-A4OY-01	2	7	0	17	22	0	6	13	1	4
TCGA-EB-A4OZ-01	1	2	6	0	0	0	1	4	0	2
TCGA-EB-A4P0-01	99	111	1	1	0	29	2	11	4	0
TCGA-EB-A4XL-01	299	276	0	0	0	62	6	0	16	7
TCGA-EB-A51B-01	278	228	2	0	0	49	3	6	1	0
TCGA-EB-A550-01	82	81	0	5	0	6	2	0	27	0
TCGA-EB-A551-01	190	145	0	0	0	63	5	10	58	3
TCGA-EB-A553-01	147	179	15	0	23	17	10	5	33	6
TCGA-EB-A57M-01	0	0	7	15	17	12	4	3	0	1
TCGA-EB-A5FP-01	209	226	0	0	0	82	8	0	32	0
TCGA-EB-A5KH-06	1	8	9	10	18	0	3	0	3	2
TCGA-EB-A5SE-01	157	167	0	0	0	32	9	0	33	0
TCGA-EB-A5SF-01	7	6	3	0	3	16	2	4	1	0
TCGA-EB-A5SG-06	193	121	0	0	0	31	6	9	7	2
TCGA-EB-A5SH-06	22	0	54	13	10	0	7	13	0	3
TCGA-EB-A5UL-06	248	254	16	0	0	37	6	7	55	9
TCGA-EB-A5UM-01	342	298	0	0	0	25	7	2	78	0
TCGA-EB-A5UN-06	421	428	0	0	0	71	11	0	67	0
TCGA-EB-A5VU-01	6	17	11	9	14	2	4	0	2	0
TCGA-EB-A6L9-06	1	0	3	9	6	0	3	3	3	0
TCGA-EB-A6QY-01	377	314	0	0	0	97	7	0	77	0
TCGA-EB-A6QZ-01	165	169	0	0	7	6	7	2	29	2
TCGA-EB-A6R0-01	189	232	0	0	0	63	12	0	32	0
TCGA-EB-A82B-01	0	17	0	13	22	12	0	1	0	0
TCGA-EB-A82C-01	8	2	4	3	13	6	0	1	11	0
TCGA-EB-A85I-01	128	98	18	0	0	29	2	0	31	0
TCGA-EB-A85J-01	289	156	0	0	0	47	7	0	65	0
TCGA-EB-A97M-01	204	145	0	0	0	32	6	0	42	0
TCGA-EE-A17X-06	488	370	0	0	0	160	11	0	61	0
TCGA-EE-A17Y-06	98	89	0	0	0	29	6	10	0	0
TCGA-EE-A17Z-06	0	2	6	3	11	0	0	3	1	0
TCGA-EE-A180-06	307	271	0	0	0	63	6	0	78	0
TCGA-EE-A181-06	1895	1418	0	0	0	342	72	0	277	0
TCGA-EE-A182-06	952	609	0	0	0	273	30	0	176	0
TCGA-EE-A183-06	490	311	0	0	0	102	6	0	107	0
TCGA-EE-A184-06	18	0	375	15	0	0	0	0	0	2
TCGA-EE-A185-06	101	109	0	0	0	33	7	0	18	0
TCGA-EE-A20B-06	103	104	0	0	0	13	4	4	16	0
TCGA-EE-A20C-06	1224	1212	0	0	0	208	33	4	176	14
TCGA-EE-A20F-06	291	218	0	0	0	83	12	0	47	0
TCGA-EE-A20H-06	391	266	0	0	0	57	4	26	62	7
TCGA-EE-A20I-06	0	5	10	3	1	4	3	1	3	0
TCGA-EE-A29A-06	162	154	0	0	0	18	11	0	9	0
TCGA-EE-A29B-06	358	238	0	0	0	114	13	8	18	0
TCGA-EE-A29C-06	217	253	0	0	0	33	7	0	63	0
TCGA-EE-A29D-06	2510	2019	0	0	0	277	57	0	381	0
TCGA-EE-A29E-06	2292	1520	0	0	0	740	80	0	257	0
TCGA-EE-A29G-06	202	140	0	0	0	58	7	25	42	0
TCGA-EE-A29H-06	202	139	0	0	0	40	3	1	33	0
