Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-AC-A5EH-01	12	13	10	6	54	12	18	28	16	36
TCGA-AC-A5EI-01	9	1	7	0	1	5	4	0	16	0
TCGA-AC-A5XS-01	209	198	0	218	0	90	0	0	0	0
TCGA-AC-A5XU-01	11	2	44	23	2	4	6	7	0	14
TCGA-AC-A62V-01	3	5	37	9	16	0	2	23	0	11
TCGA-AC-A62X-01	1	3	44	4	0	1	7	0	0	27
TCGA-AC-A62Y-01	13	17	12	0	6	4	9	4	24	0
TCGA-AC-A6IV-01	0	0	2	0	0	9	0	5	11	0
TCGA-AC-A6IW-01	27	50	27	64	25	3	8	27	0	0
TCGA-AC-A6IX-01	22	5	10	14	0	0	7	11	2	0
TCGA-AC-A6NO-01	1	0	7	7	0	2	4	7	15	0
TCGA-AC-A7VB-01	0	0	12	0	0	0	2	11	7	3
TCGA-AC-A7VC-01	0	0	6	0	0	7	2	5	6	0
TCGA-AC-A8OP-01	9	14	43	9	48	28	32	19	0	42
TCGA-AC-A8OQ-01	16	4	22	1	5	16	0	19	46	8
TCGA-AC-A8OR-01	1	0	8	0	4	0	0	16	0	3
TCGA-AC-A8OS-01	13	4	8	8	11	0	9	0	26	0
TCGA-AN-A0XL-01	0	0	7	4	0	5	5	0	7	12
TCGA-AN-A0XN-01	2	13	7	14	38	9	24	23	22	23
TCGA-AN-A0XO-01	6	2	2	2	5	14	9	0	3	0
TCGA-AN-A0XP-01	5	4	6	0	3	0	8	3	0	5
TCGA-AN-A0XR-01	4	2	4	2	4	0	0	12	10	0
TCGA-AN-A0XS-01	6	0	3	0	0	4	0	16	2	1
TCGA-AN-A0XT-01	0	0	7	2	0	1	0	2	10	0
TCGA-AN-A0XU-01	5	15	5	0	27	6	5	7	37	30
TCGA-AN-A0XV-01	0	2	9	17	5	3	8	0	0	0
TCGA-AN-A0XW-01	147	186	1	89	0	0	0	0	0	0
TCGA-AO-A03M-01	368	499	0	232	0	51	0	0	0	0
TCGA-AO-A03N-01	34	35	12	9	0	19	1	14	0	10
TCGA-AO-A03U-01	0	1	0	0	0	1	0	0	1	2
TCGA-AO-A03V-01	6	2	6	39	0	5	2	0	8	4
TCGA-AO-A0JG-01	1	0	0	4	3	0	3	2	0	8
TCGA-AO-A124-01	2	8	12	0	62	15	12	14	13	40
TCGA-AO-A125-01	3	2	12	0	8	8	2	6	2	2
TCGA-AO-A126-01	3	0	3	0	0	3	0	0	16	0
