Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-50-5044-01	4.28E-01	4.79E-01	2.23E+00	7.44E-01	6.86E-01	4.88E-01	3.99E-01	2.33E+00
TCGA-50-5045-01	4.12E+00	4.27E+00	7.78E-01	2.09E+00	1.29E+00	4.70E-01	2.98E-01	8.74E-01
TCGA-50-5049-01	9.85E+00	1.06E+01	1.13E+00	4.82E+00	3.67E+00	1.21E+00	4.54E-01	1.84E+00
TCGA-50-5051-01	1.69E+00	1.49E+00	4.38E-01	1.15E+00	5.80E-01	4.25E-01	7.28E-01	4.73E-01
TCGA-50-5055-01	4.22E-02	2.85E-01	2.48E-01	3.97E-01	2.65E-01	8.82E-02	3.86E-01	2.59E-01
TCGA-50-5066-01	3.11E+00	3.07E+00	8.38E-01	2.44E+00	1.72E+00	7.41E-01	4.27E-01	1.17E+00
TCGA-50-5068-01	1.08E+00	1.20E+00	4.32E-01	1.18E+00	8.78E-01	5.00E-01	7.44E-01	4.71E-01
TCGA-50-5072-01	2.25E+00	2.28E+00	7.33E-01	1.06E+00	1.14E+00	6.81E-01	4.64E-01	9.09E-01
TCGA-50-5930-01	1.33E+01	1.53E+01	1.07E+00	6.71E+00	3.22E+00	1.23E+00	1.21E+00	1.94E+00
TCGA-50-5931-01	3.55E+00	3.81E+00	8.52E-01	2.34E+00	1.99E+00	7.66E-01	8.53E-01	1.24E+00
TCGA-50-5932-01	1.28E+00	1.29E+00	1.89E-01	5.18E-01	3.97E-01	4.83E-01	2.25E-01	1.01E-01
TCGA-50-5933-01	5.17E+00	4.86E+00	1.06E+00	3.27E+00	2.60E+00	1.06E+00	1.04E+00	1.21E+00
TCGA-50-5935-01	0.00E+00	9.04E-01	1.24E+00	9.50E-01	8.96E-01	6.81E-01	7.18E-01	1.19E+00
TCGA-50-5936-01	8.77E-01	8.70E-01	1.51E+00	1.11E+00	9.81E-01	3.63E-01	4.78E-01	1.48E+00
TCGA-50-5939-01	4.51E-01	8.70E-01	6.86E-01	8.64E-01	9.30E-01	5.88E-01	5.95E-01	8.26E-01
TCGA-50-5941-01	3.88E+00	4.01E+00	1.07E+00	3.00E+00	2.67E+00	9.25E-01	8.05E-01	1.05E+00
