Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-38-4627-01	8	0	3	3	6	8	8	0
TCGA-38-4628-01	7	40	15	47	0	8	23	9
TCGA-38-4629-01	101	55	25	60	7	30	24	48
TCGA-38-4630-01	11	18	58	0	0	17	34	27
TCGA-38-4631-01	461	228	23	142	34	34	5	0
TCGA-38-4632-01	285	103	29	66	77	55	19	21
TCGA-38-6178-01	2	28	5	9	1	14	12	20
TCGA-38-7271-01	17	47	43	0	4	2	3	0
TCGA-38-A44F-01	0	2	0	6	0	3	5	2
TCGA-44-2655-01	129	59	12	0	1	16	8	3
TCGA-44-2656-01	646	161	21	63	53	55	50	9
TCGA-44-2657-01	199	213	49	0	0	17	29	15
TCGA-44-2659-01	289	132	15	0	0	19	34	19
TCGA-44-2661-01	0	3	2	25	1	4	6	9
TCGA-44-2662-01	38	9	143	12	5	8	7	46
TCGA-44-2665-01	0	1	10	9	5	0	13	23
TCGA-44-2666-01	0	0	5	11	6	2	10	9
TCGA-44-2668-01	230	23	55	71	0	11	5	48
TCGA-44-3396-01	35	26	81	18	0	6	30	49
TCGA-44-3398-01	88	13	66	9	25	0	21	26
TCGA-44-3917-01	87	64	22	65	0	27	9	0
TCGA-44-3918-01	629	382	103	0	9	34	24	0
TCGA-44-3919-01	2	0	20	25	7	9	6	0
TCGA-44-4112-01	338	15	109	43	15	25	31	33
TCGA-44-5643-01	14	37	21	33	0	19	21	17
TCGA-44-5644-01	577	307	62	67	66	36	44	12
TCGA-44-5645-01	0	0	0	17	16	4	7	0
TCGA-44-6144-01	139	1	17	32	47	14	15	19
TCGA-44-6145-01	244	53	5	44	1	6	7	32
TCGA-44-6146-01	0	15	0	0	4	14	14	0
TCGA-44-6147-01	64	61	7	0	1	18	10	0
TCGA-44-6148-01	1	0	0	0	3	2	2	0
TCGA-44-6774-01	201	116	8	11	17	12	5	0
TCGA-44-6775-01	2	29	7	6	14	9	9	10
TCGA-44-6776-01	160	0	10	18	26	13	16	8
TCGA-44-6777-01	183	50	87	2	28	47	27	55
TCGA-44-6778-01	226	63	5	76	49	14	18	36
TCGA-44-6779-01	19	30	3	25	0	7	21	20
TCGA-44-7659-01	88	10	11	16	36	12	6	4
TCGA-44-7660-01	126	32	36	125	115	13	22	0
TCGA-44-7661-01	153	12	72	67	15	14	9	0
TCGA-44-7662-01	276	202	78	0	77	38	18	26
TCGA-44-7667-01	237	130	8	96	8	20	36	44
TCGA-44-7669-01	232	115	11	50	94	37	22	0
TCGA-44-7670-01	667	333	172	0	0	60	35	67
TCGA-44-7671-01	76	103	15	31	24	24	18	0
TCGA-44-7672-01	75	50	8	18	13	10	6	17
TCGA-44-8117-01	528	203	44	15	62	26	44	8
TCGA-44-8119-01	387	81	12	125	37	29	59	43
TCGA-44-8120-01	439	113	26	59	33	23	25	27
TCGA-44-A479-01	239	52	21	0	13	12	22	18
TCGA-44-A47A-01	27	48	102	53	5	12	24	0
TCGA-44-A47B-01	0	25	0	0	0	6	21	8
TCGA-44-A47F-01	0	45	15	0	0	12	23	18
TCGA-44-A47G-01	16	4	18	22	8	13	12	8
TCGA-44-A4SS-01	257	28	61	116	59	32	17	24
TCGA-44-A4SU-01	57	40	3	13	24	14	27	9
TCGA-49-4486-01	18	17	125	5	11	17	5	15
TCGA-49-4487-01	161	98	65	40	35	19	4	10
TCGA-49-4488-01	211	40	22	0	17	6	12	59
TCGA-49-4490-01	0	0	17	3	14	4	24	6
TCGA-49-4494-01	90	42	10	57	0	9	18	6
TCGA-49-4501-01	2	0	7	0	0	5	34	24
TCGA-49-4505-01	91	85	15	2	8	2	36	35
TCGA-49-4506-01	65	1	3	0	37	7	17	10
TCGA-49-4507-01	67	24	38	44	0	18	21	37
TCGA-49-4510-01	18	0	6	11	24	4	3	0
TCGA-49-4512-01	1	8	3	13	0	5	16	9
TCGA-49-4514-01	128	69	108	0	7	36	24	41
TCGA-49-6742-01	44	0	114	0	0	26	27	143
TCGA-49-6743-01	336	47	188	45	105	64	24	136
TCGA-49-6744-01	133	74	7	42	8	20	1	0
