Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-EB-A5VU-01	6	15	28	13	1	0	2	0
TCGA-EB-A6L9-06	1	5	1	11	4	4	2	0
TCGA-EB-A6QY-01	485	0	285	0	0	0	102	0
TCGA-EB-A6QZ-01	200	0	154	0	0	0	32	1
TCGA-EB-A6R0-01	235	0	250	0	0	0	43	0
TCGA-EB-A82B-01	0	0	41	22	0	1	0	1
TCGA-EB-A82C-01	9	9	8	6	0	4	12	0
TCGA-EB-A85I-01	172	20	68	7	0	0	39	0
TCGA-EB-A85J-01	413	0	57	4	0	1	89	0
TCGA-EB-A97M-01	270	0	94	12	0	0	53	0
TCGA-EE-A17X-06	659	0	324	0	1	0	106	0
TCGA-EE-A17Y-06	132	0	79	4	1	8	8	0
TCGA-EE-A17Z-06	0	10	6	4	0	5	1	0
TCGA-EE-A180-06	391	0	236	8	0	0	90	0
TCGA-EE-A181-06	2542	0	1052	0	0	4	406	0
TCGA-EE-A182-06	1308	0	438	0	18	15	261	0
TCGA-EE-A183-06	666	0	201	0	0	5	144	0
TCGA-EE-A184-06	16	374	0	14	0	0	6	0
TCGA-EE-A185-06	126	0	119	0	0	0	23	0
TCGA-EE-A20B-06	130	0	92	0	0	2	20	0
TCGA-EE-A20C-06	1564	0	1066	0	0	0	234	7
TCGA-EE-A20F-06	397	0	178	0	4	0	72	0
TCGA-EE-A20H-06	512	0	178	0	0	30	84	9
TCGA-EE-A20I-06	0	9	8	5	3	2	3	0
TCGA-EE-A29A-06	209	0	127	0	0	0	18	0
TCGA-EE-A29B-06	492	0	180	0	13	10	54	0
TCGA-EE-A29C-06	264	0	243	0	0	0	66	0
TCGA-EE-A29D-06	3351	0	1376	0	0	0	517	0
TCGA-EE-A29E-06	3143	0	1187	0	76	0	483	0
TCGA-EE-A29G-06	267	0	119	0	2	28	58	0
TCGA-EE-A29H-06	278	0	89	0	0	3	48	0
TCGA-EE-A29L-06	1623	0	868	0	0	0	269	0
TCGA-EE-A29M-06	2274	0	681	0	0	0	292	0
TCGA-EE-A29N-06	403	0	372	1	0	0	71	0
TCGA-EE-A29P-06	288	0	89	10	0	4	19	0
TCGA-EE-A29Q-06	202	0	149	0	0	5	53	0
TCGA-EE-A29R-06	569	0	271	0	0	0	94	0
TCGA-EE-A29S-06	903	0	424	0	0	14	157	0
TCGA-EE-A29T-06	312	40	45	38	9	3	66	0
TCGA-EE-A29V-06	727	0	618	0	0	0	67	0
TCGA-EE-A29W-06	31	0	49	3	0	0	9	1
TCGA-EE-A29X-06	118	0	73	0	0	1	13	0
TCGA-EE-A2A0-06	452	0	8	10	0	16	45	2
TCGA-EE-A2A1-06	325	0	136	0	0	0	68	0
TCGA-EE-A2A2-06	1195	0	770	11	0	0	85	13
TCGA-EE-A2A5-06	189	0	215	0	0	0	34	0
TCGA-EE-A2A6-06	187	0	163	0	2	0	65	0
TCGA-EE-A2GB-06	545	0	270	0	0	0	96	0
TCGA-EE-A2GC-06	1875	0	1050	0	0	0	309	0
TCGA-EE-A2GD-06	521	0	123	0	0	11	89	0
TCGA-EE-A2GE-06	164	0	148	0	0	0	14	0
TCGA-EE-A2GH-06	261	0	126	1	0	0	38	0
TCGA-EE-A2GI-06	1264	0	670	0	0	0	208	0
TCGA-EE-A2GJ-06	1015	0	400	0	0	24	162	9
TCGA-EE-A2GK-06	0	3	0	0	0	0	0	1
TCGA-EE-A2GL-06	277	0	170	0	0	0	45	5
TCGA-EE-A2GM-06	555	0	338	0	0	0	81	0
TCGA-EE-A2GN-06	291	0	240	0	0	0	38	0
TCGA-EE-A2GO-06	1643	0	882	0	0	0	256	0
TCGA-EE-A2GP-06	577	0	182	8	0	0	97	0
TCGA-EE-A2GR-06	1082	0	972	0	0	0	161	0
TCGA-EE-A2GS-06	252	0	172	0	0	0	44	0
TCGA-EE-A2GT-06	348	2	34	28	0	2	44	4
TCGA-EE-A2GU-06	624	0	134	2	0	0	68	0
TCGA-EE-A2M5-06	1334	0	1198	0	0	0	231	2
TCGA-EE-A2M6-06	478	0	192	4	0	8	58	6
TCGA-EE-A2M7-06	19	25	14	6	6	3	11	2
TCGA-EE-A2M8-06	89	0	12	1	10	7	32	0
TCGA-EE-A2MC-06	655	0	184	0	0	17	174	0
TCGA-EE-A2MD-06	1412	0	582	0	0	0	337	0
TCGA-EE-A2ME-06	22	0	11	2	0	0	7	0
TCGA-EE-A2MF-06	761	0	86	0	15	38	109	23
TCGA-EE-A2MG-06	209	3	41	7	0	0	17	0
TCGA-EE-A2MH-06	89	0	91	4	0	0	17	0
TCGA-EE-A2MI-06	1062	0	271	0	0	16	139	0
TCGA-EE-A2MJ-06	1804	0	502	0	0	0	346	0
TCGA-EE-A2MK-06	225	0	116	0	14	8	41	0
TCGA-EE-A2ML-06	330	0	365	0	0	0	63	0
TCGA-EE-A2MM-06	516	0	132	7	0	0	106	0
TCGA-EE-A2MN-06	90	0	94	0	2	0	19	0
TCGA-EE-A2MP-06	178	0	170	2	0	1	42	0
TCGA-EE-A2MQ-06	167	0	150	0	0	0	48	0
TCGA-EE-A2MR-06	2598	0	1313	0	81	0	1069	0
TCGA-EE-A2MS-06	2008	0	1627	0	0	0	347	0
TCGA-EE-A2MT-06	743	0	403	0	0	0	113	0
TCGA-EE-A2MU-06	517	0	267	0	0	0	98	28
TCGA-EE-A3AA-06	1245	0	538	0	19	0	248	0
TCGA-EE-A3AB-06	352	0	159	0	0	355	13	30
TCGA-EE-A3AC-06	844	0	423	0	0	1	117	0
TCGA-EE-A3AD-06	308	0	230	0	0	1	57	0
