Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-D3-A8GO-06	284	244	0	108	0	2	7	74	0	10	10	61	0	0
TCGA-D3-A8GP-06	258	191	16	93	0	10	7	87	7	12	17	78	0	8
TCGA-D3-A8GQ-06	727	526	2	417	0	0	0	239	0	11	0	58	0	1
TCGA-D3-A8GR-06	174	168	8	45	2	5	1	46	5	13	21	25	0	6
TCGA-D3-A8GS-06	94	104	3	32	8	9	8	16	0	0	15	0	0	4
TCGA-D3-A8GV-06	183	147	0	87	9	6	6	70	0	7	0	42	0	2
TCGA-D9-A148-06	96	115	0	55	0	1	12	28	4	4	15	24	32	0
TCGA-D9-A149-06	99	106	0	34	1	0	19	33	2	0	0	22	0	2
TCGA-D9-A1JW-06	485	420	20	118	0	9	1	98	5	40	9	51	0	0
TCGA-D9-A1JX-06	74	61	0	32	0	4	2	40	3	4	7	24	0	0
TCGA-D9-A1X3-06	4	8	5	0	4	6	9	0	0	0	2	10	0	0
TCGA-D9-A3Z1-06	214	222	0	77	0	1	8	55	0	0	0	103	0	0
TCGA-D9-A3Z3-06	64	38	0	30	1	2	6	10	0	6	1	21	3	2
TCGA-D9-A3Z4-01	57	62	0	7	1	0	14	10	0	0	0	24	32	0
TCGA-D9-A4Z2-01	0	5	5	0	0	5	2	3	0	4	3	0	0	4
TCGA-D9-A4Z3-01	422	423	0	43	8	14	29	46	20	21	20	32	0	0
TCGA-D9-A4Z5-01	5	10	0	4	38	6	10	4	6	1	3	1	0	0
TCGA-D9-A4Z6-06	143	98	0	47	1	0	3	29	2	0	8	38	0	0
TCGA-D9-A6E9-06	77	75	0	29	4	7	2	19	3	7	10	5	8	0
TCGA-D9-A6EA-06	300	282	12	144	0	1	6	68	1	0	9	52	0	14
TCGA-D9-A6EC-06	1442	1337	0	719	0	0	0	445	0	315	56	149	99	1206
TCGA-D9-A6EG-06	18	20	0	11	0	6	7	4	1	1	16	15	5	0
TCGA-DA-A1HV-06	659	532	0	343	0	0	0	184	6	0	18	120	0	8
TCGA-DA-A1HW-06	135	142	0	72	1	3	5	55	2	1	1	34	0	1
TCGA-DA-A1HY-06	363	347	0	88	0	4	0	78	4	0	0	114	0	0
TCGA-DA-A1I0-06	210	233	0	87	4	1	14	66	0	0	0	71	0	0
TCGA-DA-A1I1-06	164	157	0	72	0	1	6	58	0	0	8	65	0	0
TCGA-DA-A1I2-06	47	55	0	20	2	0	8	11	3	1	0	25	7	0
TCGA-DA-A1I4-06	115	99	0	38	0	5	3	37	6	0	0	59	0	0
TCGA-DA-A1I5-06	230	162	0	77	0	0	0	51	2	0	0	67	0	0
TCGA-DA-A1I7-06	161	152	0	85	3	1	16	106	4	0	0	81	0	0
TCGA-DA-A1I8-06	60	76	0	30	0	3	5	7	4	5	6	33	23	0
TCGA-DA-A1IA-06	124	162	0	67	0	0	24	18	4	4	0	25	56	0
TCGA-DA-A1IB-06	0	0	0	0	3	0	0	0	2	2	1	0	0	0
TCGA-DA-A1IC-06	400	393	0	132	0	4	53	129	3	1	0	237	10	0
TCGA-DA-A3F3-06	128	90	0	59	0	0	16	52	0	0	13	18	16	0
TCGA-DA-A3F5-06	118	128	0	46	9	2	25	37	2	9	8	44	29	0
TCGA-DA-A3F8-06	621	510	0	245	0	0	12	157	0	0	0	81	18	0
TCGA-DA-A95V-06	108	104	0	45	9	14	9	15	4	0	11	22	28	3
TCGA-DA-A95W-06	70	68	0	18	0	6	0	19	0	0	0	35	0	0
TCGA-DA-A95X-06	207	167	5	98	5	1	3	85	2	0	0	111	0	0
TCGA-DA-A95Y-06	196	143	5	64	0	2	12	50	2	19	12	49	0	7
TCGA-DA-A95Z-06	906	665	8	380	7	17	22	333	16	0	0	302	0	0
TCGA-DA-A960-01	393	348	0	184	15	0	19	157	2	0	0	69	0	0
TCGA-EB-A1NK-01	57	52	0	25	4	2	8	19	2	0	4	22	0	1
TCGA-EB-A24C-01	1	2	0	2	7	6	9	2	0	4	0	0	0	2
TCGA-EB-A24D-01	247	231	0	92	0	0	17	65	2	0	0	112	48	1
TCGA-EB-A299-01	74	76	5	24	0	0	7	17	1	0	3	0	0	0
TCGA-EB-A3HV-01	12	15	1	10	11	5	0	5	0	0	0	4	0	0
TCGA-EB-A3XB-01	226	180	0	86	0	0	15	73	0	13	0	103	0	0
TCGA-EB-A3XC-01	183	189	0	57	15	0	15	51	6	4	23	0	10	15
TCGA-EB-A3XD-01	168	168	0	71	0	0	3	81	1	0	0	28	0	0
TCGA-EB-A3XE-01	6	0	1	0	2	5	0	0	0	0	0	7	1	0
TCGA-EB-A3XF-01	193	141	0	81	5	1	0	54	3	2	0	56	0	0
TCGA-EB-A3Y6-01	243	272	0	117	16	6	20	88	3	0	0	67	5	4
TCGA-EB-A3Y7-01	498	423	0	260	0	6	22	147	8	30	20	89	0	15
TCGA-EB-A41A-01	947	686	0	423	0	1	0	266	5	0	0	292	0	0
TCGA-EB-A41B-01	211	155	0	103	0	0	7	76	0	0	3	0	0	0
TCGA-EB-A42Y-01	11	7	1	6	4	8	9	4	3	3	15	1	0	9
TCGA-EB-A42Z-01	38	41	4	9	6	5	2	26	0	0	0	26	0	0
TCGA-EB-A430-01	168	196	7	51	0	2	6	64	0	8	17	8	0	2
TCGA-EB-A431-01	861	914	0	330	25	0	28	189	14	0	0	8	1	27
TCGA-EB-A44N-01	56	60	0	18	3	1	1	25	0	0	0	40	4	0
TCGA-EB-A44O-01	209	249	4	63	4	1	18	73	0	0	1	66	0	4
TCGA-EB-A44P-01	147	175	0	55	1	2	0	46	2	12	12	26	0	0
TCGA-EB-A44Q-06	8	1	13	3	0	7	5	0	0	6	9	1	4	0
TCGA-EB-A44R-06	1	0	0	1	9	11	15	5	1	9	6	9	0	4
TCGA-EB-A4IQ-01	2	2	0	0	1	4	1	2	0	7	1	0	2	0
TCGA-EB-A4IS-01	250	263	1	82	10	2	0	40	3	0	10	86	26	0
TCGA-EB-A4OY-01	3	4	0	0	1	10	11	0	6	13	12	0	9	3
TCGA-EB-A4OZ-01	1	2	1	0	5	0	1	0	1	4	0	0	0	1
TCGA-EB-A4P0-01	76	91	1	32	4	5	12	10	1	12	4	0	10	0
TCGA-EB-A4XL-01	218	223	0	88	0	10	2	38	0	0	0	79	0	8
TCGA-EB-A51B-01	200	182	0	70	8	5	21	22	1	2	2	52	2	0
TCGA-EB-A550-01	62	69	4	19	2	8	4	29	1	0	5	0	0	0
TCGA-EB-A551-01	135	120	0	65	0	0	11	65	2	9	0	63	0	4
TCGA-EB-A553-01	108	132	7	34	14	2	17	35	8	3	28	31	9	7
TCGA-EB-A57M-01	0	0	9	7	2	13	7	0	3	2	10	3	3	0
TCGA-EB-A5FP-01	172	216	0	96	0	5	6	52	0	0	2	8	0	0
TCGA-EB-A5KH-06	1	3	0	0	8	5	8	2	3	0	10	10	2	2
TCGA-EB-A5SE-01	117	133	0	48	0	0	2	39	3	0	12	22	22	0
TCGA-EB-A5SF-01	5	4	0	8	2	0	2	1	1	2	8	0	9	0
TCGA-EB-A5SG-06	139	112	3	55	0	0	0	22	1	10	5	19	0	3
TCGA-EB-A5SH-06	16	3	7	3	38	9	5	0	7	9	16	1	6	2
TCGA-EB-A5UL-06	177	192	0	63	24	2	8	62	1	0	19	74	0	10
TCGA-EB-A5UM-01	254	247	0	75	6	5	13	87	3	6	0	44	12	0
TCGA-EB-A5UN-06	298	318	0	108	2	0	22	86	5	0	0	159	0	0
TCGA-EB-A5VU-01	5	8	8	0	7	3	13	2	4	0	0	15	0	0
TCGA-EB-A6L9-06	1	1	5	1	1	5	5	2	3	4	0	0	0	0
TCGA-EB-A6QY-01	283	287	16	129	0	0	8	102	0	0	23	17	0	7
TCGA-EB-A6QZ-01	115	122	5	31	2	0	8	34	5	0	2	62	0	1
TCGA-EB-A6R0-01	141	180	0	69	0	4	12	44	6	0	0	72	0	0
TCGA-EB-A82B-01	1	11	0	3	5	0	30	0	1	3	9	0	1	1
TCGA-EB-A82C-01	5	1	4	3	4	1	6	10	0	0	5	9	0	0
TCGA-EB-A85I-01	91	78	0	36	16	7	2	33	0	0	0	29	14	0
TCGA-EB-A85J-01	216	156	0	81	0	7	0	79	1	2	5	7	10	0
TCGA-EB-A97M-01	149	123	0	50	0	2	20	50	5	0	9	21	0	0
TCGA-EE-A17X-06	373	345	0	182	15	0	25	101	0	0	0	48	0	1
TCGA-EE-A17Y-06	73	72	0	33	1	3	7	8	3	7	0	25	0	0
TCGA-EE-A17Z-06	0	2	4	0	4	1	3	1	0	3	8	0	0	0
TCGA-EE-A180-06	228	235	0	92	7	13	9	90	1	4	19	27	0	0
TCGA-EE-A181-06	1397	1282	0	577	0	0	0	395	15	38	49	235	0	16
TCGA-EE-A182-06	695	564	0	334	0	2	0	232	0	9	0	164	40	0
TCGA-EE-A183-06	357	288	0	146	7	3	4	132	0	2	0	77	0	0
TCGA-EE-A184-06	12	5	0	5	368	2	9	5	0	0	0	0	0	4
TCGA-EE-A185-06	76	91	4	37	1	0	8	24	5	0	2	20	0	0
TCGA-EE-A20B-06	76	90	9	30	0	0	0	21	0	8	10	0	0	0
TCGA-EE-A20C-06	912	987	0	338	4	0	49	241	9	11	0	270	28	22
TCGA-EE-A20F-06	222	207	0	107	0	1	0	66	1	1	19	0	27	0
TCGA-EE-A20H-06	266	206	0	92	0	3	6	77	0	6	5	147	0	5
TCGA-EE-A20I-06	0	3	0	2	6	1	6	2	3	1	1	0	5	0
TCGA-EE-A29A-06	119	123	0	40	0	0	3	16	5	0	11	0	37	0
TCGA-EE-A29B-06	269	231	0	135	0	2	0	50	1	15	9	19	17	1
TCGA-EE-A29C-06	162	200	0	61	0	4	1	69	1	0	5	65	5	0
TCGA-EE-A29D-06	1932	1873	0	678	0	0	0	547	4	0	5	205	0	0
TCGA-EE-A29E-06	1771	1550	0	914	0	0	0	475	7	0	48	114	0	10
TCGA-EE-A29G-06	140	116	0	67	0	0	0	51	0	15	11	74	0	0
TCGA-EE-A29H-06	142	115	0	54	2	1	3	41	0	0	0	41	19	0
TCGA-EE-A29L-06	928	900	0	454	0	7	23	268	0	0	0	148	0	32
TCGA-EE-A29M-06	1219	988	0	518	0	0	0	273	4	0	1	161	83	0
TCGA-EE-A29N-06	247	298	0	82	0	0	28	70	4	0	14	51	46	7
TCGA-EE-A29P-06	153	132	0	39	0	7	5	23	2	1	0	48	0	0
TCGA-EE-A29Q-06	115	122	0	53	0	4	1	49	2	3	7	42	11	0
TCGA-EE-A29R-06	313	284	0	137	0	4	0	91	1	0	0	104	0	0
TCGA-EE-A29S-06	502	461	0	201	0	0	5	154	3	20	21	131	0	0
TCGA-EE-A29T-06	160	112	36	73	16	22	20	59	5	3	7	0	0	0
TCGA-EE-A29V-06	444	545	0	141	0	7	22	81	4	11	0	140	17	0
TCGA-EE-A29W-06	19	27	1	10	3	2	6	9	0	0	0	14	0	2
TCGA-EE-A29X-06	67	72	0	26	0	2	0	12	0	2	0	5	17	2
TCGA-EE-A2A0-06	215	118	0	72	0	5	4	39	3	0	13	56	8	0
TCGA-EE-A2A1-06	176	147	0	62	0	0	11	62	0	0	3	55	13	0
TCGA-EE-A2A2-06	692	719	0	227	12	0	57	98	0	0	8	201	40	20
TCGA-EE-A2A5-06	116	150	0	62	0	0	2	36	1	0	1	70	0	0
TCGA-EE-A2A6-06	109	128	0	67	0	2	0	63	0	0	0	48	0	0
TCGA-EE-A2GB-06	309	308	0	120	0	0	0	97	0	3	0	72	0	2
TCGA-EE-A2GC-06	1079	1094	0	452	0	0	12	318	4	0	0	275	0	0
TCGA-EE-A2GD-06	272	202	12	115	0	1	5	81	2	7	0	46	0	1
TCGA-EE-A2GE-06	98	119	0	35	0	3	0	15	1	0	1	33	21	0
TCGA-EE-A2GH-06	146	139	0	66	6	5	3	37	3	0	1	20	0	0
TCGA-EE-A2GI-06	714	682	0	300	3	2	22	206	1	9	0	203	0	0
TCGA-EE-A2GJ-06	548	471	0	204	0	4	6	156	4	13	30	159	0	15
TCGA-EE-A2GK-06	0	0	0	0	2	0	0	0	0	0	1	0	1	0
TCGA-EE-A2GL-06	164	186	11	46	0	0	2	49	3	7	4	15	0	10
TCGA-EE-A2GM-06	320	324	0	129	0	4	12	81	0	0	0	90	14	0
TCGA-EE-A2GN-06	165	185	0	71	8	4	0	38	3	0	2	84	9	0
TCGA-EE-A2GO-06	963	999	0	306	0	3	34	274	4	1	0	178	0	19
TCGA-EE-A2GP-06	322	274	8	123	4	0	24	95	0	11	1	2	0	0
TCGA-EE-A2GR-06	676	842	0	274	0	0	43	176	3	0	0	152	42	7
TCGA-EE-A2GS-06	143	139	0	68	0	0	8	43	0	0	1	66	0	0
TCGA-EE-A2GT-06	176	115	0	47	2	1	33	41	8	2	15	8	12	2
TCGA-EE-A2GU-06	325	247	0	123	0	7	1	65	0	0	8	48	0	4
TCGA-EE-A2M5-06	807	1001	0	301	0	0	5	239	5	0	0	268	118	21
TCGA-EE-A2M6-06	257	226	3	88	3	10	1	58	4	4	11	74	0	7
TCGA-EE-A2M7-06	11	11	1	8	22	1	8	9	4	0	3	6	0	2
TCGA-EE-A2M8-06	46	27	0	28	0	0	6	26	2	6	2	8	0	0
TCGA-EE-A2MC-06	337	252	0	110	0	0	2	153	5	0	0	171	0	0
TCGA-EE-A2MD-06	792	717	0	360	0	0	0	323	3	0	0	136	0	0
TCGA-EE-A2ME-06	11	9	0	3	1	0	3	5	0	0	3	3	4	0
TCGA-EE-A2MF-06	369	221	0	162	0	3	0	94	4	4	0	162	0	13
