Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-AO-A12E-01	4	0	4	1	0	7	8	2	1	0	6	0	0	0
TCGA-AO-A12F-01	0	0	3	0	0	14	5	3	0	0	5	6	3	1
TCGA-AO-A12G-01	1	1	0	3	0	3	15	0	4	6	4	1	4	0
TCGA-AO-A12H-01	3	0	0	0	0	2	9	2	0	4	6	3	1	0
TCGA-AO-A1KO-01	0	0	4	0	0	0	0	2	0	3	1	0	0	0
TCGA-AO-A1KR-01	0	4	9	6	3	1	12	4	8	8	29	5	0	0
TCGA-AO-A1KT-01	0	1	3	3	0	5	10	4	0	13	11	1	0	0
TCGA-AQ-A04H-01	3	2	7	2	3	19	28	5	5	4	1	0	0	2
TCGA-AQ-A0Y5-01	4	0	0	8	4	10	16	6	11	2	8	0	0	1
TCGA-AQ-A1H2-01	0	0	5	2	0	5	9	4	0	2	4	0	0	3
TCGA-AQ-A1H3-01	0	2	0	0	0	6	16	0	0	0	1	0	0	2
TCGA-AQ-A54O-01	0	0	3	4	1	3	6	0	0	0	4	2	0	2
TCGA-AQ-A7U7-01	5	1	0	28	0	8	4	9	31	1	0	7	0	2
TCGA-AR-A0TP-01	3	0	13	4	6	0	6	0	4	9	22	2	0	2
TCGA-AR-A0TQ-01	4	0	7	10	4	4	8	0	2	0	2	0	7	1
TCGA-AR-A0TR-01	4	1	6	1	0	4	12	3	1	9	1	0	0	0
TCGA-AR-A0TS-01	5	3	17	5	4	9	11	0	9	0	14	10	0	3
TCGA-AR-A0TT-01	3	7	5	8	0	12	8	5	7	7	8	3	0	2
TCGA-AR-A0TU-01	4	1	3	3	8	10	6	0	10	1	34	2	6	2
TCGA-AR-A0TV-01	3	9	11	3	0	5	21	0	4	6	12	1	4	0
TCGA-AR-A0TW-01	1	0	8	1	5	7	17	5	3	1	13	0	6	0
TCGA-AR-A0TX-01	32	0	0	137	0	2	6	31	191	0	8	0	0	0
TCGA-AR-A0TZ-01	1	0	9	10	0	7	7	11	15	0	2	0	5	0
TCGA-AR-A0U0-01	0	3	3	1	0	3	4	2	8	0	5	5	14	2
TCGA-AR-A0U1-01	3	3	17	0	6	2	3	0	14	13	21	11	13	3
TCGA-AR-A0U2-01	1	4	10	0	0	19	6	2	0	1	7	6	0	0
TCGA-AR-A0U3-01	6	0	6	0	1	11	3	3	0	0	2	6	2	0
TCGA-AR-A0U4-01	8	6	10	10	12	6	5	3	46	1	59	9	22	4
TCGA-AR-A1AH-01	1	4	29	2	12	14	3	3	9	15	14	0	9	5
TCGA-AR-A1AI-01	7	9	0	2	6	10	10	9	18	7	8	3	0	0
TCGA-AR-A1AJ-01	2	0	0	16	0	5	12	3	9	2	4	0	0	0
TCGA-AR-A1AK-01	5	6	13	13	0	6	10	6	20	0	0	0	3	0
TCGA-AR-A1AL-01	1	1	4	3	0	3	4	0	3	6	0	2	3	0
TCGA-AR-A1AN-01	0	0	0	0	0	6	10	2	4	0	5	4	0	0
TCGA-AR-A1AO-01	4	3	11	10	2	7	7	7	17	0	37	6	6	5
TCGA-AR-A1AP-01	6	0	0	3	0	9	12	4	7	0	0	6	3	1
TCGA-AR-A1AQ-01	1	2	0	1	5	5	7	0	2	4	14	0	0	0
TCGA-AR-A1AR-01	1	4	7	2	2	11	6	0	7	0	3	9	6	5
TCGA-AR-A1AS-01	0	1	2	9	0	8	0	4	3	0	8	0	6	0
TCGA-AR-A1AT-01	0	3	0	1	2	4	5	1	1	2	10	2	0	1
TCGA-AR-A1AU-01	2	0	2	0	0	5	5	0	1	1	2	4	3	1
TCGA-AR-A1AV-01	4	0	2	2	0	12	8	3	1	0	3	3	10	1
TCGA-AR-A1AW-01	1	4	2	1	0	6	6	0	1	8	3	3	6	0
TCGA-AR-A1AX-01	4	1	5	0	0	3	4	5	1	0	3	4	2	0
TCGA-AR-A1AY-01	2	5	12	6	3	5	16	2	6	4	3	0	7	1
TCGA-AR-A24H-01	5	7	11	5	9	5	12	0	23	1	46	3	24	1
TCGA-AR-A24K-01	1	2	0	0	4	1	6	2	0	3	12	3	0	0
TCGA-AR-A24L-01	1	5	11	1	1	4	0	0	6	4	17	1	0	2
TCGA-AR-A24M-01	0	0	7	1	1	4	4	0	0	4	3	1	0	0
TCGA-AR-A24N-01	5	4	6	5	3	7	12	0	0	4	0	0	0	1
TCGA-AR-A24O-01	1	0	1	0	0	0	10	0	1	2	3	1	3	0
TCGA-AR-A24P-01	1	0	0	0	0	3	2	4	0	0	2	7	0	0
TCGA-AR-A24Q-01	10	4	30	16	25	11	1	2	23	9	71	2	24	4
TCGA-AR-A24R-01	0	4	0	1	1	6	7	1	0	2	3	0	0	1
TCGA-AR-A24S-01	6	0	0	5	0	7	13	1	5	6	6	6	2	0
TCGA-AR-A24T-01	1	1	8	1	0	3	7	2	1	0	0	0	0	0
TCGA-AR-A24U-01	4	0	0	8	0	7	4	2	11	0	1	6	1	0
TCGA-AR-A24V-01	0	0	4	2	0	6	5	4	3	1	0	3	0	0
TCGA-AR-A24W-01	1	2	2	0	0	2	0	1	0	0	0	6	0	0
TCGA-AR-A24X-01	2	0	12	0	0	5	5	5	0	3	0	0	0	2
TCGA-AR-A24Z-01	0	3	17	4	0	6	10	2	3	0	10	0	1	0
TCGA-AR-A250-01	8	8	9	12	1	17	23	15	49	0	3	5	5	0
TCGA-AR-A251-01	9	12	26	4	14	6	7	0	33	9	65	3	12	5
TCGA-AR-A252-01	3	1	0	0	0	4	6	0	0	4	1	0	0	0
TCGA-AR-A254-01	5	0	10	3	0	5	12	4	2	0	1	0	0	0
TCGA-AR-A255-01	5	1	17	11	5	3	10	8	20	6	1	0	2	0
TCGA-AR-A256-01	5	15	27	12	13	8	5	5	18	5	70	11	22	8
TCGA-AR-A2LE-01	30	0	0	133	0	0	4	24	119	0	0	0	84	0
TCGA-AR-A2LH-01	9	0	0	20	0	5	2	5	17	0	0	0	13	0
TCGA-AR-A2LK-01	3	3	2	4	3	9	13	1	0	1	4	1	4	0
TCGA-AR-A2LL-01	1	1	1	0	3	0	21	1	0	0	1	0	8	0
TCGA-AR-A2LM-01	0	2	1	0	1	0	1	3	0	1	7	1	0	0
TCGA-AR-A2LN-01	11	1	0	10	0	3	6	4	6	2	0	0	11	0
TCGA-AR-A2LO-01	1	0	3	1	1	2	3	1	2	0	1	0	0	2
TCGA-AR-A2LQ-01	0	3	2	0	0	1	4	0	0	1	2	0	0	0
TCGA-AR-A2LR-01	3	8	13	1	2	12	6	4	2	0	14	2	1	2
TCGA-AR-A5QM-01	3	2	8	0	5	5	9	2	0	0	0	2	0	0
TCGA-AR-A5QN-01	4	4	5	4	0	11	11	4	0	5	0	1	0	0
TCGA-AR-A5QP-01	3	1	1	3	1	3	8	2	0	5	3	0	4	0
TCGA-AR-A5QQ-01	0	6	0	4	3	4	9	0	8	10	21	25	2	4
TCGA-B6-A0I1-01	2	0	16	5	1	2	25	5	1	0	21	2	0	0
TCGA-B6-A0IH-01	4	0	5	1	0	15	3	4	0	1	0	8	0	0
TCGA-B6-A0RH-01	1	0	0	8	0	0	12	1	6	0	9	2	5	1
TCGA-B6-A0RL-01	1	5	0	12	2	9	17	3	5	1	5	7	0	2
TCGA-B6-A0RM-01	3	0	7	5	0	6	10	1	0	4	0	0	0	0
TCGA-B6-A0RN-01	0	0	5	2	0	6	10	2	0	3	3	2	0	0
TCGA-B6-A0RO-01	1	6	0	2	1	2	1	7	1	3	11	7	0	1
TCGA-B6-A0RP-01	2	5	10	0	0	6	3	0	0	1	0	2	1	0
TCGA-B6-A0RQ-01	4	5	0	10	0	4	5	2	4	0	0	10	10	2
TCGA-B6-A0RT-01	0	4	14	1	2	4	4	3	20	3	10	0	6	1
TCGA-B6-A0RU-01	1	0	6	4	5	7	4	7	2	5	4	6	5	2
TCGA-B6-A0RV-01	1	0	0	23	0	1	9	3	24	0	0	5	1	0
TCGA-B6-A0WS-01	0	0	1	1	0	1	1	0	2	6	0	0	6	0
TCGA-B6-A0WT-01	1	0	0	0	0	3	5	4	0	3	0	1	4	1
TCGA-B6-A0WV-01	3	3	0	0	0	2	5	0	4	4	9	1	3	3
TCGA-B6-A0WW-01	0	2	5	6	0	2	8	3	4	4	4	0	9	0
TCGA-B6-A0WX-01	0	0	7	0	2	4	11	4	2	7	7	0	1	0
TCGA-B6-A0WY-01	0	0	1	5	2	9	1	4	3	4	6	0	0	0
TCGA-B6-A0WZ-01	7	2	0	40	0	4	0	4	22	0	11	0	5	0
TCGA-B6-A0X0-01	0	0	9	1	1	0	6	2	0	0	1	2	3	0
TCGA-B6-A0X1-01	5	8	0	3	3	1	4	6	15	12	28	0	7	0
TCGA-B6-A0X4-01	3	0	1	0	0	0	6	8	0	0	0	3	1	0
TCGA-B6-A0X5-01	0	0	7	3	1	3	0	10	2	6	4	1	11	0
TCGA-B6-A0X7-01	0	3	1	3	0	2	6	2	1	1	0	4	0	0
TCGA-B6-A1KN-01	5	2	6	0	6	7	9	0	4	0	4	15	14	0
TCGA-B6-A2IU-01	7	1	1	10	0	10	5	10	1	4	0	5	0	0
TCGA-B6-A401-01	1	4	1	0	2	8	3	2	1	0	2	3	0	1
TCGA-B6-A409-01	4	1	10	3	3	7	12	3	4	1	4	2	0	2
TCGA-B6-A40B-01	8	5	15	10	0	8	6	0	5	3	5	0	1	0
TCGA-B6-A40C-01	3	0	6	3	0	4	22	0	2	0	2	3	9	0
TCGA-BH-A0AU-01	1	0	9	1	0	4	5	0	2	0	0	0	0	1
TCGA-BH-A0AV-01	6	13	4	2	4	5	0	2	13	10	24	0	2	2
TCGA-BH-A0AY-01	1	2	8	4	0	3	9	7	2	0	5	5	0	0
TCGA-BH-A0AZ-01	4	0	17	11	6	0	4	0	10	3	9	1	0	5
TCGA-BH-A0B0-01	4	2	0	37	0	7	0	14	22	0	0	5	8	0
TCGA-BH-A0B3-01	0	0	2	1	2	3	3	1	1	0	3	0	2	0
TCGA-BH-A0B6-01	113	21	0	457	0	6	18	68	549	0	0	0	58	0
TCGA-BH-A0B7-01	2	3	0	2	0	6	5	6	6	0	8	0	0	4
TCGA-BH-A0B8-01	1	1	1	3	0	2	1	0	0	0	5	11	9	0
TCGA-BH-A0BA-01	1	0	1	4	0	4	3	1	3	2	8	2	0	0
TCGA-BH-A0BC-01	0	1	0	7	0	6	7	3	3	0	2	10	6	0
TCGA-BH-A0BF-01	0	1	0	1	0	4	5	2	7	1	6	5	0	1
TCGA-BH-A0BG-01	0	5	5	5	2	6	2	0	3	1	16	0	0	0
TCGA-BH-A0BJ-01	0	0	4	0	0	2	1	1	0	0	3	4	2	0
TCGA-BH-A0BL-01	0	3	12	0	7	5	10	4	3	0	19	0	5	1
TCGA-BH-A0BM-01	1	2	8	2	0	2	1	0	0	0	0	2	1	0
TCGA-BH-A0BO-01	1	2	1	0	0	2	6	2	5	10	1	0	0	1
TCGA-BH-A0BP-01	16	6	30	14	7	14	26	15	34	0	23	3	8	0
TCGA-BH-A0BQ-01	0	2	3	3	2	4	5	3	0	0	2	6	0	0
TCGA-BH-A0BS-01	1	4	3	1	0	1	4	0	0	2	6	0	0	1
TCGA-BH-A0BT-01	3	3	0	4	0	11	4	3	1	2	8	4	5	0
TCGA-BH-A0BV-01	5	5	0	2	0	2	4	0	2	1	3	0	0	0
TCGA-BH-A0BW-01	3	1	16	8	6	6	10	2	7	10	13	17	0	4
TCGA-BH-A0BZ-01	9	17	28	8	21	21	4	2	33	11	98	8	29	7
TCGA-BH-A0C0-01	3	0	2	3	16	4	4	2	1	5	8	0	0	0
TCGA-BH-A0C1-01	0	7	4	7	0	15	6	1	0	3	6	0	0	1
TCGA-BH-A0C3-01	0	1	2	0	0	0	6	1	0	5	3	0	0	0
TCGA-BH-A0C7-01	1	4	14	1	2	8	15	3	3	4	3	0	0	0
TCGA-BH-A0DD-01	1	1	1	3	0	11	7	3	3	2	0	4	1	0
TCGA-BH-A0DE-01	3	7	0	1	1	0	5	0	0	1	4	5	6	0
TCGA-BH-A0DG-01	1	1	6	4	1	0	2	9	10	4	2	3	2	2
TCGA-BH-A0DH-01	6	0	2	10	1	8	13	3	3	2	2	0	0	2
TCGA-BH-A0DI-01	5	0	8	9	0	9	7	0	13	0	11	0	0	0
TCGA-BH-A0DK-01	3	0	13	2	3	1	11	0	4	5	3	1	7	0
TCGA-BH-A0DL-01	2	0	8	12	0	15	9	2	6	4	3	0	0	4
TCGA-BH-A0DO-01	1	0	0	2	2	9	0	4	3	0	4	5	0	0
TCGA-BH-A0DP-01	0	0	0	3	0	0	2	1	0	0	4	7	2	0
TCGA-BH-A0DQ-01	0	8	7	1	0	4	7	1	1	6	0	0	0	0
TCGA-BH-A0DT-01	1	0	0	3	0	2	4	0	0	0	5	0	0	0
TCGA-BH-A0DV-01	1	3	4	3	0	0	0	0	0	2	1	0	0	1
TCGA-BH-A0DX-01	5	0	13	25	0	4	10	4	15	0	1	0	0	0
TCGA-BH-A0DZ-01	9	0	0	61	0	0	3	13	103	0	0	0	28	0
TCGA-BH-A0E0-01	1	1	0	0	1	3	9	2	2	0	0	0	2	3
TCGA-BH-A0E1-01	0	0	0	1	0	1	7	4	4	0	1	0	0	1
TCGA-BH-A0E9-01	3	0	0	1	4	7	8	0	0	0	5	0	0	0
TCGA-BH-A0EA-01	3	2	4	2	0	7	3	3	1	3	3	1	0	0
TCGA-BH-A0EI-01	0	4	0	0	0	3	6	1	0	2	2	0	6	0
TCGA-BH-A0H3-01	2	2	3	1	0	1	5	0	0	0	3	0	0	0
TCGA-BH-A0H5-01	14	7	0	51	0	0	0	15	61	0	0	0	21	0
TCGA-BH-A0H7-01	1	0	0	1	2	1	5	1	4	2	0	0	0	0
TCGA-BH-A0H9-01	3	0	0	3	3	1	1	1	0	2	5	0	0	4
TCGA-BH-A0HA-01	3	11	0	19	2	76	83	10	17	128	0	28	0	5
TCGA-BH-A0HI-01	1	2	1	4	0	1	10	2	2	2	0	2	8	0
TCGA-BH-A0HK-01	3	4	0	18	0	8	3	4	9	0	1	9	4	0
TCGA-BH-A0HN-01	0	3	4	4	0	3	10	5	1	0	1	2	1	0
TCGA-BH-A0HP-01	16	0	0	103	0	0	5	9	143	0	0	0	81	0
TCGA-BH-A0RX-01	0	1	1	3	0	6	24	7	1	2	2	2	0	0
TCGA-BH-A0W3-01	0	3	2	2	1	0	5	0	2	1	4	3	0	0
TCGA-BH-A0W4-01	4	0	2	4	1	1	6	6	3	3	8	0	0	1
TCGA-BH-A0W5-01	0	0	5	0	0	5	7	2	1	3	5	0	1	0
TCGA-BH-A0W7-01	7	8	0	94	0	0	2	13	124	1	0	1	11	0
TCGA-BH-A0WA-01	6	6	0	8	6	1	9	0	7	3	37	6	24	0
TCGA-BH-A18F-01	2	4	1	13	1	0	15	7	2	0	5	0	17	0
TCGA-BH-A18G-01	18	56	0	5	110	388	270	42	6	637	46	69	6	15
TCGA-BH-A18H-01	5	3	4	5	0	3	4	1	5	9	6	0	7	2
TCGA-BH-A18I-01	0	0	2	3	0	8	6	4	2	0	0	6	0	0
TCGA-BH-A18J-01	5	0	10	44	2	9	1	0	33	6	1	0	0	0
TCGA-BH-A18K-01	8	3	2	11	0	3	2	4	15	4	9	5	0	2
TCGA-BH-A18L-01	4	0	4	0	1	14	13	3	4	2	5	9	6	0
TCGA-BH-A18M-01	1	0	0	2	0	2	6	1	3	0	0	1	2	0
TCGA-BH-A18N-01	0	0	3	0	0	10	7	2	1	7	11	1	0	1
TCGA-BH-A18P-01	42	2	0	154	0	9	12	29	173	0	0	0	17	0
TCGA-BH-A18Q-01	2	3	27	1	8	2	6	0	8	2	31	10	5	2
TCGA-BH-A18R-01	1	0	5	3	0	0	4	0	3	2	14	0	10	0
TCGA-BH-A18S-01	1	0	10	0	1	4	0	3	3	7	2	6	0	0
TCGA-BH-A18T-01	4	3	7	5	13	5	6	2	12	5	35	5	0	0
TCGA-BH-A18U-01	4	7	2	43	4	10	21	3	31	1	15	30	7	0
TCGA-BH-A18V-01	10	0	8	20	8	0	2	2	71	1	87	0	34	7
TCGA-BH-A1EO-01	1	3	8	6	1	11	17	3	0	0	0	0	0	0
TCGA-BH-A1ET-01	0	1	2	1	1	4	7	1	0	5	2	3	6	0
TCGA-BH-A1EU-01	0	2	4	1	0	1	7	0	1	5	0	7	6	0
TCGA-BH-A1EV-01	9	1	0	24	1	8	14	12	35	5	12	0	8	0
TCGA-BH-A1EW-01	2	0	3	2	0	1	1	2	0	2	1	0	7	0
TCGA-BH-A1EX-01	0	1	5	0	0	4	5	6	0	4	5	5	0	0
TCGA-BH-A1EY-01	3	1	3	3	0	3	9	6	12	8	5	2	0	0
TCGA-BH-A1F0-01	7	6	9	0	1	4	6	4	19	0	10	24	5	0
TCGA-BH-A1F2-01	2	6	3	8	1	9	16	2	8	1	4	0	11	0
TCGA-BH-A1F5-01	1	4	3	3	1	1	13	3	0	0	0	12	3	0
TCGA-BH-A1F6-01	3	0	0	3	0	9	9	0	4	0	9	14	0	2
TCGA-BH-A1F8-01	11	5	5	63	0	2	15	8	52	0	1	10	20	0
TCGA-BH-A1FC-01	5	1	9	13	5	15	13	5	25	4	19	6	3	7
TCGA-BH-A1FE-01	0	2	6	3	0	3	0	3	1	0	0	4	4	0
TCGA-BH-A1FG-01	0	0	0	0	1	4	4	1	1	0	3	4	3	0
TCGA-BH-A1FH-01	4	0	0	2	0	3	11	0	1	0	5	0	6	1
TCGA-BH-A1FJ-01	1	10	4	2	0	3	17	0	0	0	1	0	7	0
TCGA-BH-A1FL-01	1	4	2	2	0	6	3	3	0	1	0	3	0	1
TCGA-BH-A1FM-01	3	0	3	9	0	9	10	8	9	0	6	5	0	0
TCGA-BH-A1FN-01	8	4	20	30	5	3	5	0	44	0	9	12	0	6
TCGA-BH-A1FR-01	0	0	2	0	1	3	2	1	1	0	6	0	1	0
TCGA-BH-A1FU-01	5	4	2	3	2	9	6	8	17	13	26	8	8	7
TCGA-BH-A201-01	0	0	0	2	3	1	2	2	0	5	2	0	10	0
TCGA-BH-A202-01	0	0	5	3	0	3	5	1	0	2	6	0	3	0
TCGA-BH-A203-01	4	4	0	11	8	14	26	11	13	0	6	2	0	0
TCGA-BH-A204-01	2	5	10	1	0	7	5	4	5	2	6	0	5	0
TCGA-BH-A208-01	6	8	3	14	0	0	15	2	21	2	5	6	0	0
TCGA-BH-A209-01	7	5	0	27	0	0	4	8	58	0	0	9	1	0
TCGA-BH-A28Q-01	0	1	2	2	0	8	6	1	1	0	2	0	1	2
TCGA-BH-A2L8-01	60	0	0	247	0	2	11	18	290	0	0	0	0	0
TCGA-BH-A42U-01	6	0	4	11	0	0	4	3	4	0	0	0	0	0
TCGA-BH-A42V-01	2	3	0	19	0	0	7	5	17	1	1	0	0	0
TCGA-BH-A5IZ-01	8	2	12	4	9	4	15	0	7	3	20	0	12	0
TCGA-BH-A5J0-01	5	4	8	29	0	10	5	11	15	0	0	3	12	0
TCGA-BH-A6R8-01	1	0	0	2	0	5	11	3	2	1	7	0	5	0
TCGA-BH-A6R9-01	3	0	0	0	0	1	4	2	0	0	14	0	1	0
TCGA-BH-A8FY-01	7	3	2	1	4	8	0	0	6	1	12	4	8	0
TCGA-BH-A8FZ-01	1	0	8	8	2	13	3	2	5	10	29	0	4	6
TCGA-BH-A8G0-01	0	1	0	0	1	1	5	2	0	3	0	3	0	1
TCGA-BH-AB28-01	3	0	0	5	4	12	6	2	0	2	3	2	0	4
TCGA-C8-A12K-01	5	12	11	11	2	7	5	0	50	6	41	9	11	3
TCGA-C8-A12L-01	1	8	25	2	2	9	5	4	5	1	27	0	0	0
TCGA-C8-A12M-01	7	4	0	0	7	12	17	10	2	6	15	0	0	2
TCGA-C8-A12N-01	0	0	0	1	2	3	9	0	4	2	2	3	1	0
TCGA-C8-A12O-01	3	0	0	2	2	4	21	4	1	0	0	8	4	0
TCGA-C8-A12P-01	10	1	6	43	0	8	18	13	59	1	3	24	11	5
TCGA-C8-A12Q-01	11	2	10	33	0	5	4	15	43	6	0	4	6	0
TCGA-C8-A12T-01	16	2	0	61	1	5	12	6	99	0	1	0	11	0
TCGA-C8-A12U-01	1	6	8	4	2	3	22	0	6	2	4	3	0	0
TCGA-C8-A12V-01	0	1	1	1	9	1	6	3	4	4	14	4	1	3
TCGA-C8-A12W-01	0	2	3	1	0	6	38	9	4	6	8	0	0	0
TCGA-C8-A12X-01	4	6	5	0	3	12	16	4	3	3	4	0	0	5
TCGA-C8-A12Y-01	0	0	8	2	2	15	8	2	1	7	0	0	1	0
TCGA-C8-A12Z-01	7	2	0	7	0	5	13	1	12	3	6	0	5	0
TCGA-C8-A130-01	0	1	4	3	0	8	18	7	4	4	3	0	0	2
TCGA-C8-A131-01	5	4	14	7	3	14	0	9	0	3	8	5	0	2
TCGA-C8-A132-01	2	4	0	8	2	3	10	1	23	2	18	8	1	2
TCGA-C8-A133-01	4	1	4	4	6	0	1	2	0	1	4	4	0	2
TCGA-C8-A134-01	0	3	4	0	13	3	7	3	8	0	38	15	23	0
TCGA-C8-A135-01	0	0	14	3	0	18	18	6	6	6	1	5	0	0
TCGA-C8-A137-01	5	3	4	8	0	2	9	9	18	0	0	0	2	2
TCGA-C8-A138-01	6	0	10	0	4	2	15	1	1	3	3	0	7	0
TCGA-C8-A1HE-01	4	4	2	17	0	3	5	2	9	1	3	3	0	1
TCGA-C8-A1HF-01	3	0	0	6	1	4	4	2	6	1	2	6	4	0
TCGA-C8-A1HG-01	4	3	5	3	0	12	16	3	4	6	6	3	4	0
TCGA-C8-A1HI-01	2	1	5	7	0	4	21	0	9	4	13	0	6	0
TCGA-C8-A1HJ-01	0	1	8	2	11	6	8	2	13	13	51	2	2	5
TCGA-C8-A1HK-01	0	5	9	5	0	6	5	9	23	7	4	0	0	0
TCGA-C8-A1HL-01	1	6	9	0	0	10	1	1	0	0	3	0	5	1
TCGA-C8-A1HM-01	24	10	8	88	0	12	13	17	227	0	5	0	44	0
TCGA-C8-A1HN-01	4	5	16	3	0	6	19	0	2	3	5	0	5	2
TCGA-C8-A1HO-01	0	5	3	7	5	0	9	2	5	1	0	7	5	0
TCGA-C8-A26V-01	4	2	4	16	0	9	5	8	34	2	8	1	0	3
TCGA-C8-A26W-01	7	4	3	13	0	3	5	9	14	7	4	0	0	0
TCGA-C8-A26X-01	3	6	13	3	1	9	15	5	4	3	8	3	1	1
TCGA-C8-A26Y-01	47	15	93	268	0	5	7	38	364	2	0	13	38	26
TCGA-C8-A26Z-01	4	0	4	1	1	11	10	3	0	0	7	7	0	1
TCGA-C8-A273-01	0	1	2	0	0	1	6	2	1	0	2	8	0	1
TCGA-C8-A274-01	12	0	23	103	8	17	6	12	94	6	0	0	0	0
TCGA-C8-A275-01	16	2	0	28	1	4	9	9	63	3	5	0	0	2
TCGA-C8-A278-01	1	0	1	6	0	1	15	5	7	3	11	1	2	0
TCGA-C8-A27A-01	3	2	3	5	1	3	5	6	3	0	3	0	5	1
TCGA-C8-A27B-01	5	4	0	6	5	7	0	4	67	4	46	0	8	6
TCGA-C8-A3M7-01	17	0	0	75	0	11	16	17	43	0	1	4	37	0
TCGA-C8-A3M8-01	0	8	2	4	0	10	5	4	9	8	12	0	0	0
TCGA-C8-A8HP-01	14	1	5	83	0	13	4	28	112	0	0	7	6	0
TCGA-C8-A8HQ-01	16	8	0	130	4	2	26	39	147	0	0	0	0	0
TCGA-C8-A8HR-01	4	3	0	1	0	7	10	2	3	4	14	5	0	7
TCGA-C8-A9FZ-01	1	0	2	1	0	9	6	0	3	1	4	2	0	0
TCGA-D8-A13Y-01	8	3	2	9	0	3	11	1	13	9	10	0	9	4
TCGA-D8-A13Z-01	1	4	8	2	6	9	16	5	14	0	31	0	0	7
TCGA-D8-A140-01	9	7	26	19	0	20	14	4	5	9	3	3	15	0
TCGA-D8-A141-01	1	2	5	0	0	1	7	1	0	0	4	0	0	0
TCGA-D8-A142-01	8	9	19	0	0	15	39	7	17	5	33	1	4	9
TCGA-D8-A143-01	4	2	11	2	5	7	12	0	1	0	15	0	0	2
TCGA-D8-A145-01	0	3	5	1	0	10	8	0	3	5	6	6	0	0
TCGA-D8-A146-01	2	0	0	4	0	7	6	5	0	3	0	11	3	0
TCGA-D8-A147-01	12	1	1	12	18	2	7	5	48	2	65	5	8	14
TCGA-D8-A1J8-01	55	23	0	215	30	94	47	60	289	76	19	15	38	0
TCGA-D8-A1J9-01	21	0	13	87	4	4	0	31	113	0	0	0	0	5
TCGA-D8-A1JB-01	4	4	11	3	3	2	6	2	4	5	15	0	0	4
TCGA-D8-A1JC-01	9	0	0	25	0	0	16	9	36	0	9	5	13	0
TCGA-D8-A1JD-01	0	6	7	9	14	7	4	5	16	3	33	4	11	3
TCGA-D8-A1JE-01	1	0	10	1	2	4	12	0	2	4	0	0	4	0
TCGA-D8-A1JF-01	1	0	1	3	0	9	8	2	3	6	11	4	1	0
TCGA-D8-A1JG-01	10	0	3	0	7	11	22	25	12	0	1	0	73	5
TCGA-D8-A1JH-01	0	1	4	2	0	3	2	1	0	2	7	1	1	0
TCGA-D8-A1JI-01	3	8	7	1	2	2	5	2	0	6	0	3	3	0
TCGA-D8-A1JJ-01	5	1	4	25	0	9	8	8	18	2	2	13	0	3
TCGA-D8-A1JK-01	9	12	38	12	7	12	6	2	13	17	28	44	40	9
TCGA-D8-A1JL-01	6	5	20	1	8	3	7	5	12	16	35	0	5	4
TCGA-D8-A1JM-01	3	0	23	1	0	1	14	4	2	2	3	0	0	0
TCGA-D8-A1JN-01	16	5	10	68	0	6	9	27	53	0	0	3	11	0
TCGA-D8-A1JP-01	4	8	22	1	4	2	0	2	13	13	33	10	16	7
TCGA-D8-A1JS-01	4	0	4	1	0	3	7	0	0	3	3	0	4	0
TCGA-D8-A1JT-01	3	6	5	0	0	6	11	0	0	0	10	0	0	0
TCGA-D8-A1JU-01	0	1	2	1	0	1	6	1	0	5	1	2	0	0
TCGA-D8-A1X5-01	2	0	12	2	1	8	12	1	5	4	0	0	16	3
TCGA-D8-A1X6-01	0	3	0	3	1	9	11	0	0	0	8	1	6	0
TCGA-D8-A1X7-01	4	0	4	0	0	2	6	2	2	0	4	2	6	0
TCGA-D8-A1X9-01	0	7	28	1	21	0	9	0	10	10	10	0	3	3
TCGA-D8-A1XA-01	0	3	2	1	3	1	8	2	0	4	0	0	4	0
TCGA-D8-A1XB-01	1	1	6	6	0	11	7	5	2	2	1	8	0	0
TCGA-D8-A1XC-01	0	1	0	0	0	5	7	0	0	0	1	6	14	0
TCGA-D8-A1XF-01	1	0	7	1	2	13	10	8	3	0	1	3	2	0
TCGA-D8-A1XG-01	0	1	6	1	3	3	0	3	0	5	5	0	0	0
TCGA-D8-A1XK-01	0	0	83	2	1	91	99	10	11	812	18	111	0	62
TCGA-D8-A1XL-01	1	1	11	4	11	6	6	5	6	9	39	0	7	4
TCGA-D8-A1XM-01	2	1	4	12	0	0	14	9	7	0	0	0	15	0
TCGA-D8-A1XO-01	0	2	6	5	0	2	5	0	4	0	0	4	0	1
TCGA-D8-A1XQ-01	14	31	33	16	68	130	162	31	31	342	112	25	0	36
TCGA-D8-A1XR-01	0	0	0	2	2	9	2	1	0	4	1	8	3	0
TCGA-D8-A1XS-01	0	0	6	3	0	5	2	5	1	0	0	4	0	0
TCGA-D8-A1XT-01	3	3	3	2	0	7	7	1	3	0	2	8	5	1
TCGA-D8-A1XU-01	4	0	5	8	0	2	5	0	3	1	7	0	0	0
TCGA-D8-A1XV-01	1	3	5	1	1	1	16	0	4	3	1	0	0	0
TCGA-D8-A1XW-01	4	0	7	6	3	7	8	2	10	4	47	16	0	8
