Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-C8-A137-01	8	13	5	31	0	0	5	0
TCGA-C8-A138-01	0	0	13	6	0	3	0	30
TCGA-C8-A1HE-01	22	9	6	0	1	1	15	0
TCGA-C8-A1HF-01	8	6	5	6	4	4	6	0
TCGA-C8-A1HG-01	5	3	27	9	10	9	0	6
TCGA-C8-A1HI-01	8	8	14	0	0	0	42	0
TCGA-C8-A1HJ-01	2	13	11	0	66	20	0	12
TCGA-C8-A1HK-01	5	24	9	13	8	6	7	1
TCGA-C8-A1HL-01	0	0	10	1	1	6	0	19
TCGA-C8-A1HM-01	108	220	12	71	11	4	0	22
TCGA-C8-A1HN-01	5	1	20	2	5	5	13	19
TCGA-C8-A1HO-01	9	4	7	1	0	2	10	16
TCGA-C8-A26V-01	21	32	13	7	7	8	7	1
TCGA-C8-A26W-01	14	11	3	30	4	6	1	0
TCGA-C8-A26X-01	4	2	22	7	13	4	0	23
TCGA-C8-A26Y-01	340	349	0	45	0	19	0	163
TCGA-C8-A26Z-01	2	0	19	5	14	0	0	9
TCGA-C8-A273-01	0	1	6	4	1	0	10	2
TCGA-C8-A274-01	128	90	19	0	15	17	0	12
TCGA-C8-A275-01	32	56	3	44	3	2	2	0
TCGA-C8-A278-01	7	6	10	9	5	1	15	0
TCGA-C8-A27A-01	7	3	8	4	1	0	0	17
TCGA-C8-A27B-01	7	68	5	13	57	12	0	0
TCGA-C8-A3M7-01	97	36	17	64	3	4	0	0
TCGA-C8-A3M8-01	4	8	10	5	8	10	17	0
TCGA-C8-A8HP-01	100	103	8	62	0	0	0	0
TCGA-C8-A8HQ-01	158	136	22	55	0	1	0	0
TCGA-C8-A8HR-01	2	2	14	6	24	11	1	0
