Samples	SBS96A	SBS96B
TCGA-55-7570-01	302	165
TCGA-55-7573-01	41	22
TCGA-55-7574-01	107	215
TCGA-55-7576-01	422	77
TCGA-55-7724-01	170	107
TCGA-55-7725-01	141	13
TCGA-55-7726-01	22	119
TCGA-55-7727-01	146	171
TCGA-55-7728-01	105	16
TCGA-55-7815-01	155	27
TCGA-55-7816-01	1	1
TCGA-55-7903-01	128	60
TCGA-55-7907-01	1138	315
TCGA-55-7910-01	337	31
TCGA-55-7911-01	227	51
TCGA-55-7913-01	351	84
TCGA-55-7914-01	158	56
TCGA-55-7994-01	1714	176
TCGA-55-7995-01	627	195
TCGA-55-8085-01	152	176
TCGA-55-8087-01	10	27
TCGA-55-8089-01	950	596
TCGA-55-8090-01	94	19
TCGA-55-8091-01	21	14
TCGA-55-8092-01	457	268
TCGA-55-8094-01	508	49
TCGA-55-8096-01	143	36
TCGA-55-8097-01	97	42
TCGA-55-8203-01	501	29
TCGA-55-8204-01	117	153
TCGA-55-8205-01	359	289
TCGA-55-8206-01	20	18
TCGA-55-8207-01	342	45
TCGA-55-8208-01	136	308
TCGA-55-8299-01	238	35
TCGA-55-8301-01	296	66
TCGA-55-8302-01	777	68
TCGA-55-8505-01	14	34
TCGA-55-8506-01	1823	284
TCGA-55-8507-01	1116	97
TCGA-55-8508-01	187	40
TCGA-55-8510-01	338	54
TCGA-55-8511-01	563	150
TCGA-55-8512-01	38	13
TCGA-55-8513-01	3	5
TCGA-55-8514-01	314	37
TCGA-55-8614-01	196	102
TCGA-55-8615-01	134	28
TCGA-55-8616-01	565	38
TCGA-55-8619-01	16	11
TCGA-55-8620-01	545	70
TCGA-55-8621-01	67	22
TCGA-55-A48X-01	421	62
TCGA-55-A48Y-01	0	444
TCGA-55-A48Z-01	42	26
TCGA-55-A490-01	1477	166
TCGA-55-A491-01	393	73
TCGA-55-A492-01	302	53
TCGA-55-A493-01	205	135
TCGA-55-A494-01	249	46
TCGA-55-A4DF-01	156	827
TCGA-55-A4DG-01	795	49
TCGA-55-A57B-01	23	26
TCGA-62-8394-01	74	99
TCGA-62-8395-01	33	53
TCGA-62-8397-01	21	11
TCGA-62-8398-01	75	28
TCGA-62-8399-01	330	331
TCGA-62-8402-01	38	35
TCGA-62-A46O-01	838	254
TCGA-62-A46P-01	334	19
TCGA-62-A46R-01	143	66
TCGA-62-A46S-01	116	43
TCGA-62-A46U-01	29	23
TCGA-62-A46V-01	40	31
TCGA-62-A46Y-01	26	13
TCGA-62-A470-01	105	42
TCGA-62-A471-01	22	126
TCGA-62-A472-01	48	24
TCGA-64-1676-01	696	44
TCGA-64-1679-01	536	78
TCGA-64-1680-01	22	54
TCGA-64-1681-01	32	74
TCGA-64-5774-01	158	18
TCGA-64-5775-01	540	49
TCGA-64-5778-01	509	70
TCGA-64-5779-01	404	33
TCGA-64-5781-01	1148	257
TCGA-64-5815-01	192	21
TCGA-67-3770-01	248	25
TCGA-67-3771-01	749	571
TCGA-67-3773-01	106	19
TCGA-67-3774-01	121	29
TCGA-67-4679-01	314	38
TCGA-67-6215-01	73	64
TCGA-67-6216-01	11	34
TCGA-67-6217-01	195	39
TCGA-69-7760-01	54	34
TCGA-69-7761-01	28	8
TCGA-69-7763-01	75	25
TCGA-69-7764-01	87	29
TCGA-69-7765-01	629	118
TCGA-69-7973-01	281	28
TCGA-69-7974-01	561	79
TCGA-69-7978-01	478	288
TCGA-69-7979-01	1660	140
TCGA-69-7980-01	684	287
TCGA-69-8253-01	155	54
TCGA-69-8254-01	74	23
TCGA-69-8255-01	259	106
TCGA-69-A59K-01	560	77
TCGA-71-6725-01	34	39
TCGA-71-8520-01	53	52
TCGA-73-4658-01	212	236
TCGA-73-4659-01	231	31
TCGA-73-4662-01	228	40
TCGA-73-4666-01	415	56
TCGA-73-4668-01	592	37
TCGA-73-4670-01	362	79
TCGA-73-4675-01	59	25
TCGA-73-4676-01	85	27
TCGA-73-4677-01	262	42
TCGA-73-7498-01	121	18
TCGA-73-7499-01	32	51
TCGA-73-A9RS-01	1065	107
TCGA-75-5122-01	96	71
TCGA-75-5125-01	121	89
TCGA-75-5126-01	502	279
TCGA-75-5146-01	218	21
TCGA-75-5147-01	15	32
TCGA-75-6203-01	12	7
TCGA-75-6205-01	29	31
TCGA-75-6206-01	74	35
TCGA-75-6207-01	40	44
TCGA-75-6211-01	393	49
TCGA-75-6212-01	8	13
TCGA-75-6214-01	589	310
TCGA-75-7025-01	9	29
TCGA-75-7027-01	272	31
TCGA-75-7030-01	14	4
TCGA-75-7031-01	194	65
TCGA-78-7145-01	197	40
TCGA-78-7146-01	275	189
TCGA-78-7147-01	304	123
TCGA-78-7148-01	232	42
TCGA-78-7149-01	53	147
TCGA-78-7150-01	227	282
TCGA-78-7152-01	104	151
TCGA-78-7153-01	84	72
TCGA-78-7154-01	107	221
TCGA-78-7155-01	1607	231
TCGA-78-7156-01	174	243
TCGA-78-7158-01	204	80
TCGA-78-7159-01	347	33
TCGA-78-7160-01	34	23
TCGA-78-7161-01	198	38
TCGA-78-7162-01	59	42
TCGA-78-7163-01	16	11
