Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
TCGA-AR-A1AI-01	7	10	0	6	2	11	10	9	18	7	9	0	0
TCGA-AR-A1AJ-01	2	0	0	0	15	5	13	3	8	2	5	0	0
TCGA-AR-A1AK-01	5	6	10	3	13	6	12	6	21	0	0	0	0
TCGA-AR-A1AL-01	1	1	6	1	3	3	5	0	3	6	0	0	1
TCGA-AR-A1AN-01	0	0	0	0	0	7	10	2	4	0	6	0	2
TCGA-AR-A1AO-01	4	3	12	5	10	7	8	8	17	0	39	5	4
TCGA-AR-A1AP-01	6	0	1	0	3	10	16	4	7	0	0	1	3
TCGA-AR-A1AQ-01	1	2	0	5	1	6	8	0	2	5	11	0	0
TCGA-AR-A1AR-01	1	3	8	3	2	10	6	0	7	0	4	5	14
TCGA-AR-A1AS-01	0	1	3	0	10	9	0	4	3	0	8	0	3
TCGA-AR-A1AT-01	0	3	0	3	1	4	6	1	1	2	10	1	0
TCGA-AR-A1AU-01	2	0	5	0	0	5	8	0	1	1	1	1	2
TCGA-AR-A1AV-01	4	0	3	0	2	13	9	3	1	0	4	1	9
TCGA-AR-A1AW-01	1	4	3	0	1	7	6	0	2	9	3	0	5
TCGA-AR-A1AX-01	4	1	12	0	0	3	4	5	1	0	2	0	0
TCGA-AR-A1AY-01	2	5	12	6	7	6	17	2	6	5	3	1	0
TCGA-AR-A24H-01	5	7	0	14	5	4	13	0	23	1	53	1	26
TCGA-AR-A24K-01	1	2	0	4	0	1	6	2	0	4	14	0	0
TCGA-AR-A24L-01	1	4	10	2	1	4	0	0	6	3	18	2	2
TCGA-AR-A24M-01	0	0	9	1	1	5	3	0	0	4	2	0	0
TCGA-AR-A24N-01	5	3	0	5	5	8	14	0	1	3	2	1	0
TCGA-AR-A24O-01	1	0	0	0	0	0	12	0	1	2	4	0	2
TCGA-AR-A24P-01	2	0	2	0	0	4	2	5	0	0	3	0	1
TCGA-AR-A24Q-01	11	5	16	36	17	12	0	3	24	10	82	4	12
TCGA-AR-A24R-01	0	4	0	1	1	6	7	1	0	3	2	1	0
TCGA-AR-A24S-01	6	0	0	0	6	8	15	0	5	6	8	0	3
TCGA-AR-A24T-01	1	1	7	0	1	2	9	2	1	0	0	0	0
TCGA-AR-A24U-01	4	0	4	0	8	7	5	2	10	0	1	0	3
TCGA-AR-A24V-01	0	0	5	1	2	6	6	4	3	1	0	0	0
TCGA-AR-A24W-01	1	2	6	0	0	2	0	1	0	0	0	0	2
TCGA-AR-A24X-01	3	0	12	0	0	5	5	5	0	2	0	2	0
TCGA-AR-A24Z-01	0	2	20	1	3	6	10	2	3	0	9	0	0
TCGA-AR-A250-01	8	7	11	1	12	18	26	15	52	0	5	0	0
TCGA-AR-A251-01	9	12	19	20	3	6	7	0	34	8	72	5	10
TCGA-AR-A252-01	3	0	0	0	0	4	8	0	0	4	0	0	0
TCGA-AR-A254-01	6	0	9	0	2	5	13	4	2	0	1	0	0
TCGA-AR-A255-01	5	0	9	9	11	3	12	8	20	5	2	0	5
TCGA-AR-A256-01	5	16	28	19	14	9	4	5	19	5	74	8	18
TCGA-AR-A2LE-01	31	4	0	0	147	0	10	26	128	0	0	0	48
TCGA-AR-A2LH-01	10	0	0	1	21	6	3	5	18	0	0	0	7
TCGA-AR-A2LK-01	3	3	4	3	4	10	15	1	0	1	4	0	0
TCGA-AR-A2LL-01	1	1	0	4	0	0	23	1	0	0	2	0	5
TCGA-AR-A2LM-01	0	2	0	1	0	0	1	3	0	1	9	0	0
TCGA-AR-A2LN-01	12	1	0	0	14	3	9	4	6	3	0	0	2
TCGA-AR-A2LO-01	2	0	0	2	1	2	3	1	2	0	2	2	0
TCGA-AR-A2LQ-01	0	3	1	0	0	1	5	0	0	1	2	0	0
TCGA-AR-A2LR-01	3	7	11	4	1	13	5	4	2	0	16	1	3
TCGA-AR-A5QM-01	3	2	8	6	0	5	10	1	0	0	1	0	0
TCGA-AR-A5QN-01	4	3	4	0	4	13	12	4	0	5	0	0	0
TCGA-AR-A5QP-01	3	0	0	1	3	3	10	2	0	4	5	0	3
TCGA-AR-A5QQ-01	0	7	3	2	4	3	12	0	8	13	25	4	15
TCGA-B6-A0I1-01	2	0	8	4	5	1	27	5	1	0	27	0	0
TCGA-B6-A0IH-01	5	0	11	0	1	16	2	4	0	2	0	0	0
TCGA-B6-A0RH-01	1	0	0	0	9	0	13	1	6	1	12	1	1
TCGA-B6-A0RL-01	1	5	0	2	12	10	18	3	5	1	5	2	5
TCGA-B6-A0RM-01	3	0	3	1	6	7	10	1	0	3	2	0	0
TCGA-B6-A0RN-01	0	0	6	0	2	6	11	2	0	3	3	0	0
TCGA-B6-A0RO-01	1	7	2	0	2	3	1	7	1	4	14	1	0
TCGA-B6-A0RP-01	3	5	12	0	0	6	3	0	0	1	0	0	0
TCGA-B6-A0RQ-01	4	4	2	0	10	4	7	1	4	1	0	2	17
TCGA-B6-A0RT-01	0	4	13	6	1	4	5	3	19	3	12	1	1
TCGA-B6-A0RU-01	1	0	14	5	4	8	5	7	2	6	3	2	1
TCGA-B6-A0RV-01	0	0	0	0	26	1	11	3	24	0	0	0	2
TCGA-B6-A0WS-01	0	0	1	0	2	1	1	0	2	6	0	0	5
TCGA-B6-A0WT-01	1	0	0	0	0	3	7	4	0	4	0	1	2
TCGA-B6-A0WV-01	3	4	0	0	0	3	5	0	4	4	11	3	0
TCGA-B6-A0WW-01	0	2	4	1	7	2	10	4	4	4	5	0	4
TCGA-B6-A0WX-01	0	0	2	4	0	4	13	4	2	7	9	0	0
TCGA-B6-A0WY-01	0	0	1	2	5	9	0	4	3	4	7	0	0
TCGA-B6-A0WZ-01	7	2	0	0	43	4	0	4	23	0	12	0	0
TCGA-B6-A0X0-01	0	0	10	2	2	0	7	2	0	0	0	0	2
TCGA-B6-A0X1-01	6	9	0	3	3	2	4	7	15	13	30	0	0
TCGA-B6-A0X4-01	3	0	2	0	0	0	6	7	0	0	0	0	4
TCGA-B6-A0X5-01	0	0	3	2	3	2	0	11	2	5	6	0	14
TCGA-B6-A0X7-01	0	3	2	0	3	2	7	2	1	1	0	0	2
TCGA-B6-A1KN-01	6	1	5	7	0	7	10	0	3	2	7	0	24
TCGA-B6-A2IU-01	7	1	2	0	12	11	6	10	1	4	0	0	0
TCGA-B6-A401-01	1	5	2	2	0	10	2	2	1	0	2	1	0
TCGA-B6-A409-01	4	1	5	5	2	7	16	2	4	1	7	2	0
TCGA-B6-A40B-01	8	4	13	2	10	9	6	0	6	3	5	0	0
TCGA-B6-A40C-01	3	0	1	2	3	4	25	0	2	0	3	0	11
TCGA-BH-A0AU-01	1	0	6	1	1	5	5	0	2	0	1	1	0
TCGA-BH-A0AV-01	6	14	1	6	2	5	0	2	13	10	26	2	0
TCGA-BH-A0AY-01	1	2	11	0	4	3	10	7	2	0	5	0	1
TCGA-BH-A0AZ-01	4	0	14	9	10	0	4	0	10	3	11	5	0
TCGA-BH-A0B0-01	4	3	3	0	41	8	0	15	24	0	0	0	1
TCGA-BH-A0B3-01	0	0	0	4	2	3	4	1	1	0	3	0	0
TCGA-BH-A0B6-01	116	22	0	7	477	8	32	65	563	0	0	0	0
TCGA-BH-A0B7-01	2	3	0	0	2	6	6	6	6	0	7	4	0
TCGA-BH-A0B8-01	1	1	2	0	4	1	2	0	0	0	7	0	16
TCGA-BH-A0BA-01	1	0	1	0	4	5	3	0	3	2	9	0	1
TCGA-BH-A0BC-01	0	1	5	0	7	7	9	3	3	0	3	0	7
TCGA-BH-A0BF-01	0	2	2	0	1	4	6	2	6	2	7	1	0
TCGA-BH-A0BG-01	0	6	1	3	5	7	0	0	3	0	20	0	0
TCGA-BH-A0BJ-01	0	0	7	0	0	2	1	1	0	0	4	0	2
TCGA-BH-A0BL-01	0	2	5	11	0	4	11	5	3	0	22	1	5
TCGA-BH-A0BM-01	1	2	8	0	2	2	1	0	1	0	0	0	2
TCGA-BH-A0BO-01	1	2	1	0	0	2	7	2	5	10	0	1	0
TCGA-BH-A0BP-01	16	4	28	13	14	15	30	16	35	0	25	0	0
TCGA-BH-A0BQ-01	0	1	3	1	3	4	9	2	0	0	2	0	5
TCGA-BH-A0BS-01	1	3	3	0	1	1	4	0	0	2	7	1	0
TCGA-BH-A0BT-01	3	3	2	0	4	12	4	3	1	2	9	0	5
TCGA-BH-A0BV-01	6	4	0	0	2	2	4	0	2	1	3	0	0
TCGA-BH-A0BW-01	3	1	23	7	8	7	12	2	7	13	16	4	0
TCGA-BH-A0BZ-01	9	17	5	30	8	23	0	1	33	10	113	7	40
TCGA-BH-A0C0-01	3	0	1	16	3	5	4	2	1	5	8	0	0
TCGA-BH-A0C1-01	0	7	2	0	8	17	4	1	0	2	8	1	0
TCGA-BH-A0C3-01	0	0	0	0	0	0	7	1	0	5	5	0	0
TCGA-BH-A0C7-01	1	3	8	3	1	9	18	3	3	3	6	0	0
TCGA-BH-A0DD-01	1	1	5	0	3	12	7	3	3	2	0	0	0
TCGA-BH-A0DE-01	3	7	0	1	1	0	5	0	0	1	4	0	11
TCGA-BH-A0DG-01	1	2	6	2	4	0	3	9	9	5	4	2	0
TCGA-BH-A0DH-01	6	0	0	0	10	9	14	3	3	2	3	2	0
TCGA-BH-A0DI-01	5	0	6	0	9	10	7	0	12	0	13	0	0
TCGA-BH-A0DK-01	3	0	3	7	2	0	14	0	4	4	7	0	9
TCGA-BH-A0DL-01	3	0	6	0	12	15	9	2	6	3	5	4	0
TCGA-BH-A0DO-01	2	1	2	2	3	6	0	4	3	1	6	0	0
TCGA-BH-A0DP-01	0	1	3	0	4	0	3	1	0	1	3	0	3
TCGA-BH-A0DQ-01	0	8	2	2	1	5	9	1	2	5	0	0	0
TCGA-BH-A0DT-01	1	0	0	0	3	2	4	0	0	0	5	0	0
TCGA-BH-A0DV-01	1	3	1	2	3	0	0	0	0	2	2	1	0
TCGA-BH-A0DX-01	5	0	12	0	25	5	10	3	15	0	2	0	0
TCGA-BH-A0DZ-01	9	2	4	0	67	0	6	14	108	0	0	0	7
TCGA-BH-A0E0-01	1	1	0	0	0	3	12	2	2	0	0	3	0
TCGA-BH-A0E1-01	0	0	0	0	1	1	6	4	4	0	2	1	0
TCGA-BH-A0E9-01	3	0	0	4	1	8	7	0	0	0	5	0	0
TCGA-BH-A0EA-01	3	2	4	0	2	8	2	3	1	3	4	0	0
TCGA-BH-A0EI-01	0	4	1	0	1	3	7	1	0	2	2	0	3
TCGA-BH-A0H3-01	2	2	1	0	1	1	4	0	0	0	6	0	0
TCGA-BH-A0H5-01	14	8	0	0	55	0	0	16	65	0	0	0	11
TCGA-BH-A0H7-01	1	0	0	1	1	2	4	1	4	3	0	0	0
TCGA-BH-A0H9-01	3	0	0	3	2	2	1	1	0	1	6	4	0
TCGA-BH-A0HA-01	4	9	0	0	20	86	93	9	18	136	0	5	2
TCGA-BH-A0HI-01	1	1	0	0	5	0	14	1	2	1	0	0	10
TCGA-BH-A0HK-01	4	5	2	0	18	9	3	4	9	0	3	0	6
TCGA-BH-A0HN-01	0	2	6	1	4	2	12	5	1	0	1	0	0
TCGA-BH-A0HP-01	16	4	0	0	116	0	10	11	155	0	0	0	45
TCGA-BH-A0RX-01	0	0	1	0	3	6	27	7	1	2	2	0	0
TCGA-BH-A0W3-01	0	2	3	1	2	0	5	0	2	1	4	0	3
TCGA-BH-A0W4-01	4	0	0	1	4	0	7	6	3	3	10	1	0
TCGA-BH-A0W5-01	0	0	5	0	0	5	7	3	1	3	5	0	0
TCGA-BH-A0W7-01	6	9	0	2	98	0	5	12	128	1	0	0	0
TCGA-BH-A0WA-01	6	7	0	8	10	1	11	0	7	6	42	0	15
TCGA-BH-A18F-01	2	4	0	2	14	0	19	7	2	0	6	0	11
TCGA-BH-A18G-01	21	49	0	63	3	451	267	40	6	670	57	11	30
TCGA-BH-A18H-01	5	4	7	0	5	3	5	1	5	10	5	2	2
TCGA-BH-A18I-01	0	0	6	0	3	9	7	4	2	0	0	0	0
TCGA-BH-A18J-01	4	0	6	4	48	10	0	0	33	4	2	0	0
TCGA-BH-A18K-01	9	3	6	0	11	4	3	3	13	5	9	2	0
TCGA-BH-A18L-01	5	0	6	0	0	15	15	3	4	2	7	0	8
TCGA-BH-A18M-01	1	0	0	0	2	2	8	1	3	1	0	0	0
TCGA-BH-A18N-01	0	0	3	0	0	11	7	2	1	7	11	1	0
TCGA-BH-A18P-01	44	2	0	0	161	10	17	27	177	0	0	0	0
TCGA-BH-A18Q-01	3	4	28	13	1	2	6	0	8	3	35	2	2
TCGA-BH-A18R-01	1	0	6	2	4	0	4	1	3	3	14	0	4
TCGA-BH-A18S-01	2	0	13	0	0	5	0	3	3	7	1	0	3
TCGA-BH-A18T-01	4	3	4	15	5	6	6	1	13	6	38	0	1
TCGA-BH-A18U-01	4	7	16	1	43	10	27	2	32	4	16	0	16
TCGA-BH-A18V-01	10	0	5	12	22	0	0	2	72	1	93	7	26
TCGA-BH-A1EO-01	1	1	5	3	6	11	20	3	0	0	0	0	0
TCGA-BH-A1ET-01	0	0	0	1	1	3	8	1	0	4	3	0	12
TCGA-BH-A1EU-01	0	2	10	0	1	0	9	0	1	6	0	0	5
TCGA-BH-A1EV-01	9	1	0	2	25	8	18	12	37	5	12	0	0
TCGA-BH-A1EW-01	3	1	4	0	3	2	1	2	0	3	1	0	1
TCGA-BH-A1EX-01	0	1	9	0	0	4	6	7	0	4	4	0	0
TCGA-BH-A1EY-01	3	0	4	0	3	4	10	6	11	8	6	0	0
TCGA-BH-A1F0-01	7	5	20	0	0	3	8	3	19	0	8	0	22
TCGA-BH-A1F2-01	2	6	1	3	9	10	20	2	9	1	4	0	4
TCGA-BH-A1F5-01	1	5	8	1	4	0	16	3	0	0	0	0	6
TCGA-BH-A1F6-01	3	0	2	0	3	9	10	0	4	1	12	3	6
TCGA-BH-A1F8-01	11	5	6	2	65	1	21	7	53	0	3	0	18
TCGA-BH-A1FC-01	5	1	5	8	14	17	14	5	23	4	23	7	4
TCGA-BH-A1FE-01	0	3	7	1	4	4	0	3	1	0	0	0	3
TCGA-BH-A1FG-01	0	0	0	0	0	6	5	1	1	1	4	0	3
TCGA-BH-A1FH-01	4	0	0	0	3	3	12	0	1	0	7	1	2
TCGA-BH-A1FJ-01	1	10	3	0	3	3	19	0	0	0	3	0	3
TCGA-BH-A1FL-01	1	6	3	0	2	6	3	3	0	1	0	1	0
TCGA-BH-A1FM-01	3	0	4	0	9	9	12	8	9	0	8	0	0
TCGA-BH-A1FN-01	8	4	17	10	30	4	5	0	47	1	14	6	0
TCGA-BH-A1FR-01	0	0	2	1	0	4	2	1	1	0	6	0	0
TCGA-BH-A1FU-01	6	4	3	2	3	10	5	8	17	14	30	8	8
TCGA-BH-A201-01	0	0	0	4	2	1	3	3	0	5	2	1	6
TCGA-BH-A202-01	0	0	2	1	3	3	6	1	0	2	7	0	3
TCGA-BH-A203-01	4	3	0	7	11	15	28	11	13	0	7	0	0
TCGA-BH-A204-01	3	6	10	1	1	8	5	4	5	2	7	0	0
TCGA-BH-A208-01	7	8	4	0	14	0	18	2	22	2	5	0	0
TCGA-BH-A209-01	7	5	2	0	28	0	6	8	61	0	0	0	2
TCGA-BH-A28Q-01	0	1	1	0	2	10	6	0	1	0	3	2	0
TCGA-BH-A2L8-01	60	0	0	0	249	2	13	13	291	0	0	0	0
TCGA-BH-A42U-01	6	0	1	0	11	0	5	3	4	0	2	0	0
TCGA-BH-A42V-01	2	3	0	0	19	0	9	4	17	0	1	0	0
TCGA-BH-A5IZ-01	8	2	5	14	5	4	18	0	7	3	24	1	5
TCGA-BH-A5J0-01	4	4	14	0	35	11	6	11	15	0	0	0	2
TCGA-BH-A6R8-01	1	0	0	0	3	6	11	3	3	1	9	0	0
TCGA-BH-A6R9-01	3	0	0	0	0	1	4	2	0	0	13	0	2
TCGA-BH-A8FY-01	7	3	5	4	1	8	0	0	6	1	13	1	7
TCGA-BH-A8FZ-01	1	0	5	4	8	14	2	2	6	9	33	6	1
TCGA-BH-A8G0-01	0	1	0	1	0	1	8	2	0	3	0	1	0
TCGA-BH-AB28-01	3	0	0	3	5	15	5	2	0	2	4	4	0
TCGA-C8-A12K-01	5	12	18	3	11	8	4	0	53	7	42	3	7
TCGA-C8-A12L-01	1	7	20	5	2	11	3	4	5	0	31	0	0
TCGA-C8-A12M-01	7	3	0	6	0	13	18	10	2	6	15	2	0
TCGA-C8-A12N-01	0	0	0	2	1	3	10	0	4	2	2	0	3
TCGA-C8-A12O-01	3	0	0	2	2	3	28	3	1	0	2	0	5
TCGA-C8-A12P-01	10	2	15	1	45	8	23	13	62	3	4	5	11
TCGA-C8-A12Q-01	12	3	13	2	34	5	6	16	42	6	0	0	0
TCGA-C8-A12T-01	16	1	0	2	62	6	14	6	99	0	4	0	4
TCGA-C8-A12U-01	1	5	4	3	4	3	28	0	6	2	5	0	0
TCGA-C8-A12V-01	0	1	3	9	2	1	6	3	4	5	15	3	0
TCGA-C8-A12W-01	0	0	0	0	1	5	44	9	4	5	9	0	0
TCGA-C8-A12X-01	4	5	3	3	0	12	20	4	3	3	3	5	0
TCGA-C8-A12Y-01	0	0	9	1	2	19	6	2	1	6	0	0	0
TCGA-C8-A12Z-01	7	2	0	0	8	6	15	1	12	3	6	0	1
TCGA-C8-A130-01	0	0	2	0	3	7	23	7	4	3	3	2	0
TCGA-C8-A131-01	5	4	15	5	7	15	0	9	0	3	9	2	0
TCGA-C8-A132-01	2	3	0	2	8	3	11	1	24	2	21	1	6
TCGA-C8-A133-01	4	1	4	5	4	0	1	2	0	2	4	2	4
TCGA-C8-A134-01	0	3	0	15	0	2	7	2	8	2	47	0	31
TCGA-C8-A135-01	0	0	14	0	3	20	21	6	6	5	2	0	0
TCGA-C8-A137-01	6	3	4	0	9	2	11	9	16	0	0	2	0
TCGA-C8-A138-01	7	0	3	7	0	2	17	1	1	3	6	0	5
TCGA-C8-A1HE-01	4	4	5	0	18	3	6	1	9	1	2	1	0
TCGA-C8-A1HF-01	3	0	0	0	8	4	5	2	6	1	4	0	6
TCGA-C8-A1HG-01	4	3	10	0	3	13	19	3	4	6	4	0	0
TCGA-C8-A1HI-01	2	0	0	0	7	4	26	0	9	3	18	0	3
TCGA-C8-A1HJ-01	0	1	5	13	2	7	7	3	13	13	55	5	0
TCGA-C8-A1HK-01	0	5	5	1	5	7	5	9	23	7	6	0	0
TCGA-C8-A1HL-01	1	7	9	1	0	12	0	1	0	0	4	1	1
TCGA-C8-A1HM-01	24	11	13	2	92	13	17	18	234	0	6	1	17
TCGA-C8-A1HN-01	4	4	15	2	3	7	22	1	2	4	5	1	0
TCGA-C8-A1HO-01	0	5	0	6	8	0	12	1	5	1	0	0	11
TCGA-C8-A26V-01	4	1	4	0	16	10	5	8	34	2	9	3	0
TCGA-C8-A26W-01	7	3	3	0	13	3	6	8	16	6	4	0	0
TCGA-C8-A26X-01	3	5	14	3	2	9	18	5	4	3	8	1	0
TCGA-C8-A26Y-01	47	13	88	21	277	5	14	36	373	0	0	26	16
TCGA-C8-A26Z-01	5	0	3	2	1	11	11	3	0	0	9	1	3
TCGA-C8-A273-01	0	0	2	0	0	1	7	2	1	0	3	1	7
TCGA-C8-A274-01	11	0	11	13	109	19	5	10	95	3	5	0	0
TCGA-C8-A275-01	17	0	0	1	28	4	11	9	63	3	4	2	0
TCGA-C8-A278-01	1	0	0	0	6	1	16	5	7	3	14	0	0
TCGA-C8-A27A-01	3	1	0	2	5	2	6	6	3	0	4	1	7
TCGA-C8-A27B-01	5	4	0	5	5	7	0	4	69	4	47	6	6
TCGA-C8-A3M7-01	17	1	7	3	83	12	21	17	44	0	0	0	16
TCGA-C8-A3M8-01	0	8	0	0	4	11	4	4	9	8	14	0	0
TCGA-C8-A8HP-01	14	0	13	0	86	15	4	28	113	0	0	0	0
TCGA-C8-A8HQ-01	15	5	0	3	132	1	33	38	145	0	0	0	0
TCGA-C8-A8HR-01	5	4	0	0	1	7	11	2	3	5	14	8	0
TCGA-C8-A9FZ-01	1	0	2	0	1	10	6	0	3	1	5	0	0
TCGA-D8-A13Y-01	9	3	1	0	9	3	13	1	12	10	12	4	5
TCGA-D8-A13Z-01	1	3	4	7	2	9	17	4	15	0	35	6	0
TCGA-D8-A140-01	10	6	30	0	20	23	14	4	5	7	4	0	11
TCGA-D8-A141-01	1	2	4	0	0	1	9	0	0	0	4	0	0
TCGA-D8-A142-01	9	7	13	3	0	15	43	7	17	4	39	9	0
TCGA-D8-A143-01	4	1	4	8	2	8	13	0	1	0	18	2	0
TCGA-D8-A145-01	0	3	10	0	1	10	9	0	3	5	6	0	0
TCGA-D8-A146-01	3	0	2	0	5	8	7	5	0	5	1	1	4
TCGA-D8-A147-01	13	2	0	21	12	2	7	6	49	4	69	14	1
TCGA-D8-A1J8-01	56	26	0	29	224	112	44	60	296	82	30	0	2
TCGA-D8-A1J9-01	21	0	5	9	88	4	1	31	114	0	0	5	0
TCGA-D8-A1JB-01	4	4	5	6	3	2	7	2	4	5	17	4	0
TCGA-D8-A1JC-01	9	0	0	1	27	0	19	9	36	0	13	0	8
TCGA-D8-A1JD-01	0	8	0	17	9	9	3	6	16	4	40	3	7
TCGA-D8-A1JE-01	1	0	5	5	1	4	12	0	2	4	4	0	2
TCGA-D8-A1JF-01	2	0	0	0	3	11	7	2	3	6	13	0	2
TCGA-D8-A1JG-01	9	0	0	10	0	9	22	26	12	0	0	4	77
TCGA-D8-A1JH-01	0	0	6	0	2	4	2	1	0	2	7	0	0
TCGA-D8-A1JI-01	3	10	8	3	1	3	5	2	0	7	0	0	0
TCGA-D8-A1JJ-01	5	1	10	0	28	10	9	8	18	3	3	3	0
TCGA-D8-A1JK-01	10	14	57	9	14	13	7	1	13	22	33	10	46
TCGA-D8-A1JL-01	6	5	15	12	1	4	7	5	12	16	41	3	0
TCGA-D8-A1JM-01	3	0	21	3	0	0	16	4	2	1	3	0	0
TCGA-D8-A1JN-01	16	5	11	3	71	6	13	27	54	0	0	0	2
TCGA-D8-A1JP-01	4	7	27	7	1	1	0	1	13	13	36	7	18
TCGA-D8-A1JS-01	4	0	1	2	1	4	7	0	1	3	4	0	2
TCGA-D8-A1JT-01	3	5	2	0	0	6	11	0	0	0	14	0	0
TCGA-D8-A1JU-01	0	0	3	0	1	1	7	1	0	5	2	0	0
TCGA-D8-A1X5-01	2	0	7	4	2	8	15	1	6	4	0	3	14
TCGA-D8-A1X6-01	0	3	0	0	3	10	11	0	0	0	8	0	7
TCGA-D8-A1X7-01	5	0	6	0	0	2	7	2	2	0	5	0	3
TCGA-D8-A1X9-01	0	6	15	29	1	1	10	0	10	11	15	2	2
TCGA-D8-A1XA-01	0	3	0	5	1	0	11	3	0	5	0	0	0
TCGA-D8-A1XB-01	1	0	12	0	6	13	7	5	2	3	1	0	0
TCGA-D8-A1XC-01	0	2	1	0	1	6	9	0	0	1	1	0	13
TCGA-D8-A1XF-01	1	0	9	3	1	15	11	8	3	0	0	0	0
TCGA-D8-A1XG-01	0	1	5	3	1	4	0	3	0	6	4	0	0
TCGA-D8-A1XK-01	1	0	162	0	1	97	112	10	11	847	0	59	0
TCGA-D8-A1XL-01	1	0	1	14	4	7	6	6	6	9	47	4	5
TCGA-D8-A1XM-01	2	2	8	0	13	0	17	10	8	0	0	0	4
TCGA-D8-A1XO-01	0	2	11	0	5	2	5	0	4	0	0	0	0
TCGA-D8-A1XQ-01	15	26	13	62	15	146	173	30	31	359	128	33	0
TCGA-D8-A1XR-01	0	0	6	0	3	10	2	1	0	5	1	0	4
TCGA-D8-A1XS-01	0	0	11	0	3	5	1	5	1	0	0	0	0
TCGA-D8-A1XT-01	3	3	7	0	2	7	10	1	3	0	1	1	7
TCGA-D8-A1XU-01	4	0	4	0	8	2	6	0	3	1	7	0	0
TCGA-D8-A1XV-01	1	2	1	2	0	0	21	0	4	3	2	0	0
TCGA-D8-A1XW-01	5	1	10	4	7	7	8	2	10	6	53	9	0
TCGA-D8-A1XY-01	2	2	6	4	6	14	21	2	2	0	0	0	0
TCGA-D8-A1XZ-01	3	0	10	0	0	20	29	8	12	0	14	0	0
TCGA-D8-A1Y0-01	6	0	1	14	3	0	15	1	12	8	15	1	5
TCGA-D8-A1Y1-01	2	0	0	2	17	56	135	8	2	11	0	0	0
TCGA-D8-A1Y2-01	0	0	0	1	7	1	9	1	3	0	0	0	0
TCGA-D8-A1Y3-01	0	8	0	0	2	9	29	4	0	2	11	2	0
TCGA-D8-A27E-01	0	1	1	1	0	0	2	1	0	0	5	0	0
TCGA-D8-A27F-01	1	0	14	4	1	1	4	1	12	4	23	0	5
TCGA-D8-A27G-01	91	2	17	5	453	8	6	53	536	0	0	0	5
TCGA-D8-A27H-01	5	2	0	6	10	3	9	0	49	8	66	2	0
TCGA-D8-A27I-01	0	0	0	1	4	3	8	2	4	2	12	0	0
TCGA-D8-A27K-01	0	1	3	0	0	1	10	1	1	1	1	0	2
TCGA-D8-A27L-01	6	5	3	0	13	7	4	4	7	0	0	0	4
TCGA-D8-A27M-01	3	0	5	11	1	8	2	6	14	1	30	1	8
TCGA-D8-A27N-01	3	0	11	4	2	12	19	4	2	0	2	0	1
TCGA-D8-A27P-01	1	0	4	0	2	12	0	1	0	2	6	0	2
TCGA-D8-A27R-01	1	5	3	0	1	5	0	4	4	0	12	0	0
TCGA-D8-A27T-01	0	2	5	1	5	10	8	0	0	0	0	0	0
TCGA-D8-A27V-01	25	5	10	1	57	2	10	19	101	0	0	0	5
TCGA-D8-A27W-01	1	0	9	0	2	15	22	3	3	0	0	0	0
TCGA-D8-A3Z6-01	1	3	0	0	6	7	8	0	2	5	4	1	0
TCGA-D8-A4Z1-01	7	0	0	0	20	4	0	6	8	0	1	0	0
TCGA-D8-A73U-01	18	5	0	0	92	7	14	5	47	1	7	0	11
TCGA-D8-A73W-01	0	6	3	0	3	18	9	0	2	0	6	5	0
TCGA-D8-A73X-01	0	2	6	1	6	7	14	4	0	7	5	0	0
TCGA-E2-A105-01	1	10	0	2	6	8	15	0	3	6	11	0	5
TCGA-E2-A107-01	3	0	0	1	6	3	12	3	0	4	2	0	2
TCGA-E2-A108-01	5	1	0	3	48	1	10	3	76	6	27	0	6
TCGA-E2-A109-01	3	5	15	13	1	12	14	3	1	2	4	1	10
TCGA-E2-A10A-01	1	3	4	0	5	7	0	0	3	0	2	0	3
TCGA-E2-A10B-01	2	1	7	3	15	5	8	3	14	6	3	3	3
TCGA-E2-A10C-01	38	5	0	2	218	0	8	34	214	0	0	0	0
TCGA-E2-A10F-01	3	0	6	0	3	7	6	1	2	1	0	0	1
TCGA-E2-A14N-01	6	4	13	4	6	5	5	5	16	1	36	8	0
TCGA-E2-A14O-01	1	2	2	2	1	2	17	9	0	0	0	0	0
TCGA-E2-A14P-01	9	5	10	5	16	15	21	10	11	6	0	0	4
TCGA-E2-A14Q-01	1	3	3	1	4	2	19	0	2	2	1	2	0
TCGA-E2-A14R-01	2	8	21	7	0	5	9	6	19	13	46	4	3
TCGA-E2-A14T-01	0	1	5	0	4	11	3	5	4	0	4	6	0
TCGA-E2-A14V-01	7	1	0	2	19	8	26	12	39	3	19	5	0
TCGA-E2-A14W-01	8	1	19	5	0	5	3	5	13	4	35	4	0
TCGA-E2-A14X-01	0	0	0	0	5	14	8	4	2	0	4	0	0
TCGA-E2-A14Y-01	1	2	0	2	13	4	8	0	15	1	4	0	0
TCGA-E2-A14Z-01	3	4	9	10	20	2	11	8	9	0	15	4	0
TCGA-E2-A150-01	1	0	0	0	3	16	8	6	4	1	18	9	25
TCGA-E2-A152-01	10	0	11	2	42	1	7	25	64	0	9	0	0
