Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
TCGA-D3-A8GR-06	181	175	14	2	44	4	3	44	5	13	28	6	0
TCGA-D3-A8GS-06	97	106	0	9	30	9	8	14	0	0	17	3	0
TCGA-D3-A8GV-06	197	158	11	8	90	6	8	68	0	10	0	3	0
TCGA-D9-A148-06	101	123	21	0	57	0	17	27	4	5	11	0	20
TCGA-D9-A149-06	104	111	10	0	33	0	24	32	2	0	0	2	0
TCGA-D9-A1JW-06	508	437	41	0	114	9	1	90	5	36	15	0	0
TCGA-D9-A1JX-06	78	65	10	0	33	3	3	40	3	6	10	0	0
TCGA-D9-A1X3-06	4	8	6	4	0	6	10	0	0	0	3	0	7
TCGA-D9-A3Z1-06	231	239	45	0	78	0	15	51	0	0	0	0	21
TCGA-D9-A3Z3-06	67	39	0	0	30	2	8	8	0	6	5	2	17
TCGA-D9-A3Z4-01	62	69	0	2	8	0	19	9	1	3	0	0	34
TCGA-D9-A4Z2-01	0	4	6	1	0	5	1	4	0	3	3	4	0
TCGA-D9-A4Z3-01	444	442	0	6	35	16	29	39	20	17	30	0	0
TCGA-D9-A4Z5-01	5	10	0	41	4	7	11	3	6	1	0	0	0
TCGA-D9-A4Z6-06	153	105	12	1	47	0	5	27	1	0	16	2	0
TCGA-D9-A6E9-06	84	79	0	5	29	8	0	18	3	6	14	0	0
TCGA-D9-A6EA-06	315	291	50	0	142	0	11	61	1	0	4	14	0
TCGA-D9-A6EC-06	1515	1403	91	0	729	0	6	434	0	332	45	1213	0
TCGA-D9-A6EG-06	19	21	2	0	12	6	9	4	1	2	21	0	7
TCGA-DA-A1HV-06	695	557	61	0	346	0	0	173	5	0	23	10	0
TCGA-DA-A1HW-06	143	149	17	0	73	2	9	54	1	1	1	2	0
TCGA-DA-A1HY-06	391	377	35	0	86	2	0	73	3	7	9	3	12
TCGA-DA-A1I0-06	226	252	28	1	89	0	20	64	0	6	0	0	0
TCGA-DA-A1I1-06	176	169	27	0	74	0	9	56	0	0	13	0	7
TCGA-DA-A1I2-06	51	58	6	2	21	0	10	10	3	2	0	1	15
TCGA-DA-A1I4-06	127	113	21	0	39	5	5	37	6	0	0	0	9
TCGA-DA-A1I5-06	248	178	30	0	79	0	0	48	2	4	0	0	0
TCGA-DA-A1I7-06	177	169	32	0	90	0	27	110	4	0	0	0	0
TCGA-DA-A1I8-06	64	81	11	0	31	1	9	5	4	7	7	0	32
TCGA-DA-A1IA-06	131	180	5	0	71	0	32	16	5	6	0	0	38
TCGA-DA-A1IB-06	0	0	0	4	0	0	0	0	2	2	0	0	0
TCGA-DA-A1IC-06	436	423	57	0	132	0	80	119	1	15	0	0	99
TCGA-DA-A3F3-06	135	94	18	0	61	0	22	52	0	0	10	0	0
TCGA-DA-A3F5-06	126	137	13	9	48	0	33	35	2	11	10	0	33
TCGA-DA-A3F8-06	666	543	14	0	250	0	22	149	0	0	0	0	0
TCGA-DA-A95V-06	116	112	0	12	47	15	13	13	4	0	19	5	16
TCGA-DA-A95W-06	76	74	9	0	18	6	0	18	0	1	0	0	14
TCGA-DA-A95X-06	222	182	65	0	101	0	8	83	2	1	0	0	20
TCGA-DA-A95Y-06	208	151	29	0	63	0	18	47	1	22	14	8	0
TCGA-DA-A95Z-06	972	715	183	0	387	13	40	326	15	0	0	0	5
TCGA-DA-A960-01	415	367	25	13	186	0	26	153	2	0	0	0	0
TCGA-EB-A1NK-01	63	56	2	4	26	2	11	17	2	0	6	1	6
