Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-AR-A1AY-01	13	7	19	22	11
TCGA-AR-A24H-01	4	25	95	19	9
TCGA-AR-A24K-01	0	0	17	11	6
TCGA-AR-A24L-01	0	7	35	4	7
TCGA-AR-A24M-01	1	0	6	5	13
TCGA-AR-A24N-01	9	1	8	20	9
TCGA-AR-A24O-01	0	1	7	11	3
TCGA-AR-A24P-01	2	0	5	11	1
TCGA-AR-A24Q-01	33	23	139	5	32
TCGA-AR-A24R-01	1	0	4	12	9
TCGA-AR-A24S-01	10	6	9	20	12
TCGA-AR-A24T-01	2	2	3	17	0
TCGA-AR-A24U-01	15	13	0	16	0
TCGA-AR-A24V-01	3	4	1	16	4
TCGA-AR-A24W-01	3	0	7	4	0
TCGA-AR-A24X-01	3	0	9	16	6
TCGA-AR-A24Z-01	6	3	23	20	4
TCGA-AR-A250-01	13	62	19	56	5
TCGA-AR-A251-01	0	35	138	13	19
TCGA-AR-A252-01	0	0	1	11	7
TCGA-AR-A254-01	9	1	8	24	0
TCGA-AR-A255-01	18	24	22	17	8
TCGA-AR-A256-01	30	16	141	16	21
TCGA-AR-A2LE-01	254	140	0	0	0
TCGA-AR-A2LH-01	41	20	0	9	1
TCGA-AR-A2LK-01	9	0	5	26	8
TCGA-AR-A2LL-01	0	0	13	24	0
TCGA-AR-A2LM-01	3	0	9	4	1
TCGA-AR-A2LN-01	33	6	0	12	3
TCGA-AR-A2LO-01	2	2	7	6	0
TCGA-AR-A2LQ-01	0	0	5	6	2
TCGA-AR-A2LR-01	4	1	36	23	6
TCGA-AR-A5QM-01	0	0	14	19	3
TCGA-AR-A5QN-01	11	0	1	27	10
TCGA-AR-A5QP-01	8	0	5	13	8
TCGA-AR-A5QQ-01	7	9	45	11	24
TCGA-B6-A0I1-01	10	1	32	37	0
TCGA-B6-A0IH-01	5	0	2	22	12
TCGA-B6-A0RH-01	16	9	5	12	3
TCGA-B6-A0RL-01	20	7	6	28	8
TCGA-B6-A0RM-01	10	1	3	15	7
TCGA-B6-A0RN-01	3	0	3	17	10
