Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-FS-A1Z0-06	173	64	0	58	50	1	5
TCGA-FS-A1Z3-06	773	200	150	207	38	7	15
TCGA-FS-A1Z4-06	0	8	34	0	2	5	4
TCGA-FS-A1Z7-06	90	61	63	22	12	2	0
TCGA-FS-A1ZA-06	997	175	133	232	70	7	10
TCGA-FS-A1ZB-06	163	58	76	0	0	19	0
TCGA-FS-A1ZC-06	542	156	169	84	3	8	16
TCGA-FS-A1ZD-06	94	101	61	49	25	6	5
TCGA-FS-A1ZE-06	100	4	2	46	35	3	0
TCGA-FS-A1ZF-06	109	61	16	43	45	3	2
TCGA-FS-A1ZG-06	0	1	0	0	27	15	2
TCGA-FS-A1ZH-06	3	13	0	0	22	6	0
TCGA-FS-A1ZJ-06	3	5	0	14	34	27	0
TCGA-FS-A1ZK-06	759	992	288	121	0	11	41
TCGA-FS-A1ZM-06	101	87	78	15	9	29	12
TCGA-FS-A1ZN-01	40	40	44	0	0	9	4
TCGA-FS-A1ZP-06	445	0	65	13	40	17	0
TCGA-FS-A1ZQ-06	266	78	162	159	0	2	16
TCGA-FS-A1ZR-06	86	32	56	0	0	13	0
TCGA-FS-A1ZS-06	138	77	74	40	35	20	0
TCGA-FS-A1ZT-06	60	40	117	11	0	13	1
TCGA-FS-A1ZU-06	11	0	0	0	24	17	0
TCGA-FS-A1ZW-06	543	147	0	149	48	12	9
TCGA-FS-A1ZY-06	3	13	0	0	7	17	2
TCGA-FS-A1ZZ-06	1383	71	591	75	0	9	18
TCGA-FS-A4F0-06	254	269	104	113	26	4	0
TCGA-FS-A4F4-06	15	0	0	7	15	16	3
TCGA-FS-A4F5-06	553	165	286	0	17	4	0
TCGA-FS-A4F8-06	76	42	39	50	11	11	6
TCGA-FS-A4F9-06	285	108	173	0	0	16	8
TCGA-FS-A4FB-06	161	46	13	0	27	1	2
TCGA-FS-A4FC-06	641	153	175	2	11	17	0
TCGA-FS-A4FD-06	308	74	118	94	0	4	10
TCGA-FW-A3I3-06	0	0	3	7	31	29	3
TCGA-FW-A3R5-06	21200	5080	0	0	1189	0	0
TCGA-FW-A3TU-06	440	338	41	170	57	34	0
TCGA-FW-A3TV-06	288	53	0	78	30	2	7
TCGA-FW-A5DX-01	66	73	54	51	0	18	5
TCGA-FW-A5DY-06	105	37	95	0	0	4	0
TCGA-GF-A2C7-01	16	42	35	0	0	9	1
TCGA-GF-A3OT-06	463	206	37	0	53	24	1
TCGA-GF-A4EO-06	139	101	60	23	0	21	2
TCGA-GF-A6C8-06	231	117	119	0	46	7	7
TCGA-GF-A6C9-06	2448	170	814	388	0	8	26
TCGA-GF-A769-01	115	51	10	2	19	14	4
TCGA-GN-A262-06	141	228	90	0	11	22	3
TCGA-GN-A263-01	329	157	97	9	0	2	9
TCGA-GN-A264-06	18	0	0	1	14	18	10
TCGA-GN-A265-06	96	96	96	0	0	10	12
TCGA-GN-A266-06	3742	346	387	818	0	32	22
TCGA-GN-A267-06	187	197	31	142	15	20	8
TCGA-GN-A268-06	213	47	127	20	23	16	5
TCGA-GN-A269-01	431	212	181	169	0	0	5
TCGA-GN-A26A-06	142	178	110	0	0	11	11
TCGA-GN-A26C-01	1449	303	388	361	0	6	0
TCGA-GN-A26D-06	0	0	18	0	19	20	1
TCGA-GN-A4U3-06	200	131	0	106	11	13	0
TCGA-GN-A4U4-06	422	203	263	73	0	5	9
TCGA-GN-A4U5-01	60	214	164	5	0	10	0
TCGA-GN-A4U7-06	111	112	0	85	16	18	5
TCGA-GN-A4U8-06	274	99	124	24	0	14	11
TCGA-GN-A4U9-06	6	0	0	0	32	21	18
TCGA-GN-A8LK-06	1170	673	824	26	0	43	56
TCGA-GN-A8LL-06	11	8	0	0	24	21	6
TCGA-GN-A8LN-01	234	21	62	0	13	24	6
TCGA-GN-A9SD-06	144	17	0	12	12	18	1
TCGA-HR-A2OG-06	54	68	52	49	21	6	4
TCGA-HR-A2OH-06	90	38	1	0	19	3	6
TCGA-HR-A5NC-01	5	35	0	18	18	17	0
