Samples	SBS96A	SBS96B	SBS96C
TCGA-EB-A5SE-01	370	11	17
TCGA-EB-A5SF-01	21	18	3
TCGA-EB-A5SG-06	369	0	0
TCGA-EB-A5SH-06	26	70	26
TCGA-EB-A5UL-06	553	35	44
TCGA-EB-A5UM-01	704	0	48
TCGA-EB-A5UN-06	934	14	50
TCGA-EB-A5VU-01	16	25	24
TCGA-EB-A6L9-06	3	10	15
TCGA-EB-A6QY-01	837	8	27
TCGA-EB-A6QZ-01	355	12	20
TCGA-EB-A6R0-01	468	25	35
TCGA-EB-A82B-01	10	11	44
TCGA-EB-A82C-01	21	10	17
TCGA-EB-A85I-01	262	19	25
TCGA-EB-A85J-01	546	0	18
TCGA-EB-A97M-01	396	0	33
TCGA-EE-A17X-06	1038	24	28
TCGA-EE-A17Y-06	206	15	11
TCGA-EE-A17Z-06	1	14	11
TCGA-EE-A180-06	666	0	59
TCGA-EE-A181-06	4004	0	0
TCGA-EE-A182-06	2006	17	17
TCGA-EE-A183-06	984	0	32
TCGA-EE-A184-06	7	363	40
TCGA-EE-A185-06	232	21	15
TCGA-EE-A20B-06	236	7	1
TCGA-EE-A20C-06	2735	14	122
TCGA-EE-A20F-06	632	16	3
TCGA-EE-A20H-06	779	0	34
TCGA-EE-A20I-06	4	15	11
TCGA-EE-A29A-06	343	11	0
TCGA-EE-A29B-06	729	20	0
TCGA-EE-A29C-06	537	0	36
TCGA-EE-A29D-06	5244	0	0
TCGA-EE-A29E-06	4828	61	0
TCGA-EE-A29G-06	447	17	10
TCGA-EE-A29H-06	407	0	11
TCGA-EE-A29L-06	2680	21	59
TCGA-EE-A29M-06	3247	0	0
TCGA-EE-A29N-06	784	0	63
TCGA-EE-A29P-06	397	0	13
TCGA-EE-A29Q-06	365	16	28
TCGA-EE-A29R-06	917	6	11
TCGA-EE-A29S-06	1465	0	33
TCGA-EE-A29T-06	408	40	65
TCGA-EE-A29V-06	1352	0	60
TCGA-EE-A29W-06	68	10	15
TCGA-EE-A29X-06	198	4	3
TCGA-EE-A2A0-06	532	0	1
TCGA-EE-A2A1-06	507	0	22
TCGA-EE-A2A2-06	2002	2	70
TCGA-EE-A2A5-06	394	29	15
TCGA-EE-A2A6-06	380	14	23
TCGA-EE-A2GB-06	899	0	12
TCGA-EE-A2GC-06	3194	0	40
TCGA-EE-A2GD-06	733	0	11
TCGA-EE-A2GE-06	312	7	7
TCGA-EE-A2GH-06	402	12	12
TCGA-EE-A2GI-06	2082	2	58
TCGA-EE-A2GJ-06	1569	0	41
TCGA-EE-A2GK-06	0	3	1
TCGA-EE-A2GL-06	479	0	18
TCGA-EE-A2GM-06	945	1	28
TCGA-EE-A2GN-06	523	37	9
TCGA-EE-A2GO-06	2689	0	92
TCGA-EE-A2GP-06	832	0	32
TCGA-EE-A2GR-06	2115	11	89
TCGA-EE-A2GS-06	445	10	13
