Samples	SBS96A	SBS96B
TCGA-HU-8608-01	73	32
TCGA-HU-8610-01	39	30
TCGA-HU-A4G2-01	39	24
TCGA-HU-A4G3-01	80	46
TCGA-HU-A4G6-01	64	32
TCGA-HU-A4G8-01	1557	64
TCGA-HU-A4G9-01	773	78
TCGA-HU-A4GC-01	113	57
TCGA-HU-A4GD-01	67	40
TCGA-HU-A4GF-01	93	76
TCGA-HU-A4GH-01	0	959
TCGA-HU-A4GJ-01	5	1
TCGA-HU-A4GN-01	1237	62
TCGA-HU-A4GP-01	167	96
TCGA-HU-A4GQ-01	1974	56
TCGA-HU-A4GT-01	1412	74
TCGA-HU-A4GU-01	1726	0
TCGA-HU-A4GX-01	1295	34
TCGA-HU-A4GY-01	66	13
TCGA-HU-A4H0-01	143	73
TCGA-HU-A4H2-01	134	94
TCGA-HU-A4H3-01	904	79
TCGA-HU-A4H4-01	559	208
TCGA-HU-A4H5-01	141	187
TCGA-HU-A4H6-01	104	44
TCGA-HU-A4H8-01	1288	0
TCGA-HU-A4HB-01	4	9
TCGA-HU-A4HD-01	105	121
TCGA-IN-7806-01	58	31
TCGA-IN-7808-01	78	53
TCGA-IN-8462-01	92	51
TCGA-IN-8663-01	72	156
TCGA-IN-A6RI-01	45	85
TCGA-IN-A6RJ-01	47	120
TCGA-IN-A6RL-01	139	425
TCGA-IN-A6RN-01	53	102
TCGA-IN-A6RO-01	127	235
TCGA-IN-A6RP-01	125	77
TCGA-IN-A6RR-01	88	109
TCGA-IN-A6RS-01	100	32
TCGA-IN-A7NR-01	35	78
TCGA-IN-A7NT-01	59	77
TCGA-IN-A7NU-01	54	63
TCGA-IN-AB1V-01	46	29
TCGA-IN-AB1X-01	53	88
TCGA-IP-7968-01	97	36
TCGA-KB-A6F5-01	59	24
TCGA-KB-A6F7-01	67	57
TCGA-KB-A93G-01	70	57
TCGA-KB-A93H-01	142	142
TCGA-KB-A93J-01	38	17
TCGA-MX-A5UG-01	40	16
TCGA-MX-A5UJ-01	1477	57
TCGA-MX-A663-01	56	50
TCGA-MX-A666-01	50	91
TCGA-R5-A7O7-01	85	66
TCGA-R5-A7ZE-01	75	126
TCGA-R5-A7ZF-01	72	13
TCGA-R5-A7ZI-01	852	80
TCGA-R5-A7ZR-01	54	36
TCGA-R5-A804-01	50	43
TCGA-R5-A805-01	12	146
TCGA-RD-A7BS-01	45	26
TCGA-RD-A7BT-01	0	283
TCGA-RD-A7BW-01	51	39
TCGA-RD-A7C1-01	198	139
TCGA-RD-A8MV-01	45	40
TCGA-RD-A8MW-01	44	49
TCGA-RD-A8N0-01	2	0
TCGA-RD-A8N1-01	28	102
TCGA-RD-A8N2-01	2	0
TCGA-RD-A8N4-01	7	2
TCGA-RD-A8N5-01	25	18
TCGA-RD-A8N6-01	129	64
TCGA-RD-A8N9-01	92	65
TCGA-RD-A8NB-01	666	67
TCGA-SW-A7EA-01	574	113
TCGA-SW-A7EB-01	81	97
TCGA-VQ-A8DL-01	45	23
TCGA-VQ-A8DT-01	86	145
TCGA-VQ-A8DU-01	54	120
TCGA-VQ-A8DV-01	46	31
TCGA-VQ-A8DZ-01	47	60
TCGA-VQ-A8E0-01	49	74
TCGA-VQ-A8E2-01	83	64
TCGA-VQ-A8E3-01	739	60
TCGA-VQ-A8E7-01	103	37
TCGA-VQ-A8P2-01	7617	1318
TCGA-VQ-A8P3-01	0	361
TCGA-VQ-A8P5-01	113	149
