Samples	SBS96A	SBS96B
TCGA-CG-4443-01	6.18E-01	6.18E-01
TCGA-CG-4444-01	8.35E-01	8.34E-01
TCGA-CG-4449-01	6.60E-01	6.61E-01
TCGA-CG-4455-01	5.43E-01	5.43E-01
TCGA-CG-4460-01	1.64E+00	1.64E+00
TCGA-CG-4462-01	6.95E-01	6.95E-01
TCGA-CG-4465-01	1.52E+00	1.52E+00
TCGA-CG-4466-01	1.08E+00	1.08E+00
TCGA-CG-4469-01	1.24E+00	1.24E+00
TCGA-CG-4474-01	6.45E-01	6.45E-01
TCGA-CG-4475-01	7.19E-01	7.19E-01
TCGA-CG-4476-01	7.64E-01	7.64E-01
TCGA-CG-4477-01	5.28E-01	5.28E-01
TCGA-CG-5716-01	3.97E-01	3.98E-01
TCGA-CG-5717-01	7.16E-01	7.17E-01
TCGA-CG-5718-01	8.43E-01	8.43E-01
TCGA-CG-5719-01	7.83E-01	7.82E-01
TCGA-CG-5720-01	6.92E-01	6.94E-01
TCGA-CG-5721-01	2.95E+00	2.95E+00
TCGA-CG-5722-01	7.90E-01	7.90E-01
TCGA-CG-5723-01	2.04E+00	2.04E+00
TCGA-CG-5724-01	9.10E-01	9.10E-01
TCGA-CG-5725-01	5.21E-01	5.21E-01
TCGA-CG-5726-01	1.86E+00	1.86E+00
TCGA-CG-5727-01	1.14E+00	1.14E+00
TCGA-CG-5728-01	1.96E+00	1.96E+00
TCGA-CG-5730-01	1.01E+00	1.01E+00
TCGA-CG-5732-01	7.15E-01	7.15E-01
TCGA-CG-5733-01	1.53E+00	1.53E+00
TCGA-CG-5734-01	7.89E-01	7.89E-01
TCGA-D7-5577-01	9.33E-01	9.32E-01
TCGA-D7-5578-01	1.22E+00	1.22E+00
TCGA-D7-5579-01	8.16E-01	8.16E-01
TCGA-D7-6518-01	7.55E-01	7.53E-01
TCGA-D7-6519-01	5.94E-01	5.94E-01
TCGA-D7-6520-01	6.94E-01	6.94E-01
TCGA-D7-6521-01	6.60E-01	6.60E-01
TCGA-D7-6522-01	5.32E-01	5.35E-01
TCGA-D7-6524-01	8.34E-01	8.34E-01
TCGA-D7-6525-01	1.04E+00	1.04E+00
TCGA-D7-6526-01	1.12E+00	1.12E+00
TCGA-D7-6527-01	1.07E+00	1.06E+00
TCGA-D7-6528-01	1.20E+00	1.20E+00
TCGA-D7-6815-01	9.20E-01	9.20E-01
TCGA-D7-6817-01	7.60E-01	7.63E-01
TCGA-D7-6818-01	8.49E-01	8.49E-01
TCGA-D7-6820-01	8.93E-01	8.93E-01
TCGA-D7-6822-01	1.20E+00	1.20E+00
TCGA-D7-8570-01	8.76E-01	8.76E-01
TCGA-D7-8572-01	1.16E+00	1.16E+00
TCGA-D7-8573-01	7.45E-01	7.45E-01
TCGA-D7-8574-01	5.60E-01	5.60E-01
TCGA-D7-8575-01	5.23E-01	5.23E-01
TCGA-D7-8576-01	5.76E-01	5.77E-01
TCGA-D7-8578-01	6.02E-01	6.02E-01
TCGA-D7-8579-01	7.92E-01	7.92E-01
TCGA-D7-A4YT-01	1.27E+00	1.27E+00
TCGA-D7-A4YU-01	1.19E+00	1.19E+00
TCGA-D7-A4YV-01	1.15E+00	1.15E+00
TCGA-D7-A4YX-01	6.92E-01	6.92E-01
TCGA-D7-A4YY-01	1.60E+00	1.60E+00
TCGA-D7-A4Z0-01	8.99E-01	8.97E-01
TCGA-D7-A6ET-01	4.82E-01	4.82E-01
TCGA-D7-A6EV-01	1.11E+00	1.11E+00
TCGA-D7-A6EX-01	9.93E-01	9.93E-01
TCGA-D7-A6EY-01	2.55E+00	2.55E+00
TCGA-D7-A6EZ-01	1.12E+00	1.12E+00
TCGA-D7-A6F0-01	8.90E-01	8.90E-01
TCGA-D7-A6F2-01	6.53E-01	6.53E-01
TCGA-D7-A747-01	6.20E-01	6.20E-01
TCGA-D7-A748-01	4.92E-01	4.92E-01
TCGA-D7-A74A-01	8.28E-01	8.30E-01
TCGA-D7-A74B-01	4.79E-01	4.79E-01
TCGA-EQ-5647-01	7.64E-01	7.64E-01
