Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-D3-A51G-06	977	534	56	84	39
TCGA-D3-A51H-06	26	7	5	1	1
TCGA-D3-A51J-06	319	203	82	6	3
TCGA-D3-A51K-06	0	3	0	19	10
TCGA-D3-A51N-06	29	50	21	14	5
TCGA-D3-A51R-06	710	124	120	14	0
TCGA-D3-A51T-06	1011	427	131	23	22
TCGA-D3-A5GL-06	224	154	145	26	28
TCGA-D3-A5GN-06	361	128	180	0	0
TCGA-D3-A5GO-06	1579	296	301	0	0
TCGA-D3-A5GR-06	182	79	76	14	1
TCGA-D3-A5GS-06	354	186	15	0	1
TCGA-D3-A5GT-01	2	0	0	23	1
TCGA-D3-A5GU-06	506	407	0	70	36
TCGA-D3-A8GB-06	915	485	0	32	32
TCGA-D3-A8GC-06	678	318	163	0	0
TCGA-D3-A8GD-06	60	15	0	44	13
TCGA-D3-A8GE-06	0	0	1	5	2
TCGA-D3-A8GI-06	6249	331	545	15	92
TCGA-D3-A8GJ-06	147	39	76	10	0
TCGA-D3-A8GK-06	435	166	190	0	7
TCGA-D3-A8GL-06	1691	468	404	0	0
TCGA-D3-A8GM-06	2427	820	1112	806	79
TCGA-D3-A8GN-06	211	83	30	17	0
TCGA-D3-A8GO-06	462	168	160	10	0
TCGA-D3-A8GP-06	440	103	188	39	14
TCGA-D3-A8GQ-06	1805	19	109	0	48
TCGA-D3-A8GR-06	220	155	119	13	12
TCGA-D3-A8GS-06	126	101	31	33	2
TCGA-D3-A8GV-06	407	54	50	38	10
TCGA-D9-A148-06	216	115	0	34	21
TCGA-D9-A149-06	159	99	32	17	11
TCGA-D9-A1JW-06	486	377	393	0	0
TCGA-D9-A1JX-06	161	20	40	26	4
TCGA-D9-A1X3-06	0	16	0	32	0
TCGA-D9-A3Z1-06	341	227	100	12	0
TCGA-D9-A3Z3-06	114	15	41	8	6
TCGA-D9-A3Z4-01	33	99	51	21	3
TCGA-D9-A4Z2-01	0	4	0	18	9
TCGA-D9-A4Z3-01	213	493	372	0	0
TCGA-D9-A4Z5-01	8	11	0	69	0
TCGA-D9-A4Z6-06	209	63	97	0	0
TCGA-D9-A6E9-06	121	61	37	27	0
TCGA-D9-A6EA-06	590	188	55	3	53
TCGA-D9-A6EC-06	2868	423	146	0	2331
TCGA-D9-A6EG-06	35	24	8	32	5
TCGA-DA-A1HV-06	1516	205	97	7	45
TCGA-DA-A1HW-06	323	87	0	27	15
TCGA-DA-A1HY-06	404	342	252	0	0
TCGA-DA-A1I0-06	399	204	46	29	8
TCGA-DA-A1I1-06	357	117	36	19	2
TCGA-DA-A1I2-06	72	66	20	15	6
TCGA-DA-A1I4-06	204	80	62	16	0
TCGA-DA-A1I5-06	297	112	180	0	0
TCGA-DA-A1I7-06	470	52	0	71	16
TCGA-DA-A1I8-06	108	101	6	24	13
TCGA-DA-A1IA-06	219	201	0	40	24
TCGA-DA-A1IB-06	0	0	0	7	1
TCGA-DA-A1IC-06	626	409	235	88	4
TCGA-DA-A3F3-06	296	25	31	35	5
