Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-FR-A726-01	4664	4988	0	0	0	0	0	494	0
TCGA-FR-A728-01	269	225	0	0	0	5	0	41	0
TCGA-FR-A729-06	596	454	0	0	0	9	0	138	7
TCGA-FR-A7U8-06	2	5	2	23	7	4	0	1	0
TCGA-FR-A7U9-06	1356	849	0	0	0	13	0	262	0
TCGA-FR-A7UA-06	152	71	0	0	0	8	0	10	0
TCGA-FR-A8YC-06	2133	1533	0	0	0	14	24	396	0
TCGA-FR-A8YD-06	20	10	26	5	36	12	17	0	6
TCGA-FR-A8YE-06	247	175	0	0	0	3	6	39	1
TCGA-FS-A1YW-06	111	78	0	5	0	1	0	24	0
TCGA-FS-A1YX-06	4	10	9	4	0	0	0	3	0
TCGA-FS-A1YY-06	163	92	4	7	0	0	3	5	0
TCGA-FS-A1Z0-06	132	172	0	0	0	3	4	37	3
TCGA-FS-A1Z3-06	700	515	0	0	0	0	0	174	1
TCGA-FS-A1Z4-06	33	5	3	3	1	0	7	0	1
TCGA-FS-A1Z7-06	126	110	0	0	0	0	2	12	0
TCGA-FS-A1ZA-06	789	609	0	0	0	12	0	214	0
TCGA-FS-A1ZB-06	169	109	2	0	0	0	0	36	0
TCGA-FS-A1ZC-06	519	361	0	0	0	0	0	98	0
TCGA-FS-A1ZD-06	156	151	0	0	0	0	11	18	5
TCGA-FS-A1ZE-06	75	50	0	0	37	2	2	24	0
TCGA-FS-A1ZF-06	110	120	0	0	0	0	17	32	0
TCGA-FS-A1ZG-06	0	2	1	21	4	7	7	0	3
TCGA-FS-A1ZH-06	0	23	5	6	0	0	1	9	0
TCGA-FS-A1ZJ-06	9	5	0	19	47	2	1	0	0
TCGA-FS-A1ZK-06	934	1190	0	0	0	0	0	87	1
TCGA-FS-A1ZM-06	150	126	18	0	0	0	4	29	4
TCGA-FS-A1ZN-01	69	58	0	3	0	0	6	0	1
TCGA-FS-A1ZP-06	289	174	0	0	0	13	0	104	0
TCGA-FS-A1ZQ-06	407	201	0	0	0	9	0	51	15
TCGA-FS-A1ZR-06	98	57	4	0	0	0	4	24	0
TCGA-FS-A1ZS-06	186	155	0	7	7	0	3	26	0
TCGA-FS-A1ZT-06	159	54	0	6	0	0	5	18	0
TCGA-FS-A1ZU-06	6	0	5	23	4	1	0	12	1
TCGA-FS-A1ZW-06	379	396	0	0	0	4	0	129	0
TCGA-FS-A1ZY-06	0	24	8	6	0	0	0	2	2
TCGA-FS-A1ZZ-06	1271	551	0	0	0	6	0	319	0
TCGA-FS-A4F0-06	348	384	0	0	0	0	2	36	0
TCGA-FS-A4F4-06	8	8	7	9	8	7	0	6	3
TCGA-FS-A4F5-06	564	322	0	0	0	0	0	139	0
TCGA-FS-A4F8-06	120	80	1	3	0	0	2	22	7
TCGA-FS-A4F9-06	314	218	0	0	0	0	11	47	0
TCGA-FS-A4FB-06	100	114	0	0	0	0	3	33	0
TCGA-FS-A4FC-06	497	388	0	0	0	0	0	114	0
TCGA-FS-A4FD-06	325	206	0	0	0	12	0	65	0
TCGA-FW-A3I3-06	8	0	5	27	17	5	4	1	6
TCGA-FW-A3R5-06	9483	13605	0	0	0	0	0	4381	0
TCGA-FW-A3TU-06	446	555	3	0	0	0	0	76	0
TCGA-FW-A3TV-06	188	199	0	0	0	8	0	63	0
TCGA-FW-A5DX-01	130	106	9	2	0	0	5	11	4
TCGA-FW-A5DY-06	146	75	0	0	0	0	0	20	0
TCGA-GF-A2C7-01	44	50	5	0	0	0	4	0	0
TCGA-GF-A3OT-06	311	388	0	0	0	0	0	85	0
TCGA-GF-A4EO-06	154	164	5	0	0	0	0	23	0
