Samples	SBS96A	SBS96B	SBS96C
TCGA-D8-A1XV-01	4	22	10
TCGA-D8-A1XW-01	18	24	80
TCGA-D8-A1XY-01	9	43	7
TCGA-D8-A1XZ-01	10	67	19
TCGA-D8-A1Y0-01	15	16	50
TCGA-D8-A1Y1-01	15	218	0
TCGA-D8-A1Y2-01	10	12	0
TCGA-D8-A1Y3-01	2	53	12
TCGA-D8-A27E-01	1	3	7
TCGA-D8-A27F-01	11	5	54
TCGA-D8-A27G-01	1176	0	0
TCGA-D8-A27H-01	58	6	96
TCGA-D8-A27I-01	9	18	9
TCGA-D8-A27K-01	1	14	6
TCGA-D8-A27L-01	28	21	4
TCGA-D8-A27M-01	15	15	60
TCGA-D8-A27N-01	5	40	15
TCGA-D8-A27P-01	2	20	8
TCGA-D8-A27R-01	6	10	19
TCGA-D8-A27T-01	5	26	0
TCGA-D8-A27V-01	181	21	33
TCGA-D8-A27W-01	5	49	1
TCGA-D8-A3Z6-01	7	22	8
TCGA-D8-A4Z1-01	36	10	0
TCGA-D8-A73U-01	175	32	0
TCGA-D8-A73W-01	4	40	8
TCGA-D8-A73X-01	8	39	5
TCGA-E2-A105-01	10	35	22
TCGA-E2-A107-01	9	22	5
TCGA-E2-A108-01	140	6	40
TCGA-E2-A109-01	3	37	44
TCGA-E2-A10A-01	10	8	10
TCGA-E2-A10B-01	37	23	13
TCGA-E2-A10C-01	519	0	0
TCGA-E2-A10F-01	6	22	2
TCGA-E2-A14N-01	24	15	70
TCGA-E2-A14O-01	3	27	6
TCGA-E2-A14P-01	35	54	23
TCGA-E2-A14Q-01	6	23	11
TCGA-E2-A14R-01	18	22	103
TCGA-E2-A14T-01	10	27	6
TCGA-E2-A14V-01	64	51	26
TCGA-E2-A14W-01	14	12	76
TCGA-E2-A14X-01	7	30	0
TCGA-E2-A14Y-01	31	13	6
TCGA-E2-A14Z-01	37	22	36
TCGA-E2-A150-01	8	40	43
TCGA-E2-A152-01	131	23	17
TCGA-E2-A153-01	7	19	0
TCGA-E2-A154-01	3	33	22
TCGA-E2-A155-01	17	36	28
TCGA-E2-A156-01	7	9	9
TCGA-E2-A158-01	4	20	73
TCGA-E2-A159-01	154	16	31
TCGA-E2-A15A-01	5	22	35
TCGA-E2-A15C-01	2	35	13
TCGA-E2-A15D-01	0	34	0
TCGA-E2-A15E-01	5	22	13
TCGA-E2-A15F-01	1	17	10
TCGA-E2-A15G-01	10	32	31
TCGA-E2-A15H-01	1	24	8
TCGA-E2-A15I-01	5	26	12
TCGA-E2-A15J-01	0	12	10
TCGA-E2-A15K-01	3	28	22
TCGA-E2-A15L-01	3	25	6
TCGA-E2-A15M-01	35	42	31
TCGA-E2-A15O-01	2	20	12
TCGA-E2-A15P-01	2	18	8
TCGA-E2-A15R-01	7	32	8
TCGA-E2-A15S-01	13	18	37
TCGA-E2-A15T-01	3	27	10
TCGA-E2-A1AZ-01	33	20	26
