Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-AN-A0XW-01	240	178	4	0	0	1	0	0
TCGA-AO-A03M-01	623	436	0	91	0	0	0	0
TCGA-AO-A03N-01	39	38	13	28	0	5	11	0
TCGA-AO-A03U-01	2	0	0	1	0	0	1	1
TCGA-AO-A03V-01	9	7	4	21	0	2	19	10
TCGA-AO-A0JG-01	0	2	0	0	2	4	13	0
TCGA-AO-A124-01	8	2	15	22	75	14	39	3
TCGA-AO-A125-01	2	3	14	7	10	3	1	5
TCGA-AO-A126-01	0	5	6	0	0	0	0	14
TCGA-AO-A128-01	17	21	490	0	4	660	18	0
TCGA-AO-A129-01	22	14	9	0	31	18	21	29
TCGA-AO-A12A-01	0	6	10	0	0	1	2	0
TCGA-AO-A12B-01	0	1	12	0	8	2	0	0
TCGA-AO-A12D-01	9	22	6	32	1	0	3	0
TCGA-AO-A12E-01	1	2	13	6	6	0	0	5
TCGA-AO-A12F-01	0	0	21	0	7	3	9	0
TCGA-AO-A12G-01	4	4	12	0	0	4	0	18
TCGA-AO-A12H-01	0	0	7	7	0	2	0	14
TCGA-AO-A1KO-01	0	0	0	2	3	4	0	1
TCGA-AO-A1KR-01	8	7	10	0	40	8	0	16
TCGA-AO-A1KT-01	0	4	13	5	12	15	0	2
TCGA-AQ-A04H-01	4	3	45	2	2	7	16	2
TCGA-AQ-A0Y5-01	11	10	23	10	12	4	0	0
TCGA-AQ-A1H2-01	0	2	13	5	5	4	1	4
TCGA-AQ-A1H3-01	0	0	22	0	4	0	0	1
TCGA-AQ-A54O-01	0	5	7	0	7	2	2	2
TCGA-AQ-A7U7-01	30	36	11	10	0	7	0	2
TCGA-AR-A0TP-01	4	5	1	0	31	12	4	14
TCGA-AR-A0TQ-01	1	13	10	3	1	2	18	1
TCGA-AR-A0TR-01	1	1	11	12	6	11	0	0
TCGA-AR-A0TS-01	8	7	15	0	22	4	18	16
TCGA-AR-A0TT-01	6	10	17	9	15	10	0	8
TCGA-AR-A0TU-01	9	4	13	0	29	7	28	0
TCGA-AR-A0TV-01	4	5	16	1	4	1	0	48
TCGA-AR-A0TW-01	2	1	21	7	7	4	25	0
TCGA-AR-A0TX-01	182	170	0	55	0	0	0	0
TCGA-AR-A0TZ-01	14	11	12	15	0	2	13	0
TCGA-AR-A0U0-01	8	1	5	10	4	1	15	6
TCGA-AR-A0U1-01	14	0	0	11	37	21	23	3
TCGA-AR-A0U2-01	0	0	24	3	3	8	14	4
TCGA-AR-A0U3-01	0	0	11	13	0	4	12	0
TCGA-AR-A0U4-01	43	15	7	12	53	11	60	0
TCGA-AR-A1AH-01	6	3	14	0	12	25	60	0
TCGA-AR-A1AI-01	16	1	12	34	11	9	0	6
TCGA-AR-A1AJ-01	9	19	16	0	2	3	0	4
TCGA-AR-A1AK-01	20	16	13	17	0	1	14	1
TCGA-AR-A1AL-01	3	4	5	4	0	9	0	5
TCGA-AR-A1AN-01	4	0	15	6	4	2	0	0
TCGA-AR-A1AO-01	15	11	11	21	47	5	12	0
TCGA-AR-A1AP-01	6	3	20	17	0	2	3	0
TCGA-AR-A1AQ-01	2	2	11	2	17	7	0	0
TCGA-AR-A1AR-01	7	3	15	0	6	3	25	4
TCGA-AR-A1AS-01	2	14	7	3	7	5	3	0
TCGA-AR-A1AT-01	1	1	9	0	18	3	0	0
TCGA-AR-A1AU-01	1	1	9	4	7	4	0	0
TCGA-AR-A1AV-01	1	3	17	13	1	4	10	0
TCGA-AR-A1AW-01	1	2	8	0	5	8	2	15
TCGA-AR-A1AX-01	0	0	2	20	0	1	0	9
TCGA-AR-A1AY-01	5	8	16	7	8	7	10	11
TCGA-AR-A24H-01	20	8	13	0	52	4	42	13
TCGA-AR-A24K-01	0	0	5	5	10	4	0	10
TCGA-AR-A24L-01	6	1	4	0	23	4	10	5
TCGA-AR-A24M-01	0	1	6	0	0	9	9	0
TCGA-AR-A24N-01	0	7	16	0	0	5	8	11
TCGA-AR-A24O-01	1	0	5	0	0	0	0	16
TCGA-AR-A24P-01	0	0	4	12	1	2	0	0
TCGA-AR-A24Q-01	19	21	6	13	92	22	59	0
TCGA-AR-A24R-01	0	2	11	0	6	7	0	0
TCGA-AR-A24S-01	4	8	16	1	3	9	9	7
TCGA-AR-A24T-01	1	1	9	3	0	0	3	7
TCGA-AR-A24U-01	10	10	10	11	3	0	0	0
TCGA-AR-A24V-01	3	2	10	8	1	4	0	0
TCGA-AR-A24W-01	0	0	0	8	1	0	0	5
TCGA-AR-A24X-01	0	0	5	10	0	3	0	16
TCGA-AR-A24Z-01	3	4	11	1	12	0	0	25
TCGA-AR-A250-01	49	14	29	41	0	4	4	14
TCGA-AR-A251-01	31	7	6	0	78	14	37	32
TCGA-AR-A252-01	0	0	9	1	0	5	1	3
TCGA-AR-A254-01	1	3	12	15	0	0	6	5
TCGA-AR-A255-01	17	14	9	9	0	6	28	6
TCGA-AR-A256-01	16	15	6	25	101	16	25	20
TCGA-AR-A2LE-01	117	175	0	101	0	0	1	0
TCGA-AR-A2LH-01	15	24	2	28	0	2	0	0
TCGA-AR-A2LK-01	0	5	19	4	2	5	1	12
TCGA-AR-A2LL-01	0	0	14	1	0	0	8	14
TCGA-AR-A2LM-01	0	0	0	6	2	1	0	8
TCGA-AR-A2LN-01	4	14	2	30	0	4	0	0
TCGA-AR-A2LO-01	2	2	4	2	5	0	2	0
TCGA-AR-A2LQ-01	0	0	3	0	0	1	0	9
TCGA-AR-A2LR-01	1	2	13	6	6	2	19	21
TCGA-AR-A5QM-01	0	0	9	6	0	1	3	17
TCGA-AR-A5QN-01	0	5	19	9	0	7	2	7
TCGA-AR-A5QP-01	0	4	8	5	0	5	3	9
TCGA-AR-A5QQ-01	8	6	10	0	34	18	3	17
TCGA-B6-A0I1-01	1	6	17	5	13	0	0	38
TCGA-B6-A0IH-01	0	1	15	11	0	8	6	0
TCGA-B6-A0RH-01	6	11	8	1	5	0	0	14
TCGA-B6-A0RL-01	5	15	22	0	6	4	2	15
TCGA-B6-A0RM-01	0	7	12	0	0	4	3	10
TCGA-B6-A0RN-01	0	2	15	1	5	6	0	4
TCGA-B6-A0RO-01	1	2	0	13	8	7	0	12
TCGA-B6-A0RP-01	0	0	4	2	0	1	5	18
TCGA-B6-A0RQ-01	4	13	6	17	0	7	9	0
TCGA-B6-A0RT-01	18	2	7	1	22	3	13	6
TCGA-B6-A0RU-01	1	4	8	19	10	11	5	0
TCGA-B6-A0RV-01	24	32	9	0	0	0	0	2
TCGA-B6-A0WS-01	2	2	1	0	0	7	1	5
TCGA-B6-A0WT-01	0	0	5	10	0	6	1	0
TCGA-B6-A0WV-01	4	0	2	2	0	3	0	26
TCGA-B6-A0WW-01	3	8	10	4	6	4	8	4
TCGA-B6-A0WX-01	2	0	12	4	8	7	10	2
TCGA-B6-A0WY-01	3	5	9	3	7	8	0	0
TCGA-B6-A0WZ-01	21	52	4	4	3	0	11	0
TCGA-B6-A0X0-01	0	2	2	3	0	0	5	13
TCGA-B6-A0X1-01	14	2	0	27	26	14	0	9
TCGA-B6-A0X4-01	0	0	2	18	0	0	2	0
TCGA-B6-A0X5-01	1	3	0	18	0	8	18	0
